Ricklefs_lab_ID,lineage,status,elevation,year,location,lon,lat,lineage,sequenced
PNG_10_1048,Monarcha_guttula,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1049,Monarcha_guttula,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_105,Pitohui_nigrescens,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_1050,Ptilorrhoa_caerulescens,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1051,Pitohui_dicrous,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1052,Pitohui_dicrous,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1053,Pitohui_kirhocephalus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1054,Colluricincla_megarhyncha,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1055,Peneothello_bimaculatus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1056,Monarcha_guttula,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1057,Peneothello_bimaculatus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1058,Crateroscelis_murina,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1059,Crateroscelis_murina,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_106,Pachycephala_schlegelii,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_1060,Melanocharis_nigra,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1061,Oedistoma_iliolophus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1062,Melanocharis_nigra,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1063,Ptilorrhoa_caerulescens,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1064,Pitohui_kirhocephalus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1065,Melanocharis_nigra,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1066,Pitohui_dicrous,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1068,Monarcha_guttula,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1069,Pachycephala_hyperythra,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_107,Sericornis_nouhuysi,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_1071,Colluricincla_megarhyncha,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1072,Monarcha_guttula,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1073,Ailuroedus_buccoides,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1074,Peneothello_bimaculatus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1075,Colluricincla_megarhyncha,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1076,Crateroscelis_murina,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1077,Melanocharis_nigra,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1078,Monarcha_guttula,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_108,Ptiloprora_guisei,1,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,Haemoproteus,yes
PNG_10_1080,Rhipidura_threnothorax,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1081,Monarcha_manadensis,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1082,Chaetorhynchus_papuensis,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1083,Chaetorhynchus_papuensis,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1084,Oedistoma_iliolophus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1087,Tanysiptera_galatea,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1088,Gallicolumba_beccarii,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1089,Rhipidura_threnothorax,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_109,Ptiloprora_guisei,1,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,Haemoproteus,yes
PNG_10_1090,Rhipidura_threnothorax,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1091,Rhipidura_threnothorax,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1093,Peneothello_bimaculatus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1094,Crateroscelis_murina,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1095,Peneothello_bimaculatus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1096,Xanthotis_flaviventer,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1097,Crateroscelis_murina,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1098,Pitta_sordida,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1099,Ptilorrhoa_caerulescens,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_11,Ptiloprora_guisei,1,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,Haemoproteus,yes
PNG_10_110,Pachycephala_rufinucha,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_1100,Melanocharis_nigra,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1101,Colluricincla_megarhyncha,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1103,Colluricincla_megarhyncha,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1104,Monarcha_guttula,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1105,Monarcha_guttula,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1106,Melanocharis_nigra,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1107,Monarcha_guttula,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1108,Ailuroedus_buccoides,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1109,Peneothello_bimaculatus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_111,Pachycephala_rufinucha,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
