,X,sample,Sample_label,Sample_No,Full_Label,species_jetz,species_clean,species_binomial,family,sociality,mass_tidy,elevation_cat,foraging_cat,Powder.lvl,elevation_midpoint,ectoparasites_PA,Lice,Mites,Ticks,total_lice,Female,Male,Nimph,Eggs,total_mites,total_mesostigmatidae,total_no_feathers_mites,species_binomial.x
24,24,110159,,P110159,P110159,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,1,0,1,0,0,0,0,0,0,2,0,0,Willisornis_poecilinotus
25,25,110171,,P110171,P110171,Sclerurus_caudacutus,Sclerurus caudacutus,Sclerurus_caudacutus,Furnariidae,0,37.54095238,lowland_manu,ground,low,413,1,1,1,0,1,1,0,0,0,3,1,1,Sclerurus_caudacutus
26,26,110172,,P110172,P110172,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,1,0,1,0,0,0,0,0,0,1,0,0,Isleria_hauxwelli
27,27,110233,,P110233,P110233,Microcerculus_marginatus,Microcerculus marginatus,Microcerculus_marginatus,Troglodytidae,0,18.81613333,lowland_manu,ground-understory,very low,754,0,0,0,0,0,0,0,0,0,0,0,0,NA
28,28,110215,,P110215,P110215,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA
29,29,110216,,P110216,P110216,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,med,419,1,0,1,0,0,0,0,0,0,2,0,0,Corythopis_torquatus
30,30,110238,,P110238,P110238,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,1,0,1,0,0,0,0,0,0,1,0,0,Willisornis_poecilinotus
31,31,110290,,P110290,P110290,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,1,0,1,0,0,0,0,0,0,1,0,0,Willisornis_poecilinotus
32,32,110297,,P110297,P110297,Thamnomanes_ardesiacus,Thamnomanes ardesiacus,Thamnomanes_ardesiacus,Thamnophilidae,1,18.58714286,lowland_manu,midhigh,low,421,1,0,1,0,0,0,0,0,0,13,0,0,Thamnomanes_ardesiacus
33,33,110337,,P110337,P110337,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA
34,34,110342,,P110342,P110342,Sclerurus_caudacutus,Sclerurus caudacutus,Sclerurus_caudacutus,Furnariidae,0,37.54095238,lowland_manu,ground,low,413,1,0,1,0,0,0,0,0,0,6,0,0,Sclerurus_caudacutus
35,35,110380,,P110380,P110380,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,1,0,1,0,0,0,0,0,0,2,0,0,Isleria_hauxwelli
36,36,110387,,P110387,P110387,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA
37,37,110390,,P110390,P110390,Microcerculus_marginatus,Microcerculus marginatus,Microcerculus_marginatus,Troglodytidae,0,18.81613333,lowland_manu,ground-understory,low,754,1,0,1,0,0,0,0,0,0,12,0,0,Microcerculus_marginatus
38,38,110391,,P110391,P110391,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA
39,39,115901,,P115901,P115901,Sclerurus_caudacutus,Sclerurus caudacutus,Sclerurus_caudacutus,Furnariidae,0,37.54095238,lowland_manu,ground,low,413,1,1,1,0,7,5,2,0,0,548,0,0,Sclerurus_caudacutus
40,40,115908,,P115908,P115908,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,1,0,1,0,0,0,0,0,0,5,0,0,Myrmotherula_axillaris
41,41,115909,,P115909,P115909,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,med,415,1,0,1,0,0,0,0,0,0,1,1,1,Myrmotherula_axillaris
42,42,115953,,P115953,P115953,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,1,0,1,0,0,0,0,0,0,24,0,0,Myrmotherula_axillaris
43,43,115954,,P115954,P115954,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,med,415,1,0,1,0,0,0,0,0,0,5,0,0,Myrmotherula_axillaris
44,44,115962,,P115962,P115962,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,med,419,1,0,1,0,0,0,0,0,0,10,0,0,Willisornis_poecilinotus
45,45,115972,,P115972,P115972,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,0,0,0,0,0,0,0,0,0,0,0,0,NA
46,46,115976,,P115976,P115976,Lanio_versicolor,Lanio versicolor,Lanio_versicolor,Thraupidae,1,19.76205128,lowland_manu,canopy,low,438,1,1,1,0,20,5,2,13,0,40,16,16,Lanio_versicolor
47,47,115979,,P115979,P115979,Thamnomanes_schistogynus,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnophilidae,1,17.905,lowland_manu,midhigh,med,430,1,0,1,0,0,0,0,0,0,14,1,1,Thamnomanes_schistogynus
48,48,116000,,P116000,P116000,Thamnomanes_schistogynus,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnophilidae,1,17.905,lowland_manu,midhigh,low,430,1,0,1,0,0,0,0,0,0,37,0,0,Thamnomanes_schistogynus
49,49,116031,,P116031,P116031,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA
50,50,116087,,P116087,P116087,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,1,0,1,0,0,0,0,0,0,6,0,0,Willisornis_poecilinotus
51,51,110167,P11,167,P110167,Monasa_morphoeus,Monasa morphoeus,Monasa_morphoeus,Bucconidae,1,73.41272727,lowland_manu,ground-midhigh,low,417,0,0,0,0,0,0,0,0,0,0,0,0,NA
52,52,116337,P11,6337,P116337,Monasa_morphoeus,Monasa morphoeus,Monasa_morphoeus,Bucconidae,1,73.41272727,lowland_manu,ground-midhigh,med,417,0,0,0,0,0,0,0,0,0,0,0,0,NA
53,53,116338,P11,6338,P116338,Monasa_morphoeus,Monasa morphoeus,Monasa_morphoeus,Bucconidae,1,73.41272727,lowland_manu,ground-midhigh,low,417,0,0,0,0,0,0,0,0,0,0,0,0,NA
54,54,116435,P11,6435,P116435,Lepidothrix_coronata,Lepidothrix coronata,Lepidothrix_coronata,Pipridae,1,9.769768786,lowland_manu,undersory-midhigh,med,417.5,0,0,0,0,0,0,0,0,0,0,0,0,NA
55,55,120740,P12,740,P120740,Malacoptila_semicincta,Malacoptila semicincta,Malacoptila_semicincta,Bucconidae,0,45.21722222,lowland_manu,ground-midhigh,very low,494.5,0,0,0,0,0,0,0,0,0,0,0,0,NA
56,56,120863,P12,863,P120863,Pipra_chloromeros,Ceratopipra chloromeros,Ceratopipra _chloromeros,Pipridae,1,16.72324324,lowland_manu,undersory-midhigh,very low,416,0,0,0,0,0,0,0,0,0,0,0,0,NA
57,57,120872,P12,872,P120872,Monasa_nigrifrons,Monasa nigrifrons,Monasa_nigrifrons,Bucconidae,1,80.46733333,lowland_manu,other,low,409,0,0,0,0,0,0,0,0,0,0,0,0,NA
58,58,121117,P12,1117,P121117,Monasa_nigrifrons,Monasa nigrifrons,Monasa_nigrifrons,Bucconidae,1,80.46733333,lowland_manu,other,low,409,0,0,0,0,0,0,0,0,0,0,0,0,NA
59,59,121372,P12,P121372,P121372,Malacoptila_semicincta,Malacoptila semicincta,Malacoptila_semicincta,Bucconidae,0,45.21722222,lowland_manu,ground-midhigh,low,494.5,1,1,0,0,2,2,0,0,0,0,0,0,NA
60,60,120642,SP12,SP120642,SP120642,Rupicola_peruvianus,Rupicola peruvianus,Rupicola_peruvianus,Cotingidae,0,207.3219231,montane_manu,ground-midhigh,low,1362,1,1,1,0,8,3,3,2,0,9,0,0,Rupicola_peruvianus
61,61,120665,SP12,SP120665,SP120665,Rupicola_peruvianus,Rupicola peruvianus,Rupicola_peruvianus,Cotingidae,0,207.3219231,montane_manu,ground-midhigh,low,1362,1,1,1,0,15,5,2,8,0,6,0,0,Rupicola_peruvianus
62,62,120678,SP12,SP120678,SP120678,Rupicola_peruvianus,Rupicola peruvianus,Rupicola_peruvianus,Cotingidae,0,207.3219231,montane_manu,ground-midhigh,low,1362,1,1,1,0,11,4,3,4,0,8,1,1,Rupicola_peruvianus
63,63,120797,SP12,SP120797,SP120797,Rupicola_peruvianus,Rupicola peruvianus,Rupicola_peruvianus,Cotingidae,0,207.3219231,montane_manu,ground-midhigh,low,1362,1,1,1,0,62,18,24,20,0,11,0,0,Rupicola_peruvianus
64,64,120813,SP12,SP120813,SP120813,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,low,1395,0,0,0,0,0,0,0,0,0,0,0,0,NA
65,65,120819,SP12,SP120819,SP120819,Rupicola_peruvianus,Rupicola peruvianus,Rupicola_peruvianus,Cotingidae,0,207.3219231,montane_manu,ground-midhigh,low,1362,1,1,1,0,21,2,7,12,0,13,0,0,Rupicola_peruvianus
66,66,120821,SP12,SP120821,SP120821,Micromonacha_lanceolata,Micromonacha lanceolata,Micromonacha_lanceolata,Bucconidae,0,23.34,montane_manu,ground-midhigh,low,1113.5,0,0,0,0,0,0,0,0,0,0,0,0,NA
67,67,120878,SP12,SP120878,SP120878,Galbula_cyanescens,Galbula cyanescens,Galbula_cynescens,Galbulidae,1,24.96074074,montane_manu,midhigh,low,486.5,0,0,0,0,0,0,0,0,0,0,0,0,NA
68,68,120917,SP12,SP120917,SP120917,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,low,1395,1,0,1,0,0,0,0,0,0,1,0,0,Malacoptila_fulvogularis
69,69,121006,P12,P121006,P121006,Rupicola_peruvianus,Rupicola peruvianus,Rupicola_peruvianus,Cotingidae,0,207.3219231,lowland_manu,ground-midhigh,low,1362,1,1,0,0,11,2,0,9,0,0,0,0,NA
70,70,121176,SP12,SP121176,SP121176,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,low,1395,1,0,1,0,0,0,0,0,0,1,1,1,Malacoptila_fulvogularis
71,71,121189,SP12,SP121189,SP121189,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,low,1395,1,1,1,0,1,0,1,0,0,5,0,0,Malacoptila_fulvogularis
72,72,121234,SP12,SP121234,SP121234,Rupicola_peruvianus,Rupicola peruvianus,Rupicola_peruvianus,Cotingidae,0,207.3219231,montane_manu,ground-midhigh,med,1362,1,1,0,0,8,4,3,1,0,0,0,0,NA
73,73,121235,SP12,SP121235,SP121235,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,low,1395,0,0,0,0,0,0,0,0,0,0,0,0,NA
74,74,121276,SP12,SP121276,SP121276,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,low,1395,1,0,1,0,0,0,0,0,0,22,0,0,Malacoptila_fulvogularis
75,75,121319,SP12,SP121319,SP121319,Rupicola_peruvianus,Rupicola peruvianus,Rupicola_peruvianus,Cotingidae,0,207.3219231,montane_manu,ground-midhigh,low,1362,1,1,1,0,1,0,0,1,0,4,0,0,Rupicola_peruvianus
76,76,120250,W12,W120250,W120250,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,med,2648,0,0,0,0,0,0,0,0,0,0,0,0,NA
77,77,120299,W12,W120299,W120299,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,very low,2648,0,0,0,0,0,0,0,0,0,0,0,0,NA
78,78,120481,W12,W120481,W120481,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,med,2648,1,0,1,0,0,0,0,0,0,5,0,0,Pipreola_intermedia
79,79,120617,W12,W120617,W120617,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,med,2648,1,1,1,0,3,0,1,2,0,2,0,0,Pipreola_intermedia
80,80,120650,W12,W120650,W120650,Pipreola_arcuata,Pipreola arcuata,Pipreola_arcuata,Cotingidae,0,101.4315,high_montane_manu,undersory-midhigh,high,2750,1,1,0,0,2,1,0,1,0,0,0,0,NA
81,81,120662,W12,W120662,W120662,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,high,2648,1,0,1,0,0,0,0,0,0,5,0,0,Pipreola_intermedia
82,82,120683,W12,W120683,W120683,Pipreola_arcuata,Pipreola arcuata,Pipreola_arcuata,Cotingidae,0,101.4315,high_montane_manu,undersory-midhigh,high,2750,0,0,0,0,0,0,0,0,0,0,0,0,NA
83,83,120693,W12,W120693,W120693,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,high,2648,1,0,1,0,0,0,0,0,0,17,0,0,Pipreola_intermedia
84,84,120701,W12,W120701,W120701,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,high,2648,1,0,1,0,0,0,0,0,0,6,0,0,Pipreola_intermedia
85,85,120717,W12,W120717,W120717,Pipreola_arcuata,Pipreola arcuata,Pipreola_arcuata,Cotingidae,0,101.4315,high_montane_manu,undersory-midhigh,med,2750,1,1,1,0,10,1,3,6,0,6,0,0,Pipreola_arcuata
86,86,120722,W12,W120722,W120722,Pipreola_arcuata,Pipreola arcuata,Pipreola_arcuata,Cotingidae,0,101.4315,high_montane_manu,undersory-midhigh,med,2750,1,1,1,0,7,1,1,5,0,3,0,0,Pipreola_arcuata
87,87,120737,W12,W120737,W120737,Pipreola_arcuata,Pipreola arcuata,Pipreola_arcuata,Cotingidae,0,101.4315,high_montane_manu,undersory-midhigh,med,2750,1,1,1,0,13,8,3,2,0,8,0,0,Pipreola_arcuata
88,88,120816,W12,W120816,W120816,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,med,2648,1,0,1,0,0,0,0,0,0,2,0,0,Pipreola_intermedia
89,89,121017,W12,W121017,W121017,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,low,2648,1,1,1,0,1,0,0,1,0,7,0,0,Pipreola_intermedia
90,90,121018,W12,W121018,W121018,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,med,2648,1,1,1,0,2,0,0,2,0,21,0,0,Pipreola_intermedia
91,91,121045,W12,W121045,W121045,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,med,2648,1,0,1,0,0,0,0,0,0,19,0,0,Pipreola_intermedia
92,92,121150,W12,W121150,W121150,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,low,2648,0,0,0,0,0,0,0,0,0,0,0,0,NA
93,93,13356,SP13,SP13356,SP13356,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,med,1395,0,0,0,0,0,0,0,0,0,0,0,0,NA
94,94,130043,P13,P130043,P130043,Malacoptila_semicincta,Malacoptila semicincta,Malacoptila_semicincta,Bucconidae,0,45.21722222,lowland_manu,ground-midhigh,very low,494.5,0,0,0,0,0,0,0,0,0,0,0,0,NA
95,95,130063,P13,P130063,P130063,Malacoptila_semicincta,Malacoptila semicincta,Malacoptila_semicincta,Bucconidae,0,45.21722222,lowland_manu,ground-midhigh,very low,494.5,0,0,0,0,0,0,0,0,0,0,0,0,NA
96,96,130357,P13,P130357,P130357,Malacoptila_semicincta,Malacoptila semicincta,Malacoptila_semicincta,Bucconidae,0,45.21722222,lowland_manu,ground-midhigh,low,494.5,0,0,0,0,0,0,0,0,0,0,0,0,NA
