,X,sample,Sample_label,Sample_No,Full_Label,species_jetz,species_clean,species_binomial,family,sociality,mass_tidy,elevation_cat,foraging_cat,Powder.lvl,elevation_midpoint,ectoparasites_PA,Lice,Mites,Ticks,total_lice,Female,Male,Nimph,Eggs,total_mites,total_mesostigmatidae,total_no_feathers_mites,species_binomial.x
115,115,116166,P11,6166,P116166,Schiffornis_turdina,Schiffornis turdina,Schiffornis_turdina,Cotingidae,0,30.18625,lowland_manu,understory,low,876,1,1,0,0,1,1,0,0,0,0,0,0,NA
116,116,116172,P11,6172,P116172,Lanio_versicolor,Lanio versicolor,Lanio_versicolor,Thraupidae,1,19.76205128,lowland_manu,canopy,low,438,1,1,1,0,5,1,0,0,0,4,0,0,Lanio_versicolor
117,117,116185,P11,6185,P116185,Schiffornis_turdina,Schiffornis turdina,Schiffornis_turdina,Cotingidae,0,30.18625,lowland_manu,understory,low,876,1,1,0,0,5,3,1,1,0,0,0,0,NA
118,118,116187,P11,6187,P116187,Schiffornis_turdina,Schiffornis turdina,Schiffornis_turdina,Cotingidae,0,30.18625,lowland_manu,understory,low,876,1,0,1,0,0,0,0,0,0,2,0,0,Schiffornis_turdina
119,119,116200,P11,6200,P116200,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,1,0,1,0,0,0,0,0,0,32,0,0,Willisornis_poecilinotus
120,120,116202,P11,6202,P116202,Schiffornis_turdina,Schiffornis turdina,Chlorothraupis_turdina,Cotingidae,0,30.18625,lowland_manu,understory,low,876,1,1,0,0,6,0,3,3,0,0,0,0,NA
121,121,116204,P11,6204,P116204,Chlorothraupis_carmioli,Chlorothraupis carmioli,Chlorothraupis_carmioli,Cardinalidae,1,37.5053125,lowland_manu,other,low,600,1,1,1,0,1,0,1,0,0,21,0,0,Chlorothraupis_carmioli
122,122,116210,P11,6210,P116210,Chlorothraupis_carmioli,Chlorothraupis carmioli,Chlorothraupis_carmioli,Cardinalidae,1,37.5053125,lowland_manu,other,low,600,1,1,1,0,8,2,3,3,0,11,0,0,Chlorothraupis_carmioli
123,123,116211,P11,6211,P116211,Chlorothraupis_carmioli,Chlorothraupis carmioli,Chlorothraupis_carmioli,Cardinalidae,1,37.5053125,lowland_manu,other,high,600,1,1,1,0,1,1,0,0,0,64,0,0,Chlorothraupis_carmioli
124,124,116213,P11,6213,P116213,Chlorothraupis_carmioli,Chlorothraupis carmioli,Chlorothraupis_carmioli,Cardinalidae,1,37.5053125,lowland_manu,other,med,600,1,1,1,0,13,1,5,7,0,75,0,0,Chlorothraupis_carmioli
125,125,116228,P11,6228,P116228,Myiobius_barbatus,Myiobius barbatus,Myiobius_barbatus,Tyrannidae,1,12.84714286,lowland_manu,midhigh,low,424,1,0,1,0,0,0,0,0,0,4,0,0,Myiobius_barbatus
126,126,116231,P11,6231,P116231,Glyphorynchus_spirurus,Glyphorynchus spirurus,Glyphorynchus_spirurus,Dendrocolaptidae,1,15.41370221,lowland_manu,canopy,low,421,1,1,1,0,7,3,1,3,0,10,0,0,Glyphorynchus_spirurus
127,127,116232,P11,6232,P116232,Lanio_versicolor,Lanio versicolor,Lanio_versicolor,Thraupidae,1,19.76205128,lowland_manu,canopy,low,438,1,1,1,0,1,1,0,0,0,30,0,0,Lanio_versicolor
128,128,116246,P11,6246,P116246,Thamnomanes_ardesiacus,Thamnomanes ardesiacus,Thamnomanes_ardesiacus,Thamnophilidae,1,18.58714286,lowland_manu,midhigh,low,421,1,0,1,0,0,0,0,0,0,12,0,0,Thamnomanes_ardesiacus
129,129,116247,P11,6247,P116247,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,1,0,1,0,0,0,0,0,0,16,0,0,Willisornis_poecilinotus
130,130,116259,P11,6259,P116259,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,1,1,1,0,9,2,3,4,0,72,0,0,Myrmotherula_axillaris
131,131,116260,P11,6260,P116260,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,low,419,1,0,1,0,0,0,0,0,0,148,0,0,Corythopis_torquatus
132,132,116262,P11,6262,P116262,Schiffornis_turdina,Schiffornis turdina,Schiffornis_turdina,Cotingidae,0,30.18625,lowland_manu,understory,low,876,1,1,1,0,9,2,3,4,0,10,0,7,Schiffornis_turdina
133,133,116271,P11,6271,P116271,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,0,0,0,0,0,0,0,0,0,0,0,0,NA
134,134,116278,P11,6278,P116278,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,1,0,1,0,0,0,0,0,0,8,0,0,Willisornis_poecilinotus
135,135,116291,P11,6291,P116291,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,med,419,0,0,0,0,0,0,0,0,0,0,0,0,NA
136,136,116292,P11,6292,P116292,Schiffornis_turdina,Schiffornis turdina,Schiffornis_turdina,Cotingidae,0,30.18625,lowland_manu,understory,med,876,0,0,0,0,0,0,0,0,0,0,0,0,NA
137,137,116295,P11,6295,P116295,Schiffornis_turdina,Schiffornis turdina,Schiffornis_turdina,Cotingidae,0,30.18625,lowland_manu,understory,low,876,0,0,0,0,0,0,0,0,0,0,0,0,NA
138,138,116299,P11,6299,P116299,Schiffornis_turdina,Schiffornis turdina,Schiffornis_turdina,Cotingidae,0,30.18625,lowland_manu,understory,low,876,0,0,0,0,0,0,0,0,0,0,0,0,NA
139,139,116302,P11,6302,P116302,Schiffornis_turdina,Schiffornis turdina,Schiffornis_turdina,Cotingidae,0,30.18625,lowland_manu,understory,low,876,0,0,0,0,0,0,0,0,0,0,0,0,NA
140,140,116324,P11,6324,P116324,Platyrinchus_platyrhynchos,Platyrinchus platyrhynchos,Platyrinchus_platyrhynchos,Tyrannidae,0,12.27526316,lowland_manu,midhigh,low,421.5,0,0,0,0,0,0,0,0,0,0,0,0,NA
141,141,116360,P11,6360,P116360,Thamnomanes_schistogynus,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnophilidae,1,17.905,lowland_manu,midhigh,med,430,1,0,1,0,0,0,0,0,0,2,0,0,Thamnomanes_schistogynus
142,142,116369,P11,6369,P116369,Hylophilus_ochraceiceps,Tunchiornis ochraceiceps,Hylophilus_ochraceiceps,Vireonidae,1,11.72933333,lowland_manu,understory,low,892,0,0,0,0,0,0,0,0,0,0,0,0,NA
143,143,116378,P11,6378,P116378,Thamnomanes_schistogynus,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnophilidae,1,17.905,lowland_manu,midhigh,low,430,0,0,0,0,0,0,0,0,0,0,0,0,NA
144,144,116380,P11,6380,P116380,Hylophilus_ochraceiceps,Tunchiornis ochraceiceps,Hylophilus_ochraceiceps,Vireonidae,1,11.72933333,lowland_manu,understory,low,892,0,0,0,0,0,0,0,0,0,0,0,0,NA
145,145,116411,P11,6411,P116411,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,med,419,0,0,0,0,0,0,0,0,0,0,0,0,NA
146,146,116420,P11,6420,P116420,Glyphorynchus_spirurus,Glyphorynchus spirurus,Glyphorynchus_spirurus,Dendrocolaptidae,1,15.41370221,lowland_manu,canopy,low,421,0,0,0,0,0,0,0,0,0,0,0,0,NA
147,147,116425,P11,6425,P116425,Hylophylax_naevius,Hylophylax naevius,Hylophylax_naevius,Thamnophilidae,0,13.63936508,lowland_manu,understory,low,850,1,0,1,0,0,0,0,0,0,2,0,0,Hylophylax_naevius
148,148,116453,P11,6453,P116453,Microcerculus_marginatus,Microcerculus marginatus,Microcerculus_marginatus,Troglodytidae,0,18.81613333,lowland_manu,ground-understory,low,754,1,0,1,0,0,0,0,0,0,1,0,0,Microcerculus_marginatus
149,149,116467,P11,6467,P116467,Thamnomanes_schistogynus,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnophilidae,1,17.905,lowland_manu,midhigh,low,430,1,0,1,0,0,0,0,0,0,2,0,0,Thamnomanes_schistogynus
150,150,110008,SP11,8,SP110008,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,med,1362,1,1,1,0,54,11,7,25,0,4,0,0,Chlorospingus_flavigularis
151,151,110013,SP11,13,SP110013,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,low,1362,1,1,0,0,13,0,7,3,0,0,0,0,NA
152,152,110022,SP11,22,SP110022,Tangara_arthus,Tangara arthus,Tangara_arthus,Thraupidae,1,21.19101695,montane_manu,midhigh,med,1308.5,1,1,0,0,4,1,1,2,0,0,0,0,NA
153,153,110023,SP11,23,SP110023,Tangara_arthus,Tangara arthus,Tangara_arthus,Thraupidae,1,21.19101695,montane_manu,midhigh,med,1308.5,1,0,1,0,0,0,0,0,0,7,0,0,Tangara_arthus
154,154,110040,SP11,40,SP110040,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,low,1362,1,1,1,0,1,0,0,1,0,1,0,0,Chlorospingus_flavigularis
155,155,110044,SP11,44,SP110044,Leptopogon_superciliaris,Leptopogon superciliaris,Leptopogon_superciliaris,Tyrannidae,1,13.20830645,montane_manu,midhigh,low,1387,1,1,0,0,5,3,1,1,0,0,0,0,NA
156,156,110059,SP11,59,SP110059,Premnoplex_brunnescens,Premnoplex brunnescens,Premnoplex_brunnescens,Furnariidae,1,15.77809045,montane_manu,understory,low,1366,0,0,0,0,0,0,0,0,0,0,0,0,NA
157,157,110066,SP11,66,SP110066,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,low,1362,1,1,1,0,2,0,0,2,0,1,0,0,Chlorospingus_flavigularis
158,158,110070,SP11,70,SP110070,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,low,1362,1,1,1,0,6,1,2,3,0,5,0,0,Chlorospingus_flavigularis
159,159,110073,SP11,73,SP110073,Premnoplex_brunnescens,Premnoplex brunnescens,Premnoplex_brunnescens,Furnariidae,1,15.77809045,montane_manu,understory,low,1366,1,0,1,0,0,0,0,0,0,22,22,22,Premnoplex_brunnescens
160,160,110074,SP11,74,SP110074,Premnoplex_brunnescens,Premnoplex brunnescens,Premnoplex_brunnescens,Furnariidae,1,15.77809045,montane_manu,understory,low,1366,1,0,1,0,0,0,0,0,0,55,18,18,Premnoplex_brunnescens
161,161,110080,SP11,80,SP110080,Rhynchocyclus_fulvipectus,Rhynchocyclus fulvipectus,Rhynchocyclus_fulvipectus,Tyrannidae,1,24.23724138,montane_manu,understory,low,1365,1,0,1,0,0,0,0,0,0,2,0,0,Rhynchocyclus_fulvipectus
162,162,110084,SP11,84,SP110084,Myioborus_miniatus,Myioborus miniatus,Myioborus_miniatus,Parulidae,1,9.782295082,montane_manu,midhigh,low,1404,1,0,1,0,0,0,0,0,0,12,0,0,Myioborus_miniatus
163,163,110086,SP11,86,SP110086,Myioborus_miniatus,Myioborus miniatus,Myioborus_miniatus,Parulidae,1,9.782295082,montane_manu,midhigh,med,1404,1,0,1,0,0,0,0,0,0,10,0,0,Myioborus_miniatus
164,164,110087,SP11,87,SP110087,Myioborus_miniatus,Myioborus miniatus,Myioborus_miniatus,Parulidae,1,9.782295082,montane_manu,midhigh,low,1404,1,0,1,0,0,0,0,0,0,4,0,0,Myioborus_miniatus
165,165,110095,SP11,95,SP110095,Rhynchocyclus_fulvipectus,Rhynchocyclus fulvipectus,Rhynchocyclus_fulvipectus,Tyrannidae,1,24.23724138,montane_manu,understory,low,1365,1,0,1,0,0,0,0,0,0,8,0,0,Rhynchocyclus_fulvipectus
166,166,110113,SP11,113,SP110113,Basileuterus_tristriatus,Basileuterus tristriatus,Basileuterus_tristriatus,Parulidae,1,12.9,montane_manu,understory,med,1459,1,1,1,0,1,1,0,0,0,1,0,0,Basileuterus_tristriatus
167,167,110108,SP11,108,SP110108,Chlorospingus_ophthalmicus,Chlorospingus flavopectus,Chlorospingus_opthalmicus,Thraupidae,1,21.97914286,montane_manu,other,low,1821,1,1,1,0,2,0,1,0,0,69,0,0,Chlorospingus_opthalmicus
168,168,110154,SP11,154,SP110154,Rhynchocyclus_fulvipectus,Rhynchocyclus fulvipectus,Rhynchocyclus_fulvipectus,Tyrannidae,1,24.23724138,montane_manu,understory,low,1365,0,0,0,0,0,0,0,0,0,0,0,0,NA
169,169,110186,SP11,186,SP110186,Basileuterus_tristriatus,Basileuterus tristriatus,Basileuterus_tristriatus,Parulidae,1,12.9,montane_manu,understory,low,1459,1,1,1,0,4,0,0,4,0,3,0,0,Basileuterus_tristriatus
170,170,110098,SP11,98,SP110098,Eutoxeres_condamini,Eutoxeres condamini,Eutoxeres_condamini,Trochilidae,0,9.882727273,montane_manu,understory,low,1309,1,0,1,0,0,0,0,0,0,6,0,0,Eutoxeres_condamini
171,171,110188,SP11,188,SP110188,Anabacerthia_striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,Furnariidae,1,24.58886525,montane_manu,midhigh,med,1397,1,0,1,0,0,0,0,0,0,1,0,0,Anabacerthia_striaticollis
172,172,110259,SP11,259,SP110259,Hylophylax_naevius,Hylophylax naevius,Hylophylax_naevius,Thamnophilidae,0,13.63936508,montane_manu,understory,low,850,1,0,1,0,0,0,0,0,0,3,0,0,Hylophylax_naevius
173,173,110101,SP11,101,SP110101,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,low,1362,1,0,1,0,0,0,0,0,0,11,0,0,Chlorospingus_flavigularis
174,174,110340,SP11,340,SP110340,Leptopogon_superciliaris,Leptopogon superciliaris,Leptopogon_superciliaris,Tyrannidae,1,13.20830645,montane_manu,midhigh,low,1387,1,1,1,0,1,0,0,0,0,2,0,0,Leptopogon_superciliaris
175,175,110120,SP11,120,SP110120,Chlorospingus_flavigularis,Chlorospingus flavigularis,Chlorospingus_flavigularis,Thraupidae,1,25.95577586,montane_manu,understory,med,1362,1,1,1,0,8,2,2,4,0,9,0,0,Chlorospingus_flavigularis
176,176,110130,SP11,130,SP110130,Premnoplex_brunnescens,Premnoplex brunnescens,Premnoplex_brunnescens,Furnariidae,1,15.77809045,montane_manu,understory,low,1366,1,0,1,0,0,0,0,0,0,37,36,36,Premnoplex_brunnescens
177,177,110140,SP11,140,SP110140,Premnoplex_brunnescens,Premnoplex brunnescens,Premnoplex_brunnescens,Furnariidae,1,15.77809045,montane_manu,understory,low,1366,1,0,1,0,0,0,0,0,0,1,1,1,Premnoplex_brunnescens
178,178,110144,SP11,144,SP110144,Basileuterus_tristriatus,Basileuterus tristriatus,Basileuterus_tristriatus,Parulidae,1,12.9,montane_manu,understory,low,1459,1,1,1,0,2,1,0,1,0,3,0,0,Basileuterus_tristriatus
179,179,120675,P12,675,P120675,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,1,1,1,0,3,2,0,1,0,7,0,0,Willisornis_poecilinotus
180,180,120781,P12,781,P120781,Sclerurus_caudacutus,Sclerurus caudacutus,Sclerurus_caudacutus,Furnariidae,0,37.54095238,lowland_manu,ground,low,413,1,0,1,0,0,0,0,0,0,1,0,0,Sclerurus_caudacutus
181,181,120742,P12,742,P120742,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,low,419,0,0,0,0,0,0,0,0,0,0,0,0,NA
182,182,120770,P12,770,P120770,Microcerculus_marginatus,Microcerculus marginatus,Microcerculus_marginatus,Troglodytidae,0,18.81613333,lowland_manu,ground-understory,low,754,1,0,1,0,0,0,0,0,0,1,0,0,Microcerculus_marginatus
183,183,120773,P12,773,P120773,Hylophylax_naevius,Hylophylax naevius,Hylophylax_naevius,Thamnophilidae,0,13.63936508,lowland_manu,understory,low,850,1,0,1,0,0,0,0,0,0,9,0,0,Hylophylax_naevius
184,184,120684,P12,684,P120684,Hylophilus_ochraceiceps,Tunchiornis ochraceiceps,Hylophilus_ochraceiceps,Vireonidae,1,11.72933333,lowland_manu,understory,low,892,1,0,1,0,0,0,0,0,0,1,0,0,Hylophilus_ochraceiceps
185,185,120687,P12,687,P120687,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,1,0,1,0,0,0,0,0,0,1,0,0,Willisornis_poecilinotus
186,186,120714,P12,714,P120714,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,1,0,1,0,0,0,0,0,0,1,0,0,Myrmotherula_axillaris
187,187,120739,P12,739,P120739,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,low,419,0,0,0,0,0,0,0,0,0,0,0,0,NA
188,188,120788,P12,788,P120788,Thamnomanes_ardesiacus,Thamnomanes ardesiacus,Thamnomanes_ardesiacus,Thamnophilidae,1,18.58714286,lowland_manu,midhigh,low,421,0,0,0,0,0,0,0,0,0,0,0,0,NA
189,189,120791,P12,791,P120791,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA
190,190,120805,P12,805,P120805,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,low,419,0,0,0,0,0,0,0,0,0,0,0,0,NA
191,191,120806,P12,806,P120806,Mionectes_olivaceus,Mionectes olivaceus,Mionectes_olivaceus,Tyrannidae,1,14.85200461,lowland_manu,understory,low,1262,0,0,0,0,0,0,0,0,0,0,0,0,NA
192,192,120807,P12,807,P120807,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,1,0,1,0,0,0,0,0,0,1,0,0,Isleria_hauxwelli
193,193,120818,P12,818,P120818,Leptopogon_amaurocephalus,Leptopogon amaurocephalus,Leptopogon_amaurocephalus,Tyrannidae,1,11.67782609,lowland_manu,undersory-midhigh,low,417,1,0,1,0,0,0,0,0,0,11,0,0,Leptopogon_amaurocephalus
194,194,120883,P12,883,P120883,Platyrinchus_platyrhynchos,Platyrinchus platyrhynchos,Platyrinchus_platyrhynchos,Tyrannidae,0,12.27526316,lowland_manu,midhigh,low,421.5,0,0,0,0,0,0,0,0,0,0,0,0,NA
195,195,120889,P12,889,P120889,Platyrinchus_platyrhynchos,Platyrinchus platyrhynchos,Platyrinchus_platyrhynchos,Tyrannidae,0,12.27526316,lowland_manu,midhigh,low,421.5,0,0,0,0,0,0,0,0,0,0,0,0,NA
196,196,120916,P12,916,P120916,Thamnomanes_schistogynus,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnophilidae,1,17.905,lowland_manu,midhigh,low,430,1,0,1,0,0,0,0,0,0,52,0,0,Thamnomanes_schistogynus
197,197,120921,P12,921,P120921,Thamnomanes_schistogynus,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnophilidae,1,17.905,lowland_manu,midhigh,low,430,1,0,1,0,0,0,0,0,0,13,0,0,Thamnomanes_schistogynus
198,198,120923,P12,923,P120923,Thamnomanes_schistogynus,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnophilidae,1,17.905,lowland_manu,midhigh,low,430,1,0,1,0,0,0,0,0,0,37,0,0,Thamnomanes_schistogynus
199,199,120924,P12,924,P120924,Thamnomanes_schistogynus,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnophilidae,1,17.905,lowland_manu,midhigh,low,430,1,0,1,0,0,0,0,0,0,21,0,0,Thamnomanes_schistogynus
200,200,120933,P12,933,P120933,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,1,0,1,0,0,0,0,0,0,2,0,0,Myrmotherula_axillaris
201,201,120956,P12,956,P120956,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,1,0,1,0,0,0,0,0,0,2,0,0,Isleria_hauxwelli
202,202,120975,P12,975,P120975,Lanio_versicolor,Lanio versicolor,Lanio_versicolor,Thraupidae,1,19.76205128,lowland_manu,canopy,low,438,1,0,1,0,0,0,0,0,0,2,1,1,Lanio_versicolor
203,203,121004,P12,1004,P121004,Hylophylax_naevius,Hylophylax naevius,Hylophylax_naevius,Thamnophilidae,0,13.63936508,lowland_manu,understory,low,850,1,0,1,0,0,0,0,0,0,1,0,0,Hylophylax_naevius
204,204,121007,P12,1007,P121007,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,med,415,1,0,1,0,0,0,0,0,0,4,1,1,Isleria_hauxwelli
205,205,121019,P12,1019,P121019,Hylophilus_ochraceiceps,Tunchiornis ochraceiceps,Hylophilus_ochraceiceps,Vireonidae,1,11.72933333,lowland_manu,understory,med,892,0,0,0,0,0,0,0,0,0,0,0,0,NA
206,206,121020,P12,1020,P121020,Hylophilus_ochraceiceps,Tunchiornis ochraceiceps,Hylophilus_ochraceiceps,Vireonidae,1,11.72933333,lowland_manu,understory,med,892,0,0,0,0,0,0,0,0,0,0,0,0,NA
207,207,121052,P12,1052,P121052,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,low,419,1,0,1,0,0,0,0,0,0,63,0,0,Corythopis_torquatus
208,208,121238,P12,1238,P121238,Glyphorynchus_spirurus,Glyphorynchus spirurus,Glyphorynchus_spirurus,Dendrocolaptidae,1,15.41370221,lowland_manu,canopy,low,421,1,0,1,0,0,0,0,0,0,1,0,0,Glyphorynchus_spirurus
209,209,121245,P12,1245,P121245,Glyphorynchus_spirurus,Glyphorynchus spirurus,Glyphorynchus_spirurus,Dendrocolaptidae,1,15.41370221,lowland_manu,canopy,low,421,1,1,1,0,2,1,0,1,0,14,3,3,Glyphorynchus_spirurus
210,210,121250,P12,1250,P121250,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,0,0,0,0,0,0,0,0,0,0,0,0,NA
211,211,121252,P12,1252,P121252,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,0,0,0,0,0,0,0,0,0,0,0,0,NA
212,212,121255,P12,1255,P121255,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,0,0,0,0,0,0,0,0,0,0,0,0,NA
213,213,121258,P12,1258,P121258,Platyrinchus_platyrhynchos,Platyrinchus platyrhynchos,Platyrinchus_platyrhynchos,Tyrannidae,0,12.27526316,lowland_manu,midhigh,low,421.5,0,0,0,0,0,0,0,0,0,0,0,0,NA
214,214,121259,P12,1259,P121259,Platyrinchus_platyrhynchos,Platyrinchus platyrhynchos,Platyrinchus_platyrhynchos,Tyrannidae,0,12.27526316,lowland_manu,midhigh,low,421.5,0,0,0,0,0,0,0,0,0,0,0,0,NA
215,215,121262,P12,1262,P121262,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,1,0,1,0,0,0,0,0,0,3,0,0,Myrmotherula_axillaris
216,216,121271,P12,1271,P121271,Glyphorynchus_spirurus,Glyphorynchus spirurus,Glyphorynchus_spirurus,Dendrocolaptidae,1,15.41370221,lowland_manu,canopy,low,421,1,0,1,0,0,0,0,0,0,19,0,0,Glyphorynchus_spirurus
217,217,121352,P12,1352,P121352,Thamnomanes_ardesiacus,Thamnomanes ardesiacus,Thamnomanes_ardesiacus,Thamnophilidae,1,18.58714286,lowland_manu,midhigh,low,421,0,0,0,0,0,0,0,0,0,0,0,0,NA
218,218,121357,P12,1357,P121357,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA
219,219,121359,P12,1359,P121359,Glyphorynchus_spirurus,Glyphorynchus spirurus,Glyphorynchus_spirurus,Dendrocolaptidae,1,15.41370221,lowland_manu,canopy,low,421,1,1,1,0,17,4,10,3,0,24,1,23,Glyphorynchus_spirurus
220,220,121446,P12,1446,P121446,Myiobius_barbatus,Myiobius barbatus,Myiobius_barbatus,Tyrannidae,1,12.84714286,lowland_manu,midhigh,low,424,1,0,1,0,0,0,0,0,0,2,0,0,Myiobius_barbatus
221,221,121773,P12,1773,P121773,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA
222,222,121448,P12,1448,P121448,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,0,0,0,0,0,0,0,0,0,0,0,0,NA
223,223,121774,P12,1774,P121774,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA
224,224,121457,P12,1457,P121457,Sclerurus_caudacutus,Sclerurus caudacutus,Sclerurus_caudacutus,Furnariidae,0,37.54095238,lowland_manu,ground,low,413,0,0,0,0,0,0,0,0,0,0,0,0,NA
225,225,121796,P12,1796,P121796,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,1,0,1,0,0,0,0,0,0,2,0,0,Isleria_hauxwelli
226,226,121797,P12,1797,P121797,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,1,0,1,0,0,0,0,0,0,5,0,0,Willisornis_poecilinotus
227,227,121499,P12,1499,P121499,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,1,0,1,0,0,0,0,0,0,5,4,5,Willisornis_poecilinotus
228,228,121800,P12,1800,P121800,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA
229,229,121503,P12,1503,P121503,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA
230,230,121801,P12,1801,P121801,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA
