elevation_cat,sociality,foraging_cat,species_jetz,species_clean,mean_lice,sample_size
lowland_manu,1,undersory-midhigh,Mionectes_oleagineus,Mionectes oleagineus,6.75,4
high_montane_manu,1,undersory-midhigh,Arremon_torquatus,Arremon torquatus,6.777777778,9
lowland_manu,1,canopy,Lanio_versicolor,Lanio versicolor,7,4
lowland_manu,1,undersory-midhigh,Pipra_fasciicauda,Pipra fasciicauda,7.473684211,19
lowland_manu,0,ground,Turdus_albicollis,Turdus albicollis,8,3
lowland_manu,1,midhigh,Myrmotherula_axillaris,Myrmotherula axillaris,8.5,2
lowland_manu,1,ground,Conopophaga_peruviana,Conopophaga peruviana,9,1
montane_manu,1,understory,Thripadectes_melanorhynchus,Thripadectes melanorhynchus,9,11
montane_manu,1,understory,Chlorospingus_flavigularis,Chlorospingus flavigularis,10.21428571,14
lowland_manu,1,midhigh,Mionectes_macconnelli,Mionectes macconnelli,11.38461538,13
high_montane_manu,1,canopy,Thraupis_cyanocephala,Sporathraupis cyanocephala,13,4
montane_manu,0,ground-midhigh,Rupicola_peruvianus,Rupicola peruvianus,17.125,8
