"","species_jetz","low_limit","high_limit"
"408","Nothocercus_nigrocapillus",1395,2973
"409","Notiochelidon_flavipes",2557,2781
"410","Nyctidromus_albicollis",366,440
"411","Nyctiphrynus_ocellatus",365,574
"412","Nystalus_striolatus",381,1013
"413","Ochthoeca_frontalis",2650,3377
"414","Ochthoeca_fumicolor",3237,3237
"415","Ochthoeca_pulchella",2023,3101
"416","Ochthoeca_rufipectoralis",2347,3377
"417","Ochthoeca_thoracica",2176,3032
"418","Ochthornis_littoralis",404,411
"419","Ocreatus_underwoodii",956,2184
"420","Odontophorus_balliviani",1442,2937
"421","Odontophorus_speciosus",1007,1950
"422","Odontophorus_stellatus",400,944
"423","Odontorchilus_branickii",969,1724
"424","Onychorhynchus_coronatus",381,471
"425","Ornithion_inerme",402,520
"426","Ortalis_guttata",402,1388
"427","Orthopsittaca_manilata",419,419
"428","Oryzoborus_angolensis",644,1387
"429","Pachyramphus_marginatus",414,430
"430","Pachyramphus_minor",404,643
"431","Pachyramphus_polychopterus",407,1718
"432","Pachyramphus_versicolor",1320,3101
"433","Parula_pitiayumi",846,1651
"434","Patagioenas_cayennensis",400,410
"435","Patagioenas_fasciata",2109,3342
"436","Patagioenas_plumbea",400,2184
"437","Patagioenas_subvinacea",398,1236
"438","Penelope_jacquacu",379,1236
"439","Penelope_montagnii",1676,3049
"440","Percnostola_lophotes",381,1335
"441","Phaeothlypis_fulvicauda",383,1255
"442","Phaethornis_guy",956,1852
"443","Phaethornis_hispidus",340,1362
"444","Phaethornis_koepckeae",381,1129
"445","Phaethornis_malaris",381,421
"446","Phaethornis_ruber",400,1141
"447","Phaethornis_stuarti",376,1514
"448","Phaethornis_superciliosus",381,1387
"449","Pharomachrus_antisianus",1239,2781
"450","Pharomachrus_auriceps",1450,3049
"451","Pharomachrus_pavoninus",402,599
"452","Pheucticus_aureoventris",1210,2521
"453","Pheucticus_chrysogaster",2650,2650
"454","Philydor_erythrocercum",385,1538
"455","Philydor_erythropterum",414,951
"456","Philydor_pyrrhodes",381,381
"457","Philydor_ruficaudatum",754,1293
"458","Philydor_rufum",938,1202
"459","Phlegopsis_nigromaculata",343,956
"460","Phlogophilus_harterti",867,1678
"461","Phyllomyias_burmeisteri",1431,1431
"462","Phyllomyias_cinereiceps",969,1787
"463","Phyllomyias_plumbeiceps",1578,1578
"464","Phyllomyias_uropygialis",2743,2743
"465","Phylloscartes_ophthalmicus",1007,2367
"466","Phylloscartes_orbitalis",891,1198
"467","Phylloscartes_parkeri",983,1395
"468","Phylloscartes_poecilotis",1397,2347
"469","Phylloscartes_ventralis",1428,2369
"470","Piaya_cayana",403,1821
"471","Piculus_leucolaemus",846,846
"472","Picumnus_aurifrons",837,1030
"473","Picumnus_rufiventris",381,438
"474","Picumnus_subtilis",714,714
"475","Pionites_leucogaster",399,549
"476","Pionus_menstruus",400,2383
"477","Pionus_tumultuosus",1657,3032
"478","Pipile_cumanensis",425,774
"479","Pipra_chloromeros",375,1395
"480","Pipra_fasciicauda",344,1055
"481","Pipra_rubrocapilla",400,423
"482","Pipraeidea_melanonota",1217,2950
"483","Pipreola_arcuata",1821,3215
"484","Pipreola_frontalis",1514,1781
"485","Pipreola_intermedia",1449,3101
"486","Pipreola_pulchra",1998,1998
"487","Piprites_chloris",409,956
"488","Piranga_flava",1173,2660
"489","Piranga_leucoptera",622,1415
"490","Piranga_olivacea",1428,1428
"491","Pitangus_sulphuratus",378,378
"492","Platyrinchus_coronatus",381,1050
"493","Platyrinchus_mystaceus",1256,1781
"494","Platyrinchus_platyrhynchos",385,837
"495","Poecilotriccus_albifacies",381,823
"496","Poecilotriccus_latirostris",969,969
"497","Poecilotriccus_plumbeiceps",1555,2065
"498","Poecilotriccus_pulchellus",990,990
"499","Premnoplex_brunnescens",995,2728
"500","Premnornis_guttuligera",1702,2728
"501","Primolius_couloni",398,960
"502","Psarocolius_angustifrons",381,2083
"503","Psarocolius_atrovirens",983,2995
"504","Psarocolius_bifasciatus",400,1014
"505","Psarocolius_decumanus",400,1236
"506","Pseudocolaptes_boissonneautii",1716,3159
"507","Pseudotriccus_ruficeps",2458,3377
"508","Pseudotriccus_simplex",1362,3049
"509","Psophia_leucoptera",398,520
"510","Pteroglossus_azara",413,956
"511","Pteroglossus_beauharnaesii",385,951
"512","Pteroglossus_castanotis",407,409
"513","Pterophanes_cyanopterus",2964,2964
"514","Pygiptila_stellaris",395,680
"515","Pygochelidon_cyanoleuca",1193,2668
"516","Pyriglena_leuconota",956,2728
"517","Pyrilia_barrabandi",402,969
"518","Pyrocephalus_rubinus",387,387
"519","Pyrrhomyias_cinnamomeus",1006,3101
"520","Querula_purpurata",400,732
"521","Ramphastos_tucanus",385,876
"522","Ramphastos_vitellinus",392,549
"523","Ramphocelus_carbo",309,2891
"524","Ramphotrigon_fuscicauda",344,956
"525","Ramphotrigon_megacephalum",431,951
"526","Ramphotrigon_ruficauda",385,600
"527","Rhegmatorhina_melanosticta",385,960
"528","Rhynchocyclus_fulvipectus",1124,2728
"529","Rhynchocyclus_olivaceus",540,540
"530","Rhytipterna_simplex",398,878
"531","Rupicola_peruvianus",674,2591
"532","Saltator_coerulescens",387,421
"533","Saltator_grossus",381,2463
"534","Saltator_maximus",368,1724
"535","Sayornis_nigricans",848,1640
"536","Schiffornis_turdina",536,1095
"537","Schistes_geoffroyi",797,1954
"538","Schistocichla_brunneiceps",398,1348
"539","Schistocichla_leucostigma",348,1316
"540","Schizoeaca_helleri",2742,3414
"541","Sclateria_naevia",398,941
"542","Sclerurus_albigularis",397,410
"543","Sclerurus_caudacutus",385,600
"544","Sclerurus_mexicanus",394,1428
"545","Scytalopus_atratus",1059,2065
"546","Scytalopus_parvirostris",2033,3414
"547","Scytalopus_schulenbergi",3414,3414
"548","Selenidera_reinwardtii",398,1702
"549","Serpophaga_cinerea",1168,1539
"550","Serpophaga_hypoleuca",1242,1242
"551","Simoxenops_ucayalae",381,1415
"552","Sittasomus_griseicapillus",381,734
"553","Spizaetus_isidori",1230,1230
"554","Sporophila_bouvronides",387,387
"555","Sporophila_caerulescens",381,387
"556","Sporophila_castaneiventris",387,1514
"557","Sporophila_luctuosa",387,1397
"558","Sporophila_nigricollis",1337,1387
"559","Sporophila_schistacea",387,1573
"560","Stelgidopteryx_ruficollis",397,1387
"561","Streptoprocne_rutila",1198,2973
"562","Streptoprocne_zonaris",410,2973
"563","Strix_albitarsis",2908,2908
"564","Sublegatus_modestus",387,387
"565","Synallaxis_albigularis",387,392
"566","Synallaxis_azarae",1193,3049
"567","Synallaxis_cabanisi",381,1573
"568","Synallaxis_gujanensis",381,1262
"569","Syndactyla_rufosuperciliata",1279,2728
"570","Tachornis_squamata",411,431
"571","Tachycineta_albiventer",387,387
"572","Tachyphonus_cristatus",419,419
"573","Tachyphonus_luctuosus",402,468
"574","Tachyphonus_rufiventer",397,1724
"575","Tangara_arthus",969,2154
"576","Tangara_callophrys",409,409
"577","Tangara_chilensis",398,1921
"578","Tangara_chrysotis",1293,1591
"579","Tangara_cyanicollis",969,1724
"580","Tangara_cyanotis",1283,1283
"581","Tangara_gyrola",407,1724
"582","Tangara_mexicana",404,1358
"583","Tangara_nigrocincta",421,421
"584","Tangara_nigroviridis",1336,2364
"585","Tangara_parzudakii",1293,1998
"586","Tangara_punctata",1024,1781
"587","Tangara_ruficervix",1173,1852
"588","Tangara_schrankii",366,1041
"589","Tangara_vassorii",1702,3032
"590","Tangara_velia",409,409
"591","Tangara_xanthocephala",1230,2071
"592","Tangara_xanthogastra",397,1202
"593","Taphrospilus_hypostictus",415,1449
"594","Taraba_major",381,381
"595","Terenotriccus_erythrurus",344,956
"596","Terenura_callinota",648,648
"597","Terenura_sharpei",934,1586
"598","Tersina_viridis",398,1098
"599","Thalurania_furcata",381,1735
"600","Thamnistes_anabatinus",950,950
"601","Thamnomanes_ardesiacus",381,950
"602","Thamnomanes_schistogynus",381,1279
"603","Thamnophilus_aethiops",414,877
"604","Thamnophilus_caerulescens",1362,2728
"605","Thamnophilus_doliatus",387,1306
"606","Thamnophilus_palliatus",530,1655
"607","Thamnophilus_schistaceus",392,1306
"608","Thamnophilus_unicolor",1490,1523
"609","Thlypopsis_ornata",2650,2800
"610","Thlypopsis_ruficeps",1483,3396
"611","Thlypopsis_sordida",387,387
"612","Thraupis_bonariensis",2660,2816
"613","Thraupis_cyanocephala",1335,3032
"614","Thraupis_episcopus",387,1490
"615","Thraupis_palmarum",404,1724
"616","Threnetes_leucurus",375,1202
"617","Thripadectes_holostictus",1307,2349
"618","Thripadectes_melanorhynchus",956,1655
"619","Thripadectes_scrutator",2065,2650
"620","Thripophaga_fusciceps",409,409
"621","Thryothorus_genibarbis",395,1758
"622","Tinamus_guttatus",398,1013
"623","Tinamus_major",398,599
"624","Tinamus_osgoodi",983,1716
"625","Tinamus_tao",414,1075
"626","Tityra_semifasciata",402,1310
"627","Todirostrum_chrysocrotaphum",404,441
"628","Todirostrum_maculatum",387,387
"629","Tolmomyias_assimilis",411,1224
"630","Tolmomyias_flaviventris",381,1324
"631","Tolmomyias_poliocephalus",402,634
"632","Tolmomyias_sulphurescens",1302,1366
"633","Touit_huetii",400,1084
"634","Trichothraupis_melanops",950,1852
"635","Troglodytes_aedon",387,3074
"636","Troglodytes_solstitialis",1884,3235
"637","Trogon_collaris",362,1489
"638","Trogon_curucui",307,1115
"639","Trogon_melanurus",398,878
"640","Trogon_personatus",1298,3049
"641","Trogon_violaceus",395,1090
"642","Trogon_viridis",403,878
"643","Turdus_albicollis",316,600
"644","Turdus_amaurochalinus",381,381
"645","Turdus_chiguanco",1954,3013
"646","Turdus_fuscater",2335,3414
"647","Turdus_hauxwelli",381,1573
"648","Turdus_ignobilis",381,1678
"649","Turdus_lawrencii",397,438
"650","Turdus_leucops",1124,1950
"651","Turdus_nigriceps",837,1884
"652","Turdus_serranus",1362,3342
"653","Tyranneutes_stolzmanni",381,866
"654","Tyrannus_albogularis",387,387
"655","Tyrannus_melancholicus",387,2723
"656","Tyrannus_tyrannus",387,387
"657","Uropsalis_lyra",1351,2059
"658","Uropsalis_segmentata",2542,3080
"659","Veniliornis_affinis",415,415
"660","Veniliornis_nigriceps",2527,2964
"661","Veniliornis_passerinus",381,421
"662","Vireo_flavoviridis",381,397
"663","Vireo_leucophrys",402,2576
"664","Vireo_olivaceus",407,1024
"665","Vireolanius_leucotis",417,1110
"666","Willisornis_poecilinotus",385,837
"667","Xenopipo_holochlora",385,853
"668","Xenopipo_unicolor",1514,1724
"669","Xenops_minutus",385,1320
"670","Xenops_rutilans",404,1302
"671","Xenops_tenuirostris",397,648
"672","Xiphocolaptes_promeropirhynchus",397,3049
"673","Xiphorhynchus_elegans",381,1099
"674","Xiphorhynchus_guttatus",381,1129
"675","Xiphorhynchus_obsoletus",853,853
"676","Xiphorhynchus_ocellatus",381,1780
"677","Xiphorhynchus_triangularis",1050,2728
"678","Zimmerius_bolivianus",1095,2901
"679","Zimmerius_cinereicapilla",1006,1006
"680","Zonotrichia_capensis",2816,3336
"681",NA,403,403
