,sample,Sample_label,Sample_No,Full_Label,species_jetz,species_clean,species_binomial,family,sociality,mass_tidy,elevation_cat,foraging_cat,Powder.lvl,elevation_midpoint,ectoparasites_PA,Lice,Mites,Ticks
35,110380,,P110380,P110380,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,1,0,1,0
36,110387,,P110387,P110387,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,0,0,0,0
37,110390,,P110390,P110390,Microcerculus_marginatus,Microcerculus marginatus,Microcerculus_marginatus,Troglodytidae,0,18.81613333,lowland_manu,ground-understory,low,754,1,0,1,0
38,110391,,P110391,P110391,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,0,0,0,0
39,115901,,P115901,P115901,Sclerurus_caudacutus,Sclerurus caudacutus,Sclerurus_caudacutus,Furnariidae,0,37.54095238,lowland_manu,ground,low,413,1,1,1,0
40,115908,,P115908,P115908,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,1,0,1,0
41,115909,,P115909,P115909,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,med,415,1,0,1,0
42,115953,,P115953,P115953,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,1,0,1,0
43,115954,,P115954,P115954,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,med,415,1,0,1,0
44,115962,,P115962,P115962,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,med,419,1,0,1,0
45,115972,,P115972,P115972,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,0,0,0,0
46,115976,,P115976,P115976,Lanio_versicolor,Lanio versicolor,Lanio_versicolor,Thraupidae,1,19.76205128,lowland_manu,canopy,low,438,1,1,1,0
47,115979,,P115979,P115979,Thamnomanes_schistogynus,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnophilidae,1,17.905,lowland_manu,midhigh,med,430,1,0,1,0
48,116000,,P116000,P116000,Thamnomanes_schistogynus,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnophilidae,1,17.905,lowland_manu,midhigh,low,430,1,0,1,0
49,116031,,P116031,P116031,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,0,0,0,0
50,116087,,P116087,P116087,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,1,0,1,0
51,110167,P11,167,P110167,Monasa_morphoeus,Monasa morphoeus,Monasa_morphoeus,Bucconidae,1,73.41272727,lowland_manu,ground-midhigh,low,417,0,0,0,0
52,116337,P11,6337,P116337,Monasa_morphoeus,Monasa morphoeus,Monasa_morphoeus,Bucconidae,1,73.41272727,lowland_manu,ground-midhigh,med,417,0,0,0,0
53,116338,P11,6338,P116338,Monasa_morphoeus,Monasa morphoeus,Monasa_morphoeus,Bucconidae,1,73.41272727,lowland_manu,ground-midhigh,low,417,0,0,0,0
54,116435,P11,6435,P116435,Lepidothrix_coronata,Lepidothrix coronata,Lepidothrix_coronata,Pipridae,1,9.769768786,lowland_manu,undersory-midhigh,med,417.5,0,0,0,0
55,120740,P12,740,P120740,Malacoptila_semicincta,Malacoptila semicincta,Malacoptila_semicincta,Bucconidae,0,45.21722222,lowland_manu,ground-midhigh,very low,494.5,0,0,0,0
56,120863,P12,863,P120863,Pipra_chloromeros,Ceratopipra chloromeros,Ceratopipra _chloromeros,Pipridae,1,16.72324324,lowland_manu,undersory-midhigh,very low,416,0,0,0,0
57,120872,P12,872,P120872,Monasa_nigrifrons,Monasa nigrifrons,Monasa_nigrifrons,Bucconidae,1,80.46733333,lowland_manu,other,low,409,0,0,0,0
58,121117,P12,1117,P121117,Monasa_nigrifrons,Monasa nigrifrons,Monasa_nigrifrons,Bucconidae,1,80.46733333,lowland_manu,other,low,409,0,0,0,0
59,121372,P12,P121372,P121372,Malacoptila_semicincta,Malacoptila semicincta,Malacoptila_semicincta,Bucconidae,0,45.21722222,lowland_manu,ground-midhigh,low,494.5,1,1,0,0
60,120642,SP12,SP120642,SP120642,Rupicola_peruvianus,Rupicola peruvianus,Rupicola_peruvianus,Cotingidae,0,207.3219231,montane_manu,ground-midhigh,low,1362,1,1,1,0
61,120665,SP12,SP120665,SP120665,Rupicola_peruvianus,Rupicola peruvianus,Rupicola_peruvianus,Cotingidae,0,207.3219231,montane_manu,ground-midhigh,low,1362,1,1,1,0
62,120678,SP12,SP120678,SP120678,Rupicola_peruvianus,Rupicola peruvianus,Rupicola_peruvianus,Cotingidae,0,207.3219231,montane_manu,ground-midhigh,low,1362,1,1,1,0
63,120797,SP12,SP120797,SP120797,Rupicola_peruvianus,Rupicola peruvianus,Rupicola_peruvianus,Cotingidae,0,207.3219231,montane_manu,ground-midhigh,low,1362,1,1,1,0
64,120813,SP12,SP120813,SP120813,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,low,1395,0,0,0,0
65,120819,SP12,SP120819,SP120819,Rupicola_peruvianus,Rupicola peruvianus,Rupicola_peruvianus,Cotingidae,0,207.3219231,montane_manu,ground-midhigh,low,1362,1,1,1,0
66,120821,SP12,SP120821,SP120821,Micromonacha_lanceolata,Micromonacha lanceolata,Micromonacha_lanceolata,Bucconidae,0,23.34,montane_manu,ground-midhigh,low,1113.5,0,0,0,0
67,120878,SP12,SP120878,SP120878,Galbula_cyanescens,Galbula cyanescens,Galbula_cynescens,Galbulidae,1,24.96074074,montane_manu,midhigh,low,486.5,0,0,0,0
68,120917,SP12,SP120917,SP120917,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,low,1395,1,0,1,0
69,121006,P12,P121006,P121006,Rupicola_peruvianus,Rupicola peruvianus,Rupicola_peruvianus,Cotingidae,0,207.3219231,lowland_manu,ground-midhigh,low,1362,1,1,0,0
70,121176,SP12,SP121176,SP121176,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,low,1395,1,0,1,0
71,121189,SP12,SP121189,SP121189,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,low,1395,1,1,1,0
72,121234,SP12,SP121234,SP121234,Rupicola_peruvianus,Rupicola peruvianus,Rupicola_peruvianus,Cotingidae,0,207.3219231,montane_manu,ground-midhigh,med,1362,1,1,0,0
73,121235,SP12,SP121235,SP121235,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,low,1395,0,0,0,0
74,121276,SP12,SP121276,SP121276,Malacoptila_fulvogularis,Malacoptila fulvogularis,Malacoptila_fulvogularis,Bucconidae,1,48.74470588,montane_manu,undersory-midhigh,low,1395,1,0,1,0
75,121319,SP12,SP121319,SP121319,Rupicola_peruvianus,Rupicola peruvianus,Rupicola_peruvianus,Cotingidae,0,207.3219231,montane_manu,ground-midhigh,low,1362,1,1,1,0
76,120250,W12,W120250,W120250,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,med,2648,0,0,0,0
77,120299,W12,W120299,W120299,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,very low,2648,0,0,0,0
78,120481,W12,W120481,W120481,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,med,2648,1,0,1,0
79,120617,W12,W120617,W120617,Pipreola_intermedia,Pipreola intermedia,Pipreola_intermedia,Cotingidae,1,48.25075,high_montane_manu,undersory-midhigh,med,2648,1,1,1,0
