Host.Family,BLFamilyLatin,species_clean,species_jetz,Mite.Genus,Mite.Genus2,sociality,foraging_cat,elevation_cat,TipLabel,Sample.Full..,keycol,valuecol
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V399,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V401,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V663,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P110159,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P110238,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P110290,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P115962,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P116087,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P116119,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P116200,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P116247,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P116278,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P120675,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P120687,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P121505,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P121797,Mite.Group,Feather
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P130400,Mite.Group,Feather
