"","X","elevation_cat","sociality","foraging_cat","species_jetz","sample_size","species_clean","mass_tidy","Family","ectoparasites_presence","elevation_midpoint","proportion_ectoparasites","notes","mean_lice"
"41",41,"lowland_manu",0,"midhigh","Platyrinchus_platyrhynchos",6,"Platyrinchus platyrhynchos",12.27526316,"Tyrannidae
",0,421.5,0,"",0
"42",42,"lowland_manu",0,"understory","Hylophylax_naevius",10,"Hylophylax naevius",13.63936508,"Thamnophilidae",10,850,1,"",1
"43",43,"lowland_manu",1,"understory","Mionectes_olivaceus",23,"Mionectes olivaceus",14.85200461,"Tyrannidae",19,1262,0.826086957,"",4.611111111
"44",44,"lowland_manu",1,"undersory-midhigh","Leptopogon_amaurocephalus",17,"Leptopogon amaurocephalus",11.67782609,"Tyrannidae
",15,417,0.882352941,"",6.25
"45",45,"lowland_manu",1,"undersory-midhigh","Pipra_fasciicauda",25,"Pipra fasciicauda",16.82485876,"Pipridae",23,413,0.92,"",7.473684211
"46",46,"lowland_manu",1,"midhigh","Habia_rubica",12,"Habia rubica",33.58774194,"Cardinalidae
",11,413,0.916666667,"",5.714285714
"47",47,"lowland_manu",0,"ground-midhigh","Momotus_momota",2,"Momotus momota",110.3235714,"Momotidae",2,429,1,"",1
"48",48,"lowland_manu",1,"undersory-midhigh","Myrmotherula_longipennis",4,"Myrmotherula longipennis",9.109375,"Thamnophilidae",2,418.5,0.5,"",0
"49",49,"lowland_manu",1,"midhigh","Mionectes_macconnelli",14,"Mionectes macconnelli",12.63060606,"Tyrannidae",14,414,1,"",11.38461538
"50",50,"lowland_manu",0,"ground","Geotrygon_montana",5,"Geotrygon montana",114.4062791,"Columbidae
",4,426,0.8,"",3.5
"51",51,"lowland_manu",0,"canopy","Psarocolius_angustifrons",1,"Psarocolius angustifrons",168.4071429,"Icteridae",1,537,1,"",2
"52",52,"lowland_manu",1,"ground","Myrmoborus_leucophrys",1,"Myrmoborus leucophrys",19.82189189,"Thamnophilidae",0,889,0,"",0
"53",53,"lowland_manu",1,"midhigh","Terenotriccus_erythrurus",7,"Terenotriccus erythrurus",7.369767442,"Tityridae
",6,413,0.857142857,"",1
"54",54,"lowland_manu",1,"undersory-midhigh","Ramphotrigon_fuscicauda",3,"Ramphotrigon fuscicauda",18.96923077,"Tyrannidae",3,431,1,"",0
"55",55,"lowland_manu",1,"ground-understory","Myrmoborus_myotherinus",5,"Myrmoborus myotherinus",20.73168831,"Thamnophilidae",4,426,0.8,"",1.5
"56",56,"lowland_manu",0,"undersory-midhigh","Laniocera_hypopyrra",3,"Laniocera hypopyrra",48.87571429,"Tityridae
",3,416,1,"",5.5
"57",57,"lowland_manu",1,"understory","Automolus_ochrolaemus",10,"Automolus ochrolaemus",34.96803922,"Furnariidae",8,680,0.8,"",4.75
"58",58,"lowland_manu",1,"canopy","Xenops_tenuirostris",1,"Xenops tenuirostris",9.2,"Furnariidae",0,430,0,"",0
"59",59,"lowland_manu",1,"midhigh","Tangara_schrankii",6,"Tangara schrankii",19.85320755,"Thraupidae",3,421,0.5,"",5
"60",60,"lowland_manu",0,"ground","Turdus_albicollis",3,"Turdus albicollis",50.02123288,"Turdidae",3,411.5,1,"",8
"61",61,"lowland_manu",0,"canopy","Pteroglossus_azara",2,"Pteroglossus azara",136.565,"Ramphastidae",2,714,1,"",0
"62",62,"lowland_manu",0,"understory","Synallaxis_cabanisi",1,"Synallaxis cabanisi",18.982,"Furnariidae",1,1084,1,"",1
"63",63,"lowland_manu",1,"undersory-midhigh","Mionectes_oleagineus",15,"Mionectes oleagineus",11.49915698,"Tyrannidae",14,421,0.933333333,"",6.75
"64",64,"lowland_manu",0,"ground","Gymnopithys_salvini",19,"Oneillornis salvini",25.86508475,"Thamnophilidae",16,415,0.842105263,"",3.888888889
"65",65,"lowland_manu",0,"canopy","Pteroglossus_beauharnaesii",2,"Pteroglossus beauharnaisii",202.1216667,"Ramphastidae",2,426,1,"",0
"66",66,"lowland_manu",0,"understory","Platyrinchus_coronatus",2,"Platyrinchus coronatus",9.838095238,"Tyrannidae",0,413,0,"",0
"67",67,"lowland_manu",1,"midhigh","Euphonia_xanthogaster",1,"Euphonia xanthogaster",13.62148594,"Fringillidae",1,1337,1,"",0
"68",68,"lowland_manu",1,"midhigh-canopy","Philydor_erythropterum",1,"Dendroma erythroptera",30,"Furnariidae",0,430,0,"",0
"69",69,"lowland_manu",1,"undersory-midhigh","Xenops_minutus",5,"Xenops minutus",12.16725806,"Furnariidae",4,414,0.8,"",0
"70",70,"lowland_manu",0,"ground-understory","Catharus_ustulatus",3,"Catharus ustulatus",27.51957672,"Turdidae",3,1307,1,"",0
"71",71,"lowland_manu",1,"midhigh","Thamnophilus_schistaceus",13,"Thamnophilus schistaceus",21.191,"Thamnophilidae",10,439,0.769230769,"",6.666666667
"72",72,"lowland_manu",1,"understory","Epinecrophylla_leucophthalma",2,"Epinecrophylla leucophthalma",10.10645161,"Thamnophilidae",1,415,0.5,"",0
"73",73,"lowland_manu",1,"ground-understory","Arremon_taciturnus",17,"Arremon taciturnus",27.7755,"Passerellidae",14,429,0.823529412,"",3.375
"74",74,"lowland_manu",0,"midhigh","Campylopterus_largipennis",1,"Campylopterus largipennis",8.337727273,"Trochilidae",1,457,1,"",0
"75",75,"lowland_manu",1,"undersory-midhigh","Hyloctistes_subulatus",1,"Automolus subulatus",28.85,"Furnariidae",0,419,0,"",0
"76",76,"lowland_manu",0,"midhigh","Neoctantes_niger",1,"Neoctantes niger",35.6,"Thamnophilidae",0,414,0,"",0
"77",77,"lowland_manu",1,"midhigh","Epinecrophylla_erythrura",1,"Epinecrophylla erythrura",10.562,"Thamnophilidae",1,424,1,"",1
"78",78,"lowland_manu",1,"ground","Cyanocompsa_cyanoides",7,"Cyanoloxia cyanoides",26.23404255,"Cardinalidae",6,423.5,0.857142857,"",1.333333333
