sample,Sample_label,Sample_No,Full_Label,species_jetz,species_clean,species_binomial,family,sociality,mass_tidy,elevation_cat,foraging_cat,Powder.lvl,elevation_midpoint,ectoparasites_PA,Lice,Mites,Ticks,total_lice,Female,Male,Nimph,Eggs,total_mites,total_mesostigmatidae,total_no_feathers_mites,species_binomial.x,X.y,ectoparasite_code,species,species_taxonomy_SACC_2021,jetz_species,elevation_all_years,net_elevation,elevation_extrapolated_date,elevation_midpoint,Species_parameters,Station
110082,,P110082,P110082,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA,489,1_10_2011_pantiacolla_Myrmotherula axillaris,Myrmotherula axillaris,Myrmotherula axillaris,Myrmotherula axillaris,392,NA,392,415,Myrmotherula axillaris,pantiacolla
110085,,P110085,P110085,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,very low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA,4118,3_10_2011_pantiacolla_Myrmotherula hauxwelli,NA,NA,NA,NA,NA,392,415,Myrmotherula hauxwelli,pantiacolla
110086,,P110086,P110086,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,very low,415,1,0,1,0,0,0,0,0,0,1,0,0,Isleria_hauxwelli,4119,3_10_2011_pantiacolla_Myrmotherula hauxwelli,NA,NA,NA,NA,NA,392,415,Myrmotherula hauxwelli,pantiacolla
110125,,P110125,P110125,Hylophilus_ochraceiceps,Tunchiornis ochraceiceps,Hylophilus_ochraceiceps,Vireonidae,1,11.72933333,lowland_manu,understory,very low,892,0,0,0,0,0,0,0,0,0,0,0,0,NA,516,7_10_2011_pantiacolla_Hylophilus ochraceiceps,Hylophilus ochraceiceps,Tunchiornis ochraceiceps,Hylophilus ochraceiceps,397,NA,397,892,Hylophilus ochraceiceps,pantiacolla
110128,,P110128,P110128,Thamnomanes_schistogynus,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnophilidae,1,17.905,lowland_manu,midhigh,low,430,1,0,1,0,0,0,0,0,0,33,0,0,Thamnomanes_schistogynus,518,7_10_2011_pantiacolla_Thamnomanes schistogynus,Thamnomanes schistogynus,Thamnomanes schistogynus,Thamnomanes schistogynus,397,NA,397,430,Thamnomanes schistogynus,pantiacolla
110140,,P110140,P110140,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,low,419,1,0,1,0,0,0,0,0,0,3,3,3,Corythopis_torquatus,526,10_10_2011_pantiacolla_Corythopis torquatus,Corythopis torquatus,Corythopis torquatus,Corythopis torquatus,413,NA,413,419,Corythopis torquatus,pantiacolla
110149,,P110149,P110149,Myrmotherula_axillaris,Myrmotherula axillaris,Myrmotherula_axillaris,Thamnophilidae,1,8.457105263,lowland_manu,midhigh,low,415,1,0,0,1,0,0,0,0,0,0,0,0,NA,523,10_10_2011_pantiacolla_Myrmotherula axillaris,Myrmotherula axillaris,Myrmotherula axillaris,Myrmotherula axillaris,413,NA,413,415,Myrmotherula axillaris,pantiacolla
110154,,P110154,P110154,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,low,419,0,0,0,0,0,0,0,0,0,0,0,0,NA,527,10_10_2011_pantiacolla_Corythopis torquatus,Corythopis torquatus,Corythopis torquatus,Corythopis torquatus,413,NA,413,419,Corythopis torquatus,pantiacolla
110159,,P110159,P110159,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,1,0,1,0,0,0,0,0,0,2,0,0,Willisornis_poecilinotus,533,11_10_2011_pantiacolla_Willisornis poecilinotus,Willisornis poecilinotus,Willisornis poecilinotus,Willisornis poecilinotus,413,NA,413,419,Willisornis poecilinotus,pantiacolla
110171,,P110171,P110171,Sclerurus_caudacutus,Sclerurus caudacutus,Sclerurus_caudacutus,Furnariidae,0,37.54095238,lowland_manu,ground,low,413,1,1,1,0,1,1,0,0,0,3,1,1,Sclerurus_caudacutus,541,13_10_2011_pantiacolla_Sclerurus caudacutus,Sclerurus caudacutus,Sclerurus caudacutus,Sclerurus caudacutus,438,NA,438,413,Sclerurus caudacutus,pantiacolla
