"","species_jetz","species_clean","species_binomial","family","sociality","mass_tidy","elevation_cat","foraging_cat","ectoparasites_presence","sample_size","elevation_midpoint","proportion_ectoparasites"
"40","Glyphorynchus_spirurus","Glyphorynchus spirurus","Glyphorynchus_spirurus","Dendrocolaptidae",1,15.41370221,"lowland_manu","canopy",7,8,421,0.875
"41","Platyrinchus_platyrhynchos","Platyrinchus platyrhynchos","Platyrinchus_platyrhynchos","Tyrannidae",0,12.27526316,"lowland_manu","midhigh",0,6,421.5,0
"42","Hylophylax_naevius","Hylophylax naevius","Hylophylax_naevius","Thamnophilidae",0,13.63936508,"lowland_manu","understory",10,10,850,1
"43","Mionectes_olivaceus","Mionectes olivaceus","Mionectes_olivaceus","Tyrannidae",1,14.85200461,"lowland_manu","understory",19,23,1262,0.826086956521739
"44","Leptopogon_amaurocephalus","Leptopogon amaurocephalus","Leptopogon_amaurocephalus","Tyrannidae",1,11.67782609,"lowland_manu","undersory-midhigh",15,17,417,0.882352941176471
"45","Pipra_fasciicauda","Pipra fasciicauda","Pipra_fasciicauda","Pipridae",1,16.82485876,"lowland_manu","undersory-midhigh",23,25,413,0.92
"46","Habia_rubica","Habia rubica","Habia_rubica","Cardinalidae",1,33.58774194,"lowland_manu","midhigh",11,12,413,0.916666666666667
"47","Momotus_momota","Momotus momota","Momotus_momota","Momotidae",0,110.3235714,"lowland_manu","ground-midhigh",2,2,429,1
"48","Myrmotherula_longipennis","Myrmotherula longipennis","Myrmotherula_longipennis","Thamnophilidae",1,9.109375,"lowland_manu","undersory-midhigh",2,4,418.5,0.5
"49","Mionectes_macconnelli","Mionectes macconnelli","Mionectes_macconnelli","Tyrannidae",1,12.63060606,"lowland_manu","midhigh",14,14,414,1
"50","Geotrygon_montana","Geotrygon montana","Geotrygon_montana","Columbidae",0,114.4062791,"lowland_manu","ground",4,5,426,0.8
"51","Psarocolius_angustifrons","Psarocolius angustifrons","Psarocolius_angustifrons","Icteridae",0,168.4071429,"lowland_manu","canopy",1,1,537,1
"52","Myrmoborus_leucophrys","Myrmoborus leucophrys","Myrmoborus_leucophrys","Thamnophilidae",1,19.82189189,"lowland_manu","ground",0,1,889,0
"53","Terenotriccus_erythrurus","Terenotriccus erythrurus","Terenotriccus_erythrurus","Tyrannidae",1,7.369767442,"lowland_manu","midhigh",6,7,413,0.857142857142857
"54","Ramphotrigon_fuscicauda","Ramphotrigon fuscicauda","Ramphotrigon_fuscicauda","Tyrannidae",1,18.96923077,"lowland_manu","undersory-midhigh",3,3,431,1
"55","Myrmoborus_myotherinus","Myrmoborus myotherinus","Myrmoborus_myotherinus","Thamnophilidae",1,20.73168831,"lowland_manu","ground-understory",4,5,426,0.8
"56","Laniocera_hypopyrra","Laniocera hypopyrra","Laniocera_hypopyrra","Cotingidae",0,48.87571429,"lowland_manu","undersory-midhigh",3,3,416,1
"57","Automolus_ochrolaemus","Automolus ochrolaemus","Automolus_ochrolaemus","Furnariidae",1,34.96803922,"lowland_manu","understory",8,10,680,0.8
"58","Xenops_tenuirostris","Xenops tenuirostris","Xenops_tenuirostris","Furnariidae",1,9.2,"lowland_manu","canopy",0,1,430,0
"59","Tangara_schrankii","Tangara schrankii","Tangara_schrankii","Thraupidae",1,19.85320755,"lowland_manu","midhigh",3,6,421,0.5
"60","Turdus_albicollis","Turdus albicollis","Turdus_albicollis","Turdidae",0,50.02123288,"lowland_manu","ground",3,3,411.5,1
"61","Pteroglossus_azara","Pteroglossus azara","Pteroglossus_azara","Ramphastidae",0,136.565,"lowland_manu","canopy",2,2,714,1
"62","Synallaxis_cabanisi","Synallaxis cabanisi","Synallaxis_cabanisi","Furnariidae",0,18.982,"lowland_manu","understory",1,1,1084,1
"63","Mionectes_oleagineus","Mionectes oleagineus","Mionectes_oleagineus","Tyrannidae",1,11.49915698,"lowland_manu","undersory-midhigh",14,15,421,0.933333333333333
"64","Gymnopithys_salvini","Oneillornis salvini","Oneillornis_salvini","Thamnophilidae",0,25.86508475,"lowland_manu","ground",16,19,415,0.842105263157895
