species_taxonomy_SACC_2021,flocking
Saltator_maximus,yes
Sclerurus_obscurior,yes
Syndactyla_ucayalae,yes
Sittasomus_griseicapillus,yes
Synallaxis_azarae,yes
Loriotus_cristatus,yes
Loriotus_luctuosus,yes
Loriotus_rufiventer,yes
Tangara_arthus,yes
Tangara_callophrys,yes
Tangara_chilensis,yes
Tangara_chrysotis,yes
Stilpnia_cyanicollis,yes
Tangara_cyanotis,yes
Tangara_gyrola,yes
Tangara_mexicana,yes
Tangara_nigroviridis,yes
Tangara_parzudakii,yes
Ixothraupis_punctata,yes
Chalcothraupis_ruficervix,yes
Tangara_schrankii,yes
Tangara_vassorii,yes
Tangara_velia,yes
Tangara_xanthocephala,yes
Ixothraupis_xanthogastra,yes
Terenotriccus_erythrurus,yes
Euchrepornis_callinota,yes
Thamnomanes_ardesiacus,yes
Thamnomanes_schistogynus,yes
Thamnophilus_doliatus,yes
Thamnophilus_aethiops,yes
Thamnophilus_palliatus,yes
Thamnophilus_schistaceus,yes
Thamnophilus_unicolor,yes
Thlypopsis_ornata,yes
Thlypopsis_ruficeps,yes
Rauenia_bonariensis,yes
Sporathraupis_cyanocephala,yes
Thraupis_episcopus,yes
Thraupis_palmarum,yes
Trichothraupis_melanops,yes
Thripadectes_melanorhynchus,yes
Thripophaga_fusciceps,yes
Tityra_semifasciata,yes
Todirostrum_chrysocrotaphum,yes
Tolmomyias_assimilis,yes
Troglodytes_solstitialis,yes
Trogon_personatus,yes
Trogon_collaris,yes
Trogon_curucui,yes
Trogon_melanurus,yes
Trogon_violaceus,yes
Trogon_viridis,yes
Turdus_nigriceps,yes
Dryobates_nigriceps,yes
Vireo_leucophrys,yes
Vireo_olivaceus,yes
Cryptopipo_holochlora,yes
Chloropipo_unicolor,yes
Xenops_minutus,yes
Xenops_rutilans,yes
Xenops_tenuirostris,yes
Xiphocolaptes_promeropirhynchus,yes
Xiphorhynchus_elegans,yes
Xiphorhynchus_guttatus,yes
Xiphorhynchus_ocellatus,yes
Xiphorhynchus_triangularis,yes
Dendroplex_picus,yes
Zimmerius_bolivianus,yes
