X.,Collection,Sample_Group,Sample.No...,Full_Label,species_binomial,Host.Order,Host.Family,Box.Location,Mite.Group,Mite.Genus,Mite.Species,Total,Mite.Group2,Mite.Genus2,Mite.Species2,Total2,Comment,total_mites,total_mesostigmatidae,total_no_feathers_mites,X,X.1,X.2,X.3,species_clean,mass_tidy,bill_tidy,wing_tidy,tail_tidy,wing_index_tidy,tarsus_tidy,sociality,ForStrat_ground,ForStrat_understory,ForStrat_midhigh,ForStrat_canopy,species_jetz,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,foraging_cat,elevation_cat,sample
230,JUM,,1011,1011,Chloroceryle_aenea,Coraciiformes,Alcedinidae,,Feather,,NA,1,,,NA,NA,,1,0,0,NA,NA,NA,NA,Chloroceryle aenea,13.55625,23.5125,55.77777778,34,24.2,7.9,0,0,0,0,0,Chloroceryle aenea,1647,Chloroceryle_aenea,Alcedinidae,"Kingfishers, Motmots, Todies","Bee-eaters, Kingfishers, Motmots, Todies, Rollers, Ground-Rollers",American Pygmy Kingfisher,bow01647,BL3,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,other,other_iquitos,NA
231,JUM,,1014,1014,Myrmoborus_myotherinus,Passeriformes,Thamnophilidae,,Mesostigmatid,,NA,3,,,NA,NA,,3,3,3,NA,NA,NA,NA,Myrmoborus myotherinus,20.73168831,10.19666667,62.45783133,40.1,14.8,25.7,1,50,50,0,0,Myrmoborus myotherinus,6561,Myrmoborus_myotherinus,Thamnophilidae,Antbirds,Antbirds,Black-faced Antbird,bow06561,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,other_iquitos,NA
232,JEJ,,P116125,P116125,Formicarius_analis,Passeriformes,Formicariidae,,Trombiculid,,NA,16,Feather,,NA,2,,18,0,16,NA,NA,NA,NA,Formicarius analis,57.04347826,12.79475,89.42857143,56.8,16.6,32.4,0,100,0,0,0,Formicarius analis,6955,Formicarius_analis,Antthrushes,Antthrushes,"Ovenbirds, Woodcreepers, Antthrushes",Black-faced Antthrush,bow06955,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_manu,116125
233,JEJ,,P120896,P120896,Formicarius_analis,Passeriformes,Formicariidae,,Feather,,NA,3,,,NA,NA,,3,0,0,NA,NA,NA,NA,Formicarius analis,57.04347826,12.79475,89.42857143,56.8,16.6,32.4,0,100,0,0,0,Formicarius analis,6955,Formicarius_analis,Antthrushes,Antthrushes,"Ovenbirds, Woodcreepers, Antthrushes",Black-faced Antthrush,bow06955,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_manu,120896
234,JEJ,,P121420,P121420,Formicarius_analis,Passeriformes,Formicariidae,,Trombiculid,,NA,6,Feather,,NA,1,,7,0,6,NA,NA,NA,NA,Formicarius analis,57.04347826,12.79475,89.42857143,56.8,16.6,32.4,0,100,0,0,0,Formicarius analis,6955,Formicarius_analis,Antthrushes,Antthrushes,"Ovenbirds, Woodcreepers, Antthrushes",Black-faced Antthrush,bow06955,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_manu,121420
235,JEJ,,P121421,P121421,Formicarius_analis,Passeriformes,Formicariidae,,Trombiculid,,NA,1,Feather,,NA,1,,2,0,1,NA,NA,NA,NA,Formicarius analis,57.04347826,12.79475,89.42857143,56.8,16.6,32.4,0,100,0,0,0,Formicarius analis,6955,Formicarius_analis,Antthrushes,Antthrushes,"Ovenbirds, Woodcreepers, Antthrushes",Black-faced Antthrush,bow06955,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_manu,121421
236,JEJ,,W120733,W120733,Chamaeza_mollissima,Passeriformes,Formicariidae,,Feather,,NA,3,,,NA,NA,,3,0,0,NA,NA,NA,NA,Chamaeza mollissima,72.6175,10.75,88.75,66.2,12.9,37.1,0,100,0,0,0,Chamaeza mollissima,6965,Chamaeza_mollissima,Antthrushes,Antthrushes,"Ovenbirds, Woodcreepers, Antthrushes",Barred Antthrush,bow06965,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,high_montane_manu,120733
237,JUM,,1015,1015,Chloroceryle_aenea,Coraciiformes,Alcedinidae,,Mesostigmatid,,NA,2,,,NA,NA,,2,2,2,NA,NA,NA,NA,Chloroceryle aenea,13.55625,23.5125,55.77777778,34,24.2,7.9,0,0,0,0,0,Chloroceryle aenea,1647,Chloroceryle_aenea,Alcedinidae,"Kingfishers, Motmots, Todies","Bee-eaters, Kingfishers, Motmots, Todies, Rollers, Ground-Rollers",American Pygmy Kingfisher,bow01647,BL3,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,other,other_iquitos,NA
238,JEJ,,P110073,P110073,Thamnomanes_ardesiacus,Passeriformes,Thamnophilidae,,Feather,,NA,4,,,NA,NA,,4,0,0,NA,NA,NA,NA,Thamnomanes ardesiacus,18.58714286,10.9738,71.27906977,50.2,17,18.7,1,0,30,70,0,Thamnomanes ardesiacus,6460,Thamnomanes_ardesiacus,Thamnophilidae,Antbirds,Antbirds,Dusky-throated Antshrike,bow06460,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_manu,110073
239,JEJ,,P110086,P110086,Isleria_hauxwelli,Passeriformes,Thamnophilidae,,Feather,,NA,1,,,NA,NA,,1,0,0,NA,NA,NA,NA,Isleria hauxwelli,11.27941606,8.391276596,50.70714286,24.8,15.6,18.9,1,40,40,20,0,Myrmotherula hauxwelli,6475,Myrmotherula_hauxwelli,Thamnophilidae,Antbirds,Antbirds,Plain-throated Antwren,bow06475,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,other,lowland_manu,110086
