"","X.No","Collection.x","Sample_group","Sample.No...","Full_Label","comment","species_binomial","Host.Order","Host.Family","New.Association","Lice.Genus","Lice.Species","Female","Male","Nimph","Eggs","Total","BoxLocation1","Lice.Genus2","Lice.Species2","Female2","Male2","Nimph2","Eggs2","Total2","BoxLocation2","Lice.Genus3","Lice.Species3","Female3","Male3","Nimph3","Eggs3","Total.1","BoxLocation3","total_lice","species_clean","mass_tidy","bill_tidy","wing_tidy","tail_tidy","wing_index_tidy","tarsus_tidy","sociality","ForStrat_ground","ForStrat_understory","ForStrat_midhigh","ForStrat_canopy","species_jetz","WJSpecID","TipLabel","PatchClade","Hackett_FineClades","Hackett_CoarseClades","English","FileName","Taxo","BLFamilyLatin","BLFamilyEnglish","FamSequID","IOCOrder","PassNonPass","OscSubOsc","foraging_cat","elevation_cat","sample","infestation_lice","Collection.y","powder_level","Host.genus","Host.species"
"26",154,"JEJ","P11","6078","P116078","","Myrmotherula_axillaris","Passeriformes","Thamnophilidae","Yes","Ricinus","new sp?","3","2","3","",8,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,8,"Myrmotherula axillaris",8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,"1",0,20,80,0,"Myrmotherula_axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu",116078,0,"JEJ","med","Myrmotherula","axillaris"
"27",155,"JEJ","P11","6166","P116166","","Schiffornis_turdina","Passeriformes","Tityridae","No","Myrsidea","blattae?","1","0","0","",1,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Schiffornis turdina",30.18625,9.520909091,86.09090909,67.7,15.9,22.1,"0",0,100,0,0,"Schiffornis_turdina",6225,"Schiffornis_turdina","TitTyranRest","Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies","Thrush-like Schiffornis","bow06225","BL3","Cotingidae","Cotingas",104,"PASSERIFORMES","PASSERIFORMES","Tyranni","understory","lowland_manu",116166,0,"JEJ","low","Schiffornis","turdina"
"28",156,"JEJ","P11","6172","P116172","","Lanio_versicolor","Passeriformes","Thraupidae","Yes","Myrsidea","new sp?","1","0","0","",5,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,5,"Lanio versicolor",19.76205128,10.39833333,79.825,67.6,20.3,15.3,"1",0,0,20,60,"Lanio_versicolor",12886,"Lanio_versicolor","P13P14P16","Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","White-winged Shrike-tanager","bow12886","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","canopy","lowland_manu",116172,0,"JEJ","low","Lanio","versicolor"
"29",157,"JEJ","P11","6185","P116185","","Schiffornis_turdina","Passeriformes","Tityridae","No","Myrsidea","blattae?","3","1","1","",5,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,5,"Schiffornis turdina",30.18625,9.520909091,86.09090909,67.7,15.9,22.1,"0",0,100,0,0,"Schiffornis_turdina",6225,"Schiffornis_turdina","TitTyranRest","Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies","Thrush-like Schiffornis","bow06225","BL3","Cotingidae","Cotingas",104,"PASSERIFORMES","PASSERIFORMES","Tyranni","understory","lowland_manu",116185,0,"JEJ","low","Schiffornis","turdina"
"30",158,"JEJ","P11","6202","P116202","","Schiffornis_turdina","Passeriformes","Tityridae","No","Myrsidea","blattae?","0","3","3","",6,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,6,"Schiffornis turdina",30.18625,9.520909091,86.09090909,67.7,15.9,22.1,"0",0,100,0,0,"Schiffornis_turdina",6225,"Schiffornis_turdina","TitTyranRest","Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies","Thrush-like Schiffornis","bow06225","BL3","Cotingidae","Cotingas",104,"PASSERIFORMES","PASSERIFORMES","Tyranni","understory","lowland_manu",116202,0,"JEJ","low","Chlorothraupis","turdina"
"31",159,"JEJ","P11","6204","P116204","","Chlorothraupis_carmioli","Passeriformes","Cardinalidae","No","Myrsidea","cruickshanki?","0","1","0","",1,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Chlorothraupis carmioli",37.5053125,13.50083333,84.52941176,65.1,17.5,22.6,"1",0,40,30,30,"Chlorothraupis_carmioli",12879,"Chlorothraupis_carmioli","P12","Cardinals, Allies","Cardinals, Allies","Olive Tanager","bow12879","BL3","Cardinalidae","Grosbeaks, saltators and allies",194,"PASSERIFORMES","PASSERIFORMES","Passeri","other","lowland_manu",116204,0,"JEJ","low","Chlorothraupis","carmioli"
"32",160,"JEJ","P11","6210","P116210","","Chlorothraupis_carmioli","Passeriformes","Cardinalidae","No","Myrsidea","cruickshanki?","2","3","3","",8,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,8,"Chlorothraupis carmioli",37.5053125,13.50083333,84.52941176,65.1,17.5,22.6,"1",0,40,30,30,"Chlorothraupis_carmioli",12879,"Chlorothraupis_carmioli","P12","Cardinals, Allies","Cardinals, Allies","Olive Tanager","bow12879","BL3","Cardinalidae","Grosbeaks, saltators and allies",194,"PASSERIFORMES","PASSERIFORMES","Passeri","other","lowland_manu",116210,0,"JEJ","low","Chlorothraupis","carmioli"
"33",161,"JEJ","P11","6211","P116211","","Chlorothraupis_carmioli","Passeriformes","Cardinalidae","No","Myrsidea","cruickshanki?","1","0","0","",1,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Chlorothraupis carmioli",37.5053125,13.50083333,84.52941176,65.1,17.5,22.6,"1",0,40,30,30,"Chlorothraupis_carmioli",12879,"Chlorothraupis_carmioli","P12","Cardinals, Allies","Cardinals, Allies","Olive Tanager","bow12879","BL3","Cardinalidae","Grosbeaks, saltators and allies",194,"PASSERIFORMES","PASSERIFORMES","Passeri","other","lowland_manu",116211,0,"JEJ","high","Chlorothraupis","carmioli"
"34",162,"JEJ","P11","6213","P116213","","Chlorothraupis_carmioli","Passeriformes","Cardinalidae","No","Myrsidea","cruickshanki?","1","5","7","",13,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,13,"Chlorothraupis carmioli",37.5053125,13.50083333,84.52941176,65.1,17.5,22.6,"1",0,40,30,30,"Chlorothraupis_carmioli",12879,"Chlorothraupis_carmioli","P12","Cardinals, Allies","Cardinals, Allies","Olive Tanager","bow12879","BL3","Cardinalidae","Grosbeaks, saltators and allies",194,"PASSERIFORMES","PASSERIFORMES","Passeri","other","lowland_manu",116213,0,"JEJ","med","Chlorothraupis","carmioli"
"35",163,"JEJ","P11","6231","P116231","","Glyphorynchus_spirurus","Passeriformes","Furnariidae","No","Myrsidea","dalgleishi?","3","1","3","",7,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,7,"Glyphorynchus spirurus",15.41370221,9.742558685,68.29475983,66,23.9,16.5,"1",0,0,40,60,"Glyphorynchus_spirurus",6901,"Glyphorynchus_spirurus","Furnaridae","Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes","Wedge-billed Woodcreeper","bow06901","BL3","Dendrocolaptidae","Woodcreepers",111,"PASSERIFORMES","PASSERIFORMES","Tyranni","canopy","lowland_manu",116231,0,"JEJ","low","Glyphorynchus","spirurus"
"36",164,"JEJ","P11","6232","P116232","","Lanio_versicolor","Passeriformes","Thraupidae","Yes","Myrsidea","new sp?","1","0","0","",1,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,1,"Lanio versicolor",19.76205128,10.39833333,79.825,67.6,20.3,15.3,"1",0,0,20,60,"Lanio_versicolor",12886,"Lanio_versicolor","P13P14P16","Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies","White-winged Shrike-tanager","bow12886","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","canopy","lowland_manu",116232,0,"JEJ","low","Lanio","versicolor"
"37",165,"JEJ","P11","6259","P116259","","Myrmotherula_axillaris","Passeriformes","Thamnophilidae","Yes","Ricinus","new sp?","2","3","4","",9,"L-04","","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,9,"Myrmotherula axillaris",8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,"1",0,20,80,0,"Myrmotherula_axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu",116259,0,"JEJ","low","Myrmotherula","axillaris"
