"","sample","Sample_label","Sample_No","Full_Label","species_jetz","species_clean","species_binomial","family","sociality","mass_tidy","elevation_cat","foraging_cat","Powder.lvl","elevation_midpoint","ectoparasites_PA","Lice","Mites","Ticks","total_lice","Female","Male","Nimph","Eggs","total_mites","total_mesostigmatidae","total_no_feathers_mites","species_binomial.x","x","ectoparasite_code","species","species_taxonomy_SACC_2021","elevation_all_years","net_elevation","elevation","elevation_midpoint.1","Species_parameters","Station","X","day","month","year","full_date","date_status","date","year_seasonality"
"14","110073",NA,"P110073","P110073","Thamnomanes_ardesiacus","Thamnomanes ardesiacus","Thamnomanes_ardesiacus","Thamnophilidae",1,18.58714286,"lowland_manu","midhigh","med",421,1,0,1,0,0,"0","0","0","0",4,0,0,"Thamnomanes_ardesiacus",484,"1_10_2011_pantiacolla_Thamnomanes ardesiacus","Thamnomanes ardesiacus","Thamnomanes_ardesiacus",392,NA,392,421,"Thamnomanes ardesiacus","pantiacolla",NA,1,10,2011,"2011-10-1",NA,2011-10-01,"274"
"15","110076",NA,"P110076","P110076","Thamnomanes_ardesiacus","Thamnomanes ardesiacus","Thamnomanes_ardesiacus","Thamnophilidae",1,18.58714286,"lowland_manu","midhigh","low",421,0,0,0,0,0,"0","0","0","0",0,0,0,NA,485,"1_10_2011_pantiacolla_Thamnomanes ardesiacus","Thamnomanes ardesiacus","Thamnomanes_ardesiacus",392,NA,392,421,"Thamnomanes ardesiacus","pantiacolla",NA,1,10,2011,"2011-10-1",NA,2011-10-01,"274"
"16","110082",NA,"P110082","P110082","Myrmotherula_axillaris","Myrmotherula axillaris","Myrmotherula_axillaris","Thamnophilidae",1,8.457105263,"lowland_manu","midhigh","low",415,0,0,0,0,0,"0","0","0","0",0,0,0,NA,489,"1_10_2011_pantiacolla_Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula_axillaris",392,NA,392,415,"Myrmotherula axillaris","pantiacolla",NA,1,10,2011,"2011-10-1",NA,2011-10-01,"274"
"17","120318","W12","318","W120318","Anisognathus_igniventris","Anisognathus igniventris","Anisognathus_igniventris","Thraupidae",1,34.8345,"high_montane_manu","midhigh","low",2932,1,0,1,0,0,"0","0","0","0",9,0,0,"Anisognathus_igniventris",4864,"NA_8_2012_wayqecha_Anisognathus igniventris",NA,"Anisognathus_igniventris",NA,NA,NA,2932,"Anisognathus igniventris","wayqecha",NA,27,8,2012,"2012-8-27","check date",2012-08-27,"240"
"18","120319","W12","319","W120319","Anisognathus_igniventris","Anisognathus igniventris","Anisognathus_igniventris","Thraupidae",1,34.8345,"high_montane_manu","midhigh","low",2932,1,0,1,0,0,"0","0","0","0",1,0,0,"Anisognathus_igniventris",4865,"NA_8_2012_wayqecha_Anisognathus igniventris",NA,"Anisognathus_igniventris",NA,NA,NA,2932,"Anisognathus igniventris","wayqecha",NA,27,8,2012,"2012-8-27","check date",2012-08-27,"240"
"19","110125",NA,"P110125","P110125","Hylophilus_ochraceiceps","Tunchiornis ochraceiceps","Hylophilus_ochraceiceps","Vireonidae",1,11.72933333,"lowland_manu","understory","very low",892,0,0,0,0,0,"0","0","0","0",0,0,0,NA,516,"7_10_2011_pantiacolla_Hylophilus ochraceiceps","Hylophilus ochraceiceps","Tunchiornis_ochraceiceps",397,NA,397,892,"Hylophilus ochraceiceps","pantiacolla",NA,7,10,2011,"2011-10-7",NA,2011-10-07,"280"
"20","110128",NA,"P110128","P110128","Thamnomanes_schistogynus","Thamnomanes schistogynus","Thamnomanes_schistogynus","Thamnophilidae",1,17.905,"lowland_manu","midhigh","low",430,1,0,1,0,0,"0","0","0","0",33,0,0,"Thamnomanes_schistogynus",518,"7_10_2011_pantiacolla_Thamnomanes schistogynus","Thamnomanes schistogynus","Thamnomanes_schistogynus",397,NA,397,430,"Thamnomanes schistogynus","pantiacolla",NA,7,10,2011,"2011-10-7",NA,2011-10-07,"280"
"21","110140",NA,"P110140","P110140","Corythopis_torquatus","Corythopis torquatus","Corythopis_torquatus","Tyrannidae",0,17.01754717,"lowland_manu","ground","low",419,1,0,1,0,0,"0","0","0","0",3,3,3,"Corythopis_torquatus",526,"10_10_2011_pantiacolla_Corythopis torquatus","Corythopis torquatus","Corythopis_torquatus",413,NA,413,419,"Corythopis torquatus","pantiacolla",NA,10,10,2011,"2011-10-10",NA,2011-10-10,"283"
"22","110149",NA,"P110149","P110149","Myrmotherula_axillaris","Myrmotherula axillaris","Myrmotherula_axillaris","Thamnophilidae",1,8.457105263,"lowland_manu","midhigh","low",415,1,0,0,1,0,"0","0","0","0",0,0,0,NA,523,"10_10_2011_pantiacolla_Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula_axillaris",413,NA,413,415,"Myrmotherula axillaris","pantiacolla",NA,10,10,2011,"2011-10-10",NA,2011-10-10,"283"
"23","110154",NA,"P110154","P110154","Corythopis_torquatus","Corythopis torquatus","Corythopis_torquatus","Tyrannidae",0,17.01754717,"lowland_manu","ground","low",419,0,0,0,0,0,"0","0","0","0",0,0,0,NA,527,"10_10_2011_pantiacolla_Corythopis torquatus","Corythopis torquatus","Corythopis_torquatus",413,NA,413,419,"Corythopis torquatus","pantiacolla",NA,10,10,2011,"2011-10-10",NA,2011-10-10,"283"
