"","sample","Sample_label","Sample_No","Full_Label","species_jetz","species_clean","species_binomial","family","sociality","mass_tidy","elevation_cat","foraging_cat","Powder.lvl","elevation_midpoint","ectoparasites_PA","Lice","Mites","Ticks","total_lice","Female","Male","Nimph","Eggs","total_mites","total_mesostigmatidae","total_no_feathers_mites","species_binomial.x","x","ectoparasite_code","species","species_taxonomy_SACC_2021","elevation_all_years","net_elevation","elevation","elevation_midpoint.1","Species_parameters","Station","X","day","month","year","full_date","date_status","date","year_seasonality"
"113","116154","P11","6154","P116154","Thamnomanes_ardesiacus","Thamnomanes ardesiacus","Thamnomanes_ardesiacus","Thamnophilidae",1,18.58714286,"lowland_manu","midhigh","med",421,1,0,1,0,0,"0","0","0","0",4,0,0,"Thamnomanes_ardesiacus",150,"18_8_2011_pantiacolla_Thamnomanes ardesiacus","Thamnomanes ardesiacus","Thamnomanes_ardesiacus",600,NA,600,421,"Thamnomanes ardesiacus","pantiacolla",NA,18,8,2011,"2011-8-18",NA,2011-08-18,"230"
"114","120809","SP12","809","SP120809","Basileuterus_bivittatus","Myiothlypis bivittata","Myiothlypis_bivittata","Parulidae",1,15.17214286,"montane_manu","midhigh","low",1217,1,0,1,0,0,"0","0","0","0",4,0,0,"Myiothlypis_bivittata",4609,"16_8_2012_san_pedro_Basileuterus bivittatus",NA,"Myiothlypis_bivittata",NA,NA,1362,1217,"Basileuterus bivittatus","san_pedro",NA,16,8,2012,"2012-8-16",NA,2012-08-16,"229"
"115","116166","P11","6166","P116166","Schiffornis_turdina","Schiffornis turdina","Schiffornis_turdina","Cotingidae",0,30.18625,"lowland_manu","understory","low",876,1,1,0,0,1,"1","0","0","0",0,0,0,NA,161,"18_8_2011_pantiacolla_Schiffornis turdina","Schiffornis turdina","Schiffornis_turdina",600,NA,600,876,"Schiffornis turdina","pantiacolla",NA,18,8,2011,"2011-8-18",NA,2011-08-18,"230"
"116","116172","P11","6172","P116172","Lanio_versicolor","Lanio versicolor","Lanio_versicolor","Thraupidae",1,19.76205128,"lowland_manu","canopy","low",438,1,1,1,0,5,"1","0","0","0",4,0,0,"Lanio_versicolor",151,"18_8_2011_pantiacolla_Lanio versicolor","Lanio versicolor","Lanio_versicolor",600,NA,600,438,"Lanio versicolor","pantiacolla",NA,18,8,2011,"2011-8-18",NA,2011-08-18,"230"
"117","116185","P11","6185","P116185","Schiffornis_turdina","Schiffornis turdina","Schiffornis_turdina","Cotingidae",0,30.18625,"lowland_manu","understory","low",876,1,1,0,0,5,"3","1","1","0",0,0,0,NA,162,"18_8_2011_pantiacolla_Schiffornis turdina","Schiffornis turdina","Schiffornis_turdina",600,NA,600,876,"Schiffornis turdina","pantiacolla",NA,18,8,2011,"2011-8-18",NA,2011-08-18,"230"
"118","116187","P11","6187","P116187","Schiffornis_turdina","Schiffornis turdina","Schiffornis_turdina","Cotingidae",0,30.18625,"lowland_manu","understory","low",876,1,0,1,0,0,"0","0","0","0",2,0,0,"Schiffornis_turdina",163,"18_8_2011_pantiacolla_Schiffornis turdina","Schiffornis turdina","Schiffornis_turdina",600,NA,600,876,"Schiffornis turdina","pantiacolla",NA,18,8,2011,"2011-8-18",NA,2011-08-18,"230"
"119","120859","SP12","859","SP120859","Basileuterus_bivittatus","Myiothlypis bivittata","Myiothlypis_bivittata","Parulidae",1,15.17214286,"montane_manu","midhigh","low",1217,1,1,1,0,7,"1","0","2","0",5,0,0,"Myiothlypis_bivittata",4612,"29_9_2012_san_pedro_Basileuterus bivittatus",NA,"Myiothlypis_bivittata",NA,NA,1337,1217,"Basileuterus bivittatus","san_pedro",NA,29,9,2012,"2012-9-29",NA,2012-09-29,"273"
"120","116202","P11","6202","P116202","Schiffornis_turdina","Schiffornis turdina","Chlorothraupis_turdina","Cotingidae",0,30.18625,"lowland_manu","understory","low",876,1,1,0,0,6,"0","3","3","0",0,0,0,NA,195,"19_8_2011_pantiacolla_Schiffornis turdina","Schiffornis turdina","Schiffornis_turdina",600,NA,600,876,"Schiffornis turdina","pantiacolla",NA,19,8,2011,"2011-8-19",NA,2011-08-19,"231"
"121","116204","P11","6204","P116204","Chlorothraupis_carmioli","Chlorothraupis carmioli","Chlorothraupis_carmioli","Cardinalidae",1,37.5053125,"lowland_manu","other","low",600,1,1,1,0,1,"0","1","0","0",21,0,0,"Chlorothraupis_carmioli",196,"19_8_2011_pantiacolla_Chlorothraupis carmioli","Chlorothraupis carmioli","Chlorothraupis_carmioli",600,NA,600,600,"Chlorothraupis carmioli","pantiacolla",NA,19,8,2011,"2011-8-19",NA,2011-08-19,"231"
"122","116210","P11","6210","P116210","Chlorothraupis_carmioli","Chlorothraupis carmioli","Chlorothraupis_carmioli","Cardinalidae",1,37.5053125,"lowland_manu","other","low",600,1,1,1,0,8,"2","3","3","0",11,0,0,"Chlorothraupis_carmioli",197,"19_8_2011_pantiacolla_Chlorothraupis carmioli","Chlorothraupis carmioli","Chlorothraupis_carmioli",600,NA,600,600,"Chlorothraupis carmioli","pantiacolla",NA,19,8,2011,"2011-8-19",NA,2011-08-19,"231"
"123","121077","SP12","1077","SP121077","Basileuterus_bivittatus","Myiothlypis bivittata","Myiothlypis_bivittata","Parulidae",1,15.17214286,"montane_manu","midhigh","low",1217,1,0,1,0,0,"0","0","0","0",2,0,0,"Myiothlypis_bivittata",4632,"1_10_2012_san_pedro_Basileuterus bivittatus",NA,"Myiothlypis_bivittata",NA,NA,1362,1217,"Basileuterus bivittatus","san_pedro",NA,1,10,2012,"2012-10-1",NA,2012-10-01,"275"
"124","116213","P11","6213","P116213","Chlorothraupis_carmioli","Chlorothraupis carmioli","Chlorothraupis_carmioli","Cardinalidae",1,37.5053125,"lowland_manu","other","med",600,1,1,1,0,13,"1","5","7","0",75,0,0,"Chlorothraupis_carmioli",198,"19_8_2011_pantiacolla_Chlorothraupis carmioli","Chlorothraupis carmioli","Chlorothraupis_carmioli",600,NA,600,600,"Chlorothraupis carmioli","pantiacolla",NA,19,8,2011,"2011-8-19",NA,2011-08-19,"231"
"125","116228","P11","6228","P116228","Myiobius_barbatus","Myiobius barbatus","Myiobius_barbatus","Tyrannidae",1,12.84714286,"lowland_manu","midhigh","low",424,1,0,1,0,0,"0","0","0","0",4,0,0,"Myiobius_barbatus",218,"19_8_2011_pantiacolla_Myiobius barbatus","Myiobius barbatus","Myiobius_barbatus",600,NA,600,424,"Myiobius barbatus","pantiacolla",NA,19,8,2011,"2011-8-19",NA,2011-08-19,"231"
"126","116231","P11","6231","P116231","Glyphorynchus_spirurus","Glyphorynchus spirurus","Glyphorynchus_spirurus","Dendrocolaptidae",1,15.41370221,"lowland_manu","canopy","low",421,1,1,1,0,7,"3","1","3","0",10,0,0,"Glyphorynchus_spirurus",217,"19_8_2011_pantiacolla_Glyphorynchus spirurus","Glyphorynchus spirurus","Glyphorynchus_spirurus",600,NA,600,421,"Glyphorynchus spirurus","pantiacolla",NA,19,8,2011,"2011-8-19",NA,2011-08-19,"231"
"127","116232","P11","6232","P116232","Lanio_versicolor","Lanio versicolor","Lanio_versicolor","Thraupidae",1,19.76205128,"lowland_manu","canopy","low",438,1,1,1,0,1,"1","0","0","0",30,0,0,"Lanio_versicolor",193,"19_8_2011_pantiacolla_Lanio versicolor","Lanio versicolor","Lanio_versicolor",600,NA,600,438,"Lanio versicolor","pantiacolla",NA,19,8,2011,"2011-8-19",NA,2011-08-19,"231"
"128","116246","P11","6246","P116246","Thamnomanes_ardesiacus","Thamnomanes ardesiacus","Thamnomanes_ardesiacus","Thamnophilidae",1,18.58714286,"lowland_manu","midhigh","low",421,1,0,1,0,0,"0","0","0","0",12,0,0,"Thamnomanes_ardesiacus",227,"20_8_2011_pantiacolla_Thamnomanes ardesiacus","Thamnomanes ardesiacus","Thamnomanes_ardesiacus",600,NA,600,421,"Thamnomanes ardesiacus","pantiacolla",NA,20,8,2011,"2011-8-20",NA,2011-08-20,"232"
"129","116247","P11","6247","P116247","Willisornis_poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus","Thamnophilidae",0,18.39630137,"lowland_manu","ground","low",419,1,0,1,0,0,"0","0","0","0",16,0,0,"Willisornis_poecilinotus",228,"20_8_2011_pantiacolla_Willisornis poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus",600,NA,600,419,"Willisornis poecilinotus","pantiacolla",NA,20,8,2011,"2011-8-20",NA,2011-08-20,"232"
"130","116259","P11","6259","P116259","Myrmotherula_axillaris","Myrmotherula axillaris","Myrmotherula_axillaris","Thamnophilidae",1,8.457105263,"lowland_manu","midhigh","low",415,1,1,1,0,9,"2","3","4","0",72,0,0,"Myrmotherula_axillaris",236,"20_8_2011_pantiacolla_Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula_axillaris",600,NA,600,415,"Myrmotherula axillaris","pantiacolla",NA,20,8,2011,"2011-8-20",NA,2011-08-20,"232"
"131","116260","P11","6260","P116260","Corythopis_torquatus","Corythopis torquatus","Corythopis_torquatus","Tyrannidae",0,17.01754717,"lowland_manu","ground","low",419,1,0,1,0,0,"0","0","0","0",148,0,0,"Corythopis_torquatus",237,"20_8_2011_pantiacolla_Corythopis torquatus","Corythopis torquatus","Corythopis_torquatus",600,NA,600,419,"Corythopis torquatus","pantiacolla",NA,20,8,2011,"2011-8-20",NA,2011-08-20,"232"
"132","116262","P11","6262","P116262","Schiffornis_turdina","Schiffornis turdina","Schiffornis_turdina","Cotingidae",0,30.18625,"lowland_manu","understory","low",876,1,1,1,0,9,"2","3","4","0",10,0,7,"Schiffornis_turdina",230,"20_8_2011_pantiacolla_Schiffornis turdina","Schiffornis turdina","Schiffornis_turdina",600,NA,600,876,"Schiffornis turdina","pantiacolla",NA,20,8,2011,"2011-8-20",NA,2011-08-20,"232"
"133","116271","P11","6271","P116271","Willisornis_poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus","Thamnophilidae",0,18.39630137,"lowland_manu","ground","low",419,0,0,0,0,0,"0","0","0","0",0,0,0,NA,251,"24_8_2011_pantiacolla_Willisornis poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus",837,NA,837,419,"Willisornis poecilinotus","pantiacolla",NA,24,8,2011,"2011-8-24",NA,2011-08-24,"236"
"134","116278","P11","6278","P116278","Willisornis_poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus","Thamnophilidae",0,18.39630137,"lowland_manu","ground","low",419,1,0,1,0,0,"0","0","0","0",8,0,0,"Willisornis_poecilinotus",252,"24_8_2011_pantiacolla_Willisornis poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus",837,NA,837,419,"Willisornis poecilinotus","pantiacolla",NA,24,8,2011,"2011-8-24",NA,2011-08-24,"236"
"135","116291","P11","6291","P116291","Willisornis_poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus","Thamnophilidae",0,18.39630137,"lowland_manu","ground","med",419,0,0,0,0,0,"0","0","0","0",0,0,0,NA,267,"25_8_2011_pantiacolla_Willisornis poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus",837,NA,837,419,"Willisornis poecilinotus","pantiacolla",NA,25,8,2011,"2011-8-25",NA,2011-08-25,"237"
"136","116292","P11","6292","P116292","Schiffornis_turdina","Schiffornis turdina","Schiffornis_turdina","Cotingidae",0,30.18625,"lowland_manu","understory","med",876,0,0,0,0,0,"0","0","0","0",0,0,0,NA,268,"25_8_2011_pantiacolla_Schiffornis turdina","Schiffornis turdina","Schiffornis_turdina",837,NA,837,876,"Schiffornis turdina","pantiacolla",NA,25,8,2011,"2011-8-25",NA,2011-08-25,"237"
"137","116295","P11","6295","P116295","Schiffornis_turdina","Schiffornis turdina","Schiffornis_turdina","Cotingidae",0,30.18625,"lowland_manu","understory","low",876,0,0,0,0,0,"0","0","0","0",0,0,0,NA,269,"25_8_2011_pantiacolla_Schiffornis turdina","Schiffornis turdina","Schiffornis_turdina",837,NA,837,876,"Schiffornis turdina","pantiacolla",NA,25,8,2011,"2011-8-25",NA,2011-08-25,"237"
"138","116299","P11","6299","P116299","Schiffornis_turdina","Schiffornis turdina","Schiffornis_turdina","Cotingidae",0,30.18625,"lowland_manu","understory","low",876,0,0,0,0,0,"0","0","0","0",0,0,0,NA,270,"25_8_2011_pantiacolla_Schiffornis turdina","Schiffornis turdina","Schiffornis_turdina",837,NA,837,876,"Schiffornis turdina","pantiacolla",NA,25,8,2011,"2011-8-25",NA,2011-08-25,"237"
"139","116302","P11","6302","P116302","Schiffornis_turdina","Schiffornis turdina","Schiffornis_turdina","Cotingidae",0,30.18625,"lowland_manu","understory","low",876,0,0,0,0,0,"0","0","0","0",0,0,0,NA,280,"26_8_2011_pantiacolla_Schiffornis turdina","Schiffornis turdina","Schiffornis_turdina",837,NA,837,876,"Schiffornis turdina","pantiacolla",NA,26,8,2011,"2011-8-26",NA,2011-08-26,"238"
"140","116324","P11","6324","P116324","Platyrinchus_platyrhynchos","Platyrinchus platyrhynchos","Platyrinchus_platyrhynchos","Tyrannidae",0,12.27526316,"lowland_manu","midhigh","low",421.5,0,0,0,0,0,"0","0","0","0",0,0,0,NA,316,"29_8_2011_pantiacolla_Platyrinchus platyrhynchos","Platyrinchus platyrhynchos","Platyrinchus_platyrhynchos",385,NA,385,421.5,"Platyrinchus platyrhynchos","pantiacolla",NA,29,8,2011,"2011-8-29",NA,2011-08-29,"241"
"141","121079","SP12","1079","SP121079","Basileuterus_bivittatus","Myiothlypis bivittata","Myiothlypis_bivittata","Parulidae",1,15.17214286,"montane_manu","midhigh","low",1217,1,1,1,0,5,"1","3","1","0",21,0,0,"Myiothlypis_bivittata",4633,"1_10_2012_san_pedro_Basileuterus bivittatus",NA,"Myiothlypis_bivittata",NA,NA,1362,1217,"Basileuterus bivittatus","san_pedro",NA,1,10,2012,"2012-10-1",NA,2012-10-01,"275"
"142","116369","P11","6369","P116369","Hylophilus_ochraceiceps","Tunchiornis ochraceiceps","Hylophilus_ochraceiceps","Vireonidae",1,11.72933333,"lowland_manu","understory","low",892,0,0,0,0,0,"0","0","0","0",0,0,0,NA,340,"30_8_2011_pantiacolla_Hylophilus ochraceiceps","Hylophilus ochraceiceps","Tunchiornis_ochraceiceps",385,NA,385,892,"Hylophilus ochraceiceps","pantiacolla",NA,30,8,2011,"2011-8-30",NA,2011-08-30,"242"
"143","121117","SP12","1117","SP121117","Basileuterus_bivittatus","Myiothlypis bivittata","Myiothlypis_bivittata","Parulidae",1,15.17214286,"montane_manu","midhigh","low",1217,1,0,1,0,0,"0","0","0","0",20,1,1,"Myiothlypis_bivittata",4634,"4_10_2012_san_pedro_Basileuterus bivittatus",NA,"Myiothlypis_bivittata",NA,NA,1387,1217,"Basileuterus bivittatus","san_pedro",NA,4,10,2012,"2012-10-4",NA,2012-10-04,"278"
"144","116380","P11","6380","P116380","Hylophilus_ochraceiceps","Tunchiornis ochraceiceps","Hylophilus_ochraceiceps","Vireonidae",1,11.72933333,"lowland_manu","understory","low",892,0,0,0,0,0,"0","0","0","0",0,0,0,NA,341,"30_8_2011_pantiacolla_Hylophilus ochraceiceps","Hylophilus ochraceiceps","Tunchiornis_ochraceiceps",385,NA,385,892,"Hylophilus ochraceiceps","pantiacolla",NA,30,8,2011,"2011-8-30",NA,2011-08-30,"242"
"145","116411","P11","6411","P116411","Corythopis_torquatus","Corythopis torquatus","Corythopis_torquatus","Tyrannidae",0,17.01754717,"lowland_manu","ground","med",419,0,0,0,0,0,"0","0","0","0",0,0,0,NA,356,"2_9_2011_pantiacolla_Corythopis torquatus","Corythopis torquatus","Corythopis_torquatus",385,NA,385,419,"Corythopis torquatus","pantiacolla",NA,2,9,2011,"2011-9-2",NA,2011-09-02,"245"
"146","116420","P11","6420","P116420","Glyphorynchus_spirurus","Glyphorynchus spirurus","Glyphorynchus_spirurus","Dendrocolaptidae",1,15.41370221,"lowland_manu","canopy","low",421,0,0,0,0,0,"0","0","0","0",0,0,0,NA,366,"2_9_2011_pantiacolla_Glyphorynchus spirurus","Glyphorynchus spirurus","Glyphorynchus_spirurus",385,NA,385,421,"Glyphorynchus spirurus","pantiacolla",NA,2,9,2011,"2011-9-2",NA,2011-09-02,"245"
"147","116425","P11","6425","P116425","Hylophylax_naevius","Hylophylax naevius","Hylophylax_naevius","Thamnophilidae",0,13.63936508,"lowland_manu","understory","low",850,1,0,1,0,0,"0","0","0","0",2,0,0,"Hylophylax_naevius",357,"2_9_2011_pantiacolla_Hylophylax naevius","Hylophylax naevius","Hylophylax_naevius",385,NA,385,850,"Hylophylax naevius","pantiacolla",NA,2,9,2011,"2011-9-2",NA,2011-09-02,"245"
"148","116453","P11","6453","P116453","Microcerculus_marginatus","Microcerculus marginatus","Microcerculus_marginatus","Troglodytidae",0,18.81613333,"lowland_manu","ground-understory","low",754,1,0,1,0,0,"0","0","0","0",1,0,0,"Microcerculus_marginatus",380,"4_9_2011_pantiacolla_Microcerculus marginatus","Microcerculus marginatus","Microcerculus_marginatus",397,NA,397,754,"Microcerculus marginatus","pantiacolla",NA,4,9,2011,"2011-9-4",NA,2011-09-04,"247"
"149","116467","P11","6467","P116467","Thamnomanes_schistogynus","Thamnomanes schistogynus","Thamnomanes_schistogynus","Thamnophilidae",1,17.905,"lowland_manu","midhigh","low",430,1,0,1,0,0,"0","0","0","0",2,0,0,"Thamnomanes_schistogynus",408,"5_9_2011_pantiacolla_Thamnomanes schistogynus","Thamnomanes schistogynus","Thamnomanes_schistogynus",397,NA,397,430,"Thamnomanes schistogynus","pantiacolla",NA,5,9,2011,"2011-9-5",NA,2011-09-05,"248"
"150","121210","SP12","1210","SP121210","Basileuterus_bivittatus","Myiothlypis bivittata","Myiothlypis_bivittata","Parulidae",1,15.17214286,"montane_manu","midhigh","med",1217,1,0,1,0,0,"0","0","0","0",43,1,1,"Myiothlypis_bivittata",4644,"23_10_2012_san_pedro_Basileuterus bivittatus",NA,"Myiothlypis_bivittata",NA,NA,1418,1217,"Basileuterus bivittatus","san_pedro",NA,23,10,2012,"2012-10-23",NA,2012-10-23,"297"
"151","110013","SP11","13","SP110013","Chlorospingus_flavigularis","Chlorospingus flavigularis","Chlorospingus_flavigularis","Thraupidae",1,25.95577586,"montane_manu","understory","low",1362,1,1,0,0,13,"0","7","3","0",0,0,0,NA,1008,"6_9_2011_san_pedro_Chlorospingus flavigularis","Chlorospingus flavigularis","Chlorospingus_flavigularis",1383,NA,1383,1362,"Chlorospingus flavigularis","san_pedro",NA,6,9,2011,"2011-9-6",NA,2011-09-06,"249"
"152","110022","SP11","22","SP110022","Tangara_arthus","Tangara arthus","Tangara_arthus","Thraupidae",1,21.19101695,"montane_manu","midhigh","med",1308.5,1,1,0,0,4,"1","1","2","0",0,0,0,NA,1015,"12_9_2011_san_pedro_Anabacerthia striaticollis","Anabacerthia striaticollis","Anabacerthia_striaticollis",1383,NA,1383,1308.5,"Anabacerthia striaticollis","san_pedro",NA,12,9,2011,"2011-9-12",NA,2011-09-12,"255"
"153","110023","SP11","23","SP110023","Tangara_arthus","Tangara arthus","Tangara_arthus","Thraupidae",1,21.19101695,"montane_manu","midhigh","med",1308.5,1,0,1,0,0,"0","0","0","0",7,0,0,"Tangara_arthus",1016,"12_9_2011_san_pedro_Tangara arthus","Tangara arthus","Tangara_arthus",1383,NA,1383,1308.5,"Tangara arthus","san_pedro",NA,12,9,2011,"2011-9-12",NA,2011-09-12,"255"
"154","110040","SP11","40","SP110040","Chlorospingus_flavigularis","Chlorospingus flavigularis","Chlorospingus_flavigularis","Thraupidae",1,25.95577586,"montane_manu","understory","low",1362,1,1,1,0,1,"0","0","1","0",1,0,0,"Chlorospingus_flavigularis",932,"16_9_2011_san_pedro_Chlorospingus flavigularis","Chlorospingus flavigularis","Chlorospingus_flavigularis",1387,NA,1387,1362,"Chlorospingus flavigularis","san_pedro",NA,16,9,2011,"2011-9-16",NA,2011-09-16,"259"
"155","110044","SP11","44","SP110044","Leptopogon_superciliaris","Leptopogon superciliaris","Leptopogon_superciliaris","Tyrannidae",1,13.20830645,"montane_manu","midhigh","low",1387,1,1,0,0,5,"3","1","1","0",0,0,0,NA,938,"19_9_2011_san_pedro_Leptopogon superciliaris","Leptopogon superciliaris","Leptopogon_superciliaris",1387,NA,1387,1387,"Leptopogon superciliaris","san_pedro",NA,19,9,2011,"2011-9-19",NA,2011-09-19,"262"
"156","110059","SP11","59","SP110059","Premnoplex_brunnescens","Premnoplex brunnescens","Premnoplex_brunnescens","Furnariidae",1,15.77809045,"montane_manu","understory","low",1366,0,0,0,0,0,"0","0","0","0",0,0,0,NA,731,"20_9_2011_san_pedro_Premnoplex brunnescens","Premnoplex brunnescens","Premnoplex_brunnescens",1376,NA,1376,1366,"Premnoplex brunnescens","san_pedro",NA,20,9,2011,"2011-9-20",NA,2011-09-20,"263"
"157","110066","SP11","66","SP110066","Chlorospingus_flavigularis","Chlorospingus flavigularis","Chlorospingus_flavigularis","Thraupidae",1,25.95577586,"montane_manu","understory","low",1362,1,1,1,0,2,"0","0","2","0",1,0,0,"Chlorospingus_flavigularis",739,"21_9_2011_san_pedro_Chlorospingus flavigularis","Chlorospingus flavigularis","Chlorospingus_flavigularis",1376,NA,1376,1362,"Chlorospingus flavigularis","san_pedro",NA,21,9,2011,"2011-9-21",NA,2011-09-21,"264"
"158","110070","SP11","70","SP110070","Chlorospingus_flavigularis","Chlorospingus flavigularis","Chlorospingus_flavigularis","Thraupidae",1,25.95577586,"montane_manu","understory","low",1362,1,1,1,0,6,"1","2","3","0",5,0,0,"Chlorospingus_flavigularis",740,"21_9_2011_san_pedro_Chlorospingus flavigularis","Chlorospingus flavigularis","Chlorospingus_flavigularis",1376,NA,1376,1362,"Chlorospingus flavigularis","san_pedro",NA,21,9,2011,"2011-9-21",NA,2011-09-21,"264"
"159","110073","SP11","73","SP110073","Premnoplex_brunnescens","Premnoplex brunnescens","Premnoplex_brunnescens","Furnariidae",1,15.77809045,"montane_manu","understory","low",1366,1,0,1,0,0,"0","0","0","0",22,22,22,"Premnoplex_brunnescens",747,"22_9_2011_san_pedro_Premnoplex brunnescens","Premnoplex brunnescens","Premnoplex_brunnescens",1376,NA,1376,1366,"Premnoplex brunnescens","san_pedro",NA,22,9,2011,"2011-9-22",NA,2011-09-22,"265"
"160","110074","SP11","74","SP110074","Premnoplex_brunnescens","Premnoplex brunnescens","Premnoplex_brunnescens","Furnariidae",1,15.77809045,"montane_manu","understory","low",1366,1,0,1,0,0,"0","0","0","0",55,18,18,"Premnoplex_brunnescens",748,"22_9_2011_san_pedro_Premnoplex brunnescens","Premnoplex brunnescens","Premnoplex_brunnescens",1376,NA,1376,1366,"Premnoplex brunnescens","san_pedro",NA,22,9,2011,"2011-9-22",NA,2011-09-22,"265"
"161","110080","SP11","80","SP110080","Rhynchocyclus_fulvipectus","Rhynchocyclus fulvipectus","Rhynchocyclus_fulvipectus","Tyrannidae",1,24.23724138,"montane_manu","understory","low",1365,1,0,1,0,0,"0","0","0","0",2,0,0,"Rhynchocyclus_fulvipectus",759,"24_9_2011_san_pedro_Rhynchocyclus fulvipectus","Rhynchocyclus fulvipectus","Rhynchocyclus_fulvipectus",1395,NA,1395,1365,"Rhynchocyclus fulvipectus","san_pedro",NA,24,9,2011,"2011-9-24",NA,2011-09-24,"267"
"162","110084","SP11","84","SP110084","Myioborus_miniatus","Myioborus miniatus","Myioborus_miniatus","Parulidae",1,9.782295082,"montane_manu","midhigh","low",1404,1,0,1,0,0,"0","0","0","0",12,0,0,"Myioborus_miniatus",754,"24_9_2011_san_pedro_Myioborus miniatus","Myioborus miniatus","Myioborus_miniatus",1395,NA,1395,1404,"Myioborus miniatus","san_pedro",NA,24,9,2011,"2011-9-24",NA,2011-09-24,"267"
"163","110086","SP11","86","SP110086","Myioborus_miniatus","Myioborus miniatus","Myioborus_miniatus","Parulidae",1,9.782295082,"montane_manu","midhigh","med",1404,1,0,1,0,0,"0","0","0","0",10,0,0,"Myioborus_miniatus",755,"24_9_2011_san_pedro_Myioborus miniatus","Myioborus miniatus","Myioborus_miniatus",1395,NA,1395,1404,"Myioborus miniatus","san_pedro",NA,24,9,2011,"2011-9-24",NA,2011-09-24,"267"
"164","110087","SP11","87","SP110087","Myioborus_miniatus","Myioborus miniatus","Myioborus_miniatus","Parulidae",1,9.782295082,"montane_manu","midhigh","low",1404,1,0,1,0,0,"0","0","0","0",4,0,0,"Myioborus_miniatus",765,"25_9_2011_san_pedro_Myioborus miniatus","Myioborus miniatus","Myioborus_miniatus",1395,NA,1395,1404,"Myioborus miniatus","san_pedro",NA,25,9,2011,"2011-9-25",NA,2011-09-25,"268"
"165","110095","SP11","95","SP110095","Rhynchocyclus_fulvipectus","Rhynchocyclus fulvipectus","Rhynchocyclus_fulvipectus","Tyrannidae",1,24.23724138,"montane_manu","understory","low",1365,1,0,1,0,0,"0","0","0","0",8,0,0,"Rhynchocyclus_fulvipectus",768,"25_9_2011_san_pedro_Rhynchocyclus fulvipectus","Rhynchocyclus fulvipectus","Rhynchocyclus_fulvipectus",1395,NA,1395,1365,"Rhynchocyclus fulvipectus","san_pedro",NA,25,9,2011,"2011-9-25",NA,2011-09-25,"268"
"166","110113","SP11","113","SP110113","Basileuterus_tristriatus","Basileuterus tristriatus","Basileuterus_tristriatus","Parulidae",1,12.9,"montane_manu","understory","med",1459,1,1,1,0,1,"1","0","0","0",1,0,0,"Basileuterus_tristriatus",777,"27_9_2011_san_pedro_Basileuterus tristriatus","Basileuterus tristriatus","Basileuterus_tristriatus",1395,NA,1395,1459,"Basileuterus tristriatus","san_pedro",NA,27,9,2011,"2011-9-27",NA,2011-09-27,"270"
"167","110108","SP11","108","SP110108","Chlorospingus_ophthalmicus","Chlorospingus flavopectus","Chlorospingus_opthalmicus","Thraupidae",1,21.97914286,"montane_manu","other","low",1821,1,1,1,0,2,"0","1","0","0",69,0,0,"Chlorospingus_opthalmicus",775,"27_9_2011_san_pedro_Chlorospingus ophthalmicus","Chlorospingus ophthalmicus","Chlorospingus_flavopectus",1395,NA,1395,1821,"Chlorospingus ophthalmicus","san_pedro",NA,27,9,2011,"2011-9-27",NA,2011-09-27,"270"
"168","110154","SP11","154","SP110154","Rhynchocyclus_fulvipectus","Rhynchocyclus fulvipectus","Rhynchocyclus_fulvipectus","Tyrannidae",1,24.23724138,"montane_manu","understory","low",1365,0,0,0,0,0,"0","0","0","0",0,0,0,NA,947,"4_10_2011_san_pedro_Rhynchocyclus fulvipectus","Rhynchocyclus fulvipectus","Rhynchocyclus_fulvipectus",1387,NA,1387,1365,"Rhynchocyclus fulvipectus","san_pedro",NA,4,10,2011,"2011-10-4",NA,2011-10-04,"277"
"169","110186","SP11","186","SP110186","Basileuterus_tristriatus","Basileuterus tristriatus","Basileuterus_tristriatus","Parulidae",1,12.9,"montane_manu","understory","low",1459,1,1,1,0,4,"0","0","4","0",3,0,0,"Basileuterus_tristriatus",844,"6_10_2011_san_pedro_Basileuterus tristriatus","Basileuterus tristriatus","Basileuterus_tristriatus",1337,NA,1337,1459,"Basileuterus tristriatus","san_pedro",NA,6,10,2011,"2011-10-6",NA,2011-10-06,"279"
"170","110098","SP11","98","SP110098","Eutoxeres_condamini","Eutoxeres condamini","Eutoxeres_condamini","Trochilidae",0,9.882727273,"montane_manu","understory","low",1309,1,0,1,0,0,"0","0","0","0",6,0,0,"Eutoxeres_condamini",763,"25_9_2011_san_pedro_Basileuterus tristriatus","Basileuterus tristriatus","Basileuterus_tristriatus",1395,NA,1395,1309,"Basileuterus tristriatus","san_pedro",NA,25,9,2011,"2011-9-25",NA,2011-09-25,"268"
