"","X.1","sample","Sample_label","Sample_No","Full_Label","species_jetz","species_clean","species_binomial","family","sociality","mass_tidy","elevation_cat","foraging_cat","Powder.lvl","elevation_midpoint","ectoparasites_PA","general_diversity","Lice","Mites","Ticks","total_lice","Female","Male","Nimph","Eggs","total_mites","total_mesostigmatidae","total_no_feathers_mites","species_binomial.x","x","ectoparasite_code","species","species_taxonomy_SACC_2021","elevation_all_years","net_elevation","elevation","elevation_midpoint.1","Species_parameters","Station","X","day","month","year","full_date","date_status","date","year_seasonality","mass_species_day","count"
"11",11,"110033",NA,"P110033","P110033","Thamnomanes_ardesiacus","Thamnomanes ardesiacus","Thamnomanes_ardesiacus","Thamnophilidae",1,18.58714286,"lowland_manu","midhigh","low",421,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,453,"28_9_2011_pantiacolla_Thamnomanes ardesiacus","Thamnomanes ardesiacus","Thamnomanes_ardesiacus",381,NA,381,421,"Thamnomanes ardesiacus","pantiacolla",NA,28,9,2011,"2011-09-28",NA,"2011-09-28",271,17.93,2
"12",12,"110039",NA,"P110039","P110039","Thamnomanes_ardesiacus","Thamnomanes ardesiacus","Thamnomanes_ardesiacus","Thamnophilidae",1,18.58714286,"lowland_manu","midhigh","low",421,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,454,"28_9_2011_pantiacolla_Thamnomanes ardesiacus","Thamnomanes ardesiacus","Thamnomanes_ardesiacus",381,NA,381,421,"Thamnomanes ardesiacus","pantiacolla",NA,28,9,2011,"2011-09-28",NA,"2011-09-28",271,17.93,2
"13",13,"110040",NA,"P110040","P110040","Myrmotherula_axillaris","Myrmotherula axillaris","Myrmotherula_axillaris","Thamnophilidae",1,8.457105263,"lowland_manu","midhigh","low",415,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,462,"28_9_2011_pantiacolla_Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula_axillaris",381,NA,381,415,"Myrmotherula axillaris","pantiacolla",NA,28,9,2011,"2011-09-28",NA,"2011-09-28",271,8.67,1
"14",14,"110073",NA,"P110073","P110073","Thamnomanes_ardesiacus","Thamnomanes ardesiacus","Thamnomanes_ardesiacus","Thamnophilidae",1,18.58714286,"lowland_manu","midhigh","med",421,1,1,0,1,0,0,"0","0","0","0",4,0,0,"Thamnomanes_ardesiacus",484,"1_10_2011_pantiacolla_Thamnomanes ardesiacus","Thamnomanes ardesiacus","Thamnomanes_ardesiacus",392,NA,392,421,"Thamnomanes ardesiacus","pantiacolla",NA,1,10,2011,"2011-10-01",NA,"2011-10-01",274,18.24,2
"15",15,"110076",NA,"P110076","P110076","Thamnomanes_ardesiacus","Thamnomanes ardesiacus","Thamnomanes_ardesiacus","Thamnophilidae",1,18.58714286,"lowland_manu","midhigh","low",421,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,485,"1_10_2011_pantiacolla_Thamnomanes ardesiacus","Thamnomanes ardesiacus","Thamnomanes_ardesiacus",392,NA,392,421,"Thamnomanes ardesiacus","pantiacolla",NA,1,10,2011,"2011-10-01",NA,"2011-10-01",274,18.24,2
"16",16,"110082",NA,"P110082","P110082","Myrmotherula_axillaris","Myrmotherula axillaris","Myrmotherula_axillaris","Thamnophilidae",1,8.457105263,"lowland_manu","midhigh","low",415,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,489,"1_10_2011_pantiacolla_Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula_axillaris",392,NA,392,415,"Myrmotherula axillaris","pantiacolla",NA,1,10,2011,"2011-10-01",NA,"2011-10-01",274,NA,NA
"17",17,"120318","W12","318","W120318","Anisognathus_igniventris","Anisognathus igniventris","Anisognathus_igniventris","Thraupidae",1,34.8345,"high_montane_manu","midhigh","low",2932,1,1,0,1,0,0,"0","0","0","0",9,0,0,"Anisognathus_igniventris",4864,"NA_8_2012_wayqecha_Anisognathus igniventris",NA,"Anisognathus_igniventris",NA,NA,NA,2932,"Anisognathus igniventris","wayqecha",NA,27,8,2012,"2012-08-27","check date","2012-08-27",240,NA,NA
"18",18,"120319","W12","319","W120319","Anisognathus_igniventris","Anisognathus igniventris","Anisognathus_igniventris","Thraupidae",1,34.8345,"high_montane_manu","midhigh","low",2932,1,1,0,1,0,0,"0","0","0","0",1,0,0,"Anisognathus_igniventris",4865,"NA_8_2012_wayqecha_Anisognathus igniventris",NA,"Anisognathus_igniventris",NA,NA,NA,2932,"Anisognathus igniventris","wayqecha",NA,27,8,2012,"2012-08-27","check date","2012-08-27",240,NA,NA
"19",19,"110125",NA,"P110125","P110125","Hylophilus_ochraceiceps","Tunchiornis ochraceiceps","Hylophilus_ochraceiceps","Vireonidae",1,11.72933333,"lowland_manu","understory","very low",892,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,516,"7_10_2011_pantiacolla_Hylophilus ochraceiceps","Hylophilus ochraceiceps","Tunchiornis_ochraceiceps",397,NA,397,892,"Hylophilus ochraceiceps","pantiacolla",NA,7,10,2011,"2011-10-07",NA,"2011-10-07",280,11.15,1
"20",20,"110128",NA,"P110128","P110128","Thamnomanes_schistogynus","Thamnomanes schistogynus","Thamnomanes_schistogynus","Thamnophilidae",1,17.905,"lowland_manu","midhigh","low",430,1,1,0,1,0,0,"0","0","0","0",33,0,0,"Thamnomanes_schistogynus",518,"7_10_2011_pantiacolla_Thamnomanes schistogynus","Thamnomanes schistogynus","Thamnomanes_schistogynus",397,NA,397,430,"Thamnomanes schistogynus","pantiacolla",NA,7,10,2011,"2011-10-07",NA,"2011-10-07",280,16.78,1
"21",21,"110140",NA,"P110140","P110140","Corythopis_torquatus","Corythopis torquatus","Corythopis_torquatus","Tyrannidae",0,17.01754717,"lowland_manu","ground","low",419,1,1,0,1,0,0,"0","0","0","0",3,3,3,"Corythopis_torquatus",526,"10_10_2011_pantiacolla_Corythopis torquatus","Corythopis torquatus","Corythopis_torquatus",413,NA,413,419,"Corythopis torquatus","pantiacolla",NA,10,10,2011,"2011-10-10",NA,"2011-10-10",283,17.025,2
"22",22,"110149",NA,"P110149","P110149","Myrmotherula_axillaris","Myrmotherula axillaris","Myrmotherula_axillaris","Thamnophilidae",1,8.457105263,"lowland_manu","midhigh","low",415,1,1,0,0,1,0,"0","0","0","0",0,0,0,NA,523,"10_10_2011_pantiacolla_Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula_axillaris",413,NA,413,415,"Myrmotherula axillaris","pantiacolla",NA,10,10,2011,"2011-10-10",NA,"2011-10-10",283,8.35,1
"23",23,"110154",NA,"P110154","P110154","Corythopis_torquatus","Corythopis torquatus","Corythopis_torquatus","Tyrannidae",0,17.01754717,"lowland_manu","ground","low",419,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,527,"10_10_2011_pantiacolla_Corythopis torquatus","Corythopis torquatus","Corythopis_torquatus",413,NA,413,419,"Corythopis torquatus","pantiacolla",NA,10,10,2011,"2011-10-10",NA,"2011-10-10",283,17.025,2
"24",24,"110159",NA,"P110159","P110159","Willisornis_poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus","Thamnophilidae",0,18.39630137,"lowland_manu","ground","low",419,1,1,0,1,0,0,"0","0","0","0",2,0,0,"Willisornis_poecilinotus",533,"11_10_2011_pantiacolla_Willisornis poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus",413,NA,413,419,"Willisornis poecilinotus","pantiacolla",NA,11,10,2011,"2011-10-11",NA,"2011-10-11",284,17.03,1
"25",25,"110171",NA,"P110171","P110171","Sclerurus_caudacutus","Sclerurus caudacutus","Sclerurus_caudacutus","Furnariidae",0,37.54095238,"lowland_manu","ground","low",413,1,2,1,1,0,1,"1","0","0","0",3,1,1,"Sclerurus_caudacutus",541,"13_10_2011_pantiacolla_Sclerurus caudacutus","Sclerurus caudacutus","Sclerurus_caudacutus",438,NA,438,413,"Sclerurus caudacutus","pantiacolla",NA,13,10,2011,"2011-10-13",NA,"2011-10-13",286,36.57,1
"26",26,"120330","W12","330","W120330","Anisognathus_igniventris","Anisognathus igniventris","Anisognathus_igniventris","Thraupidae",1,34.8345,"high_montane_manu","midhigh","med",2932,1,1,1,0,0,2,"0","0","2","0",0,0,0,NA,4872,"NA_8_2012_wayqecha_Anisognathus igniventris",NA,"Anisognathus_igniventris",NA,NA,NA,2932,"Anisognathus igniventris","wayqecha",NA,27,8,2012,"2012-08-27","check date","2012-08-27",240,NA,NA
"27",27,"116041","P11","6041","P116041","Arremon_taciturnus","Arremon taciturnus","Arremon_taciturnus","Emberizidae",1,27.7755,"lowland_manu","ground-understory","low",429,1,2,1,1,0,2,"1","1","0","0",7,0,0,"Arremon_taciturnus",4200,"14_8_2011_pantiacolla_Arremon taciturnus",NA,"Arremon_taciturnus",NA,NA,NA,429,"Arremon taciturnus","pantiacolla",NA,14,8,2011,"2011-08-14","check date","2011-08-14",226,26.735,2
"28",28,"120779","P12","779","P120779","Arremon_taciturnus","Arremon taciturnus","Arremon_taciturnus","Emberizidae",1,27.7755,"lowland_manu","ground-understory","low",429,1,1,0,1,0,0,"0","0","0","0",3,0,0,"Arremon_taciturnus",4404,"13_7_2012_pantiacolla_Arremon taciturnus",NA,"Arremon_taciturnus",NA,NA,NA,429,"Arremon taciturnus","pantiacolla",NA,13,7,2012,"2012-07-13",NA,"2012-07-13",195,NA,NA
"29",29,"110216",NA,"P110216","P110216","Corythopis_torquatus","Corythopis torquatus","Corythopis_torquatus","Tyrannidae",0,17.01754717,"lowland_manu","ground","med",419,1,1,0,1,0,0,"0","0","0","0",2,0,0,"Corythopis_torquatus",571,"15_10_2011_pantiacolla_Corythopis torquatus","Corythopis torquatus","Corythopis_torquatus",438,NA,438,419,"Corythopis torquatus","pantiacolla",NA,15,10,2011,"2011-10-15",NA,"2011-10-15",288,16.73,1
"30",30,"110238",NA,"P110238","P110238","Willisornis_poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus","Thamnophilidae",0,18.39630137,"lowland_manu","ground","low",419,1,1,0,1,0,0,"0","0","0","0",1,0,0,"Willisornis_poecilinotus",577,"18_10_2011_pantiacolla_Willisornis poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus",422,NA,422,419,"Willisornis poecilinotus","pantiacolla",NA,18,10,2011,"2011-10-18",NA,"2011-10-18",291,16.96,1
"31",31,"110290",NA,"P110290","P110290","Willisornis_poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus","Thamnophilidae",0,18.39630137,"lowland_manu","ground","low",419,1,1,0,1,0,0,"0","0","0","0",1,0,0,"Willisornis_poecilinotus",592,"21_10_2011_pantiacolla_Willisornis poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus",398,NA,398,419,"Willisornis poecilinotus","pantiacolla",NA,21,10,2011,"2011-10-21",NA,"2011-10-21",294,17.29,2
"32",32,"110297",NA,"P110297","P110297","Thamnomanes_ardesiacus","Thamnomanes ardesiacus","Thamnomanes_ardesiacus","Thamnophilidae",1,18.58714286,"lowland_manu","midhigh","low",421,1,1,0,1,0,0,"0","0","0","0",13,0,0,"Thamnomanes_ardesiacus",598,"22_10_2011_pantiacolla_Thamnomanes ardesiacus","Thamnomanes ardesiacus","Thamnomanes_ardesiacus",398,NA,398,421,"Thamnomanes ardesiacus","pantiacolla",NA,22,10,2011,"2011-10-22",NA,"2011-10-22",295,20.5,1
"33",33,"110337",NA,"P110337","P110337","Myrmotherula_axillaris","Myrmotherula axillaris","Myrmotherula_axillaris","Thamnophilidae",1,8.457105263,"lowland_manu","midhigh","low",415,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,626,"28_10_2011_pantiacolla_Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula_axillaris",432,NA,432,415,"Myrmotherula axillaris","pantiacolla",NA,28,10,2011,"2011-10-28",NA,"2011-10-28",301,8.77,1
"34",34,"110342",NA,"P110342","P110342","Sclerurus_caudacutus","Sclerurus caudacutus","Sclerurus_caudacutus","Furnariidae",0,37.54095238,"lowland_manu","ground","low",413,1,1,0,1,0,0,"0","0","0","0",6,0,0,"Sclerurus_caudacutus",619,"28_10_2011_pantiacolla_Sclerurus caudacutus","Sclerurus caudacutus","Sclerurus_caudacutus",432,NA,432,413,"Sclerurus caudacutus","pantiacolla",NA,28,10,2011,"2011-10-28",NA,"2011-10-28",301,40.92,1
"35",35,"120305","W12","305","W120305","Arremon_torquatus","Arremon torquatus","Arremon_torquatus","Emberizidae",1,42.28636364,"high_montane_manu","undersory-midhigh","high",2742,1,2,1,1,0,4,"1","1","2","0",5,0,0,"Arremon_torquatus",4854,"NA_8_2012_wayqecha_Arremon torquatus",NA,"Arremon_torquatus",NA,NA,NA,2742,"Arremon torquatus","wayqecha",NA,16,8,2012,"2012-08-16","check date","2012-08-16",229,NA,NA
"36",36,"110387",NA,"P110387","P110387","Myrmotherula_axillaris","Myrmotherula axillaris","Myrmotherula_axillaris","Thamnophilidae",1,8.457105263,"lowland_manu","midhigh","low",415,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,654,"2_11_2011_pantiacolla_Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula_axillaris",414,NA,414,415,"Myrmotherula axillaris","pantiacolla",NA,2,11,2011,"2011-11-02",NA,"2011-11-02",306,8.435,2
"37",37,"110390",NA,"P110390","P110390","Microcerculus_marginatus","Microcerculus marginatus","Microcerculus_marginatus","Troglodytidae",0,18.81613333,"lowland_manu","ground-understory","low",754,1,1,0,1,0,0,"0","0","0","0",12,0,0,"Microcerculus_marginatus",656,"2_11_2011_pantiacolla_Microcerculus marginatus","Microcerculus marginatus","Microcerculus_marginatus",414,NA,414,754,"Microcerculus marginatus","pantiacolla",NA,2,11,2011,"2011-11-02",NA,"2011-11-02",306,19.62,1
"38",38,"110391",NA,"P110391","P110391","Myrmotherula_axillaris","Myrmotherula axillaris","Myrmotherula_axillaris","Thamnophilidae",1,8.457105263,"lowland_manu","midhigh","low",415,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,655,"2_11_2011_pantiacolla_Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula_axillaris",414,NA,414,415,"Myrmotherula axillaris","pantiacolla",NA,2,11,2011,"2011-11-02",NA,"2011-11-02",306,8.435,2
"39",39,"115901",NA,"P115901","P115901","Sclerurus_caudacutus","Sclerurus caudacutus","Sclerurus_caudacutus","Furnariidae",0,37.54095238,"lowland_manu","ground","low",413,1,2,1,1,0,7,"5","2","0","0",548,0,0,"Sclerurus_caudacutus",15,"9_8_2011_pantiacolla_Sclerurus caudacutus","Sclerurus caudacutus","Sclerurus_caudacutus",397,NA,397,413,"Sclerurus caudacutus","pantiacolla",NA,9,8,2011,"2011-08-09",NA,"2011-08-09",221,NA,NA
"40",40,"115908",NA,"P115908","P115908","Myrmotherula_axillaris","Myrmotherula axillaris","Myrmotherula_axillaris","Thamnophilidae",1,8.457105263,"lowland_manu","midhigh","low",415,1,1,0,1,0,0,"0","0","0","0",5,0,0,"Myrmotherula_axillaris",8,"9_8_2011_pantiacolla_Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula_axillaris",397,NA,397,415,"Myrmotherula axillaris","pantiacolla",NA,9,8,2011,"2011-08-09",NA,"2011-08-09",221,8.33,2
"41",41,"115909",NA,"P115909","P115909","Myrmotherula_axillaris","Myrmotherula axillaris","Myrmotherula_axillaris","Thamnophilidae",1,8.457105263,"lowland_manu","midhigh","med",415,1,1,0,1,0,0,"0","0","0","0",1,1,1,"Myrmotherula_axillaris",9,"9_8_2011_pantiacolla_Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula_axillaris",397,NA,397,415,"Myrmotherula axillaris","pantiacolla",NA,9,8,2011,"2011-08-09",NA,"2011-08-09",221,8.33,2
"42",42,"115953",NA,"P115953","P115953","Myrmotherula_axillaris","Myrmotherula axillaris","Myrmotherula_axillaris","Thamnophilidae",1,8.457105263,"lowland_manu","midhigh","low",415,1,1,0,1,0,0,"0","0","0","0",24,0,0,"Myrmotherula_axillaris",28,"10_8_2011_pantiacolla_Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula_axillaris",397,NA,397,415,"Myrmotherula axillaris","pantiacolla",NA,10,8,2011,"2011-08-10",NA,"2011-08-10",222,8.835,2
"43",43,"115954",NA,"P115954","P115954","Myrmotherula_axillaris","Myrmotherula axillaris","Myrmotherula_axillaris","Thamnophilidae",1,8.457105263,"lowland_manu","midhigh","med",415,1,1,0,1,0,0,"0","0","0","0",5,0,0,"Myrmotherula_axillaris",29,"10_8_2011_pantiacolla_Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula_axillaris",397,NA,397,415,"Myrmotherula axillaris","pantiacolla",NA,10,8,2011,"2011-08-10",NA,"2011-08-10",222,8.835,2
"44",44,"115962",NA,"P115962","P115962","Willisornis_poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus","Thamnophilidae",0,18.39630137,"lowland_manu","ground","med",419,1,1,0,1,0,0,"0","0","0","0",10,0,0,"Willisornis_poecilinotus",20,"10_8_2011_pantiacolla_Willisornis poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus",397,NA,397,419,"Willisornis poecilinotus","pantiacolla",NA,10,8,2011,"2011-08-10",NA,"2011-08-10",222,19.16,2
"45",45,"115972",NA,"P115972","P115972","Willisornis_poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus","Thamnophilidae",0,18.39630137,"lowland_manu","ground","low",419,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,21,"10_8_2011_pantiacolla_Willisornis poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus",397,NA,397,419,"Willisornis poecilinotus","pantiacolla",NA,10,8,2011,"2011-08-10",NA,"2011-08-10",222,19.16,2
"46",46,"115976",NA,"P115976","P115976","Lanio_versicolor","Lanio versicolor","Lanio_versicolor","Thraupidae",1,19.76205128,"lowland_manu","canopy","low",438,1,2,1,1,0,20,"5","2","13","0",40,16,16,"Lanio_versicolor",38,"10_8_2011_pantiacolla_Lanio versicolor","Lanio versicolor","Lanio_versicolor",397,NA,397,438,"Lanio versicolor","pantiacolla",NA,10,8,2011,"2011-08-10",NA,"2011-08-10",222,20.96,1
"47",47,"115979",NA,"P115979","P115979","Thamnomanes_schistogynus","Thamnomanes schistogynus","Thamnomanes_schistogynus","Thamnophilidae",1,17.905,"lowland_manu","midhigh","med",430,1,1,0,1,0,0,"0","0","0","0",14,1,1,"Thamnomanes_schistogynus",46,"11_8_2011_pantiacolla_Thamnomanes schistogynus","Thamnomanes schistogynus","Thamnomanes_schistogynus",397,NA,397,430,"Thamnomanes schistogynus","pantiacolla",NA,11,8,2011,"2011-08-11",NA,"2011-08-11",223,18.45,2
"48",48,"116000",NA,"P116000","P116000","Thamnomanes_schistogynus","Thamnomanes schistogynus","Thamnomanes_schistogynus","Thamnophilidae",1,17.905,"lowland_manu","midhigh","low",430,1,1,0,1,0,0,"0","0","0","0",37,0,0,"Thamnomanes_schistogynus",48,"11_8_2011_pantiacolla_Thamnomanes schistogynus","Thamnomanes schistogynus","Thamnomanes_schistogynus",397,NA,397,430,"Thamnomanes schistogynus","pantiacolla",NA,11,8,2011,"2011-08-11",NA,"2011-08-11",223,18.45,2
"49",49,"130377","W13","377","W130377","Arremon_torquatus","Arremon torquatus","Arremon_torquatus","Emberizidae",1,42.28636364,"high_montane_manu","undersory-midhigh","med",2742,1,2,1,1,0,5,"2","2","1","0",85,0,0,"Arremon_torquatus",5259,"NA_9_2013_wayqecha_Arremon torquatus",NA,"Arremon_torquatus",NA,NA,NA,2742,"Arremon torquatus","wayqecha",NA,26,9,2013,"2013-09-26","check date","2013-09-26",269,NA,NA
"50",50,"116087",NA,"P116087","P116087","Willisornis_poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus","Thamnophilidae",0,18.39630137,"lowland_manu","ground","low",419,1,1,0,1,0,0,"0","0","0","0",6,0,0,"Willisornis_poecilinotus",102,"15_8_2011_pantiacolla_Willisornis poecilinotus","Willisornis poecilinotus","Willisornis_poecilinotus",415,NA,415,419,"Willisornis poecilinotus","pantiacolla",NA,15,8,2011,"2011-08-15",NA,"2011-08-15",227,17.02,1
"51",51,"110167","P11","167","P110167","Monasa_morphoeus","Monasa morphoeus","Monasa_morphoeus","Bucconidae",1,73.41272727,"lowland_manu","ground-midhigh","low",417,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,539,"11_10_2011_pantiacolla_Monasa morphoeus","Monasa morphoeus","Monasa_morphoeus",413,NA,413,417,"Monasa morphoeus","pantiacolla",NA,11,10,2011,"2011-10-11",NA,"2011-10-11",284,78,1
"52",52,"116337","P11","6337","P116337","Monasa_morphoeus","Monasa morphoeus","Monasa_morphoeus","Bucconidae",1,73.41272727,"lowland_manu","ground-midhigh","med",417,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,286,"29_8_2011_pantiacolla_Monasa morphoeus","Monasa morphoeus","Monasa_morphoeus",385,NA,385,417,"Monasa morphoeus","pantiacolla",NA,29,8,2011,"2011-08-29",NA,"2011-08-29",241,72,2
"53",53,"116338","P11","6338","P116338","Monasa_morphoeus","Monasa morphoeus","Monasa_morphoeus","Bucconidae",1,73.41272727,"lowland_manu","ground-midhigh","low",417,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,287,"29_8_2011_pantiacolla_Monasa morphoeus","Monasa morphoeus","Monasa_morphoeus",385,NA,385,417,"Monasa morphoeus","pantiacolla",NA,29,8,2011,"2011-08-29",NA,"2011-08-29",241,72,2
"54",54,"116435","P11","6435","P116435","Lepidothrix_coronata","Lepidothrix coronata","Lepidothrix_coronata","Pipridae",1,9.769768786,"lowland_manu","undersory-midhigh","med",417.5,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,373,"4_9_2011_pantiacolla_Monasa nigrifrons","Monasa nigrifrons","Monasa_nigrifrons",397,NA,397,417.5,"Monasa nigrifrons","pantiacolla",NA,4,9,2011,"2011-09-04",NA,"2011-09-04",247,79,1
"55",55,"120740","P12","740","P120740","Malacoptila_semicincta","Malacoptila semicincta","Malacoptila_semicincta","Bucconidae",0,45.21722222,"lowland_manu","ground-midhigh","very low",494.5,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,1114,"2_7_2012_pantiacolla_Malacoptila semicincta","Malacoptila semicincta","Malacoptila_semicincta",NA,NA,NA,494,"Malacoptila semicincta","pantiacolla",NA,2,7,2012,"2012-07-02",NA,"2012-07-02",184,42.5,1
