"","sample","species","degree","w_degree","elevation"
"97","P120684","Tunchiornis_ochraceiceps",46,4.02843061623996,415
"98","P120714","Myrmotherula_axillaris",86,7.40390721832566,415
"99","P120788","Thamnomanes_ardesiacus",63,5.39382854866909,415
"100","SP121402","Myiothlypis_coronata",36,4.77266623891665,1449
"101","P120916","Thamnomanes_schistogynus",94,6.7341406337555,438
"102","P120921","Thamnomanes_schistogynus",94,6.7341406337555,438
"103","P120923","Thamnomanes_schistogynus",94,6.7341406337555,438
"104","P120924","Thamnomanes_schistogynus",94,6.7341406337555,438
"105","P120933","Myrmotherula_axillaris",87,7.50351506146291,438
"106","SP110143","Myiothlypis_coronata",36,4.77266623891665,1362
"107","SP120057","Myiothlypis_coronata",36,4.77266623891665,1387
"108","P121019","Tunchiornis_ochraceiceps",46,4.02843061623996,421
"109","P121020","Tunchiornis_ochraceiceps",46,4.02843061623996,421
"110","P121238","Glyphorynchus_spirurus",75,7.26849396280455,837
"111","P121245","Glyphorynchus_spirurus",75,7.26849396280455,837
"112","P121262","Myrmotherula_axillaris",70,6.03404571591144,837
"113","P121271","Glyphorynchus_spirurus",75,7.26849396280455,837
"114","P121352","Thamnomanes_ardesiacus",63,5.39382854866909,415
"115","SP120080","Myiothlypis_coronata",36,4.77266623891665,1387
"116","P121359","Glyphorynchus_spirurus",92,8.41177511438203,415
"117","P121773","Myrmotherula_axillaris",84,7.3642993751884,414
"118","P121774","Myrmotherula_axillaris",84,7.3642993751884,414
"119","SP120778","Myiothlypis_coronata",36,4.77266623891665,1395
"120","SP120054","Myiothlypis_coronata",36,4.77266623891665,1387
"121","SP120894","Myiothlypis_coronata",36,4.77266623891665,1395
"122","SP121000","Myiothlypis_coronata",36,4.77266623891665,1395
"123","P121511","Myiobius_barbatus",15,1.27286873231133,398
"124","P121400","Myrmotherula_axillaris",41,4.23504384762698,385
"125","SP120943","Myiothlypis_coronata",36,4.77266623891665,1395
"126","SP120911","Basileuterus_tristriatus",60,7.40009144849993,1395
"127","P121764","Thamnomanes_schistogynus",90,6.62734591672977,414
"128","SP121081","Tangara_arthus",79,9.74769530961965,1302
"129","SP120931","Basileuterus_tristriatus",60,7.40009144849993,1395
"130","SP120934","Chlorospingus_flavigularis",79,9.54687109495808,1395
"131","SP120016","Premnoplex_brunnescens",5,0.429296483809948,1387
"132","SP120036","Chlorospingus_flavigularis",79,9.54687109495808,1387
"133","SP120040","Chlorospingus_flavigularis",79,9.54687109495808,1387
"134","SP110101","Chlorospingus_flavigularis",79,9.54687109495808,1387
"135","P110318","Epinecrophylla_leucophthalma",52,5.16317830749917,410
"136","SP120076","Basileuterus_tristriatus",60,7.40009144849993,1387
"137","SP120093","Leptopogon_superciliaris",77,9.09407182157319,1362
"138","SP120101","Premnoplex_brunnescens",5,0.429296483809948,1362
"139","SP120115","Rhynchocyclus_fulvipectus",14,1.34807843894233,1362
"140","SP120636","Premnoplex_brunnescens",5,0.429296483809948,1307
"141","SP120638","Premnoplex_brunnescens",5,0.429296483809948,1307
"142","SP120658","Premnoplex_brunnescens",5,0.429296483809948,1307
"143","SP120662","Leptopogon_superciliaris",77,8.9678283200243,1307
"144","SP120666","Tangara_arthus",77,9.69721454038888,1307
"145","SP120669","Premnoplex_brunnescens",5,0.429296483809948,1307
"146","SP120674","Premnoplex_brunnescens",5,0.429296483809948,1307
"147","SP120767","Leptopogon_superciliaris",77,9.06468696613411,1395
"148","SP120769","Premnoplex_brunnescens",5,0.429296483809948,1395
"149","SP120787","Tangara_arthus",75,9.60387308890539,1395
"150","SP120792","Chlorospingus_flavigularis",80,9.59592055970522,1362
"151","SP120804","Premnoplex_brunnescens",5,0.429296483809948,1362
"152","SP120857","Premnoplex_brunnescens",5,0.429296483809948,1376
"153","SP120861","Anabacerthia_striaticollis",67,8.12288662616433,1376
"154","SP120880","Chlorospingus_flavigularis",79,9.55425389303855,1376
"155","SP120885","Chlorospingus_flavigularis",79,9.54687109495808,1395
"156","SP120889","Leptopogon_superciliaris",77,9.06468696613411,1395
"157","SP120890","Premnoplex_brunnescens",5,0.429296483809948,1395
"158","SP120938","Chlorospingus_flavigularis",79,9.54687109495808,1395
"159","SP120993","Chlorospingus_flavigularis",80,9.59592055970522,1362
"160","SP120998","Premnoplex_brunnescens",5,0.429296483809948,1362
"161","SP121004","Premnoplex_brunnescens",5,0.429296483809948,1362
"162","SP121023","Premnoplex_brunnescens",5,0.429296483809948,1337
"163","SP121029","Rhynchocyclus_fulvipectus",14,1.34807843894233,1337
"164","SP121038","Leptopogon_superciliaris",77,9.09407182157319,1337
"165","SP121091","Leptopogon_superciliaris",79,9.00618059275157,1302
"166","SP121104","Tangara_arthus",79,9.74769530961965,1302
"167","SP121151","Anabacerthia_striaticollis",67,8.12288662616433,1339
"168","SP121212","Basileuterus_tristriatus",61,7.46259144849993,1418
"169","SP121267","Premnoplex_brunnescens",5,0.429296483809948,1307
"170","SP121269","Premnoplex_brunnescens",5,0.429296483809948,1307
"171","SP121270","Premnoplex_brunnescens",5,0.429296483809948,1307
"172","SP121282","Premnoplex_brunnescens",5,0.429296483809948,1307
"173","SP121308","Tangara_arthus",79,9.64759610327044,1262
"174","SP121337","Chlorospingus_flavigularis",83,9.49442534164915,1262
"175","SP121360","Myioborus_miniatus",80,9.64469093194372,1449
"176","SP121362","Myioborus_miniatus",80,9.64469093194372,1449
"177","W120643","Kleinothraupis_atropileus",32,5.42766209709378,3013
"178","W120646","Kleinothraupis_atropileus",32,5.42766209709378,3013
"179","W120709","Kleinothraupis_atropileus",51,7.17618774830575,2742
"180","SP121433","Basileuterus_tristriatus",60,7.59063163008981,1573
"181","SP121435","Basileuterus_tristriatus",60,7.59063163008981,1573
"182","TL120016","Chlorospingus_flavopectus",53,6.07333915446092,1514
"183","TL120020","Anabacerthia_striaticollis",68,8.27105391939742,1514
"184","TL120033","Chlorospingus_flavopectus",53,6.07333915446092,1514
"185","TL120034","Chlorospingus_flavopectus",53,6.07333915446092,1514
"186","TL120047","Premnoplex_brunnescens",5,0.429296483809948,1514
"187","TL120052","Chlorochrysa_calliparaea",78,10.2090339292601,1514
"188","TL120054","Pyrrhomyias_cinnamomeus",67,5.02248548980258,1514
"189","TL120058","Chlorospingus_flavopectus",53,6.07333915446092,1514
"190","TL120075","Anabacerthia_striaticollis",50,6.65503019765706,1735
"191","TL120082","Premnoplex_brunnescens",4,0.338387392900857,1735
"192","TL120093","Chlorochrysa_calliparaea",58,8.35869224914772,1735
"193","TL120094","Basileuterus_tristriatus",45,6.39401044433201,1735
"194","TL120095","Basileuterus_tristriatus",45,6.39401044433201,1735
"195","TL120104","Tangara_arthus",55,7.20346585720219,1735
"196","TL120109","Anabacerthia_striaticollis",50,6.65503019765706,1735
"197","TL120111","Premnoplex_brunnescens",4,0.338387392900857,1735
"198","W120719","Kleinothraupis_atropileus",51,7.17618774830575,2742
"199","TU120065","Chlorornis_riefferii",43,6.14947404832233,2728
"200","TU120066","Chlorornis_riefferii",43,6.14947404832233,2728
"201","W120696","Kleinothraupis_atropileus",51,7.17618774830575,2742
"202","W120753","Kleinothraupis_atropileus",51,7.17618774830575,2742
"203","W120760","Kleinothraupis_atropileus",51,7.17618774830575,2742
"204","W120921","Kleinothraupis_atropileus",51,7.17618774830575,2743
"205","W120924","Kleinothraupis_atropileus",51,7.17618774830575,2743
"206","W120946","Kleinothraupis_atropileus",51,7.17618774830575,2743
"207","W120988","Kleinothraupis_atropileus",53,7.24224465887486,2726
"208","W121001","Kleinothraupis_atropileus",52,7.15891132554153,2650
"209","W120436","Anisognathus_igniventris",37,5.27067956519019,2816
"210","W120445","Anisognathus_igniventris",37,5.27067956519019,2816
"211","W121044","Kleinothraupis_atropileus",52,7.15891132554153,2650
"212","W130080","Kleinothraupis_atropileus",53,7.24224465887486,2726
"213","W130142","Kleinothraupis_atropileus",52,7.15891132554153,2650
"214","W130143","Kleinothraupis_atropileus",52,7.15891132554153,2650
"215","W120645","Arremon_torquatus",10,0.55564246284008,3013
"216","W130145","Kleinothraupis_atropileus",52,7.15891132554153,2650
"217","W130286","Kleinothraupis_atropileus",51,7.17618774830575,2743
"218","W120702","Anisognathus_igniventris",36,5.22306051757114,2742
"219","W120703","Anisognathus_igniventris",36,5.22306051757114,2742
"220","W130287","Kleinothraupis_atropileus",51,7.17618774830575,2743
"221","W120750","Chlorornis_riefferii",43,6.14947404832233,2742
"222","W130417","Kleinothraupis_atropileus",46,6.89770168116563,2833
"223","W120755","Chlorornis_riefferii",43,6.14947404832233,2742
"224","W130453","Kleinothraupis_atropileus",32,5.42766209709378,3013
"225","W120764","Myioborus_melanocephalus",56,7.79052126269078,2681
"226","W120781","Chlorornis_riefferii",45,6.23770934243997,2681
"227","W120790","Myioborus_melanocephalus",56,7.79052126269078,2681
"228","W120791","Chlorornis_riefferii",45,6.23770934243997,2681
"229","W130497","Kleinothraupis_atropileus",51,7.17618774830575,2788
"230","W120875","Anisognathus_igniventris",35,5.19917047846371,2973
"231","W130488","Kleinothraupis_atropileus",51,7.17618774830575,2788
"232","W130826","Kleinothraupis_atropileus",51,7.17618774830575,2742
"233","W130824","Kleinothraupis_atropileus",51,7.17618774830575,2742
"234","SP110028","Sphenopsis_melanotis",61,6.81119743548049,1383
"235","SP110124","Sphenopsis_melanotis",62,6.85467569635006,1362
"236","W121016","Chlorornis_riefferii",45,6.23770934243997,2650
"237","W121048","Arremon_torquatus",10,0.55564246284008,2650
"238","W121047","Arremon_torquatus",10,0.55564246284008,2650
"239","SP120055","Sphenopsis_melanotis",62,6.86675299103605,1387
"240","W121090","Myioborus_melanocephalus",57,7.73692163973803,2542
"241","SP121215","Sphenopsis_melanotis",63,6.92557652044781,1418
"242","W121041","Mecocerculus_stictopterus",56,8.35639784377452,2650
"243","W121136","Myioborus_melanocephalus",55,7.5635388189533,2521
"244","W121161","Myioborus_melanocephalus",55,7.5635388189533,2521
"245","P130157","Thamnomanes_ardesiacus",48,4.54141642452287,398
"246","P130050","Thamnomanes_ardesiacus",64,5.42932712416767,432
"247","P130047","Thamnomanes_ardesiacus",64,5.42932712416767,432
"248","P130025","Myrmotherula_axillaris",87,7.50351506146291,432
"249","SP121361","Sphenopsis_melanotis",62,6.88012197499327,1449
"250","P130259","Myrmotherula_axillaris",82,7.28508368891389,410
"251","P130233","Lanio_versicolor",54,6.32056459683677,398
"252","SP13113","Sphenopsis_melanotis",62,6.78849922576182,1336
"253","P130628","Chlorothraupis_carmioli",55,4.79222997714539,600
"254","SP13006","Anabacerthia_striaticollis",67,8.12288662616433,1362
"255","TL120056","Sphenopsis_melanotis",64,7.21672328218281,1514
"256","W130063","Pyrrhomyias_cinnamomeus",61,6.67705562092788,2726
"257","TU120059","Sphenopsis_melanotis",15,2.08564147911436,2728
"258","W130118","Arremon_torquatus",10,0.55564246284008,2650
"259","W130232","Myioborus_melanocephalus",55,7.5635388189533,2521
"260","W130297","Arremon_torquatus",10,0.55564246284008,2788
"261","W130233","Myioborus_melanocephalus",55,7.5635388189533,2521
"262","W130253","Chlorornis_riefferii",44,6.1850777634926,2617
"263","W130255","Chlorornis_riefferii",44,6.1850777634926,2617
"264","W130256","Chlorornis_riefferii",44,6.1850777634926,2617
"265","W130257","Myioborus_melanocephalus",57,7.76396299710813,2617
"266","W130270","Anisognathus_igniventris",37,5.27067956519019,2743
"267","W130298","Arremon_torquatus",10,0.55564246284008,2788
"268","W130330","Chlorornis_riefferii",45,6.23770934243997,2681
"269","W130349","Atlapetes_melanolaemus",44,5.00554345187249,2681
"270","W130351","Myioborus_melanocephalus",54,7.71771906488858,2742
"271","W130353","Myioborus_melanocephalus",54,7.71771906488858,2742
"272","W120455","Iridosornis_jelskii",22,2.53172965902225,2816
"273","W120468","Iridosornis_jelskii",22,2.53172965902225,2816
"274","W120474","Iridosornis_jelskii",22,2.53172965902225,2816
"275","W130416","Myioborus_melanocephalus",49,7.50692471730911,2833
"276","W130429","Chlorornis_riefferii",30,4.91664587307256,2995
"277","W130445","Anisognathus_igniventris",31,4.75547721520523,3013
"278","W121223","Iridosornis_jelskii",20,1.97617410346669,2617
"279","W130637","Iridosornis_jelskii",19,1.86506299235558,2521
"280","W130560","Arremon_torquatus",10,0.55564246284008,2650
"281","W130561","Arremon_torquatus",10,0.55564246284008,2650
"282","W130572","Arremon_torquatus",10,0.55564246284008,2650
"283","W130633","Myioborus_melanocephalus",55,7.5635388189533,2521
"284","W130676","Iridosornis_jelskii",20,1.97617410346669,2617
"285","W130897","Iridosornis_jelskii",21,2.4835556108482,2995
"286","W130898","Iridosornis_jelskii",21,2.4835556108482,2995
"287","W130677","Chlorornis_riefferii",44,6.1850777634926,2617
"288","W130700","Chlorornis_riefferii",44,6.1850777634926,2617
"289","W130914","Iridosornis_jelskii",19,1.86506299235558,2521
"290","P110129","Leptopogon_amaurocephalus",52,5.41528438918664,397
"291","W130920","Iridosornis_jelskii",19,1.86506299235558,2521
"292","P110406","Leptopogon_amaurocephalus",77,7.74871040351342,414
"293","P110258","Lepidothrix_coronata",9,0.603043121094592,422
"294","P121118","Leptopogon_amaurocephalus",15,1.27574419983142,381
