species_jetz,sociality,Powder.lvl,elevation,total_parasites
Philydor_rufum,0,high,1068,34
Cyphorhinus_thoracicus,0,low,1348,25
Myrmeciza_hemimelaena,0,low,818,0
Deconychura_longicauda,1,low,439,0
Rhytipterna_simplex,0,med,526,4
Arremon_taciturnus,1,med,429,6
Automolus_ochrolaemus,1,low,680,1
Phlegopsis_nigromaculata,0,med,413,4
Terenotriccus_erythrurus,1,low,413,0
Deconychura_longicauda,1,high,439,5
Phylloscartes_ophthalmicus,1,low,1371,3
Myrmeciza_hemimelaena,0,low,818,1
Trichothraupis_melanops,1,high,1387,58
Phylloscartes_ophthalmicus,1,low,1371,4
Phylloscartes_ophthalmicus,1,low,1371,0
Thripadectes_melanorhynchus,1,low,1337,3
Trichothraupis_melanops,1,low,1387,0
Thripadectes_melanorhynchus,1,low,1337,2
Trichothraupis_melanops,1,low,1387,1
Thripadectes_melanorhynchus,1,low,1337,0
Thripadectes_melanorhynchus,1,low,1337,1
Cyphorhinus_thoracicus,0,high,1348,1
Phylloscartes_ophthalmicus,1,low,1371,52
Cyphorhinus_thoracicus,0,low,1348,34
Thripadectes_melanorhynchus,1,low,1337,2
Cyphorhinus_thoracicus,0,low,1348,7
Phylloscartes_ophthalmicus,1,low,1371,11
Trichothraupis_melanops,1,low,1387,4
Phylloscartes_ophthalmicus,1,low,1371,112
Pipra_chloromeros,1,very low,416,0
Thripadectes_melanorhynchus,1,med,1337,1
Pipra_chloromeros,1,low,416,8
Pipra_chloromeros,1,low,416,4
Pipra_chloromeros,1,low,416,0
Thripadectes_melanorhynchus,1,low,1337,0
Trichothraupis_melanops,1,low,1387,76
Pipra_chloromeros,1,med,416,0
Trichothraupis_melanops,1,low,1387,7
Lophotriccus_pileatus,0,low,1384.5,0
Pipra_chloromeros,1,low,416,0
Pipra_chloromeros,1,low,416,6
Pipra_chloromeros,1,low,416,1
Trichothraupis_melanops,1,low,1387,4
Myrmotherula_longicauda,1,low,1210,0
Pipra_chloromeros,1,low,416,0
Lophotriccus_pileatus,0,low,1384.5,1
Pipra_chloromeros,1,low,416,10
Pipra_chloromeros,1,low,416,38
Pipra_chloromeros,1,low,416,53
Cyphorhinus_thoracicus,0,low,1348,7
Pipra_chloromeros,1,high,416,2
Thripadectes_melanorhynchus,1,low,1337,2
Thripadectes_melanorhynchus,1,low,1337,5
Trichothraupis_melanops,1,low,1387,3
Cyphorhinus_thoracicus,0,low,1348,20
Cyphorhinus_thoracicus,0,low,1348,54
Thripadectes_melanorhynchus,1,low,1337,2
Cyphorhinus_thoracicus,0,low,1348,30
Cyphorhinus_thoracicus,0,none,1348,2
Cyphorhinus_thoracicus,0,med,1348,229
Cyphorhinus_thoracicus,0,low,1348,78
Cyphorhinus_thoracicus,0,low,1348,85
Pipra_chloromeros,1,med,416,22
Pipra_chloromeros,1,low,416,16
Thripadectes_melanorhynchus,1,low,1337,0
Thripadectes_melanorhynchus,1,low,1337,0
Pipra_chloromeros,1,med,416,53
Thripadectes_melanorhynchus,1,low,1337,0
Lophotriccus_pileatus,0,low,1384.5,1
Myrmotherula_schisticolor,1,low,1487,4
Myrmotherula_schisticolor,1,med,1487,10
Pipra_chloromeros,1,low,416,1
Pipreola_arcuata,0,med,2750,1
Pipreola_intermedia,1,very low,2648,0
Cyphorhinus_thoracicus,0,low,1348,99
Pipreola_intermedia,1,very low,2648,2
Pipreola_intermedia,1,med,2648,117
Myrmoborus_myotherinus,1,low,426,125
Myrmeciza_fortis,1,med,422.5,47
Platyrinchus_platyrhynchos,0,low,421.5,0
Premnoplex_brunnescens,1,low,1366,43
Lepidothrix_coronata,1,low,417.5,1
Premnoplex_brunnescens,1,low,1366,30
Pyrrhomyias_cinnamomeus,1,med,2324,10
Rhegmatorhina_melanosticta,0,high,600,123
Rhegmatorhina_melanosticta,0,low,600,19
Rhegmatorhina_melanosticta,0,med,600,153
Thalurania_furcata,0,low,420,24
Rhegmatorhina_melanosticta,0,med,600,9
Mionectes_olivaceus,1,low,1262,14
Mionectes_olivaceus,1,low,1262,0
Cyanocompsa_cyanoides,1,low,423.5,0
Mionectes_olivaceus,1,low,1262,0
Mionectes_olivaceus,1,med,1262,0
Mionectes_olivaceus,1,med,1262,0
Ancistrops_strigilatus,1,low,476.5,8
Ramphotrigon_fuscicauda,1,high,431,37
Cyanocompsa_cyanoides,1,med,423.5,24
Ancistrops_strigilatus,1,high,476.5,4
Cyanocompsa_cyanoides,1,low,423.5,0
Cyanocompsa_cyanoides,1,low,423.5,16
Cyanocompsa_cyanoides,1,low,423.5,3
Rhegmatorhina_melanosticta,0,low,600,2
Rhynchocyclus_fulvipectus,1,low,1365,0
Rupicola_peruvianus,0,low,1362,0
Mionectes_olivaceus,1,med,1262,18
Tangara_arthus,1,low,1308.5,44
Tangara_arthus,1,low,1308.5,4
Sporophila_nigricollis,0,med,1337,16
Sporophila_nigricollis,0,low,1337,1
Sporophila_nigricollis,0,low,1337,0
Thamnomanes_ardesiacus,1,low,421,14
Diglossa_glauca,1,low,1758,118
Ammodramus_aurifrons,0,low,387,1
Xiphorhynchus_triangularis,1,low,1501,0
Mionectes_olivaceus,1,med,1262,13
Mionectes_olivaceus,1,low,1262,12
Thamnomanes_schistogynus,1,med,430,2
Mionectes_olivaceus,1,low,1262,2
Cyanerpes_caeruleus,1,low,1124,0
Cyanerpes_caeruleus,1,low,1124,3
Thamnomanes_schistogynus,1,low,430,0
Thamnophilus_schistaceus,1,low,439,0
Ammodramus_aurifrons,0,low,387,0
Anisognathus_somptuosus,1,low,1950,0
Anisognathus_somptuosus,1,low,1950,0
Thraupis_cyanocephala,1,med,2742.5,0
Iridosornis_analis,1,med,1541,23
Iridosornis_analis,1,med,1541,3
Buthraupis_montana,1,med,2784,1
Buthraupis_montana,1,low,2784,0
Thraupis_cyanocephala,1,low,2742.5,2
Thraupis_cyanocephala,1,med,2742.5,3
Thripadectes_melanorhynchus,1,low,1337,7
Turdus_albicollis,0,med,411.5,3
Willisornis_poecilinotus,0,low,419,32
Buthraupis_montana,1,med,2784,0
Thraupis_cyanocephala,1,med,2742.5,28
Thraupis_cyanocephala,1,med,2742.5,66
Xiphorhynchus_elegans,1,low,421,23
Dubusia_taeniata,0,med,2734,52
Haplospiza_rustica,0,med,2391,28
Haplospiza_rustica,0,med,2391,18
Thraupis_cyanocephala,1,med,2742.5,0
Thraupis_cyanocephala,1,low,2742.5,2
Buthraupis_montana,1,med,2784,4
Haplospiza_rustica,0,low,2391,6
Thraupis_cyanocephala,1,low,2742.5,7
Thraupis_cyanocephala,1,low,2742.5,3
Xiphorhynchus_elegans,1,low,421,0
Thraupis_cyanocephala,1,low,2742.5,43
Thraupis_cyanocephala,1,med,2742.5,87
Thraupis_cyanocephala,1,high,2742.5,25
Haplospiza_rustica,0,low,2391,0
Haplospiza_rustica,0,low,2391,90
