species_jetz,sociality,Powder.lvl,elevation,total_parasites
Thamnomanes_schistogynus,1,low,430,21
Myrmotherula_axillaris,1,low,415,2
Basileuterus_coronatus,1,low,1541,4
Basileuterus_coronatus,1,low,1541,0
Hylophylax_naevius,0,low,850,1
Basileuterus_coronatus,1,low,1541,3
Hylophilus_ochraceiceps,1,med,892,0
Hylophilus_ochraceiceps,1,med,892,0
Corythopis_torquatus,0,low,419,63
Glyphorynchus_spirurus,1,low,421,1
Glyphorynchus_spirurus,1,low,421,14
Willisornis_poecilinotus,0,low,419,0
Willisornis_poecilinotus,0,low,419,0
Willisornis_poecilinotus,0,low,419,0
Platyrinchus_platyrhynchos,0,low,421.5,0
Platyrinchus_platyrhynchos,0,low,421.5,0
Myrmotherula_axillaris,1,low,415,3
Glyphorynchus_spirurus,1,low,421,19
Thamnomanes_ardesiacus,1,low,421,0
Basileuterus_coronatus,1,low,1541,6
Glyphorynchus_spirurus,1,low,421,24
Myiobius_barbatus,1,low,424,2
Myrmotherula_axillaris,1,low,415,0
Willisornis_poecilinotus,0,low,419,0
Myrmotherula_axillaris,1,low,415,0
Sclerurus_caudacutus,0,low,413,0
Basileuterus_coronatus,1,low,1541,2
Willisornis_poecilinotus,0,low,419,5
Willisornis_poecilinotus,0,low,419,5
Basileuterus_coronatus,1,none,1541,43
Basileuterus_coronatus,1,low,1541,0
Basileuterus_coronatus,1,low,1541,3
Willisornis_poecilinotus,0,low,419,4
Myiobius_barbatus,1,low,424,3
Sclerurus_caudacutus,0,low,413,109
Microcerculus_marginatus,0,low,754,7
Myrmotherula_axillaris,1,low,415,0
Myiobius_barbatus,1,low,424,33
Basileuterus_coronatus,1,low,1541,7
Basileuterus_tristriatus,1,low,1459,2
Thamnomanes_schistogynus,1,low,430,0
Tangara_arthus,1,low,1308.5,20
Chiroxiphia_boliviana,1,low,1449,30
Chlorochrysa_calliparaea,1,low,1387,26
Chlorospingus_flavigularis,1,med,1362,4
Basileuterus_tristriatus,1,low,1459,20
Chlorospingus_flavigularis,1,low,1362,5
Premnoplex_brunnescens,1,low,1366,9
Chlorospingus_flavigularis,1,low,1362,0
Chlorospingus_flavigularis,1,low,1362,1
Chlorospingus_flavigularis,1,low,1362,11
Chlorothraupis_carmioli,1,high,600,64
Cyphorhinus_arada,0,med,404,52
Epinecrophylla_leucophthalma,1,low,415,0
Basileuterus_tristriatus,1,low,1459,13
Leptopogon_superciliaris,1,low,1387,0
Premnoplex_brunnescens,1,low,1366,24
Rhynchocyclus_fulvipectus,1,low,1365,1
Microcerculus_marginatus,0,low,754,0
Premnoplex_brunnescens,1,low,1366,143
Premnoplex_brunnescens,1,low,1366,64
Premnoplex_brunnescens,1,low,1366,33
Leptopogon_superciliaris,1,low,1387,2
Tangara_arthus,1,low,1308.5,6
Premnoplex_brunnescens,1,low,1366,54
Premnoplex_brunnescens,1,low,1366,30
Leptopogon_superciliaris,1,low,1387,0
Premnoplex_brunnescens,1,low,1366,40
Tangara_arthus,1,low,1308.5,1
Chlorospingus_flavigularis,1,low,1362,1
Premnoplex_brunnescens,1,low,1366,1
Premnoplex_brunnescens,1,low,1366,6
Anabacerthia_striaticollis,1,low,1397,0
Chlorospingus_flavigularis,1,low,1362,0
Chlorospingus_flavigularis,1,low,1362,0
Leptopogon_superciliaris,1,low,1387,2
Premnoplex_brunnescens,1,low,1366,2
Chlorospingus_flavigularis,1,low,1362,15
Chlorospingus_flavigularis,1,low,1362,2
Premnoplex_brunnescens,1,low,1366,20
Premnoplex_brunnescens,1,low,1366,56
Premnoplex_brunnescens,1,low,1366,18
Rhynchocyclus_fulvipectus,1,low,1365,4
Leptopogon_superciliaris,1,low,1387,4
