"","deg_weighted"
"Myiarchus_cephalotes",1.09652911107722
"Myiarchus_tuberculifer",2.37513323737692
"Myiobius_barbatus",2.079535398978
"Myioborus_melanocephalus",8.18334682777212
"Myioborus_miniatus",10.6746876167062
"Myiodynastes_maculatus",2.14954778771009
"Myiopagis_gaimardii",4.40971764384784
"Myiophobus_fasciatus",1.54557838696473
"Myiophobus_inornatus",1.82012555032768
"Myiothlypis_bivittata",3.77721996280387
"Myiothlypis_chrysogaster",4.25011357862281
"Myiothlypis_coronata",5.30094906719948
"Myiothlypis_luteoviridis",5.3952585800892
"Myiothlypis_signata",3.94146347559923
"Myiozetetes_cayanensis",1.2632540990522
"Myrmoborus_leucophrys",1.90773578384053
"Myrmoborus_lophotes",0.600269274376417
"Myrmoborus_myotherinus",5.59517962746785
"Myrmotherula_axillaris",7.66199082912847
"Myrmotherula_brachyura",8.57314312001412
"Myrmotherula_longicauda",2.39552728388046
"Myrmotherula_longipennis",8.22594601481011
"Myrmotherula_menetriesii",6.87456708428141
"Myrmotherula_multostriata",2.51289672775127
"Myrmotherula_schisticolor",2.50040442627711
"Nephelomyias_ochraceiventris",3.15985635425159
"Ochthoeca_rufipectoralis",1.47968903008358
"Odontorchilus_branickii",6.58694998949747
"Pachyramphus_minor",5.12715692262312
"Pachyramphus_polychopterus",1.71613627564847
"Pachyramphus_versicolor",3.8528964510805
"Pachysylvia_hypoxantha",8.55844221527195
"Pheucticus_aureoventris",1.79799399309442
"Philydor_erythrocercum",9.21242989802453
"Phyllomyias_cinereiceps",6.3359120829082
"Phylloscartes_ophthalmicus",7.21600322890214
"Phylloscartes_poecilotis",1.5833710301453
"Phylloscartes_ventralis",3.56382825951045
"Piaya_cayana",5.55453640643269
"Piculus_leucolaemus",0.860648148148148
"Pipra_fasciicauda",3.03982131158602
"Pipraeidea_melanonota",1.9869861140632
"Pipreola_intermedia",2.23393697362685
"Piranga_flava",3.02530972368381
"Piranga_leucoptera",1.14383357425331
"Piranga_olivacea",2.18728909756476
"Poecilotriccus_albifacies",4.04207549002434
"Poecilotriccus_latirostris",2.18072917600483
"Poecilotriccus_plumbeiceps",2.79137362637363
"Premnoplex_brunnescens",0.429296483809948
"Premnornis_guttuliger",0.656768951946634
"Pseudocolaptes_boissonneautii",6.88731609744598
"Pseudospingus_xanthophthalmus",4.57599127797365
"Pygiptila_stellaris",9.25343951762108
"Pyrrhomyias_cinnamomeus",8.93820963431245
"Ramphocelus_carbo",5.93295638191802
"Ramphotrigon_fuscicauda",5.93420463434151
"Rauenia_bonariensis",3.02530972368381
"Rhynchocyclus_fulvipectus",1.34807843894233
"Saltator_grossus",5.74294988004434
"Saltator_maximus",9.48917259761597
"Sclerurus_obscurior",3.40314000537983
"Setophaga_pitiayumi",5.06854406630897
"Sittasomus_griseicapillus",1.83278974896008
"Sphenopsis_melanotis",7.64879334340888
"Sporathraupis_cyanocephala",5.16058952444907
"Stilpnia_cyanicollis",9.63940275804557
"Synallaxis_azarae",4.50605420260936
"Syndactyla_ucayalae",2.68374283120324
"Tangara_arthus",10.4776775785725
"Tangara_callophrys",1.68240740740741
"Tangara_chilensis",9.96731499223907
"Tangara_chrysotis",3.74892457979159
"Tangara_cyanotis",1.61917078743298
"Tangara_gyrola",8.8092268766513
"Tangara_mexicana",4.53937170484406
"Tangara_nigroviridis",5.07895009891042
"Tangara_parzudakii",1.92305078749846
"Tangara_schrankii",9.30449985272216
"Tangara_vassorii",7.584725443615
"Tangara_velia",1.68240740740741
"Tangara_xanthocephala",6.54235184465207
"Terenotriccus_erythrurus",0.390033068783069
"Thamnomanes_ardesiacus",5.552660457501
"Thamnomanes_schistogynus",7.20406245234988
"Thamnophilus_aethiops",1.90181950699453
"Thamnophilus_doliatus",1.06424237820225
"Thamnophilus_palliatus",2.50550943082581
"Thamnophilus_schistaceus",7.05246423480533
"Thamnophilus_unicolor",2.84147323042536
"Thlypopsis_ornata",4.26628642957553
"Thlypopsis_ruficeps",6.83541364353246
"Thlypopsis_superciliaris",6.33477569234939
"Thraupis_episcopus",2.721588605613
"Thraupis_palmarum",6.43984257217897
"Thripadectes_melanorhynchus",5.99410110160216
"Thripophaga_fusciceps",2.14954778771009
"Tityra_semifasciata",4.52778467142929
"Todirostrum_chrysocrotaphum",5.4859636649929
"Tolmomyias_assimilis",4.92257101383715
"Trichothraupis_melanops",5.77801700776638
"Troglodytes_solstitialis",2.62083636359851
"Trogon_collaris",5.39765141207853
"Trogon_curucui",2.03836726235807
"Trogon_melanurus",1.60282957935395
"Trogon_personatus",5.36648623095871
"Trogon_violaceus",3.9228044180512
"Trogon_viridis",4.04207549002434
"Tunchiornis_ochraceiceps",4.19509728290662
"Turdus_nigriceps",3.0792210960882
"Vireo_leucophrys",6.48941304851452
"Vireo_olivaceus",4.78354458934471
"Xenops_minutus",4.87131084323357
"Xenops_rutilans",6.32235427642737
"Xenops_tenuirostris",6.7840457533517
"Xiphocolaptes_promeropirhynchus",6.65329001640518
"Xiphorhynchus_elegans",7.66338259441619
"Xiphorhynchus_guttatus",7.21547619658515
"Xiphorhynchus_ocellatus",1.81329683974599
"Xiphorhynchus_triangularis",8.06192078763071
"Zimmerius_bolivianus",7.08497432097543
