species,low_limit,high_limit
Cranioleuca_curtata,928.5009315,1070.321603
Cryptopipo_holochlora,380.0000471,741.5720476
Cyanerpes_caeruleus,380.0000471,1070.321603
Cyanocorax_violaceus,380.0000471,1070.321603
Cyanoloxia_cyanoides,380.0000471,676.2608194
Cymbilaimus_sanctaemariae,405.5124356,1070.321603
Deconychura_longicauda,380.0000471,932.4080705
Dendrexetastes_rufigula,380.0000471,829.1319189
Dendrocincla_fuliginosa,380.0000471,888.9419868
Dendrocolaptes_picumnus,380.0000471,1070.321603
Dysithamnus_mentalis,583.0497077,1070.321603
Epinecrophylla_ornata,478.8607096,1070.321603
Epinecrophylla_spodionota,854.8672431,1070.321603
Euphonia_mesochrysa,1023.666104,1070.321603
Euphonia_rufiventris,380.0000471,733.6059807
Euphonia_xanthogaster,719.2837437,1070.321603
Galbula_cyanescens,380.0000471,1070.321603
Glyphorynchus_spirurus,380.0000471,700.9939589
Hafferia_fortis,380.0000471,613.5858084
Herpsilochmus_axillaris,920.4601664,1070.321603
Hylophylax_naevius,380.0000471,1070.321603
Hypocnemis_subflava,451.2888823,1070.321603
Iridosornis_analis,1031.939067,1070.321603
Ixothraupis_punctata,1041.25076,1070.321603
Lanio_versicolor,380.0000471,806.5349696
Lathrotriccus_euleri,380.0000471,1070.321603
Legatus_leucophaius,380.0000471,928.2279537
Lepidothrix_coeruleocapilla,955.7204325,1070.321603
Lepidothrix_coronata,380.0000471,542.4015667
Leptopogon_amaurocephalus,380.0000471,619.196993
Leptopogon_superciliaris,1052.758802,1070.321603
Lophotriccus_pileatus,1010.06077,1070.321603
Loriotus_rufiventer,380.0000471,817.3311082
Machaeropterus_pyrocephalus,380.0000471,1070.321603
Malacoptila_semicincta,380.0000471,713.329019
Microcerculus_marginatus,380.0000471,1070.321603
Micromonacha_lanceolata,760.8903,1070.321603
Microrhopias_quixensis,380.9074699,1070.321603
Mionectes_macconnelli,380.0000471,533.9964236
Mionectes_oleagineus,380.0000471,637.0630182
Mionectes_olivaceus,380.0000727,1070.321603
Mionectes_striaticollis,392.9517686,1070.321603
Myadestes_ralloides,584.7768255,1070.321603
Myiarchus_tuberculifer,858.0607279,1070.321603
Myiobius_barbatus,380.0000471,504.430549
Myiobius_villosus,757.8127699,1070.321603
Myioborus_miniatus,948.8839456,1070.321603
Myiodynastes_chrysocephalus,695.1247549,1070.321603
Myiophobus_inornatus,1047.550957,1070.321603
Myiotheretes_striaticollis,572.5914365,1070.321603
Myiothlypis_bivittata,851.4302539,1070.321603
Myiothlypis_chrysogaster,614.0064834,1070.321603
Myiothlypis_fulvicauda,380.0000471,715.2676102
Myiotriccus_ornatus,772.9249806,1070.321603
Myrmelastes_brunneiceps,380.0000471,746.5097098
Myrmelastes_leucostigma,555.8201003,1070.321603
Myrmoborus_leucophrys,380.0000471,1070.321603
Myrmoborus_lophotes,380.0000471,1070.321603
Myrmoborus_myotherinus,380.0000471,747.5128609
Myrmotherula_axillaris,380.0000471,534.2222829
Myrmotherula_brachyura,380.0000471,776.2948127
Myrmotherula_longicauda,969.1766003,1070.321603
Myrmotherula_menetriesii,380.0000471,553.0720514
Odontorchilus_branickii,1054.360323,1070.321603
Oneillornis_salvini,380.0000471,508.6982498
Pachysylvia_hypoxantha,380.0000471,636.6950575
Pheugopedius_genibarbis,686.3796686,1070.321603
Phylloscartes_parkeri,906.3864988,1070.321603
Piaya_cayana,380.0000471,1070.321603
Pipra_fasciicauda,380.0000471,531.4677202
Psarocolius_angustifrons,380.0000471,1070.321603
Psarocolius_atrovirens,826.9226086,1070.321603
Psarocolius_bifasciatus,380.0000471,772.4584179
Psarocolius_decumanus,380.0000471,1070.321603
Pyriglena_leuconota,1036.267373,1070.321603
Ramphocelus_carbo,380.0000471,1070.321603
Ramphotrigon_megacephalum,502.5432852,1050.192956
Rhegmatorhina_melanosticta,380.0000471,1011.101573
Rupicola_peruvianus,934.437731,1070.321603
Saltator_grossus,380.0000471,737.1027516
Saltator_maximus,380.0000471,1070.321603
Sayornis_nigricans,1053.094281,1070.321603
Schiffornis_turdina,506.2266987,1070.321603
Sciaphylax_hemimelaena,380.0000471,1070.321603
Spinus_magellanicus,803.5929157,1070.321603
Stilpnia_cyanicollis,1024.900513,1070.321603
Synallaxis_cabanisi,380.0000471,1070.321603
Syndactyla_ucayalae,380.0000471,1070.321603
Tangara_arthus,1045.821849,1070.321603
Tangara_chilensis,380.0000471,1070.321603
Tangara_gyrola,380.0000471,1070.321603
Tangara_schrankii,380.0000471,630.5838781
Thamnomanes_ardesiacus,380.0000471,525.366705
Thamnomanes_schistogynus,380.0000471,782.9777507
Thamnophilus_palliatus,941.374244,1070.321603
Thamnophilus_schistaceus,380.0000471,848.7361562
Thraupis_episcopus,843.0812738,1070.321603
Thripadectes_holostictus,1062.046162,1070.321603
Tolmomyias_assimilis,380.0000471,1052.482392
Troglodytes_aedon,380.0000471,1070.321603
Trogon_collaris,380.0000471,868.0642237
Trogon_curucui,380.0000471,1070.321603
Trogon_melanurus,380.0000471,699.243252
Trogon_violaceus,380.0000471,922.6705655
Tunchiornis_ochraceiceps,380.0000471,1070.321603
Turdus_hauxwelli,380.0000471,1070.321603
Turdus_ignobilis,380.0000471,988.206604
