species,w_degree
Rauenia_bonariensis,3.025309724
Cyanolyca_viridicyanus,2.97673329
Cyanocorax_yncas,2.84147323
Thamnophilus_unicolor,2.84147323
Poecilotriccus_plumbeiceps,2.791373626
Herpsilochmus_rufimarginatus,2.753631974
Elaenia_albiceps,2.750682879
Chlorospingus_parvirostris,2.739041058
Thraupis_episcopus,2.721588606
Iridosornis_jelskii,2.685575813
Syndactyla_ucayalae,2.683742831
Drymophila_devillei,2.633323243
Troglodytes_solstitialis,2.620836364
Herpsilochmus_axillaris,2.605911244
Arremon_taciturnus,2.583508787
Kleinothraupis_parodii,2.513339948
Coccyzus_melacoryphus,2.512896728
Myrmotherula_multostriata,2.512896728
Thamnophilus_palliatus,2.505509431
Myrmotherula_schisticolor,2.500404426
Metopothrix_aurantiaca,2.472188524
Myrmotherula_longicauda,2.395527284
Myiarchus_tuberculifer,2.375133237
Contopus_fumigatus,2.339395733
Pipreola_intermedia,2.233936974
Piranga_olivacea,2.187289098
Poecilotriccus_latirostris,2.180729176
Myiodynastes_maculatus,2.149547788
Thripophaga_fusciceps,2.149547788
Myiobius_barbatus,2.079535399
Trogon_curucui,2.038367262
Habia_rubica,2.014367205
Cymbilaimus_sanctaemariae,1.988542251
Pipraeidea_melanonota,1.986986114
Elaenia_gigas,1.976298807
Galbula_cyanescens,1.936167346
Anabacerthia_ruficaudata,1.923050787
Tangara_parzudakii,1.923050787
Myrmoborus_leucophrys,1.907735784
Thamnophilus_aethiops,1.901819507
Ancistrops_strigilatus,1.844945752
Cnemotriccus_fuscatus,1.844945752
Coccyzus_americanus,1.832789749
Sittasomus_griseicapillus,1.832789749
Chiroxiphia_boliviana,1.828417035
Myiophobus_inornatus,1.82012555
Xiphorhynchus_ocellatus,1.81329684
Pheucticus_aureoventris,1.797993993
Automolus_rufipileatus,1.75939075
Dendrocincla_merula,1.748879171
Euchrepornis_callinota,1.748879171
Hypocnemis_subflava,1.719084689
Pachyramphus_polychopterus,1.716136276
Tangara_callophrys,1.682407407
Tangara_velia,1.682407407
Catamblyrhynchus_diadema,1.661572271
Epinecrophylla_ornata,1.644794204
Tangara_cyanotis,1.619170787
Trogon_melanurus,1.602829579
Dubusia_castaneoventris,1.595787778
Diglossa_mystacalis,1.586111111
Phylloscartes_poecilotis,1.58337103
Diglossa_caerulescens,1.577431157
Myiophobus_fasciatus,1.545578387
Malacoptila_fulvogularis,1.493573091
Ochthoeca_rufipectoralis,1.47968903
Conirostrum_ferrugineiventre,1.4647343
Isleria_hauxwelli,1.42312775
Cissopis_leverianus,1.415294802
Elaenia_obscura,1.400655197
Ampelion_rubrocristatus,1.354023475
Rhynchocyclus_fulvipectus,1.348078439
Myiozetetes_cayanensis,1.263254099
Piranga_leucoptera,1.143833574
Cyanoloxia_cyanoides,1.138794539
Myiarchus_tyrannulus,1.133711738
Myiarchus_cephalotes,1.096529111
Thamnophilus_doliatus,1.064242378
Piculus_leucolaemus,0.860648148
Hemitriccus_rufigularis,0.858290998
Lepidothrix_coronata,0.853043121
Akletos_goeldii,0.83036485
Dacnis_lineata,0.802483165
Cercomacra_manu,0.780836198
Legatus_leucophaius,0.774869159
NA_,0.756242459
Premnornis_guttuliger,0.656768952
Colaptes_punctigula,0.649770888
Cranioleuca_curtata,0.608296834
Myrmoborus_lophotes,0.600269274
Diglossa_brunneiventris,0.588850915
Arremon_torquatus,0.555642463
Dysithamnus_mentalis,0.530558282
Premnoplex_brunnescens,0.429296484
Terenotriccus_erythrurus,0.390033069
Hafferia_fortis,0.388662668
Cryptopipo_holochlora,0.327311956
Campephilus_melanoleucos,0.324933862
Ceratopipra_erythrocephala,0.299077584
Ceratopipra_chloromeros,0.204069659
Elaenia_parvirostris,0.187352134
Conopophaga_peruviana,0.061666667
