species_taxonomy_SACC_2021,flocking
Tangara nigroviridis,yes
Tangara parzudakii,yes
Ixothraupis punctata,yes
Chalcothraupis ruficervix,yes
Tangara schrankii,yes
Tangara vassorii,yes
Tangara velia,yes
Tangara xanthocephala,yes
Ixothraupis xanthogastra,yes
Terenotriccus erythrurus,yes
Euchrepornis callinota,yes
Thamnomanes ardesiacus,yes
Thamnomanes schistogynus,yes
Thamnophilus doliatus,yes
Thamnophilus aethiops,yes
Thamnophilus palliatus,yes
Thamnophilus schistaceus,yes
Thamnophilus unicolor,yes
Thlypopsis ornata,yes
Thlypopsis ruficeps,yes
Rauenia bonariensis,yes
Sporathraupis cyanocephala,yes
Thraupis episcopus,yes
Thraupis palmarum,yes
Trichothraupis melanops,yes
Thripadectes melanorhynchus,yes
Thripophaga fusciceps,yes
Tityra semifasciata,yes
Todirostrum chrysocrotaphum,yes
Tolmomyias assimilis,yes
Troglodytes solstitialis,yes
Trogon personatus,yes
Trogon collaris,yes
Trogon curucui,yes
Trogon melanurus,yes
Trogon violaceus,yes
Trogon viridis,yes
Turdus nigriceps,yes
Dryobates nigriceps,yes
Vireo leucophrys,yes
Vireo olivaceus,yes
Cryptopipo holochlora,yes
Chloropipo unicolor,yes
Xenops minutus,yes
Xenops rutilans,yes
Xenops tenuirostris,yes
Xiphocolaptes promeropirhynchus,yes
Xiphorhynchus elegans,yes
Xiphorhynchus guttatus,yes
Xiphorhynchus ocellatus,yes
Xiphorhynchus triangularis,yes
Dendroplex picus,yes
Zimmerius bolivianus,yes
