"","species_taxonomy_SACC_2021","deg_binary","species","species_jetz","TipLabel"
"249","Trichothraupis_melanops",54,"Trichothraupis melanops","Trichothraupis melanops","Trichothraupis_melanops"
"250","Troglodytes_solstitialis",27,"Troglodytes solstitialis","Troglodytes solstitialis","Troglodytes_solstitialis"
"251","Trogon_collaris",38,"Trogon collaris","Trogon collaris","Trogon_collaris"
"252","Trogon_curucui",19,"Trogon curucui","Trogon curucui","Trogon_curucui"
"253","Trogon_melanurus",14,"Trogon melanurus","Trogon melanurus","Trogon_melanurus"
"254","Trogon_personatus",55,"Trogon personatus","Trogon personatus","Trogon_personatus"
"255","Trogon_violaceus",34,"Trogon violaceus","Trogon violaceus","Trogon_violaceus"
"256","Trogon_viridis",21,"Trogon viridis","Trogon viridis","Trogon_viridis"
"257","Tunchiornis_ochraceiceps",48,"Hylophilus ochraceiceps","Hylophilus ochraceiceps","Hylophilus_ochraceiceps"
"258","Turdus_nigriceps",30,"Turdus nigriceps","Turdus nigriceps","Turdus_nigriceps"
"259","Vireo_leucophrys",65,"Vireo leucophrys","Vireo leucophrys","Vireo_leucophrys"
"260","Vireo_olivaceus",49,"Vireo olivaceus","Vireo olivaceus","Vireo_olivaceus"
"261","Xenops_minutus",69,"Xenops minutus","Xenops minutus","Xenops_minutus"
"262","Xenops_rutilans",59,"Xenops rutilans","Xenops rutilans","Xenops_rutilans"
"263","Xenops_tenuirostris",57,"Xenops tenuirostris","Xenops tenuirostris","Xenops_tenuirostris"
"264","Xiphocolaptes_promeropirhynchus",69,"Xiphocolaptes promeropirhynchus","Xiphocolaptes promeropirhynchus","Xiphocolaptes_promeropirhynchus"
"265","Xiphorhynchus_elegans",83,"Xiphorhynchus elegans","Xiphorhynchus elegans","Xiphorhynchus_elegans"
"266","Xiphorhynchus_guttatus",94,"Xiphorhynchus guttatus","Xiphorhynchus guttatus","Xiphorhynchus_guttatus"
"267","Xiphorhynchus_ocellatus",20,"Xiphorhynchus ocellatus","Xiphorhynchus ocellatus","Xiphorhynchus_ocellatus"
"268","Xiphorhynchus_triangularis",90,"Xiphorhynchus triangularis","Xiphorhynchus triangularis","Xiphorhynchus_triangularis"
"269","Zimmerius_bolivianus",59,"Zimmerius bolivianus","Zimmerius bolivianus","Zimmerius_bolivianus"
