"","elevation_cat","sociality","foraging_cat","species_jetz","species_clean","ectoparasites_PA_max","sample_size"
"69","lowland_manu",1,"other","Myrmotherula_hauxwelli","Isleria hauxwelli",1,23
"70","lowland_manu",1,"midhigh","Thamnomanes_ardesiacus","Thamnomanes ardesiacus",1,14
"71","lowland_manu",1,"midhigh","Myrmotherula_axillaris","Myrmotherula axillaris",1,24
"72","lowland_manu",1,"understory","Hylophilus_ochraceiceps","Tunchiornis ochraceiceps",1,7
"73","lowland_manu",1,"midhigh","Thamnomanes_schistogynus","Thamnomanes schistogynus",1,12
"74","lowland_manu",0,"ground","Corythopis_torquatus","Corythopis torquatus",1,18
"75","lowland_manu",0,"ground","Willisornis_poecilinotus","Willisornis poecilinotus",1,60
"76","lowland_manu",0,"ground","Sclerurus_caudacutus","Sclerurus caudacutus",1,11
"77","lowland_manu",0,"ground-understory","Microcerculus_marginatus","Microcerculus marginatus",1,19
"78","other_iquitos",1,"midhigh","Thamnophilus_schistaceus","Thamnophilus schistaceus",1,14
"79","other_iquitos",1,"other","Dendrocincla_merula","Dendrocincla merula",1,11
"80","other_iquitos",1,"midhigh","Myrmotherula_axillaris","Myrmotherula axillaris",1,24
"81","other_iquitos",0,"ground","Oryzoborus_angolensis","Sporophila angolensis",0,1
"82","lowland_manu",1,"canopy","Lanio_versicolor","Lanio versicolor",1,5
"83","lowland_iquitos",0,"other","Selenidera_reinwardtii","Selenidera reinwardtii",1,1
"84","lowland_iquitos",0,"understory","Phaethornis_superciliosus","Phaethornis superciliosus",1,1
"85","other_iquitos",0,"ground-midhigh","Micromonacha_lanceolata","Micromonacha lanceolata",1,2
"86","lowland_manu",1,"ground-midhigh","Monasa_morphoeus","Monasa morphoeus",0,3
"87","lowland_manu",1,"undersory-midhigh","Lepidothrix_coronata","Lepidothrix coronata",1,40
"88","lowland_manu",0,"ground-midhigh","Malacoptila_semicincta","Malacoptila semicincta",1,5
"89","lowland_manu",1,"undersory-midhigh","Pipra_chloromeros","Ceratopipra chloromeros",1,102
"90","lowland_manu",1,"other","Monasa_nigrifrons","Monasa nigrifrons",0,2
"91","montane_manu",0,"ground-midhigh","Rupicola_peruvianus","Rupicola peruvianus",1,8
"92","montane_manu",1,"undersory-midhigh","Malacoptila_fulvogularis","Malacoptila fulvogularis",1,7
"93","montane_manu",0,"ground-midhigh","Micromonacha_lanceolata","Micromonacha lanceolata",1,2
"94","montane_manu",1,"midhigh","Galbula_cyanescens","Galbula cyanescens",1,2
"95","lowland_manu",0,"ground-midhigh","Rupicola_peruvianus","Rupicola peruvianus",1,8
"96","high_montane_manu",1,"undersory-midhigh","Pipreola_intermedia","Pipreola intermedia",1,19
"97","high_montane_manu",0,"undersory-midhigh","Pipreola_arcuata","Pipreola arcuata",1,8
"98","lowland_manu",1,"midhigh","Galbula_cyanescens","Galbula cyanescens",1,2
"99","lowland_manu",0,"understory","Schiffornis_turdina","Schiffornis turdina",1,14
"100","lowland_manu",1,"other","Chlorothraupis_carmioli","Chlorothraupis carmioli",1,6
"101","lowland_manu",1,"midhigh","Myiobius_barbatus","Myiobius barbatus",1,5
"102","lowland_manu",1,"canopy","Glyphorynchus_spirurus","Glyphorynchus spirurus",1,99
"103","lowland_manu",0,"midhigh","Platyrinchus_platyrhynchos","Platyrinchus platyrhynchos",0,6
"104","lowland_manu",0,"understory","Hylophylax_naevius","Hylophylax naevius",1,13
