NO#,Collection,Sample label,Sample No. #,Full_Label,Powder lvl,Host genus,Host species,Order,Family,Lice,Mites,Ticks,Other,Host Family,Order2,Date of collection,Country,Province,Locality,Altitude
225,JUM,M,M556,M556,,Geotrygon,montana,Columbiformes,"Columbidae
",Yes,No,No,No,,,,,,,
226,JUM,M,M560,M560,,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",No,Yes,No,No,,,,,,,
227,JUM,M,M561,M561,,Xenops,minutus,Passeriformes,Furnariidae,Yes,Yes,No,No,,,,,,,
228,JUM,M,M564,M564,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
229,JUM,M,M565,M565,,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
230,JUM,M,M568,M568,,Phlegopsis,erythroptera,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
231,JUM,M,M569,M569,,Dendrocincla,merula,Passeriformes,"Furnariidae
",No,No,No,No,,,,,,,
232,JUM,M,M571,M571,,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,No,Yes,No,Yes,,,,,,,
233,JUM,M,M574,M574,,Geotrygon,montana,Columbiformes,"Columbidae
",Yes,No,No,No,,,,,,,
234,JUM,M,M575,M575,,Xiphorhynchus,elegans,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
235,JUM,M,M578,M578,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
236,JUM,M,M579,M579,,Conopophaga,peruviana,Passeriformes,Conopophagidae,No,Yes,No,No,,,,,,,
237,JUM,M,M580,M580,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,Yes,Yes,No,No,,,,,,,
238,JUM,M,M581,M581,,Turdus,albicollis,Passeriformes,Turdidae,Yes,Yes,No,No,,,,,,,
239,JUM,M,M582,M582,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,No,Yes,Yes,No,,,,,,,
240,JUM,M,M583,M583,,Dendrocincla,merula,Passeriformes,"Furnariidae
",Yes,Yes,No,No,,,,,,,
241,JUM,M,M584,M584,,Dendrocincla,merula,Passeriformes,"Furnariidae
",No,Yes,No,No,,,,,,,
242,JUM,M,M588,M588,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,No,Yes,Yes,No,,,,,,,
243,JUM,M,M589,M589,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,Yes,Yes,No,No,,,,,,,
244,JUM,M,M590,M590,,Pithys,albifrons,Passeriformes,Thamnophilidae,Yes,Yes,No,No,,,,,,,
245,JUM,M,M591,M591,,Schiffornis,turdina,Passeriformes,Tityridae,Yes,No,No,No,,,,,,,
246,JUM,M,M593,M593,,Pithys,albifrons,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
247,JUM,M,M594,M594,,Dendrocincla,merula,Passeriformes,"Furnariidae
",No,Yes,No,No,,,,,,,
248,JUM,M,M598,M598,,Dendrocincla,fuliginosa,Passeriformes,"Furnariidae
",Yes,Yes,No,No,,,,,,,
249,JUM,M,M599,M599,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,Yes,No,No,Yes,,,,,,,
250,JUM,M,M600,M600,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
251,JUM,M,M601,M601,,Schiffornis,turdina,Passeriformes,Tityridae,No,No,No,No,,,,,,,
252,JUM,M,M603,M603,,Pseudopipra,pipra,Passeriformes,Pipridae,Yes,No,No,No,,,,,,,
253,JUM,M,M604,M604,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,Yes,No,No,No,,,,,,,
