NO#,Collection,Sample label,Sample No. #,Full_Label,Powder lvl,Host genus,Host species,Order,Family,Lice,Mites,Ticks,Other,Host Family,Order2,Date of collection,Country,Province,Locality,Altitude
404,JUM,,820,820,,Xiphorhynchus,elegans,Passeriformes,Furnariidae,Yes,Yes,No,No,,,,,,,
405,JUM,,821,821,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,Yes,Yes,No,No,,,,,,,
406,JUM,,822,822,,Hylophilus,ochraceiceps,Passeriformes,"Vireonidae
",No,No,No,No,,,,,,,
407,JUM,,823,823,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,No,No,No,Yes,,,,,,,
408,JUM,,831,831,,Manacus,manacus,Passeriformes,Pipridae,No,Yes,No,No,,,,,,,
409,JUM,,824,824,,Lepidothrix,coronata,Passeriformes,Pipridae,No,No,No,Yes,,,,,,,
410,JUM,,826,826,,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,Yes,Yes,No,Yes,,,,,,,
411,JUM,,828,828,,Nonnula,brunnea,Piciformes,"Bucconidae
",No,Yes,No,No,,,,,,,
412,JUM,,835,835,,Myrmelastes,leucostigma,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
413,JUM,,837,837,,Microcerculus,marginatus,Passeriformes,Troglodytidae,No,No,No,Yes,,,,,,,
414,JUM,,853,853,,Nonnula,brunnea,Piciformes,"Bucconidae
",No,No,No,No,,,,,,,
415,JUM,,845,845,,Capito,auratus,Piciformes,"Capitonidae
",No,Yes,No,No,,,,,,,
416,JUM,,866,866,,Manacus,manacus,Passeriformes,Pipridae,Yes,Yes,No,No,,,,,,,
417,JUM,,847,847,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
418,JUM,,848,848,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
419,JUM,,839,839,,Cnipodectes,subbrunneus,Passeriformes,"Tyrannidae
",No,No,No,No,,,,,,,
420,JUM,,850,850,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,Yes,No,No,No,,,,,,,
421,JUM,,851,851,,Percnostola,fortis,Passeriformes,Thamnophilidae,Yes,Yes,No,No,,,,,,,
422,JUM,,860,860,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,Yes,No,No,No,,,,,,,
423,JUM,,867,867,,Manacus,manacus,Passeriformes,Pipridae,Yes,Yes,No,Yes,,,,,,,
424,JUM,,869,869,,Gymnopithys,spirurus,Passeriformes,Thamnophilidae,No,Yes,No,Yes,,,,,,,
425,JUM,,870,870,,Lepidothrix,coronata,Passeriformes,Pipridae,No,No,No,No,,,,,,,
426,JUM,,862,862,,Lepidothrix,coronata,Passeriformes,Pipridae,No,No,No,Yes,,,,,,,
427,JUM,,875,875,,Lepidothrix,coronata,Passeriformes,Pipridae,No,Yes,No,Yes,,,,,,,
428,JUM,,876,876,,Lepidothrix,coronata,Passeriformes,Pipridae,No,No,No,No,,,,,,,
429,JUM,,877,877,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,Yes,Yes,No,Yes,,,,,,,
430,JUM,,881,881,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
431,JUM,,882,882,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
432,JUM,,884,884,,Lepidothrix,coronata,Passeriformes,Pipridae,Yes,No,No,No,,,,,,,
433,JUM,,885,885,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
434,JUM,,886,886,,Lepidothrix,coronata,Passeriformes,Pipridae,No,No,No,No,,,,,,,
435,JUM,,887,887,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
436,JUM,,888,888,,Manacus,manacus,Passeriformes,Pipridae,No,Yes,No,No,,,,,,,
437,JUM,,889,889,,Manacus,manacus,Passeriformes,Pipridae,No,No,No,No,,,,,,,
438,JUM,,893,893,,Onychorhynchus,coronatus,Passeriformes,Tityridae,No,No,No,No,,,,,,,
439,JUM,,892,892,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,Yes,Yes,No,No,,,,,,,
440,JUM,,890,890,,Manacus,manacus,Passeriformes,Pipridae,Yes,No,No,No,,,,,,,
441,JUM,,897,897,,Manacus,manacus,Passeriformes,Pipridae,Yes,No,No,No,,,,,,,
442,JUM,,891,891,,Lepidothrix,coronata,Passeriformes,Pipridae,No,No,No,No,,,,,,,
443,JUM,,898,898,,Manacus,manacus,Passeriformes,Pipridae,No,No,No,No,,,,,,,
444,JUM,,899,899,,Lepidothrix,coronata,Passeriformes,Pipridae,No,No,No,No,,,,,,,
445,JUM,,1002,1002,,Cercomacroides,serva,Passeriformes,"Thamnophilidae
",No,No,No,No,,,,,,,
446,JUM,,1003,1003,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,No,Yes,No,Yes,,,,,,,
447,JUM,,1005,1005,,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
448,JUM,,1006,1006,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
449,JUM,,1007,1007,,Percnostola,fortis,Passeriformes,Thamnophilidae,Yes,Yes,No,No,,,,,,,
450,JUM,,1008,1008,,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
451,JUM,,1010,1010,,Lepidothrix,coronata,Passeriformes,Pipridae,No,Yes,No,No,,,,,,,
452,JUM,,1018,1018,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,Yes,No,No,No,,,,,,,
453,JUM,,1019,1019,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
454,JUM,,1017,1017,,Lepidothrix,coronata,Passeriformes,Pipridae,No,Yes,No,No,,,,,,,
455,JUM,,1011,1011,,Chloroceryle,aenea,Coraciiformes,Alcedinidae,No,Yes,No,No,,,,,,,
456,JUM,,1012,1012,,Ceratopipra,erythrocephala,Passeriformes,Pipridae,Yes,No,No,No,,,,,,,
457,JUM,,1013,1013,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,No,No,Yes,,,,,,,
458,JUM,,1014,1014,,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
459,JEJ,,P120622,P120622,,Formicarius,analis,Passeriformes,Formicariidae,No,No,No,No,,,,,,,
460,JEJ,,P116125,P116125,low,Formicarius,analis,Passeriformes,Formicariidae,No,Yes,No,No,,,,,,,
461,JEJ,,P120778,P120778,very low,Formicarius,analis,Passeriformes,Formicariidae,No,No,No,No,,,,,,,
462,JEJ,,P120896,P120896,low,Formicarius,analis,Passeriformes,Formicariidae,No,Yes,No,No,,,,,,,
463,JEJ,,P121420,P121420,very low,Formicarius,analis,Passeriformes,Formicariidae,No,Yes,No,No,,,,,,,
464,JEJ,,P121421,P121421,low,Formicarius,analis,Passeriformes,Formicariidae,No,Yes,No,No,,,,,,,
465,JEJ,,P120085,P120085,very low,Formicarius,rufipectus,Passeriformes,Formicariidae,Yes,No,No,Yes,,,,,,,
466,JEJ,,W120733,W120733,med,Chamaeza,mollissima,Passeriformes,Formicariidae,Yes,Yes,Yes,No,,,,,,,
467,JEJ,,VC120112,VC120112,low,Formicarius,analis,Passeriformes,Formicariidae,Yes,No,No,No,,,,,,,
468,JUM,,1015,1015,med,Chloroceryle,aenea,Coraciiformes,Alcedinidae,No,Yes,No,Yes,,,,,,,
469,JUM,,1024,1024,low,Thamnomanes,ardesiacus,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
470,JUM,,1021,1021,low,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
471,JEJ,,P110029,P110029,low,Isleria,hauxwelli,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
472,JEJ,,P110033,P110033,low,Thamnomanes,ardesiacus,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
473,JEJ,,P110039,P110039,low,Thamnomanes,ardesiacus,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
474,JEJ,,P110040,P110040,low,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
475,JEJ,,P110073,P110073,med,Thamnomanes,ardesiacus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
476,JEJ,,P110076,P110076,low,Thamnomanes,ardesiacus,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
477,JEJ,,P110082,P110082,low,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
478,JEJ,,P110085,P110085,very low,Isleria,hauxwelli,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
479,JEJ,,P110086,P110086,very low,Isleria,hauxwelli,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
480,JEJ,,P110125,P110125,very low,Hylophilus,ochraceiceps,Passeriformes,Vireonidae,No,No,No,No,,,,,,,
481,JEJ,,P110128,P110128,low,Thamnomanes,schistogynus,Passeriformes,Thamnophilidae,No,Yes,No,Yes,,,,,,,
482,JEJ,,P110140,P110140,low,Corythopis,torquatus,Passeriformes,Tyrannidae,No,Yes,No,No,,,,,,,
483,JEJ,,P110149,P110149,low,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,No,No,Yes,No,,,,,,,
484,JEJ,,P110154,P110154,low,Corythopis,torquatus,Passeriformes,Tyrannidae,No,No,No,No,,,,,,,
485,JEJ,,P110159,P110159,low,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
486,JEJ,,P110171,P110171,low,Sclerurus,caudacutus,Passeriformes,"Furnariidae
",Yes,Yes,No,No,,,,,,,
487,JEJ,,P110172,P110172,low,Isleria,hauxwelli,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
488,JEJ,,P110233,P110233,very low,Microcerculus,marginatus,Passeriformes,Troglodytidae,No,No,No,No,,,,,,,
489,JEJ,,P110215,P110215,low,Isleria,hauxwelli,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
490,JEJ,,P110216,P110216,med,Corythopis,torquatus,Passeriformes,Tyrannidae,No,Yes,No,No,,,,,,,
491,JEJ,,P110238,P110238,low,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
492,JEJ,,P110290,P110290,low,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
493,JUM,,1020,1020,med,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
494,JUM,,1032,1032,med,Phlegopsis,erythroptera,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
495,JUM,,1021,1021,low,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
496,JEJ,,P110297,P110297,low,Thamnomanes,ardesiacus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
497,JEJ,,P110337,P110337,low,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
498,JUM,,1036,1036,med,Automolus,subulatus,Passeriformes,Furnariidae,Yes,Yes,No,No,,,,,,,
499,JEJ,,P110342,P110342,low,Sclerurus,caudacutus,Passeriformes,"Furnariidae
",No,Yes,No,No,,,,,,,
500,JUM,,1038,1038,low,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
501,JUM,,1037,1037,med,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
502,JUM,,1035,1035,high,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
503,JEJ,,P110380,P110380,low,Isleria,hauxwelli,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
504,JEJ,,P110387,P110387,low,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
505,JUM,,1029,1029,med,Phlegopsis,erythroptera,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
506,JUM,,1045,1045,low,Thamnophilus,schistaceus,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
507,JEJ,,P110390,P110390,low,Microcerculus,marginatus,Passeriformes,Troglodytidae,No,Yes,No,No,,,,,,,
508,JUM,,1047,1047,low,Thamnophilus,murinus,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
509,JUM,,1048,1048,low,Automolus,subulatus,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
510,JEJ,,P110391,P110391,low,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
511,JUM,,1049,1049,med,Dendrocincla,merula,Passeriformes,"Furnariidae
",No,No,No,No,,,,,,,
512,JUM,,1066,1066,med,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
513,JUM,,1053,1053,med,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
514,JUM,,V1082,V1082,med,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
515,JEJ,,P115901,P115901,low,Sclerurus,caudacutus,Passeriformes,"Furnariidae
",Yes,Yes,No,No,,,,,,,
516,JUM,,1051,1051,low,Pithys,albifrons,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
517,JUM,,1052,1052,low,Microcerculus,marginatus,Passeriformes,Troglodytidae,No,Yes,No,No,,,,,,,
518,JUM,,1067,1067,low,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
519,JUM,,V1097,V1097,med,Synallaxis,rutilans,Passeriformes,Furnariidae,Yes,No,No,No,,,,,,,
520,JUM,V,1099,V1099,med,Glyphorynchus,spirurus,Passeriformes,Furnariidae,Yes,Yes,No,No,,,,,,,
521,JUM,,1062,1062,low,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
522,JUM,,1093,1093,very low,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,No,Yes,No,,,,,,,
523,JUM,,1084,1084,very low,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,No,No,Yes,No,,,,,,,
524,JUM,,1056,1056,med,Cnipodectes,subbrunneus,Passeriformes,"Tyrannidae
",Yes,Yes,No,No,,,,,,,
525,JUM,,1071,1071,low,Sporophila,angolensis,Passeriformes,"Thraupidae
",No,No,No,No,,,,,,,
526,JUM,,1059,1059,med,Cercomacroides,serva,Passeriformes,"Thamnophilidae
",Yes,No,No,No,,,,,,,
527,JUM,V,1100?,V1100?,low,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
528,JUM,V,1077,V1077,low,Xiphorhynchus,elegans,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
529,JUM,V,1080,V1080,low,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
530,JUM,,1060,1060,2 tubes -med/low,Sclerurus,mexicanus,Passeriformes,"Furnariidae
",No,Yes,No,No,,,,,,,
531,JEJ,,P115908,P115908,low,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
532,JEJ,,P115909,P115909,med,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
533,JEJ,,P115953,P115953,low,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
534,JEJ,,P115954,P115954,med,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
535,JEJ,,P115962,P115962,med,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
536,JEJ,,P115972,P115972,low,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,No,No,No,No,,,,,,,
537,JEJ,,P115976,P115976,low,Lanio,versicolor,Passeriformes,"Thraupidae
",Yes,Yes,No,No,,,,,,,
538,JEJ,,P115979,P115979,med,Thamnomanes,schistogynus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
539,JUM,,1022,1022,very low,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,Yes,No,No,No,,,,,,,
540,JUM,V,1102,V1102,high,Selenidera,reinwardtii,Piciformes,"Ramphastidae
",No,Yes,No,No,,,,,,,
541,JUM,V,1162,V1162,med,Glyphorynchus,spirurus,Passeriformes,Furnariidae,Yes,No,No,Yes,,,,,,,
542,JUM,V,1256,V1256,high,Mionectes,oleagineus,Passeriformes,Tyrannidae,Yes,Yes,No,No,,,,,,,
543,JUM,V,1138,V1138,high,Geotrygon,montana,Columbiformes,"Columbidae
",Yes,Yes,No,No,,,,,,,
544,JUM,V,1116,V1116,med,Dendrocincla,fuliginosa,Passeriformes,"Furnariidae
",No,No,No,No,,,,,,,
545,JUM,V,1159,V1159,med,Dendrocincla,merula,Passeriformes,"Furnariidae
",Yes,No,No,No,,,,,,,
546,JUM,V,1136,V1136,med,Pseudopipra,pipra,Passeriformes,Pipridae,Yes,Yes,No,Yes,,,,,,,
547,JUM,V,1186,V1186,low,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
548,JUM,V,1187,V1187,med,Xiphorhynchus,elegans,Passeriformes,Furnariidae,No,No,No,Yes,,,,,,,
549,JUM,V,1132,V1132,very low,Phaetornis,superciliosus,Apodiformes,Trochilidae,No,Yes,No,No,,,,,,,
550,JEJ,,P116000,P116000,low,Thamnomanes,schistogynus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
551,JEJ,,P116031,P116031,low,Isleria,hauxwelli,Passeriformes,Thamnophilidae,No,No,No,Yes,,,,,,,
552,JEJ,,P116087,P116087,low,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
553,JUM,V,1198,V1198,low,Sclerurus,caudacutus,Passeriformes,"Furnariidae
",No,Yes,No,No,,,,,,,
554,JUM,V,1189,V1189,med,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
555,JUM,V,1149,V1149,med,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,No,No,No,,,,,,,
556,JUM,V,1173,V1173,med,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
557,JUM,V,1200,V1200,med,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
558,JUM,V,1206,V1206,low,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Yes,No,No,,,,,,,
559,JUM,,934,934,med,Nonnula,brunnea,Piciformes,"Bucconidae
",No,No,No,No,,,,,,,
560,JUM,,935,935,med,Nonnula,brunnea,Piciformes,"Bucconidae
",Yes,No,No,No,,,,,,,
561,JUM,,937,937,med,Galbula,albirostris,Piciformes,"Galbulidae
",No,No,No,No,,,,,,,
562,JUM,,938,938,med,Galbula,albirostris,Piciformes,"Galbulidae
",No,No,No,No,,,,,,,
563,JUM,,939,939,med,Galbula,albirostris,Piciformes,"Galbulidae
",No,No,No,No,,,,,,,
564,JUM,,1489,1489,med,Nonnula,brunnea,Piciformes,"Bucconidae
",Yes,No,No,No,,,,,,,
565,JUM,,1497,1497,low,Nonnula,brunnea,Piciformes,"Bucconidae
",No,No,No,No,,,,,,,
566,JUM,,M1694,M1694,high,Malacoptila,fusca,Piciformes,Bucconidae,No,No,No,No,,,,,,,
567,JUM,,V1811,V1811,med,Galbula,albirostris,Piciformes,"Galbulidae
",No,No,No,No,,,,,,,
568,JUM,,2108,2108,med,Nonnula,brunnea,Piciformes,"Bucconidae
",No,Yes,No,No,,,,,,,
569,JUM,,2114,2114,med,Galbula,albirostris,Piciformes,"Galbulidae
",No,No,No,No,,,,,,,
570,JUM,,1582,1582,med,Micromonacha,lanceolata,Piciformes,"Bucconidae
",Yes,Yes,No,No,,,,,,,
571,JUM,,3612,3612,med,Nonnula,brunnea,Piciformes,"Bucconidae
",No,No,No,No,,,,,,,
572,JUM,,4018,4018,low,Malacoptila,fusca,Piciformes,Bucconidae,No,Yes,No,No,,,,,,,
573,JUM,,4032,4032,med,Malacoptila,fusca,Piciformes,Bucconidae,No,No,No,No,,,,,,,
574,JEJ,P11,167,P110167,low,Monasa,morphoeus,Piciformes,Bucconidae,No,No,No,No,,,,,,,
575,JEJ,P11,6337,P116337,med,Monasa,morphoeus,Piciformes,Bucconidae,No,No,No,No,,,,,,,
576,JEJ,P11,6338,P116338,low,Monasa,morphoeus,Piciformes,Bucconidae,No,No,No,No,,,,,,,
577,JEJ,P11,6435,P116435,med,Lepidothrix,coronata,Passeriformes,Pipridae,No,No,No,No,,,,,,,
578,JEJ,P12,740,P120740,very low,Malacoptila,semicincta,Piciformes,Bucconidae,No,No,No,No,,,,,,,
579,JEJ,P12,863,P120863,very low,Ceratopipra ,chloromeros,Passeriformes,Pipridae,No,No,No,No,,,,,,,
580,JEJ,P12,872,P120872,low,Monasa,nigrifrons,Piciformes,"Bucconidae
",No,No,No,No,,,,,,,
581,JEJ,P12,1117,P121117,low,Monasa,nigrifrons,Piciformes,"Bucconidae
",No,No,No,No,,,,,,,
582,JEJ,P12,P121372,P121372,low,Malacoptila,semicincta,Piciformes,Bucconidae,Yes,No,No,No,,,,,,,
583,JEJ,SP12,SP120642,SP120642,low,Rupicola,peruvianus,Passeriformes,"Cotingidae
",Yes,Yes,No,No,,,,,,,
584,JEJ,SP12,SP120665,SP120665,low,Rupicola,peruvianus,Passeriformes,"Cotingidae
",Yes,Yes,No,No,,,,,,,
585,JEJ,SP12,SP120678,SP120678,low,Rupicola,peruvianus,Passeriformes,"Cotingidae
",Yes,Yes,No,No,,,,,,,
586,JEJ,SP12,SP120797,SP120797,low,Rupicola,peruvianus,Passeriformes,"Cotingidae
",Yes,Yes,No,No,,,,,,,
587,JEJ,SP12,SP120813,SP120813,low,Malacoptila,fulvogularis,Piciformes,Bucconidae,No,No,No,No,,,,,,,
588,JEJ,SP12,SP120819,SP120819,low,Rupicola,peruvianus,Passeriformes,"Cotingidae
",Yes,Yes,No,No,,,,,,,
589,JEJ,SP12,SP120821,SP120821,low,Micromonacha,lanceolata,Piciformes,"Bucconidae
",No,No,No,No,,,,,,,
590,JEJ,SP12,SP120878,SP120878,low,Galbula,cynescens,Piciformes,"Galbulidae
",No,No,No,No,,,,,,,
591,JEJ,SP12,SP120917,SP120917,low,Malacoptila,fulvogularis,Piciformes,Bucconidae,No,Yes,No,No,,,,,,,
592,JEJ,P12,P121006,P121006,low,Rupicola,peruvianus,Passeriformes,"Cotingidae
",Yes,No,No,No,,,,,,,
593,JEJ,SP12,SP121176,SP121176,low,Malacoptila,fulvogularis,Piciformes,Bucconidae,No,Yes,No,No,,,,,,,
594,JEJ,SP12,SP121189,SP121189,low,Malacoptila,fulvogularis,Piciformes,Bucconidae,Yes,Yes,No,Yes,,,,,,,
595,JEJ,SP12,SP121234,SP121234,med,Rupicola,peruvianus,Passeriformes,"Cotingidae
",Yes,No,No,No,,,,,,,
596,JEJ,SP12,SP121235,SP121235,low,Malacoptila,fulvogularis,Piciformes,Bucconidae,No,No,No,No,,,,,,,
597,JEJ,SP12,SP121276,SP121276,low,Malacoptila,fulvogularis,Piciformes,Bucconidae,No,Yes,No,No,,,,,,,
598,JEJ,SP12,SP121319,SP121319,low,Rupicola,peruvianus,Passeriformes,"Cotingidae
",Yes,Yes,No,No,,,,,,,
599,JEJ,W12,W120250,W120250,med,Pipreola,intermedia,Passeriformes,"Cotingidae
",No,No,No,No,,,,,,,
600,JEJ,W12,W120299,W120299,very low,Pipreola,intermedia,Passeriformes,"Cotingidae
",No,No,No,No,,,,,,,
601,JEJ,W12,W120481,W120481,med,Pipreola,intermedia,Passeriformes,"Cotingidae
",No,Yes,No,No,,,,,,,
602,JEJ,W12,W120617,W120617,med,Pipreola,intermedia,Passeriformes,"Cotingidae
",Yes,Yes,No,No,,,,,,,
603,JEJ,W12,W120650,W120650,high,Pipreola,arcuata,Passeriformes,"Cotingidae
",Yes,No,No,No,,,,,,,
604,JEJ,W12,W120662,W120662,high,Pipreola,intermedia,Passeriformes,"Cotingidae
",No,Yes,No,No,,,,,,,
605,JEJ,W12,W120683,W120683,high,Pipreola,arcuata,Passeriformes,"Cotingidae
",No,No,No,No,,,,,,,
606,JEJ,W12,W120693,W120693,high,Pipreola,intermedia,Passeriformes,"Cotingidae
",No,Yes,No,No,,,,,,,
607,JEJ,W12,W120701,W120701,high,Pipreola,intermedia,Passeriformes,"Cotingidae
",No,Yes,No,No,,,,,,,
608,JEJ,W12,W120717,W120717,med,Pipreola,arcuata,Passeriformes,"Cotingidae
",Yes,Yes,No,No,,,,,,,
609,JEJ,W12,W120722,W120722,med,Pipreola,arcuata,Passeriformes,"Cotingidae
",Yes,Yes,No,No,,,,,,,
610,JEJ,W12,W120737,W120737,med,Pipreola,arcuata,Passeriformes,"Cotingidae
",Yes,Yes,No,No,,,,,,,
611,JEJ,W12,W120816,W120816,med,Pipreola,intermedia,Passeriformes,"Cotingidae
",No,Yes,No,No,,,,,,,
612,JEJ,W12,W121017,W121017,low,Pipreola,intermedia,Passeriformes,"Cotingidae
",Yes,Yes,No,No,,,,,,,
613,JEJ,W12,W121018,W121018,med,Pipreola,intermedia,Passeriformes,"Cotingidae
",Yes,Yes,No,No,,,,,,,
614,JEJ,W12,W121045,W121045,med,Pipreola,intermedia,Passeriformes,"Cotingidae
",No,Yes,No,No,,,,,,,
615,JEJ,W12,W121150,W121150,low,Pipreola,intermedia,Passeriformes,"Cotingidae
",No,No,No,No,,,,,,,
616,JEJ,SP13,SP13356,SP13356,med,Malacoptila,fulvogularis,Piciformes,Bucconidae,No,No,No,No,,,,,,,
617,JEJ,P13,P130043,P130043,very low,Malacoptila,semicincta,Piciformes,Bucconidae,No,No,No,No,,,,,,,
618,JEJ,P13,P130063,P130063,very low,Malacoptila,semicincta,Piciformes,Bucconidae,No,No,No,No,,,,,,,
619,JEJ,P13,P130357,P130357,low,Malacoptila,semicincta,Piciformes,Bucconidae,No,No,No,No,,,,,,,
620,JEJ,P13,765,P130765,very low,Galbula,cyanescens,Piciformes,"Galbulidae
",Yes,No,No,No,,,,,,,
621,JEJ,W13,133,W130133,very low,Pipreola,intermedia,Passeriformes,"Cotingidae
",No,Yes,No,No,,,,,,,
622,JEJ,W13,376,W130376,very low,Pipreola,intermedia,Passeriformes,"Cotingidae
",No,Yes,No,No,,,,,,,
623,JEJ,W13,408,W130408,med,Pipreola,arcuata,Passeriformes,"Cotingidae
",Yes,Yes,No,No,,,,,,,
624,JEJ,W13,514,W130514,low,Pipreola,arcuata,Passeriformes,"Cotingidae
",No,No,No,No,,,,,,,
625,JEJ,W13,657,W130657,low,Pipreola,intermedia,Passeriformes,"Cotingidae
",No,Yes,No,No,,,,,,,
626,JEJ,W13,693,W130693,low,Pipreola,intermedia,Passeriformes,"Cotingidae
",No,Yes,No,No,,,,,,,
627,JEJ,W13,860,W130860,med,Pipreola,intermedia,Passeriformes,"Cotingidae
",No,Yes,No,No,,,,,,,
628,JEJ,W13,861,W130861,med,Pipreola,intermedia,Passeriformes,"Cotingidae
",No,Yes,No,Yes,,,,,,,
629,JEJ,W13,862,W130862,med,Pipreola,intermedia,Passeriformes,"Cotingidae
",No,Yes,No,No,,,,,,,
630,JEJ,W12,473,W130473,med,Pipreola,arcuata,Passeriformes,"Cotingidae
",No,No,No,No,,,,,,,
631,JEJ,P11,6038,P116038,med,Thamnomanes,schistogynus,Passeriformes,Thamnophilidae,No,Yes,No,No,,,,,,,
632,JEJ,P11,6078,P116078,med,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,Yes,Yes,No,No,,,,,,,
