elevation_cat,sociality,foraging_cat,species_jetz,species_clean,mean_lice
montane_manu,0,ground,Cyphorhinus_thoracicus,Cyphorhinus thoracicus,1.75
montane_manu,1,midhigh,Basileuterus_bivittatus,Myiothlypis bivittata,5.8
lowland_manu,1,ground,Myrmeciza_fortis,Hafferia fortis,1
lowland_manu,0,ground,Rhegmatorhina_melanosticta,Rhegmatorhina melanosticta,1.6666666666666667
lowland_manu,0,other,Thalurania_furcata,Thalurania furcata,1
lowland_manu,1,ground,Cyanocompsa_cyanoides,Cyanoloxia cyanoides,1.3333333333333333
lowland_manu,1,ground-understory,Ancistrops_strigilatus,Ancistrops strigilatus,3
montane_manu,1,understory,Hemispingus_melanotis,Sphenopsis melanotis,3.3333333333333335
montane_manu,1,midhigh,Diglossa_glauca,Diglossa glauca,4
montane_manu,1,understory,Mionectes_olivaceus,Mionectes olivaceus,4.611111111111111
montane_manu,1,midhigh,Anisognathus_somptuosus,Anisognathus somptuosus,6
montane_manu,1,understory,Iridosornis_analis,Iridosornis analis,3
high_montane_manu,1,midhigh,Buthraupis_montana,Buthraupis montana,1.3333333333333333
high_montane_manu,1,canopy,Thraupis_cyanocephala,Sporathraupis cyanocephala,13
high_montane_manu,0,ground,Haplospiza_rustica,Haplospiza rustica,2
