"","species_pair","species","species2","low_limit","high_limit"
"53","Cercomacra.manu&Cercomacroides.serva","Cercomacra.manu","Cercomacroides.serva",380,1047.448962
"54","Cymbilaimus.sanctaemariae&Cercomacroides.serva","Cymbilaimus.sanctaemariae","Cercomacroides.serva",405.5124356,1161.333136
"55","Drymophila.caudata&Cercomacroides.serva","Drymophila.caudata","Cercomacroides.serva",1432.910889,1566.929409
"56","Dysithamnus.mentalis&Cercomacroides.serva","Dysithamnus.mentalis","Cercomacroides.serva",583.0497077,1566.929409
"57","Epinecrophylla.ornata&Cercomacroides.serva","Epinecrophylla.ornata","Cercomacroides.serva",478.8607096,1566.929409
"58","Epinecrophylla.spodionota&Cercomacroides.serva","Epinecrophylla.spodionota","Cercomacroides.serva",854.8672431,1423.114472
"59","Hafferia.fortis&Cercomacroides.serva","Hafferia.fortis","Cercomacroides.serva",380.0000471,613.5858084
"60","Herpsilochmus.axillaris&Cercomacroides.serva","Herpsilochmus.axillaris","Cercomacroides.serva",920.4601664,1566.929409
"61","Hylophylax.naevius&Cercomacroides.serva","Hylophylax.naevius","Cercomacroides.serva",380,1288.421472
"62","Hypocnemis.subflava&Cercomacroides.serva","Hypocnemis.subflava","Cercomacroides.serva",451.2888823,1437.704218
"63","Microrhopias.quixensis&Cercomacroides.serva","Microrhopias.quixensis","Cercomacroides.serva",380.9074699,1185.003847
"64","Myrmelastes.brunneiceps&Cercomacroides.serva","Myrmelastes.brunneiceps","Cercomacroides.serva",380.0000471,746.5097098
"65","Myrmelastes.leucostigma&Cercomacroides.serva","Myrmelastes.leucostigma","Cercomacroides.serva",555.8201003,1419.427474
"66","Myrmoborus.leucophrys&Cercomacroides.serva","Myrmoborus.leucophrys","Cercomacroides.serva",380,1130.37757
"67","Myrmoborus.lophotes&Cercomacroides.serva","Myrmoborus.lophotes","Cercomacroides.serva",380,1158.186905
"68","Myrmoborus.myotherinus&Cercomacroides.serva","Myrmoborus.myotherinus","Cercomacroides.serva",380.0000471,747.5128609
"69","Myrmotherula.axillaris&Cercomacroides.serva","Myrmotherula.axillaris","Cercomacroides.serva",380.0000471,534.2222829
