flock_id,elevation,elevation_bin,num_species,num_ind,flock_type,flock_type_ref,flock_type_cat,sites,trail,weather_cloudy,forest_type,habitat,mean_canopy_H,num_trees,num_sm_steam,num_lg_steam,vain_vol,bamb_vol,canopy_cover,epiphyte_perc,site_network_q1,site_network_q1_1
F105,410,300_500,6,7,1,1,Lowland_understory,Pantiacolla,Capibara trail,100,Lowland forest,Disturbed primary forest,18,22,43,15,0,20,40,NA,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
F107,441,300_500,NA,NA,1,1,Lowland_understory,Pantiacolla,Mirador,100,NA,Disturbed primary forest,27,15,41,24,20,0,40,NA,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
F109,450,300_500,5,10,1,1,Lowland_understory,Pantiacolla,Monk-saki Trail,100,Lowland forest,Disturbed primary forest,24,NA,NA,NA,NA,NA,NA,NA,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
F113,424,300_500,4,7,1,1,Lowland_understory,Pantiacolla,Pichico trail,0,Lowland forest,Disturbed primary forest,NA,NA,NA,NA,NA,NA,NA,NA,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
F114,432,300_500,NA,NA,1,1,Lowland_understory,Pantiacolla,Mirador,50,NA,Disturbed primary forest,22,26,27,25,0,0,40,NA,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
F115,430,300_500,NA,NA,1,1,Lowland_understory,Pantiacolla,Pichico trail,0,NA,Disturbed primary forest,24,24,18,28,0,0,20,NA,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
F116,430,300_500,11,16,1,1,Lowland_understory,Pantiacolla,Monk-saki Trail,100,Lowland forest,Disturbed primary forest,19,23,17,19,10,0,30,NA,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
F118,407,300_500,4,6,1,1,Lowland_understory,Pantiacolla,Monk-saki Trail,100,Lowland forest,Disturbed primary forest,23,22,20,34,5,0,30,NA,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
F120,643,500_700,10,14,1,1,Lowland_understory,Pantiacolla,Mirador,100,Lowland forest,Disturbed primary forest,22,20,27,70,0,0,5,NA,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
F123,680,500_700,9,12,1,1,Lowland_understory,Pantiacolla,Mirador,70,Lowland forest,Disturbed primary forest,24,28,40,44,0,0,40,NA,Site1_Lowland_Pantiacolla_350_900,Site1_Lowland_Pantiacolla_350_900_ Lowland_understory
