,species_from_detections,species_taxonomy_SACC_2021,n,species,species_jetz,notes_taxonomy.x.x,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,X2010.IUCN.Red.List.category,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,n.y,notes_taxonomy.x.y,missmatches,status,X
1,Aglaiocercus kingii,Aglaiocercus kingii,32,Aglaiocercus kingii,Aglaiocercus kingi,NA,2765,Aglaiocercus_kingi,Trochilidae,Hummingbirds,Hummingbirds,Long-tailed Sylph,bow02765,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,assigned
2,Heliodoxa rubinoides,Heliodoxa rubinoides,7,Heliodoxa rubinoides,Heliodoxa rubinoides,NA,2676,Heliodoxa_rubinoides,Trochilidae,Hummingbirds,Hummingbirds,Fawn-breasted Brilliant,bow02676,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
3,Adelomyia melanogenys,Adelomyia melanogenys,208,Adelomyia melanogenys,Adelomyia melanogenys,NA,2665,Adelomyia_melanogenys,Trochilidae,Hummingbirds,Hummingbirds,Speckled Hummingbird,bow02665,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
4,Carduelis magellanica,Spinus magellanicus,39,Carduelis magellanica,Carduelis magellanica,REV_TAX,12324,Carduelis_magellanica,P10,"Finches, Allies","Finches, Allies",Hooded Siskin,bow12324,LC,BL3,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
5,Coeligena coeligena,Coeligena coeligena,157,Coeligena coeligena,Coeligena coeligena,NA,2697,Coeligena_coeligena,Trochilidae,Hummingbirds,Hummingbirds,Bronzy Inca,bow02697,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
6,Henicorhina leucophrys,Henicorhina leucophrys,844,Henicorhina leucophrys,Henicorhina leucophrys,NA,9777,Henicorhina_leucophrys,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",Grey-breasted Wood-wren,bow09777,LC,BL3,Troglodytidae,Wrens,162,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
7,Basileuterus tristriatus,Basileuterus tristriatus,221,Basileuterus tristriatus,Basileuterus tristriatus,NA,12792,Basileuterus_tristriatus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Three-striped Warbler,bow12792,LC,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
8,Schistes geoffroyi,Schistes geoffroyi,61,Schistes geoffroyi,Schistes geoffroyi,NA,2772,Schistes_geoffroyi,Trochilidae,Hummingbirds,Hummingbirds,Wedge-billed Hummingbird,bow02772,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
9,Myiothlypis coronata,Myiothlypis coronata,503,Basileuterus coronatus,Basileuterus coronatus,REV_TAX,12782,Basileuterus_coronatus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Russet-crowned Warbler,bow12782,LC,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
10,Mionectes striaticollis,Mionectes striaticollis,967,Mionectes striaticollis,Mionectes striaticollis,NA,5761,Mionectes_striaticollis,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Streak-necked Flycatcher,bow05761,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
11,Chaetocercus mulsant,Chaetocercus mulsant,5,Chaetocercus mulsant,Chaetocercus mulsant,NA,2805,Chaetocercus_mulsant,Trochilidae,Hummingbirds,Hummingbirds,White-bellied Woodstar,bow02805,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
12,Atlapetes melanolaemus,Atlapetes melanolaemus,741,Atlapetes melanolaemus,Atlapetes melanolaemus,NA,19576,Atlapetes_melanolaemus,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Black-faced Brush-finch,bow19576,LC,BL3,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
13,Thlypopsis ruficeps,Thlypopsis ruficeps,56,Thlypopsis ruficeps,Thlypopsis ruficeps,NA,12865,Thlypopsis_ruficeps,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Rust-and-yellow Tanager,bow12865,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
14,Synallaxis azarae,Synallaxis azarae,714,Synallaxis azarae,Synallaxis azarae,NA,6697,Synallaxis_azarae,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Azara's Spinetail,bow06697,LC,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
15,Elaenia pallatangae,Elaenia pallatangae,252,Elaenia pallatangae,Elaenia pallatangae,NA,5890,Elaenia_pallatangae,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Sierran Elaenia,bow05890,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
16,Turdus chiguanco,Turdus chiguanco,27,Turdus chiguanco,Turdus chiguanco,NA,8971,Turdus_chiguanco,M5,Thrushes,"Thrushes, Dippers, Chats, Old World Flycatchers",Chiguanco Thrush,bow08971,LC,BL3,Turdidae,Thrushes,178,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
17,Haplophaedia assimilis,Haplophaedia assimilis,9,Haplophaedia assimilis,Haplophaedia assimilis,NA,19038,Haplophaedia_assimilis,Trochilidae,Hummingbirds,Hummingbirds,Buff-thighed Puffleg,bow19038,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
18,Premnornis guttuliger,Premnornis guttuliger,6,Premnornis guttuliger,Premnornis guttuligera,NA,6810,Premnornis_guttuligera,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Rusty-winged Barbtail,bow06810,LC,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,assigned
19,Pseudotriccus simplex,Pseudotriccus simplex,4,Pseudotriccus simplex,Pseudotriccus simplex,NA,5771,Pseudotriccus_simplex,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Hazel-fronted Pygmy-tyrant,bow05771,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
20,Xiphorhynchus triangularis,Xiphorhynchus triangularis,174,Xiphorhynchus triangularis,Xiphorhynchus triangularis,NA,6935,Xiphorhynchus_triangularis,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Olive-backed Woodcreeper,bow06935,LC,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
21,Mecocerculus leucophrys,Mecocerculus leucophrys,55,Mecocerculus leucophrys,Mecocerculus leucophrys,NA,5892,Mecocerculus_leucophrys,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",White-throated Tyrannulet,bow05892,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
22,Tangara xanthocephala,Tangara xanthocephala,20,Tangara xanthocephala,Tangara xanthocephala,NA,13022,Tangara_xanthocephala,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Saffron-crowned Tanager,bow13022,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
23,Colibri thalassinus,Colibri cyanotus,169,Colibri thalassinus,Colibri thalassinus,REV_TAX,2516,Colibri_thalassinus,Trochilidae,Hummingbirds,Hummingbirds,Green Violet-ear,bow02516,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
24,Pyrrhomyias cinnamomeus,Pyrrhomyias cinnamomeus,438,Pyrrhomyias cinnamomeus,Pyrrhomyias cinnamomeus,NA,6006,Pyrrhomyias_cinnamomeus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Cinnamon Flycatcher,bow06006,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
25,Lepidothrix coeruleocapilla,Lepidothrix coeruleocapilla,256,Lepidothrix coeruleocapilla,Lepidothrix coeruleocapilla,NA,6354,Lepidothrix_coeruleocapilla,Pipridae,Manakins,Manakins,Cerulean-capped Manakin,bow06354,LC,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
26,Chrysuronia oenone,Chrysuronia oenone,22,Chrysuronia oenone,Chrysuronia oenone,NA,2600,Chrysuronia_oenone,Trochilidae,Hummingbirds,Hummingbirds,Golden-tailed Sapphire,bow02600,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
27,Phlogophilus harterti,Phlogophilus harterti,238,Phlogophilus harterti,Phlogophilus harterti,NA,2668,Phlogophilus_harterti,Trochilidae,Hummingbirds,Hummingbirds,Peruvian Piedtail,bow02668,NT,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
28,Tangara arthus,Tangara arthus,118,Tangara arthus,Tangara arthus,NA,13020,Tangara_arthus,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Golden Tanager,bow13020,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
29,Myadestes ralloides,Myadestes ralloides,442,Myadestes ralloides,Myadestes ralloides,NA,8886,Myadestes_ralloides,M5,Thrushes,"Thrushes, Dippers, Chats, Old World Flycatchers",Andean Solitaire,bow08886,LC,BL3,Turdidae,Thrushes,178,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
30,Eutoxeres condamini,Eutoxeres condamini,286,Eutoxeres condamini,Eutoxeres condamini,NA,2492,Eutoxeres_condamini,Trochilidae,Hummingbirds,Hummingbirds,Buff-tailed Sicklebill,bow02492,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
31,Phaethornis guy,Phaethornis guy,230,Phaethornis guy,Phaethornis guy,NA,2462,Phaethornis_guy,Trochilidae,Hummingbirds,Hummingbirds,Green Hermit,bow02462,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
32,Ocreatus underwoodii,Ocreatus underwoodii,236,Ocreatus underwoodii,Ocreatus underwoodii,NA,2737,Ocreatus_underwoodii,Trochilidae,Hummingbirds,Hummingbirds,Booted Racket-tail,bow02737,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
33,Thripadectes melanorhynchus,Thripadectes melanorhynchus,214,Thripadectes melanorhynchus,Thripadectes melanorhynchus,NA,6857,Thripadectes_melanorhynchus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Black-billed Treehunter,bow06857,LC,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
34,Chlorochrysa calliparaea,Chlorochrysa calliparaea,127,Chlorochrysa calliparaea,Chlorochrysa calliparaea,NA,13003,Chlorochrysa_calliparaea,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Orange-eared Tanager,bow13003,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
35,Heliodoxa schreibersii,Heliodoxa schreibersii,9,Heliodoxa schreibersii,Heliodoxa schreibersii,NA,2674,Heliodoxa_schreibersii,Trochilidae,Hummingbirds,Hummingbirds,Black-throated Brilliant,bow02674,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
36,Euphonia xanthogaster,Euphonia xanthogaster,602,Euphonia xanthogaster,Euphonia xanthogaster,NA,12993,Euphonia_xanthogaster,P10,"Finches, Allies","Finches, Allies",Orange-bellied Euphonia,bow12993,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
37,Threnetes leucurus,Threnetes leucurus,137,Threnetes leucurus,Threnetes leucurus,NA,19875,Threnetes_leucurus,Trochilidae,Hummingbirds,Hummingbirds,Pale-tailed Barbthroat,bow19875,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
38,Conopophaga ardesiaca,Conopophaga ardesiaca,183,Conopophaga ardesiaca,Conopophaga ardesiaca,NA,7030,Conopophaga_ardesiaca,Conopophagidae,"Gnateaters, Allies","Gnateaters, Allies",Slaty Gnateater,bow07030,LC,BL3,Conopophagidae,Gnateaters,107,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
39,Chiroxiphia boliviana,Chiroxiphia boliviana,614,Chiroxiphia boliviana,Chiroxiphia boliviana,NA,6359,Chiroxiphia_boliviana,Pipridae,Manakins,Manakins,Yungas Manakin,bow06359,LC,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
40,Heliodoxa leadbeateri,Heliodoxa leadbeateri,336,Heliodoxa leadbeateri,Heliodoxa leadbeateri,NA,2678,Heliodoxa_leadbeateri,Trochilidae,Hummingbirds,Hummingbirds,Violet-fronted Brilliant,bow02678,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
41,Mionectes olivaceus,Mionectes olivaceus,505,Mionectes olivaceus,Mionectes olivaceus,NA,5762,Mionectes_olivaceus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Olive-striped Flycatcher,bow05762,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
42,Phaethornis koepckeae,Phaethornis koepckeae,54,Phaethornis koepckeae,Phaethornis koepckeae,NA,2474,Phaethornis_koepckeae,Trochilidae,Hummingbirds,Hummingbirds,Koepcke's Hermit,bow02474,NT,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
43,Chlorospingus canigularis,Chlorospingus canigularis,1,Chlorospingus canigularis,Chlorospingus canigularis,NA,12845,Chlorospingus_canigularis,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Ashy-throated Bush-tanager,bow12845,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
44,Dendrocincla fuliginosa,Dendrocincla fuliginosa,140,Dendrocincla fuliginosa,Dendrocincla fuliginosa,NA,6893,Dendrocincla_fuliginosa,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Plain-brown Woodcreeper,bow06893,LC,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
45,Philydor rufum,Dendroma rufa,4,Philydor rufum,Philydor rufum,REV_TAX,6848,Philydor_rufum,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Buff-fronted Foliage-gleaner,bow06848,LC,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
46,Doryfera ludovicae,Doryfera ludovicae,224,Doryfera ludovicae,Doryfera ludovicae,NA,2499,Doryfera_ludovicae,Trochilidae,Hummingbirds,Hummingbirds,Green-fronted Lancebill,bow02499,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
47,Myiobius villosus,Myiobius villosus,31,Myiobius villosus,Myiobius villosus,NA,6000,Myiobius_villosus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Tawny-breasted Flycatcher,bow06000,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
48,Myioborus miniatus,Myioborus miniatus,612,Myioborus miniatus,Myioborus miniatus,NA,12758,Myioborus_miniatus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Slate-throated Redstart,bow12758,LC,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
49,Myiophobus inornatus,Myiophobus inornatus,17,Myiophobus inornatus,Myiophobus inornatus,NA,5987,Myiophobus_inornatus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Unadorned Flycatcher,bow05987,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
50,Chlorophanes spiza,Chlorophanes spiza,13,Chlorophanes spiza,Chlorophanes spiza,NA,13069,Chlorophanes_spiza,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Green Honeycreeper,bow13069,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
51,Anabacerthia striaticollis,Anabacerthia striaticollis,311,Anabacerthia striaticollis,Anabacerthia striaticollis,NA,6836,Anabacerthia_striaticollis,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Montane Foliage-gleaner,bow06836,LC,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
52,Premnoplex brunnescens,Premnoplex brunnescens,337,Premnoplex brunnescens,Premnoplex brunnescens,NA,6811,Premnoplex_brunnescens,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Spotted Barbtail,bow06811,LC,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
53,Myiotriccus ornatus,Myiotriccus ornatus,33,Myiotriccus ornatus,Myiotriccus ornatus,NA,5983,Myiotriccus_ornatus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ornate Flycatcher,bow05983,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
54,Geotrygon montana,Geotrygon montana,318,Geotrygon montana,Geotrygon montana,NA,3494,Geotrygon_montana,Columbidae,"Pigeons, Doves","Pigeons, Doves",Ruddy Quail-dove,bow03494,LC,BL3,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
55,Chlorospingus flavigularis,Chlorospingus flavigularis,299,Chlorospingus flavigularis,Chlorospingus flavigularis,NA,12843,Chlorospingus_flavigularis,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Yellow-throated Bush-tanager,bow12843,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
56,Thalurania furcata,Thalurania furcata,140,Thalurania furcata,Thalurania furcata,NA,2582,Thalurania_furcata,Trochilidae,Hummingbirds,Hummingbirds,Fork-tailed Woodnymph,bow02582,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
57,Myiothlypis bivittata,Myiothlypis bivittata,419,Basileuterus bivittatus,Basileuterus bivittatus,REV_TAX,12772,Basileuterus_bivittatus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Two-banded Warbler,bow12772,LC,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
58,Automolus ochrolaemus,Automolus ochrolaemus,221,Automolus ochrolaemus,Automolus ochrolaemus,NA,6861,Automolus_ochrolaemus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Buff-throated Foliage-gleaner,bow06861,LC,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
59,Dendrocolaptes picumnus,Dendrocolaptes picumnus,43,Dendrocolaptes picumnus,Dendrocolaptes picumnus,NA,6920,Dendrocolaptes_picumnus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Black-banded Woodcreeper,bow06920,LC,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
60,Microcerculus marginatus,Microcerculus marginatus,352,Microcerculus marginatus,Microcerculus marginatus,NA,9781,Microcerculus_marginatus,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",Southern Nightingale-wren,bow09781,LC,BL3,Troglodytidae,Wrens,162,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
61,Epinecrophylla spodionota,Epinecrophylla spodionota,36,Epinecrophylla spodionota,Epinecrophylla spodionota,NA,6482,Epinecrophylla_spodionota,Thamnophilidae,Antbirds,Antbirds,Foothill Antwren,bow06482,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
62,Myrmotherula schisticolor,Myrmotherula schisticolor,118,Myrmotherula schisticolor,Myrmotherula schisticolor,NA,6489,Myrmotherula_schisticolor,Thamnophilidae,Antbirds,Antbirds,Slaty Antwren,bow06489,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
63,Malacoptila fulvogularis,Malacoptila fulvogularis,59,Malacoptila fulvogularis,Malacoptila fulvogularis,NA,1271,Malacoptila_fulvogularis,Bucconidae,Puffbirds,"Puffbirds, Jacamars",Black-streaked Puffbird,bow01271,LC,BL3,Bucconidae,Puffbirds,97,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
64,Turdus ignobilis,Turdus ignobilis,79,Turdus ignobilis,Turdus ignobilis,NA,8990,Turdus_ignobilis,M5,Thrushes,"Thrushes, Dippers, Chats, Old World Flycatchers",Black-billed Thrush,bow08990,LC,BL3,Turdidae,Thrushes,178,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
65,Iridosornis analis,Iridosornis analis,147,Iridosornis analis,Iridosornis analis,NA,12963,Iridosornis_analis,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Yellow-throated Tanager,bow12963,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
66,Pheugopedius genibarbis,Pheugopedius genibarbis,163,Pheugopedius genibarbis,Thryothorus genibarbis,NA,9724,Thryothorus_genibarbis,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",Moustached Wren,bow09724,LC,BL3,Troglodytidae,Wrens,162,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,assigned
67,Leptopogon superciliaris,Leptopogon superciliaris,326,Leptopogon superciliaris,Leptopogon superciliaris,NA,5769,Leptopogon_superciliaris,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Slaty-capped Flycatcher,bow05769,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
68,Lophotriccus pileatus,Lophotriccus pileatus,450,Lophotriccus pileatus,Lophotriccus pileatus,NA,5956,Lophotriccus_pileatus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Scale-crested Pygmy-tyrant,bow05956,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
69,Hemispingus melanotis,Sphenopsis melanotis,255,Hemispingus melanotis,Hemispingus melanotis,REV_TAX,12853,Hemispingus_melanotis,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Black-eared Hemispingus,bow12853,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
70,Turdus nigriceps,Turdus nigriceps,38,Turdus nigriceps,Turdus nigriceps,NA,8976,Turdus_nigriceps,M5,Thrushes,"Thrushes, Dippers, Chats, Old World Flycatchers",Slaty Thrush,bow08976,LC,BL3,Turdidae,Thrushes,178,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
71,Pyriglena leuconota,Pyriglena leuconota,210,Pyriglena leuconota,Pyriglena leuconota,NA,6555,Pyriglena_leuconota,Thamnophilidae,Antbirds,Antbirds,White-backed Fire-eye,bow06555,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
