,species_from_detections,species_taxonomy_SACC_2021,n,species,species_jetz,notes_taxonomy.x.x,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,X2010.IUCN.Red.List.category,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,n.y,notes_taxonomy.x.y,missmatches,status,X
483,Megascops ingens,Megascops ingens,2,Megascops ingens,Megascops ingens,NA,2946,Megascops_ingens,Strigidae,Owls,"Owls, Barn Owls",Rufescent Screech-owl,bow02946,LC,BL3,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
484,Leptotila verreauxi,Leptotila verreauxi,2,Leptotila verreauxi,Leptotila verreauxi,NA,3464,Leptotila_verreauxi,Columbidae,"Pigeons, Doves","Pigeons, Doves",White-tipped Dove,bow03464,LC,BL3,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
485,Piaya cayana,Piaya cayana,51,Piaya cayana,Piaya cayana,NA,1867,Piaya_cayana,Cuculidae,Cuckoos,Cuckoos,Squirrel Cuckoo,bow01867,LC,BL3,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
486,Turdus amaurochalinus,Turdus amaurochalinus,1,Turdus amaurochalinus,Turdus amaurochalinus,NA,8988,Turdus_amaurochalinus,M5,Thrushes,"Thrushes, Dippers, Chats, Old World Flycatchers",Creamy-bellied Thrush,bow08988,LC,BL3,Turdidae,Thrushes,178,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
487,Glaucidium hardyi,Glaucidium hardyi,3,Glaucidium hardyi,Glaucidium hardyi,NA,3047,Glaucidium_hardyi,Strigidae,Owls,"Owls, Barn Owls",Amazonian Pygmy-owl,bow03047,LC,BL3,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
488,Euphonia rufiventris,Euphonia rufiventris,15,Euphonia rufiventris,Euphonia rufiventris,NA,12994,Euphonia_rufiventris,P10,"Finches, Allies","Finches, Allies",Rufous-bellied Euphonia,bow12994,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
489,Buteo magnirostris,Rupornis magnirostris,9,Buteo magnirostris,Buteo magnirostris,REV_TAX,4807,Buteo_magnirostris,Accipitridae,"Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird",Roadside Hawk,bow04807,LC,BL3,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
490,Psarocolius decumanus,Psarocolius decumanus,59,Psarocolius decumanus,Psarocolius decumanus,NA,13327,Psarocolius_decumanus,P21,New World Blackbirds,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Crested Oropendola,bow13327,LC,BL3,Icteridae,New World blackbirds,190,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
491,Frederickena unduliger,Frederickena unduliger,4,Frederickena unduliger,Frederickena unduligera,NA,6402,Frederickena_unduligera,Thamnophilidae,Antbirds,Antbirds,Undulated Antshrike,bow06402,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,assigned
492,Camptostoma obsoletum,Camptostoma obsoletum,1,Camptostoma obsoletum,Camptostoma obsoletum,NA,5849,Camptostoma_obsoletum,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Southern Beardless-tyrannulet,bow05849,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
493,Tachycineta albiventer,Tachycineta albiventer,1,Tachycineta albiventer,Tachycineta albiventer,NA,9996,Tachycineta_albiventer,S6,"Swallows, Martins","Swallows, Martins",White-winged Swallow,bow09996,LC,BL3,Hirundinidae,Swallows and martins,156,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
494,Charadrius collaris,Charadrius collaris,2,Charadrius collaris,Charadrius collaris,NA,4259,Charadrius_collaris,Charadrii,"Waders, Allies","Waders, Allies",Collared Plover,bow04259,LC,BL3,Charadriidae,Plovers,54,CHARADRIIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
495,Tyrannus melancholicus,Tyrannus melancholicus,73,Tyrannus melancholicus,Tyrannus melancholicus,NA,6187,Tyrannus_melancholicus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Tropical Kingbird,bow06187,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
496,Geothlypis aequinoctialis,Geothlypis aequinoctialis,1,Geothlypis aequinoctialis,Geothlypis aequinoctialis,NA,12742,Geothlypis_aequinoctialis,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Masked Yellowthroat,bow12742,LC,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
497,Veniliornis passerinus,Dryobates passerinus,4,Veniliornis passerinus,Veniliornis passerinus,REV_TAX,975,Veniliornis_passerinus,Picidae,Woodpeckers,"Woodpeckers, Honeyguides, Toucans, Barbets",Little Woodpecker,bow00975,LC,BL3,Picidae,Woodpeckers,95,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
498,Tangara ruficervix,Chalcothraupis ruficervix,11,Tangara ruficervix,Tangara ruficervix,REV_TAX,13039,Tangara_ruficervix,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Golden-naped Tanager,bow13039,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
