elevation_cat,sociality,foraging_cat,species_jetz,species_clean,mean_mites
montane_manu,1,understory,Premnoplex_brunnescens,Premnoplex brunnescens,62.666666666666664
montane_manu,1,understory,Rhynchocyclus_fulvipectus,Rhynchocyclus fulvipectus,3.75
montane_manu,1,midhigh,Myioborus_miniatus,Myioborus miniatus,21.2
montane_manu,1,understory,Basileuterus_tristriatus,Basileuterus tristriatus,7.181818181818182
montane_manu,1,other,Chlorospingus_ophthalmicus,Chlorospingus flavopectus,37.75
montane_manu,0,understory,Eutoxeres_condamini,Eutoxeres condamini,6
montane_manu,1,midhigh,Anabacerthia_striaticollis,Anabacerthia striaticollis,4.25
montane_manu,0,understory,Hylophylax_naevius,Hylophylax naevius,18.2
montane_manu,1,midhigh,Leptopogon_superciliaris,Leptopogon superciliaris,2.2
lowland_manu,1,understory,Hylophilus_ochraceiceps,Tunchiornis ochraceiceps,1
lowland_manu,1,undersory-midhigh,Leptopogon_amaurocephalus,Leptopogon amaurocephalus,9.928571428571429
montane_manu,1,midhigh,Phylloscartes_ophthalmicus,Phylloscartes ophthalmicus,36.4
montane_manu,0,ground-understory,Microcerculus_marginatus,Microcerculus marginatus,11.466666666666667
montane_manu,1,midhigh-canopy,Chlorochrysa_calliparaea,Chlorochrysa calliparaea,14.666666666666666
montane_manu,1,understory,Pyrrhomyias_cinnamomeus,Pyrrhomyias cinnamomeus,5.333333333333333
high_montane_manu,1,midhigh,Chlorornis_riefferii,Chlorornis riefferii,22.428571428571427
high_montane_manu,1,undersory-midhigh,Arremon_torquatus,Arremon torquatus,28.7
high_montane_manu,1,midhigh,Anisognathus_igniventris,Anisognathus igniventris,23.25
high_montane_manu,1,understory,Iridosornis_jelskii,Iridosornis jelskii,34.714285714285715
high_montane_manu,1,understory,Hemispingus_atropileus,Kleinothraupis atropileus,75.95454545454545
high_montane_manu,1,canopy,Myioborus_melanocephalus,Myioborus melanocephalus,6.333333333333333
high_montane_manu,1,midhigh-canopy,Mecocerculus_stictopterus,Mecocerculus stictopterus,1
montane_manu,1,undersory-midhigh,Chiroxiphia_boliviana,Chiroxiphia boliviana,30
high_montane_manu,1,understory,Pyrrhomyias_cinnamomeus,Pyrrhomyias cinnamomeus,5.333333333333333
lowland_iquitos,0,ground,Phaeothlypis_fulvicauda,Myiothlypis fulvicauda,1
lowland_manu,1,undersory-midhigh,Pipra_fasciicauda,Pipra fasciicauda,28.105263157894736
lowland_manu,1,undersory-midhigh,Pipra_chloromeros,Ceratopipra chloromeros,17.833333333333332
lowland_manu,1,midhigh,Habia_rubica,Habia rubica,44.5
lowland_manu,1,undersory-midhigh,Lepidothrix_coronata,Lepidothrix coronata,4.416666666666667
lowland_manu,0,ground-midhigh,Momotus_momota,Momotus momota,2
lowland_manu,1,undersory-midhigh,Myrmotherula_longipennis,Myrmotherula longipennis,1.5
lowland_manu,1,midhigh,Mionectes_macconnelli,Mionectes macconnelli,134.35714285714286
lowland_manu,0,ground,Geotrygon_montana,Geotrygon montana,11.428571428571429
lowland_manu,0,canopy,Psarocolius_angustifrons,Psarocolius angustifrons,3
lowland_manu,1,midhigh,Terenotriccus_erythrurus,Terenotriccus erythrurus,7.133333333333334
lowland_manu,1,undersory-midhigh,Ramphotrigon_fuscicauda,Ramphotrigon fuscicauda,17.666666666666668
lowland_manu,1,ground-understory,Myrmoborus_myotherinus,Myrmoborus myotherinus,35.705882352941174
lowland_manu,0,undersory-midhigh,Laniocera_hypopyrra,Laniocera hypopyrra,17.666666666666668
lowland_manu,1,midhigh,Tangara_schrankii,Tangara schrankii,2.6666666666666665
lowland_manu,0,ground,Turdus_albicollis,Turdus albicollis,4
lowland_manu,0,canopy,Pteroglossus_azara,Pteroglossus azara,2.5
lowland_manu,0,understory,Synallaxis_cabanisi,Synallaxis cabanisi,10
lowland_manu,1,undersory-midhigh,Mionectes_oleagineus,Mionectes oleagineus,11.866666666666667
lowland_iquitos,0,canopy,Cacicus_cela,Cacicus cela,4
lowland_manu,0,canopy,Pteroglossus_beauharnaesii,Pteroglossus beauharnaisii,10.5
lowland_manu,1,understory,Automolus_ochrolaemus,Automolus ochrolaemus,23.857142857142858
lowland_manu,0,ground,Gymnopithys_salvini,Oneillornis salvini,7.5625
lowland_manu,1,midhigh,Euphonia_xanthogaster,Euphonia xanthogaster,7
lowland_manu,0,ground-understory,Catharus_ustulatus,Catharus ustulatus,32.333333333333336
lowland_manu,1,midhigh,Thamnophilus_schistaceus,Thamnophilus schistaceus,8.11111111111111
lowland_manu,1,ground-understory,Arremon_taciturnus,Arremon taciturnus,11.928571428571429
lowland_manu,0,midhigh,Campylopterus_largipennis,Campylopterus largipennis,24
lowland_manu,1,undersory-midhigh,Xenops_minutus,Xenops minutus,101.16666666666667
lowland_manu,1,midhigh,Epinecrophylla_erythrura,Epinecrophylla erythrura,1
lowland_manu,1,ground,Cyanocompsa_cyanoides,Cyanoloxia cyanoides,64.33333333333333
lowland_manu,1,other,Saltator_maximus,Saltator maximus,2
lowland_manu,1,understory,Mionectes_olivaceus,Mionectes olivaceus,31.384615384615383
lowland_manu,0,ground,Phlegopsis_nigromaculata,Phlegopsis nigromaculata,5.25
lowland_manu,1,understory,Automolus_melanopezus,Automolus melanopezus,151
lowland_manu,1,understory,Simoxenops_ucayalae,Syndactyla ucayalae,248
lowland_manu,1,ground-understory,Myrmeciza_goeldii,Akletos goeldii,9.666666666666666
lowland_manu,0,ground-understory,Cyphorhinus_arada,Cyphorhinus arada,52
lowland_manu,1,midhigh,Anabazenops_dorsalis,Anabazenops dorsalis,2
lowland_manu,0,canopy,Philydor_rufum,Dendroma rufa,34
lowland_manu,1,understory,Epinecrophylla_leucophthalma,Epinecrophylla leucophthalma,4
lowland_manu,1,midhigh,Deconychura_longicauda,Deconychura longicauda,56.75
lowland_manu,0,canopy,Piprites_chloris,Piprites chloris,54
lowland_manu,1,understory,Automolus_infuscatus,Automolus infuscatus,69
lowland_manu,1,ground,Conopophaga_peruviana,Conopophaga peruviana,32.5
lowland_manu,0,ground,Dichrozona_cincta,Dichrozona cincta,46
lowland_manu,1,ground-understory,Percnostola_lophotes,Myrmoborus lophotes,431
lowland_manu,0,ground-understory,Myrmeciza_hemimelaena,Sciaphylax hemimelaena,11
lowland_manu,1,midhigh,Myrmotherula_menetriesii,Myrmotherula menetriesii,1
lowland_manu,1,midhigh,Xiphorhynchus_elegans,Xiphorhynchus elegans,6.111111111111111
lowland_manu,0,undersory-midhigh,Rhytipterna_simplex,Rhytipterna simplex,3
montane_manu,1,midhigh,Myrmotherula_schisticolor,Myrmotherula schisticolor,8.666666666666666
montane_manu,1,understory,Basileuterus_coronatus,Myiothlypis coronata,8.3
montane_manu,0,ground,Cyphorhinus_thoracicus,Cyphorhinus thoracicus,51.61538461538461
montane_manu,1,other,Trichothraupis_melanops,Trichothraupis melanops,21.857142857142858
montane_manu,1,understory,Thripadectes_melanorhynchus,Thripadectes melanorhynchus,2.7777777777777777
montane_manu,1,midhigh,Basileuterus_bivittatus,Myiothlypis bivittata,13.125
montane_manu,0,midhigh,Lophotriccus_pileatus,Lophotriccus pileatus,1.3333333333333333
montane_manu,1,midhigh,Myrmotherula_longicauda,Myrmotherula longicauda,3
lowland_manu,1,ground,Myrmeciza_fortis,Hafferia fortis,10.75
lowland_manu,0,ground,Rhegmatorhina_melanosticta,Rhegmatorhina melanosticta,61.2
lowland_manu,0,other,Thalurania_furcata,Thalurania furcata,24
lowland_manu,1,ground-understory,Ancistrops_strigilatus,Ancistrops strigilatus,4.666666666666667
lowland_manu,1,midhigh,Mionectes_striaticollis,Mionectes striaticollis,1003
montane_manu,1,understory,Hemispingus_melanotis,Sphenopsis melanotis,10.857142857142858
montane_manu,0,understory,Sporophila_nigricollis,Sporophila nigricollis,8.5
montane_manu,1,midhigh,Diglossa_glauca,Diglossa glauca,118
montane_manu,0,ground,Ammodramus_aurifrons,Ammodramus aurifrons,1
montane_manu,1,understory,Mionectes_olivaceus,Mionectes olivaceus,31.384615384615383
montane_manu,1,canopy,Cyanerpes_caeruleus,Cyanerpes caeruleus,3
montane_manu,1,understory,Iridosornis_analis,Iridosornis analis,13
high_montane_manu,1,midhigh,Buthraupis_montana,Buthraupis montana,2.5
high_montane_manu,1,understory,Hemispingus_melanotis,Sphenopsis melanotis,10.857142857142858
high_montane_manu,1,canopy,Thraupis_cyanocephala,Sporathraupis cyanocephala,26.6
high_montane_manu,0,understory,Dubusia_taeniata,Dubusia taeniata,52
high_montane_manu,0,ground,Haplospiza_rustica,Haplospiza rustica,35.5
