X.No,Collection,Sample_group,Sample.No...,Full_Label,comment,species_binomial,Host.Order,Host.Family,New.Association,Lice.Genus,Lice.Species,Female,Male,Nimph,Eggs,Total,BoxLocation1,Lice.Genus2,Lice.Species2,Female2,Male2,Nimph2,Eggs2,Total2,BoxLocation2,Lice.Genus3,Lice.Species3,Female3,Male3,Nimph3,Eggs3,Total.1,BoxLocation3,total_lice,species_clean,mass_tidy,bill_tidy,wing_tidy,tail_tidy,wing_index_tidy,tarsus_tidy,sociality,ForStrat_ground,ForStrat_understory,ForStrat_midhigh,ForStrat_canopy,species_jetz,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,foraging_cat,elevation_cat,sample,infestation_lice
150,JEJ,W12,1017,W121017,,Pipreola_intermedia,Passeriformes,Cotingidae,Yes?,Menacanthus,new sp?,0,0,1,,1,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,1,Pipreola intermedia,48.25075,8.6735,91.22727273,83.1,15.8,23.8,1,0,50,50,0,Pipreola_intermedia,6273,Pipreola_intermedia,Cotingidae,Cotingas,Cotingas,Band-tailed Fruiteater,bow06273,BL3,Cotingidae,Cotingas,104,PASSERIFORMES,PASSERIFORMES,Tyranni,undersory-midhigh,high_montane_manu,121017,0
151,JEJ,W12,1018,W121018,,Pipreola_intermedia,Passeriformes,Cotingidae,No,Philopteridae?,cotingacola tergalis/pseudocophorus peruvianus?,0,0,2,,2,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,2,Pipreola intermedia,48.25075,8.6735,91.22727273,83.1,15.8,23.8,1,0,50,50,0,Pipreola_intermedia,6273,Pipreola_intermedia,Cotingidae,Cotingas,Cotingas,Band-tailed Fruiteater,bow06273,BL3,Cotingidae,Cotingas,104,PASSERIFORMES,PASSERIFORMES,Tyranni,undersory-midhigh,high_montane_manu,121018,0
152,JEJ,P13,765,P130765,,Galbula_cyanescens,Piciformes,Galbulidae,No,Picicola,galbulica?,0,1,0,,1,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,1,Galbula cyanescens,24.96074074,37.77703704,78.13793103,88.2,28,13.5,1,0,0,100,0,Galbula_cyanescens,1245,Galbula_cyanescens,Galbulidae,Jacamars,"Puffbirds, Jacamars",Bluish-fronted Jacamar,bow01245,BL3,Galbulidae,Jacamars,96,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,midhigh,lowland_manu,130765,0
153,JEJ,W13,408,W130408,,Pipreola_arcuata,Passeriformes,Cotingidae,No,Pseudocophorus?,antennatus? (cotingacola meridae/cotingacola tergalis),1,0,2,,3,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,3,Pipreola arcuata,101.4315,10.36470588,117.2173913,98.8,18.7,28.1,0,0,50,50,0,Pipreola_arcuata,6274,Pipreola_arcuata,Cotingidae,Cotingas,Cotingas,Barred Fruiteater,bow06274,BL3,Cotingidae,Cotingas,104,PASSERIFORMES,PASSERIFORMES,Tyranni,undersory-midhigh,high_montane_manu,130408,0
154,JEJ,P11,6078,P116078,,Myrmotherula_axillaris,Passeriformes,Thamnophilidae,Yes,Ricinus,new sp?,3,2,3,,8,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,8,Myrmotherula axillaris,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,Myrmotherula_axillaris,6486,Myrmotherula_axillaris,Thamnophilidae,Antbirds,Antbirds,White-flanked Antwren,bow06486,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_manu,116078,0
155,JEJ,P11,6166,P116166,,Schiffornis_turdina,Passeriformes,Tityridae,No,Myrsidea,blattae?,1,0,0,,1,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,1,Schiffornis turdina,30.18625,9.520909091,86.09090909,67.7,15.9,22.1,0,0,100,0,0,Schiffornis_turdina,6225,Schiffornis_turdina,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Thrush-like Schiffornis,bow06225,BL3,Cotingidae,Cotingas,104,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_manu,116166,0
156,JEJ,P11,6172,P116172,,Lanio_versicolor,Passeriformes,Thraupidae,Yes,Myrsidea,new sp?,1,0,0,,5,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,5,Lanio versicolor,19.76205128,10.39833333,79.825,67.6,20.3,15.3,1,0,0,20,60,Lanio_versicolor,12886,Lanio_versicolor,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",White-winged Shrike-tanager,bow12886,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,canopy,lowland_manu,116172,0
157,JEJ,P11,6185,P116185,,Schiffornis_turdina,Passeriformes,Tityridae,No,Myrsidea,blattae?,3,1,1,,5,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,5,Schiffornis turdina,30.18625,9.520909091,86.09090909,67.7,15.9,22.1,0,0,100,0,0,Schiffornis_turdina,6225,Schiffornis_turdina,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Thrush-like Schiffornis,bow06225,BL3,Cotingidae,Cotingas,104,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_manu,116185,0
158,JEJ,P11,6202,P116202,,Schiffornis_turdina,Passeriformes,Tityridae,No,Myrsidea,blattae?,0,3,3,,6,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,6,Schiffornis turdina,30.18625,9.520909091,86.09090909,67.7,15.9,22.1,0,0,100,0,0,Schiffornis_turdina,6225,Schiffornis_turdina,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Thrush-like Schiffornis,bow06225,BL3,Cotingidae,Cotingas,104,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_manu,116202,0
159,JEJ,P11,6204,P116204,,Chlorothraupis_carmioli,Passeriformes,Cardinalidae,No,Myrsidea,cruickshanki?,0,1,0,,1,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,1,Chlorothraupis carmioli,37.5053125,13.50083333,84.52941176,65.1,17.5,22.6,1,0,40,30,30,Chlorothraupis_carmioli,12879,Chlorothraupis_carmioli,P12,"Cardinals, Allies","Cardinals, Allies",Olive Tanager,bow12879,BL3,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,PASSERIFORMES,Passeri,other,lowland_manu,116204,0
160,JEJ,P11,6210,P116210,,Chlorothraupis_carmioli,Passeriformes,Cardinalidae,No,Myrsidea,cruickshanki?,2,3,3,,8,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,8,Chlorothraupis carmioli,37.5053125,13.50083333,84.52941176,65.1,17.5,22.6,1,0,40,30,30,Chlorothraupis_carmioli,12879,Chlorothraupis_carmioli,P12,"Cardinals, Allies","Cardinals, Allies",Olive Tanager,bow12879,BL3,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,PASSERIFORMES,Passeri,other,lowland_manu,116210,0
161,JEJ,P11,6211,P116211,,Chlorothraupis_carmioli,Passeriformes,Cardinalidae,No,Myrsidea,cruickshanki?,1,0,0,,1,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,1,Chlorothraupis carmioli,37.5053125,13.50083333,84.52941176,65.1,17.5,22.6,1,0,40,30,30,Chlorothraupis_carmioli,12879,Chlorothraupis_carmioli,P12,"Cardinals, Allies","Cardinals, Allies",Olive Tanager,bow12879,BL3,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,PASSERIFORMES,Passeri,other,lowland_manu,116211,0
162,JEJ,P11,6213,P116213,,Chlorothraupis_carmioli,Passeriformes,Cardinalidae,No,Myrsidea,cruickshanki?,1,5,7,,13,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,13,Chlorothraupis carmioli,37.5053125,13.50083333,84.52941176,65.1,17.5,22.6,1,0,40,30,30,Chlorothraupis_carmioli,12879,Chlorothraupis_carmioli,P12,"Cardinals, Allies","Cardinals, Allies",Olive Tanager,bow12879,BL3,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,PASSERIFORMES,Passeri,other,lowland_manu,116213,0
163,JEJ,P11,6231,P116231,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,No,Myrsidea,dalgleishi?,3,1,3,,7,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,7,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus_spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_manu,116231,0
164,JEJ,P11,6232,P116232,,Lanio_versicolor,Passeriformes,Thraupidae,Yes,Myrsidea,new sp?,1,0,0,,1,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,1,Lanio versicolor,19.76205128,10.39833333,79.825,67.6,20.3,15.3,1,0,0,20,60,Lanio_versicolor,12886,Lanio_versicolor,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",White-winged Shrike-tanager,bow12886,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,canopy,lowland_manu,116232,0
165,JEJ,P11,6259,P116259,,Myrmotherula_axillaris,Passeriformes,Thamnophilidae,Yes,Ricinus,new sp?,2,3,4,,9,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,9,Myrmotherula axillaris,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,Myrmotherula_axillaris,6486,Myrmotherula_axillaris,Thamnophilidae,Antbirds,Antbirds,White-flanked Antwren,bow06486,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_manu,116259,0
166,JEJ,P11,6262,P116262,,Schiffornis_turdina,Passeriformes,Tityridae,No,Myrsidea,blattae?,2,3,4,,9,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,9,Schiffornis turdina,30.18625,9.520909091,86.09090909,67.7,15.9,22.1,0,0,100,0,0,Schiffornis_turdina,6225,Schiffornis_turdina,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Thrush-like Schiffornis,bow06225,BL3,Cotingidae,Cotingas,104,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_manu,116262,0
167,JEJ,SP11,8,SP110008,,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),11,7,25,,43,L-04,Rallicola,new sp?,5,2,4,NA,11,L-04,,,NA,NA,NA,,NA,NA,54,Chlorospingus flavigularis,25.95577586,9.036065574,77.04952381,61.6,17.8,21.3,1,0,60,30,10,Chlorospingus_flavigularis,12843,Chlorospingus_flavigularis,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Yellow-throated Bush-tanager,bow12843,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,montane_manu,110008,1
168,JEJ,SP11,13,SP110013,,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),0,7,3,,10,L-04,Rallicola,new sp?,3,0,0,NA,3,L-04,,,NA,NA,NA,,NA,NA,13,Chlorospingus flavigularis,25.95577586,9.036065574,77.04952381,61.6,17.8,21.3,1,0,60,30,10,Chlorospingus_flavigularis,12843,Chlorospingus_flavigularis,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Yellow-throated Bush-tanager,bow12843,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,montane_manu,110013,0
169,JEJ,SP11,22,SP110022,,Anabacerthia_striaticollis,Passeriformes,Furnariidae,Yes,Myrsidea,(ochrolaemi/ waterstoni),1,1,2,,4,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,4,Anabacerthia striaticollis,24.58886525,10.28111111,82.62553191,76.1,18,20,1,0,0,100,0,Anabacerthia_striaticollis,6836,Anabacerthia_striaticollis,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Montane Foliage-gleaner,bow06836,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,montane_manu,110022,0
170,JEJ,SP11,40,SP110040,,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),0,0,1,,1,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,1,Chlorospingus flavigularis,25.95577586,9.036065574,77.04952381,61.6,17.8,21.3,1,0,60,30,10,Chlorospingus_flavigularis,12843,Chlorospingus_flavigularis,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Yellow-throated Bush-tanager,bow12843,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,montane_manu,110040,0
171,JEJ,SP11,44,SP110044,,Leptopogon_superciliaris,Passeriformes,Tyrannidae,No,Myrsidea,leptopogoni?,3,1,1,,5,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,5,Leptopogon superciliaris,13.20830645,8.679135802,66.40677966,60.1,18.1,15.7,1,0,0,100,0,Leptopogon_superciliaris,5769,Leptopogon_superciliaris,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Slaty-capped Flycatcher,bow05769,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,montane_manu,110044,0
172,JEJ,SP11,66,SP110066,,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),0,0,2,,2,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,2,Chlorospingus flavigularis,25.95577586,9.036065574,77.04952381,61.6,17.8,21.3,1,0,60,30,10,Chlorospingus_flavigularis,12843,Chlorospingus_flavigularis,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Yellow-throated Bush-tanager,bow12843,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,montane_manu,110066,0
173,JEJ,SP11,70,SP110070,,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),1,2,3,,6,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,6,Chlorospingus flavigularis,25.95577586,9.036065574,77.04952381,61.6,17.8,21.3,1,0,60,30,10,Chlorospingus_flavigularis,12843,Chlorospingus_flavigularis,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Yellow-throated Bush-tanager,bow12843,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,montane_manu,110070,0
174,JEJ,SP11,113,SP110113,,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,Myrsidea,(basileuteri/ paleno),1,0,0,,1,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,1,Basileuterus tristriatus,12.9,7.4035,60.89204545,56.5,13.6,20.4,1,0,100,0,0,Basileuterus_tristriatus,12792,Basileuterus_tristriatus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Three-striped Warbler,bow12792,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,understory,montane_manu,110113,0
175,JEJ,SP11,108,SP110108,,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),0,1,0,,1,L-04,Philopteridae,new sp?,NA,1,NA,NA,1,L-04,,,NA,NA,NA,,NA,NA,2,Chlorospingus flavigularis,25.95577586,9.036065574,77.04952381,61.6,17.8,21.3,1,0,60,30,10,Chlorospingus_flavigularis,12843,Chlorospingus_flavigularis,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Yellow-throated Bush-tanager,bow12843,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,montane_manu,110108,0
176,JEJ,SP11,186,SP110186,,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,Ricinus,(basileuteri/ paleno),0,0,4,,4,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,4,Basileuterus tristriatus,12.9,7.4035,60.89204545,56.5,13.6,20.4,1,0,100,0,0,Basileuterus_tristriatus,12792,Basileuterus_tristriatus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Three-striped Warbler,bow12792,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,understory,montane_manu,110186,0
177,JEJ,SP11,340,SP110340,,Leptopogon_superciliaris,Passeriformes,Tyrannidae,No,Myrsidea,leptopogoni?,,,,,1,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,1,Leptopogon superciliaris,13.20830645,8.679135802,66.40677966,60.1,18.1,15.7,1,0,0,100,0,Leptopogon_superciliaris,5769,Leptopogon_superciliaris,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Slaty-capped Flycatcher,bow05769,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,montane_manu,110340,0
178,JEJ,SP11,120,SP110120,,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),2,2,4,,8,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,8,Chlorospingus flavigularis,25.95577586,9.036065574,77.04952381,61.6,17.8,21.3,1,0,60,30,10,Chlorospingus_flavigularis,12843,Chlorospingus_flavigularis,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Yellow-throated Bush-tanager,bow12843,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,montane_manu,110120,0
179,JEJ,SP11,144,SP110144,,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,Myrsidea,(basileuteri/ paleno),1,0,1,,2,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,2,Basileuterus tristriatus,12.9,7.4035,60.89204545,56.5,13.6,20.4,1,0,100,0,0,Basileuterus_tristriatus,12792,Basileuterus_tristriatus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Three-striped Warbler,bow12792,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,understory,montane_manu,110144,0
180,JEJ,P12,675,P120675,,Willisornis_poecilinotus,Passeriformes,Thamnophilidae,No,Ricinus,new sp?,2,0,1,,3,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,3,Willisornis poecilinotus,18.39630137,10.27342105,64.65822785,42.8,16.3,23,0,60,40,0,0,Willisornis_poecilinotus,6612,Willisornis_poecilinotus,Thamnophilidae,Antbirds,Antbirds,Scale-backed Antbird,bow06612,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_manu,120675,0
181,JEJ,P12,1245,P121245,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,1,0,1,,2,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,2,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus_spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_manu,121245,0
182,JEJ,P12,1359,P121359,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,4,10,3,,17,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,17,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus_spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_manu,121359,0
183,JEJ,SP12,1081,SP121081,,Tangara_arthus,Passeriformes,Thraupidae,Yes?,Myrsidea,(various species?),0,2,1,0,2,L-04,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,2,Tangara arthus,21.19101695,7.5034375,76.02833333,54.4,23,19,1,0,10,60,30,Tangara_arthus,13020,Tangara_arthus,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Golden Tanager,bow13020,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,midhigh,montane_manu,121081,0
184,JEJ,SP12,911,SP120911,,Basileuterus_tristriatus,Passeriformes,Parulidae,No,Ricinus,new sp?,0,0,1,,1,L-05,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,1,Basileuterus tristriatus,12.9,7.4035,60.89204545,56.5,13.6,20.4,1,0,100,0,0,Basileuterus_tristriatus,12792,Basileuterus_tristriatus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Three-striped Warbler,bow12792,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,understory,montane_manu,120911,0
185,JEJ,SP12,931,SP120931,,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes?,Menoponidae,(Myrsidea basileuteri/ paleno)?,0,0,1,,1,L-05,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,1,Basileuterus tristriatus,12.9,7.4035,60.89204545,56.5,13.6,20.4,1,0,100,0,0,Basileuterus_tristriatus,12792,Basileuterus_tristriatus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Three-striped Warbler,bow12792,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,understory,montane_manu,120931,0
186,JEJ,SP12,934,SP120934,,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),1,2,1,,4,L-05,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,4,Chlorospingus flavigularis,25.95577586,9.036065574,77.04952381,61.6,17.8,21.3,1,0,60,30,10,Chlorospingus_flavigularis,12843,Chlorospingus_flavigularis,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Yellow-throated Bush-tanager,bow12843,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,montane_manu,120934,0
187,JEJ,SP12,36,SP120036,,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),2,2,2,,6,L-05,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,6,Chlorospingus flavigularis,25.95577586,9.036065574,77.04952381,61.6,17.8,21.3,1,0,60,30,10,Chlorospingus_flavigularis,12843,Chlorospingus_flavigularis,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Yellow-throated Bush-tanager,bow12843,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,montane_manu,120036,0
188,JEJ,SP12,40,SP120040,,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),0,4,0,,4,L-05,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,4,Chlorospingus flavigularis,25.95577586,9.036065574,77.04952381,61.6,17.8,21.3,1,0,60,30,10,Chlorospingus_flavigularis,12843,Chlorospingus_flavigularis,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Yellow-throated Bush-tanager,bow12843,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,montane_manu,120040,0
189,JEJ,SP12,68,SP120068,,Phylloscartes_ophthalmicus,Passeriformes,Tyrannidae,Yes,Myrsidea,new sp?,0,1,0,,1,L-05,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,1,Phylloscartes ophthalmicus,9.276296296,6.063157895,57.72333333,56.6,16.5,15.3,1,0,10,90,0,Phylloscartes_ophthalmicus,5928,Phylloscartes_ophthalmicus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Marble-faced Bristle-tyrant,bow05928,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,montane_manu,120068,0
190,JEJ,SP12,93,SP120093,,Leptopogon_superciliaris,Passeriformes,Tyrannidae,Yes,Philopterus s.l.?,new sp? (Tyranniphilopterus?),1,0,0,,1,L-05,,,NA,NA,NA,NA,NA,,,,NA,NA,NA,,NA,NA,1,Leptopogon superciliaris,13.20830645,8.679135802,66.40677966,60.1,18.1,15.7,1,0,0,100,0,Leptopogon_superciliaris,5769,Leptopogon_superciliaris,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Slaty-capped Flycatcher,bow05769,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,montane_manu,120093,0
