X.No,Collection,Sample_group,Sample.No...,Full_Label,comment,species_binomial,Host.Order,Host.Family,New.Association,Lice.Genus,Lice.Species,Female,Male,Nimph,Eggs,Total,BoxLocation1,Lice.Genus2,Lice.Species2,Female2,Male2,Nimph2,Eggs2,Total2,BoxLocation2,Lice.Genus3,Lice.Species3,Female3,Male3,Nimph3,Eggs3,Total.1,BoxLocation3,total_lice,species_clean,mass_tidy,bill_tidy,wing_tidy,tail_tidy,wing_index_tidy,tarsus_tidy,sociality,ForStrat_ground,ForStrat_understory,ForStrat_midhigh,ForStrat_canopy,species_jetz,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,foraging_cat,elevation_cat,sample,infestation_lice
19,JUM,,V283,V283,,Geotrygon_montana,Passeriformes,Columbidae,No,Columbicola,macrourae?,3,1,11,,15,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,15,Geotrygon montana,114.4062791,7.908604651,132.3859155,76.3,27.1,26.9,0,100,0,0,0,Geotrygon_montana,3494,Geotrygon_montana,Columbidae,"Pigeons, Doves","Pigeons, Doves",Ruddy Quail-dove,bow03494,BL3,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,ground,lowland_iquitos,283,0
20,JUM,,V285,V285,,Dendrocincla_fuliginosa,Passeriformes,Furnariidae,No,Rallicola,fuliginosa?,2,3,6,,11,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,11,Dendrocincla fuliginosa,31.68493671,19.41738462,95.81428571,86.7,18.3,24.7,1,33,33,33,0,Dendrocincla_fuliginosa,6893,Dendrocincla_fuliginosa,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Plain-brown Woodcreeper,bow06893,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-midhigh,lowland_iquitos,285,0
21,JUM,,V298,V298,,Automolus_ochrolaemus,Passeriformes,Furnariidae,No,Myrsidea,ochrolaemi?,1,0,0,,1,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,1,Automolus ochrolaemus,34.96803922,14.4712766,88.51851852,75.3,17.5,23.5,1,10,70,20,0,Automolus_ochrolaemus,6861,Automolus_ochrolaemus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Buff-throated Foliage-gleaner,bow06861,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,298,0
26,JUM,,V400,V400,,Myrmoborus_myotherinus,Passeriformes,Thamnophilidae,Yes,Myrsidea,new sp?,2,3,3,,8,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,8,Myrmoborus myotherinus,20.73168831,10.19666667,62.45783133,40.1,14.8,25.7,1,50,50,0,0,Myrmoborus_myotherinus,6561,Myrmoborus_myotherinus,Thamnophilidae,Antbirds,Antbirds,Black-faced Antbird,bow06561,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,400,0
27,JUM,,V408,V408,,Myrmoborus_myotherinus,Passeriformes,Thamnophilidae,Yes,Myrsidea,new sp?,0,1,0,,1,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,1,Myrmoborus myotherinus,20.73168831,10.19666667,62.45783133,40.1,14.8,25.7,1,50,50,0,0,Myrmoborus_myotherinus,6561,Myrmoborus_myotherinus,Thamnophilidae,Antbirds,Antbirds,Black-faced Antbird,bow06561,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,408,0
29,JUM,,V451,V451,,Ramphotrigon_ruficauda,Passeriformes,Tyrannidae,Yes,Myrsidea,new sp?,1,1,17,,19,L-01,Philopteridae,new sp?,0,0,3,NA,3,L-01,,,NA,NA,NA,,NA,NA,22,Ramphotrigon ruficauda,23.22666667,10.5,77.5,70.9,14.7,16.3,0,0,50,50,0,Ramphotrigon_ruficauda,6184,Ramphotrigon_ruficauda,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Rufous-tailed Flatbill,bow06184,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,undersory-midhigh,lowland_iquitos,451,1
32,JUM,,V466,V466,,Terenotriccus_erythrurus,Passeriformes,Tyrannidae,Yes,Myrsidea,new sp?,0,0,4,,4,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,4,Terenotriccus erythrurus,7.369767442,5.111627907,47.74468085,38.1,16.2,14.8,1,0,30,70,0,Terenotriccus_erythrurus,5999,Terenotriccus_erythrurus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ruddy-tailed Flycatcher,bow05999,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,466,0
33,JUM,,V467,V467,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,0,1,0,,1,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,1,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus_spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,467,0
35,JUM,,V486,V486,,Euphonia_xanthogaster,Passeriformes,Fringillidae,Yes,Myrsidea,(violacei/ rozsai…?),0,2,1,,3,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,3,Euphonia xanthogaster,13.62148594,5.870068027,60.89049587,36,22.4,16.4,1,0,20,60,20,Euphonia_xanthogaster,12993,Euphonia_xanthogaster,P10,"Finches, Allies","Finches, Allies",Orange-bellied Euphonia,bow12993,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,midhigh,lowland_iquitos,486,0
38,JUM,,M493,M493,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,1,1,1,,3,L-01,,,NA,NA,NA,NA,0,,,,NA,NA,NA,,NA,NA,3,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus_spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,493,0
