species,species1,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.5Cat,TrophicNiche,ForagingNiche,,
Myiothlypis bivittata,Basileuterus bivittatus,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Myiothlypis chrysogaster,Basileuterus chrysogaster,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Myiothlypis coronata,Basileuterus coronatus,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Myiothlypis fulvicauda,Phaeothlypis fulvicauda,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore ground,,
Myiothlypis luteoviridis,Basileuterus luteoviridis,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Myiothlypis signata,Basileuterus signatus,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Myrmelastes brunneiceps,Schistocichla brunneiceps,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Generalist,,
Myrmelastes leucostigma,Schistocichla leucostigma,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Generalist,,
Myrmoborus lophotes,Percnostola lophotes,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Myrmophylax atrothorax,Myrmeciza atrothorax,90,0,10,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Myrmothera berlepschi,Hylopezus berlepschi,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore ground,,
Nephelomyias ochraceiventris,Myiophobus ochraceiventris,80,0,0,0,0,0,20,0,0,0,Invertebrate,Invertivore,Invertivore sally surface,,
Oneillornis salvini,Gymnopithys salvini,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore sally ground,,
Orochelidon flavipes,Notiochelidon flavipes,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore aerial,,
Orthopsittaca manilatus,Orthopsittaca manilata,0,0,0,0,0,0,100,0,0,0,FruiNect,Frugivore,Fugivore glean,,
Pachysylvia hypoxantha,Hylophilus hypoxanthus,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Paraclaravis mondetoura,Claravis mondetoura,0,0,0,0,0,0,50,0,50,0,Omnivore,Granivore,Granivore ground,,
Pheugopedius genibarbis,Thryothorus genibarbis,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Premnornis guttuliger,Premnornis guttuligera,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Pseudospingus xanthophthalmus,Hemispingus xanthophthalmus,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Psittacara mitratus,Aratinga mitrata,0,0,0,0,0,0,50,0,50,0,Omnivore,Granivore,Granivore arboreal,,
Pteroglossus beauharnaisii,Pteroglossus beauharnaesii,0,20,0,0,0,0,80,0,0,0,FruiNect,Frugivore,Fugivore glean,,
Rauenia bonariensis,Thraupis bonariensis,0,0,0,0,0,0,80,0,10,10,FruiNect,Frugivore,Fugivore glean,,
Rupornis magnirostris,Buteo magnirostris,40,30,30,0,0,0,0,0,0,0,VertFishScav,Vertivore,Vertivore perch,,
Sciaphylax hemimelaena,Myrmeciza hemimelaena,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Generalist,,
Sclerurus obscurior,Sclerurus mexicanus,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore ground,,
Setophaga pitiayumi,Parula pitiayumi,70,0,0,0,0,0,20,0,0,10,Invertebrate,Invertivore,Invertivore glean arboreal,,
Sphenopsis frontalis,Hemispingus frontalis,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Sphenopsis melanotis,Hemispingus melanotis,80,0,0,0,0,0,0,0,20,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Spinus magellanicus,Carduelis magellanica,10,0,0,0,0,0,0,0,30,60,PlantSeed,Granivore,Generalist,,
Spinus olivaceus,Carduelis olivacea,0,0,0,0,0,0,0,0,100,0,PlantSeed,Granivore,Granivore arboreal,,
Sporathraupis cyanocephala,Thraupis cyanocephala,30,0,0,0,0,0,70,0,0,0,FruiNect,Frugivore,Fugivore glean,,
Stilpnia cyanicollis,Tangara cyanicollis,20,0,0,0,0,0,80,0,0,0,FruiNect,Frugivore,Fugivore glean,,
Stilpnia nigrocincta,Tangara nigrocincta,20,0,0,0,0,0,80,0,0,0,FruiNect,Frugivore,Fugivore glean,,
Syndactyla ucayalae,Simoxenops ucayalae,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Syrtidicola fluviatilis,Muscisaxicola fluviatilis,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore ground,,
Talaphorus chlorocercus,Leucippus chlorocercus,10,0,0,0,0,0,0,90,0,0,FruiNect,Nectarivore,Nectarivore aerial,,
Thlypopsis superciliaris,Hemispingus superciliaris,90,0,0,0,0,0,0,0,10,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Tunchiornis ochraceiceps,Hylophilus ochraceiceps,80,0,0,0,0,0,20,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Zentrygon frenata,Geotrygon frenata,30,0,0,0,0,0,20,0,50,0,Omnivore,Omnivore,Omnivore,,
Euchrepornis sharpei,Terenura sharpei,100,0,0,0,0,0,0,0,0,0,Invertebrate,Invertivore,Invertivore glean arboreal,,
Sporophila angolensis,Oryzoborus angolensis,0,0,0,0,0,0,20,0,60,20,PlantSeed,Granivore,Granivore arboreal,,
