Host.Family,BLFamilyLatin,species_clean,species_jetz,sociality,foraging_cat,elevation_cat,TipLabel,Full_Label,keycol,valuecol
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,1,understory,lowland_iquitos,Thripadectes_melanorhynchus,SP120954,Lice.Genus2,Rallicola
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,1,understory,lowland_iquitos,Thripadectes_melanorhynchus,SP120954,Lice.Genus3,Menoponidae
Apodiformes,Trochilidae,Threnetes leucurus,Threnetes leucurus,0,understory,lowland_iquitos,Threnetes_leucurus,V120,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,1,canopy,lowland_iquitos,Thraupis_cyanocephala,W130566,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,1,canopy,lowland_iquitos,Thraupis_cyanocephala,W120525,Lice.Genus,Philopterus-like
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,1,canopy,lowland_iquitos,Thraupis_cyanocephala,W130188,Lice.Genus,Philopterus-like
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,1,canopy,lowland_iquitos,Thraupis_cyanocephala,W130603,Lice.Genus,Philopterus-like
Thraupidae,Thraupidae,Sporathraupis cyanocephala,Thraupis cyanocephala,1,canopy,lowland_iquitos,Thraupis_cyanocephala,W130566,Lice.Genus2,Philopterus-like
Thamnophilidae,Thamnophilidae,Thamnophilus schistaceus,Thamnophilus schistaceus,1,midhigh,lowland_iquitos,Thamnophilus_schistaceus,P116120,Lice.Genus,Myrsidea
Thamnophilidae,Thamnophilidae,Thamnophilus schistaceus,Thamnophilus schistaceus,1,midhigh,lowland_iquitos,Thamnophilus_schistaceus,P116123,Lice.Genus,Myrsidea
Thamnophilidae,Thamnophilidae,Thamnophilus schistaceus,Thamnophilus schistaceus,1,midhigh,lowland_iquitos,Thamnophilus_schistaceus,P110296,Lice.Genus,Myrsidea
Thamnophilidae,Thamnophilidae,Thamnophilus schistaceus,Thamnophilus schistaceus,1,midhigh,lowland_iquitos,Thamnophilus_schistaceus,P110296,Lice.Genus2,Philopteridae
Trochilidae,Trochilidae,Thalurania furcata,Thalurania furcata,0,ground-understory,lowland_iquitos,Thalurania_furcata,P116223,Lice.Genus,Ricinus
"Tityridae
",Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,1,midhigh,lowland_iquitos,Terenotriccus_erythrurus,P115948,Lice.Genus,Myrsidea
"Tityridae
",Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,1,midhigh,lowland_iquitos,Terenotriccus_erythrurus,P110100,Lice.Genus,Ricinus
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,1,midhigh,lowland_iquitos,Terenotriccus_erythrurus,4182,Lice.Genus,Myrsidea
Tyrannidae,Tyrannidae,Terenotriccus erythrurus,Terenotriccus erythrurus,1,midhigh,lowland_iquitos,Terenotriccus_erythrurus,4281,Lice.Genus,Myrsidea
