"","elevation_cat","sociality","foraging_cat","species_jetz","species_clean","richness_sp","n_samples_lice"
"72","montane_manu",1,"other","Chlorospingus ophthalmicus","Chlorospingus flavopectus",2,3
"73","montane_manu",1,"understory","Chlorospingus flavigularis","Chlorospingus flavigularis",4,14
"74","high_montane_manu",1,"midhigh","Chlorornis riefferii","Chlorornis riefferii",3,8
"75","montane_manu",1,"midhigh-canopy","Chlorochrysa calliparaea","Chlorochrysa calliparaea",1,1
"76","montane_manu",1,"undersory-midhigh","Chiroxiphia boliviana","Chiroxiphia boliviana",1,1
"77","high_montane_manu",0,"ground","Chamaeza mollissima","Chamaeza mollissima",1,1
"78","high_montane_manu",1,"midhigh","Buthraupis montana","Buthraupis montana",2,3
"79","montane_manu",1,"understory","Basileuterus tristriatus","Basileuterus tristriatus",4,9
"80","montane_manu",1,"understory","Basileuterus coronatus","Myiothlypis coronata",2,6
"81","montane_manu",1,"midhigh","Basileuterus bivittatus","Myiothlypis bivittata",3,5
"82","lowland_manu",1,"understory","Automolus ochrolaemus","Automolus ochrolaemus",2,4
"83","lowland_manu",1,"understory","Automolus melanopezus","Automolus melanopezus",2,1
"84","lowland_manu",1,"understory","Automolus infuscatus","Automolus infuscatus",1,1
"85","high_montane_manu",1,"undersory-midhigh","Arremon torquatus","Arremon torquatus",2,9
"86","lowland_manu",1,"ground-understory","Arremon taciturnus","Arremon taciturnus",1,8
"87","montane_manu",1,"midhigh","Anisognathus somptuosus","Anisognathus somptuosus",1,1
"88","high_montane_manu",1,"midhigh","Anisognathus igniventris","Anisognathus igniventris",2,2
"89","lowland_manu",1,"ground-understory","Ancistrops strigilatus","Ancistrops strigilatus",1,1
"90","lowland_manu",1,"midhigh","Anabazenops dorsalis","Anabazenops dorsalis",1,1
"91","montane_manu",1,"midhigh","Anabacerthia striaticollis","Anabacerthia striaticollis",1,2
