"","species_taxonomy_SACC_2021","n"
"197","Dryobates nigriceps",8
"198","Dryobates passerinus",4
"199","Dryocopus lineatus",5
"200","Dubusia castaneoventris",35
"201","Dubusia taeniata",4
"202","Dysithamnus mentalis",173
"203","Elaenia albiceps",28
"204","Elaenia gigas",3
"205","Elaenia obscura",1
"206","Elaenia pallatangae",259
"207","Elaenia parvirostris",1
"208","Elaenia spectabilis",12
"209","Elanoides forficatus",1
"210","Electron platyrhynchum",40
"211","Elliotomyia chionogaster",1
"212","Elliotomyia viridicauda",1
"213","Empidonax alnorum",4
"214","Ensifera ensifera",1
"215","Entomodestes leucotis",378
"216","Epinecrophylla erythrura",36
"217","Epinecrophylla haematonota",1
"218","Epinecrophylla leucophthalma",49
"219","Epinecrophylla ornata",63
"220","Epinecrophylla spodionota",36
"221","Eubucco richardsoni",11
"222","Eubucco tucinkae",8
"223","Eubucco versicolor",44
"224","Euchrepornis sharpei",6
"225","Euphonia chlorotica",2
"226","Euphonia chrysopasta",3
"227","Euphonia laniirostris",5
"228","Euphonia mesochrysa",40
"229","Euphonia rufiventris",15
"230","Euphonia xanthogaster",616
"231","Eurypyga helias",1
"232","Eutoxeres condamini",286
"233","Florisuga mellivora",30
"234","Formicarius analis",216
"235","Formicarius colma",12
"236","Formicarius rufifrons",4
"237","Formicarius rufipectus",177
"238","Frederickena unduliger",4
"239","Furnarius leucopus",8
"240","Galbula cyanescens",74
"241","Geothlypis aequinoctialis",1
"242","Geotrygon montana",331
"243","Geotrygon saphirina",1
"244","Geranoaetus polyosoma",1
"245","Glaucidium bolivianum",76
"246","Glaucidium brasilianum",4
"247","Glaucidium hardyi",3
"248","Glaucis hirsutus",70
"249","Glyphorynchus spirurus",632
"250","Grallaria albigula",126
"251","Grallaria erythroleuca",678
"252","Grallaria guatimalensis",61
"253","Grallaria rufula",107
"254","Grallaria squamigera",28
"255","Grallaricula ferrugineipectus",47
"256","Grallaricula flavirostris",12
"257","Gymnoderus foetidus",1
"258","Habia rubica",50
"259","Hafferia fortis",44
"260","Haplophaedia assimilis",9
"261","Haplophaedia aureliae",4
"262","Haplospiza rustica",36
"263","Heliangelus amethysticollis",424
"264","Heliodoxa aurescens",22
"265","Heliodoxa leadbeateri",333
"266","Heliodoxa rubinoides",7
"267","Heliodoxa schreibersii",9
"268","Heliothryx auritus",2
"269","Hemithraupis flavicollis",6
"270","Hemithraupis guira",4
"271","Hemitriccus flammulatus",21
"272","Hemitriccus granadensis",317
"273","Hemitriccus griseipectus",24
"274","Hemitriccus iohannis",1
"275","Hemitriccus rufigularis",2
"276","Henicorhina leucophrys",848
"277","Herpetotheres cachinnans",5
"278","Herpsilochmus axillaris",71
"279","Herpsilochmus rufimarginatus",2
"280","Hydropsalis climacocerca",22
"281","Hylophilus thoracicus",15
"282","Hylophylax naevius",237
"283","Hypocnemis subflava",310
"284","Hypocnemoides maculicauda",3
"285","Ibycter americanus",11
"286","Icterus cayanensis",2
"287","Iridophanes pulcherrimus",5
"288","Iridosornis analis",147
"289","Iridosornis jelskii",95
"290","Isleria hauxwelli",173
"291","Ixothraupis punctata",40
"292","Ixothraupis xanthogastra",21
"293","Jacamerops aureus",3
"294","Klais guimeti",1
"295","Kleinothraupis atropileus",146
"296","Kleinothraupis parodii",2
"297","Knipolegus aterrimus",3
"298","Knipolegus signatus",1
"299","Lafresnaya lafresnayi",2
"300","Laniisoma elegans",1
"301","Lanio versicolor",149
"302","Laniocera hypopyrra",28
"303","Lathrotriccus euleri",65
"304","Legatus leucophaius",41
"305","Lepidocolaptes fatimalimae",3
"306","Lepidocolaptes lacrymiger",53
"307","Lepidothrix coeruleocapilla",263
"308","Lepidothrix coronata",418
"309","Leptopogon amaurocephalus",177
"310","Leptopogon superciliaris",326
"311","Leptopogon taczanowskii",8
"312","Leptosittaca branickii",2
"313","Leptotila rufaxilla",85
"314","Leptotila verreauxi",2
"315","Lesbia nuna",3
"316","Leucopternis kuhli",1
"317","Leucopternis melanops",1
"318","Liosceles thoracicus",153
"319","Lipaugus vociferans",126
"320","Lochmias nematura",32
"321","Lophostrix cristata",2
"322","Lophotriccus eulophotes",1
"323","Lophotriccus pileatus",450
"324","Loriotus cristatus",1
"325","Loriotus luctuosus",7
"326","Loriotus rufiventer",30
"327","Lurocalis rufiventris",1
"328","Lurocalis semitorquatus",1
"329","Machaeropterus pyrocephalus",146
"330","Malacoptila fulvogularis",57
"331","Malacoptila semicincta",22
"332","Manacus manacus",4
"333","Margarornis squamiger",114
"334","Mecocerculus leucophrys",56
"335","Mecocerculus stictopterus",271
"336","Megaceryle torquata",2
"337","Megascops albogularis",5
"338","Megascops choliba",1
"339","Megascops ingens",2
"340","Megascops watsonii",7
"341","Melanerpes cruentatus",27
"342","Metallura aeneocauda",2
"343","Metallura tyrianthina",283
"344","Metopothrix aurantiaca",1
"345","Micrastur buckleyi",2
"346","Micrastur gilvicollis",8
"347","Micrastur mirandollei",1
"348","Micrastur ruficollis",75
"349","Micrastur semitorquatus",1
"350","Microbates cinereiventris",1
"351","Microcerculus marginatus",358
"352","Micromonacha lanceolata",22
"353","Microrhopias quixensis",53
"354","Microspingus trifasciatus",12
"355","Mionectes macconnelli",168
"356","Mionectes oleagineus",413
"357","Mionectes olivaceus",509
"358","Mionectes striaticollis",967
"359","Mitrephanes olivaceus",5
"360","Mitu tuberosum",5
"361","Momotus aequatorialis",11
"362","Momotus momota",87
"363","Monasa morphoeus",24
"364","Monasa nigrifrons",43
"365","Myadestes ralloides",441
"366","Myiarchus cephalotes",2
"367","Myiarchus ferox",8
"368","Myiarchus tuberculifer",114
"369","Myiobius barbatus",53
"370","Myiobius villosus",32
"371","Myioborus melanocephalus",791
"372","Myioborus miniatus",611
"373","Myiodynastes chrysocephalus",89
"374","Myiodynastes maculatus",4
"375","Myiopagis gaimardii",13
"376","Myiophobus fasciatus",10
"377","Myiophobus inornatus",17
"378","Myiornis ecaudatus",13
"379","Myiotheretes fumigatus",2
"380","Myiotheretes fuscorufus",13
"381","Myiotheretes striaticollis",45
"382","Myiothlypis bivittata",420
"383","Myiothlypis chrysogaster",134
"384","Myiothlypis coronata",503
"385","Myiothlypis fulvicauda",36
"386","Myiothlypis luteoviridis",336
"387","Myiothlypis signata",401
"388","Myiotriccus ornatus",33
"389","Myiozetetes cayanensis",1
"390","Myiozetetes granadensis",10
"391","Myiozetetes similis",1
"392","Myrmelastes brunneiceps",27
"393","Myrmelastes leucostigma",29
"394","Myrmoborus leucophrys",191
"395","Myrmoborus lophotes",151
"396","Myrmoborus myotherinus",235
