"","species_jetz"
"180","Metallura tyrianthina"
"181","Coeligena violifer"
"182","Ochthoeca rufipectoralis"
"183","Hemispingus atropileus"
"184","Heliangelus amethysticollis"
"185","Grallaricula ferrugineipectus"
"186","Colaptes rivolii"
"187","Coeligena torquata"
"188","Cacicus chrysonotus"
"189","Ochthoeca pulchella"
"190","Scytalopus parvirostris"
"191","Catharus ustulatus"
"192","Heliodoxa aurescens"
"193","Ramphotrigon fuscicauda"
"194","Hylophilus hypoxanthus"
"195","Lophotriccus eulophotes"
"196","Campylopterus largipennis"
"197","Heliothryx auritus"
"198","Cyanerpes caeruleus"
"199","Xiphorhynchus ocellatus"
"200","Aulacorhynchus derbianus"
"201","Xiphorhynchus guttatus"
"202","Phaethornis superciliosus"
"203","Geotrygon frenata"
"204","Amazilia viridicauda"
"205","Myrmotherula axillaris"
"206","Xiphocolaptes promeropirhynchus"
"207","Colaptes rubiginosus"
"208","Tangara cyanicollis"
"209","Zimmerius bolivianus"
"210","Psarocolius angustifrons"
"211","Sporophila luctuosa"
"212","Phylloscartes poecilotis"
"213","Thraupis episcopus"
"214","Chlorophonia cyanea"
"215","Odontorchilus branickii"
"216","Tangara punctata"
"217","Vireo leucophrys"
"218","Tangara chrysotis"
"219","Myiodynastes chrysocephalus"
"220","Parula pitiayumi"
"221","Ammodramus aurifrons"
"222","Conopias cinchoneti"
"223","Myiarchus tuberculifer"
"224","Pipreola pulchra"
"225","Margarornis squamiger"
"226","Grallaria erythroleuca"
"227","Pseudocolaptes boissonneautii"
"228","Grallaricula flavirostris"
"229","Cinnycerthia fulva"
"230","Tangara parzudakii"
"231","Iridophanes pulcherrimus"
"232","Selenidera reinwardtii"
"233","Anisognathus somptuosus"
"234","Pipreola frontalis"
"235","Arremon castaneiceps"
"236","Anabazenops dorsalis"
"237","Myrmeciza goeldii"
"238","Percnostola lophotes"
"239","Phylloscartes orbitalis"
"240","Nonnula ruficapilla"
"241","Tangara xanthogastra"
"242","Epinecrophylla erythrura"
"243","Thamnophilus aethiops"
"244","Liosceles thoracicus"
"245","Trogon collaris"
"246","Tangara schrankii"
"247","Microrhopias quixensis"
"248","Lanio versicolor"
"249","Amblycercus holosericeus"
"250","Chalcostigma ruficeps"
"251","Dendrocincla tyrannina"
"252","Catamblyrhynchus diadema"
"253","Hemitriccus granadensis"
"254","Pipreola arcuata"
"255","Pseudotriccus ruficeps"
"256","Thraupis cyanocephala"
"257","Ochthoeca thoracica"
"258","Chlorornis riefferii"
"259","Cnemoscopus rubrirostris"
"260","Tangara vassorii"
"261","Glaucidium bolivianum"
"262","Hemispingus frontalis"
"263","Diglossa mystacalis"
"264","Buthraupis montana"
"265","Myiophobus ochraceiventris"
"266","Anisognathus igniventris"
"267","Turdus fuscater"
"268","Boissonneaua matthewsii"
"269","Diglossa brunneiventris"
"270","Cyanolyca viridicyanus"
"271","Cranioleuca marcapatae"
"272","Hemispingus superciliaris"
"273","Mecocerculus stictopterus"
"274","Conirostrum albifrons"
"275","Tangara gyrola"
"276","Piranga leucoptera"
"277","Chlorostilbon mellisugus"
"278","Klais guimeti"
"279","Philydor ruficaudatum"
"280","Galbula cyanescens"
"281","Thamnophilus palliatus"
"282","Dacnis cayana"
"283","Eurypyga helias"
"284","Mitrephanes olivaceus"
"285","Chloroceryle aenea"
"286","Sclerurus mexicanus"
"287","Piprites chloris"
"288","Ochthoeca frontalis"
"289","Iridosornis jelskii"
"290","Grallaria rufula"
"291","Schizoeaca helleri"
"292","Automolus melanopezus"
"293","Epinecrophylla leucophthalma"
"294","Lepidothrix coronata"
"295","Mionectes macconnelli"
"296","Sclerurus caudacutus"
"297","Phaeothlypis fulvicauda"
"298","Aulacorhynchus prasinus"
"299","Dendrocolaptes certhia"
"300","Myrmotherula hauxwelli"
"301","Willisornis poecilinotus"
"302","Cyphorhinus arada"
"303","Turdus albicollis"
"304","Ramphastos tucanus"
"305","Accipiter superciliosus"
"306","Veniliornis affinis"
"307","Thamnomanes ardesiacus"
"308","Deconychura longicauda"
"309","Automolus infuscatus"
"310","Habia rubica"
"311","Laniocera hypopyrra"
"312","Xiphorhynchus elegans"
"313","Dichrozona cincta"
"314","Conopophaga peruviana"
"315","Monasa morphoeus"
"316","Glaucis hirsutus"
"317","Myrmeciza fortis"
"318","Dendrocincla merula"
"319","Myrmotherula longipennis"
"320","Doryfera johannae"
"321","Myiobius barbatus"
"322","Rhytipterna simplex"
"323","Odontophorus stellatus"
"324","Florisuga mellivora"
"325","Dendrexetastes rufigula"
"326","Platyrinchus coronatus"
"327","Platyrinchus platyrhynchos"
"328","Tyranneutes stolzmanni"
"329","Monasa nigrifrons"
"330","Sittasomus griseicapillus"
"331","Chloroceryle inda"
"332","Picumnus rufiventris"
"333","Momotus momota"
"334","Saltator grossus"
"335","Celeus spectabilis"
"336","Xenops tenuirostris"
"337","Turdus lawrencii"
"338","Pteroglossus beauharnaesii"
"339","Electron platyrhynchum"
"340","Neoctantes niger"
"341","Trogon violaceus"
"342","Myrmotherula menetriesii"
"343","Sporophila nigricollis"
"344","Campephilus melanoleucos"
"345","Uropsalis lyra"
"346","Veniliornis nigriceps"
"347","Aglaeactis cupripennis"
"348","Hemispingus xanthophthalmus"
"349","Pterophanes cyanopterus"
"350","Micrastur ruficollis"
"351","Ancistrops strigilatus"
"352","Attila spadiceus"
"353","Pachyramphus polychopterus"
"354","Tolmomyias assimilis"
"355","Glaucidium brasilianum"
"356","Pygiptila stellaris"
"357","Eubucco tucinkae"
"358","Tangara nigrocincta"
"359","Myiodynastes maculatus"
"360","Cacicus solitarius"
"361","Philydor pyrrhodes"
"362","Taraba major"
