NO.,Collection,Sample.label,Sample.No...,Full_Label,Powder.lvl,species_binomial,Order,Family,Lice,Mites,Ticks,Other,Host.Family,Order2,Date.of.collection,Country,Province,Locality,Altitude,species_clean,mass_tidy,bill_tidy,wing_tidy,tail_tidy,wing_index_tidy,tarsus_tidy,sociality,ForStrat_ground,ForStrat_understory,ForStrat_midhigh,ForStrat_canopy,species_jetz,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,foraging_cat,elevation_cat,sample
14,JUM,V,V19,V19,,Corythopis_torquatus,Passeriformes,Tyrannidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Corythopis torquatus,17.01754717,9.018085106,66.12,52.7,17.3,26,0,80,20,0,0,Corythopis torquatus,5814,Corythopis_torquatus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ringed Antpipit,bow05814,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,19
15,JUM,V,V20,V20,,Myrmelastes_leucostigma,Passeriformes,Thamnophilidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Myrmelastes leucostigma,25.7,21.9,66.1,56.4,9.5,26.2,0,60,40,0,0,Schistocichla leucostigma,6572,Schistocichla_leucostigma,Thamnophilidae,Antbirds,Antbirds,Spot-winged Antbird,bow06572,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,20
16,JUM,V,V22,V22,,Myrmelastes_leucostigma,Passeriformes,Thamnophilidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Myrmelastes leucostigma,25.7,21.9,66.1,56.4,9.5,26.2,0,60,40,0,0,Schistocichla leucostigma,6572,Schistocichla_leucostigma,Thamnophilidae,Antbirds,Antbirds,Spot-winged Antbird,bow06572,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,22
17,JUM,V,V23,V23,,Myrmelastes_leucostigma,Passeriformes,Thamnophilidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Myrmelastes leucostigma,25.7,21.9,66.1,56.4,9.5,26.2,0,60,40,0,0,Schistocichla leucostigma,6572,Schistocichla_leucostigma,Thamnophilidae,Antbirds,Antbirds,Spot-winged Antbird,bow06572,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,23
18,JUM,V,V26,V26,,Schiffornis_turdina,Passeriformes,Tityridae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Schiffornis turdina,30.18625,9.520909091,86.09090909,67.7,15.9,22.1,0,0,100,0,0,Schiffornis turdina,6225,Schiffornis_turdina,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Thrush-like Schiffornis,bow06225,BL3,Cotingidae,Cotingas,104,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,26
20,JUM,V,V30,V30,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,30
21,JUM,V,V31,V31,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,31
23,JUM,V,V33,V33,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,1,0,0,No,NA,NA,NA,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,33
24,JUM,V,V34,V34,,Myrmelastes_leucostigma,Passeriformes,Thamnophilidae,0,0,1,No,NA,NA,NA,NA,NA,NA,NA,Myrmelastes leucostigma,25.7,21.9,66.1,56.4,9.5,26.2,0,60,40,0,0,Schistocichla leucostigma,6572,Schistocichla_leucostigma,Thamnophilidae,Antbirds,Antbirds,Spot-winged Antbird,bow06572,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,34
27,JUM,V,V40,V40,,Myrmotherula_axillaris,Passeriformes,Thamnophilidae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Myrmotherula axillaris,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,Myrmotherula axillaris,6486,Myrmotherula_axillaris,Thamnophilidae,Antbirds,Antbirds,White-flanked Antwren,bow06486,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,40
