NO.,Collection,Sample.label,Sample.No...,Full_Label,Powder.lvl,species_binomial,Order,Family,Lice,Mites,Ticks,Other,Host.Family,Order2,Date.of.collection,Country,Province,Locality,Altitude,species_clean,mass_tidy,bill_tidy,wing_tidy,tail_tidy,wing_index_tidy,tarsus_tidy,sociality,ForStrat_ground,ForStrat_understory,ForStrat_midhigh,ForStrat_canopy,species_jetz,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,foraging_cat,elevation_cat,sample
436,JUM,,888,888,,Manacus_manacus,Passeriformes,Pipridae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Manacus manacus,16.455,7.9,57,32.8,15.9,20.9,0,0,80,20,0,Manacus manacus,6369,Manacus_manacus,Pipridae,Manakins,Manakins,White-bearded Manakin,bow06369,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,NA
437,JUM,,889,889,,Manacus_manacus,Passeriformes,Pipridae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Manacus manacus,16.455,7.9,57,32.8,15.9,20.9,0,0,80,20,0,Manacus manacus,6369,Manacus_manacus,Pipridae,Manakins,Manakins,White-bearded Manakin,bow06369,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,NA
438,JUM,,893,893,,Onychorhynchus_coronatus,Passeriformes,Tityridae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Onychorhynchus coronatus,14.66117647,13.396875,73.8125,63.8,18.8,15.9,0,0,30,70,0,Onychorhynchus coronatus,5980,Onychorhynchus_coronatus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Amazonian Royal Flycatcher,bow05980,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,NA
439,JUM,,892,892,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,1,1,0,No,NA,NA,NA,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,NA
440,JUM,,890,890,,Manacus_manacus,Passeriformes,Pipridae,1,0,0,No,NA,NA,NA,NA,NA,NA,NA,Manacus manacus,16.455,7.9,57,32.8,15.9,20.9,0,0,80,20,0,Manacus manacus,6369,Manacus_manacus,Pipridae,Manakins,Manakins,White-bearded Manakin,bow06369,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,NA
441,JUM,,897,897,,Manacus_manacus,Passeriformes,Pipridae,1,0,0,No,NA,NA,NA,NA,NA,NA,NA,Manacus manacus,16.455,7.9,57,32.8,15.9,20.9,0,0,80,20,0,Manacus manacus,6369,Manacus_manacus,Pipridae,Manakins,Manakins,White-bearded Manakin,bow06369,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,NA
442,JUM,,891,891,,Lepidothrix_coronata,Passeriformes,Pipridae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Lepidothrix coronata,9.769768786,6.224307229,56.94444444,26.6,17.9,14.2,1,0,50,50,0,Lepidothrix coronata,6346,Lepidothrix_coronata,Pipridae,Manakins,Manakins,Blue-crowned Manakin,bow06346,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,NA
443,JUM,,898,898,,Manacus_manacus,Passeriformes,Pipridae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Manacus manacus,16.455,7.9,57,32.8,15.9,20.9,0,0,80,20,0,Manacus manacus,6369,Manacus_manacus,Pipridae,Manakins,Manakins,White-bearded Manakin,bow06369,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,NA
444,JUM,,899,899,,Lepidothrix_coronata,Passeriformes,Pipridae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Lepidothrix coronata,9.769768786,6.224307229,56.94444444,26.6,17.9,14.2,1,0,50,50,0,Lepidothrix coronata,6346,Lepidothrix_coronata,Pipridae,Manakins,Manakins,Blue-crowned Manakin,bow06346,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,NA
445,JUM,,1002,1002,,Cercomacroides_serva,Passeriformes,"Thamnophilidae
",0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Cercomacroides serva,19.11571429,10.83333333,65.08333333,58.2,12.3,22.4,0,40,50,10,0,Cercomacra serva,6550,Cercomacra_serva,Thamnophilidae,Antbirds,Antbirds,Black Antbird,bow06550,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,NA
447,JUM,,1005,1005,,Myrmoborus_myotherinus,Passeriformes,Thamnophilidae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Myrmoborus myotherinus,20.73168831,10.19666667,62.45783133,40.1,14.8,25.7,1,50,50,0,0,Myrmoborus myotherinus,6561,Myrmoborus_myotherinus,Thamnophilidae,Antbirds,Antbirds,Black-faced Antbird,bow06561,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,NA
448,JUM,,1006,1006,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,NA
449,JUM,,1007,1007,,Percnostola_fortis,Passeriformes,Thamnophilidae,1,1,0,No,NA,NA,NA,NA,NA,NA,NA,Hafferia fortis,48.60083333,13.35384615,81.69230769,62.9,10.7,34.1,1,60,40,0,0,Myrmeciza fortis,6592,Myrmeciza_fortis,Thamnophilidae,Antbirds,Antbirds,Sooty Antbird,bow06592,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,NA
450,JUM,,1008,1008,,Myrmoborus_myotherinus,Passeriformes,Thamnophilidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Myrmoborus myotherinus,20.73168831,10.19666667,62.45783133,40.1,14.8,25.7,1,50,50,0,0,Myrmoborus myotherinus,6561,Myrmoborus_myotherinus,Thamnophilidae,Antbirds,Antbirds,Black-faced Antbird,bow06561,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,NA
451,JUM,,1010,1010,,Lepidothrix_coronata,Passeriformes,Pipridae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Lepidothrix coronata,9.769768786,6.224307229,56.94444444,26.6,17.9,14.2,1,0,50,50,0,Lepidothrix coronata,6346,Lepidothrix_coronata,Pipridae,Manakins,Manakins,Blue-crowned Manakin,bow06346,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,NA
452,JUM,,1018,1018,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,1,0,0,No,NA,NA,NA,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,NA
453,JUM,,1019,1019,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,NA
454,JUM,,1017,1017,,Lepidothrix_coronata,Passeriformes,Pipridae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Lepidothrix coronata,9.769768786,6.224307229,56.94444444,26.6,17.9,14.2,1,0,50,50,0,Lepidothrix coronata,6346,Lepidothrix_coronata,Pipridae,Manakins,Manakins,Blue-crowned Manakin,bow06346,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,NA
455,JUM,,1011,1011,,Chloroceryle_aenea,Coraciiformes,Alcedinidae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Chloroceryle aenea,13.55625,23.5125,55.77777778,34,24.2,7.9,0,0,0,0,0,Chloroceryle aenea,1647,Chloroceryle_aenea,Alcedinidae,"Kingfishers, Motmots, Todies","Bee-eaters, Kingfishers, Motmots, Todies, Rollers, Ground-Rollers",American Pygmy Kingfisher,bow01647,BL3,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,ground-understory,lowland_iquitos,NA
457,JUM,,1013,1013,,Glyphorynchus_spirurus,Passeriformes,Furnariidae,0,0,0,Yes,NA,NA,NA,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,NA
458,JUM,,1014,1014,,Myrmoborus_myotherinus,Passeriformes,Thamnophilidae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Myrmoborus myotherinus,20.73168831,10.19666667,62.45783133,40.1,14.8,25.7,1,50,50,0,0,Myrmoborus myotherinus,6561,Myrmoborus_myotherinus,Thamnophilidae,Antbirds,Antbirds,Black-faced Antbird,bow06561,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,NA
459,JEJ,,P120622,P120622,,Formicarius_analis,Passeriformes,Formicariidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Formicarius analis,57.04347826,12.79475,89.42857143,56.8,16.6,32.4,0,100,0,0,0,Formicarius analis,6955,Formicarius_analis,Antthrushes,Antthrushes,"Ovenbirds, Woodcreepers, Antthrushes",Black-faced Antthrush,bow06955,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,120622
460,JEJ,,P116125,P116125,low,Formicarius_analis,Passeriformes,Formicariidae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Formicarius analis,57.04347826,12.79475,89.42857143,56.8,16.6,32.4,0,100,0,0,0,Formicarius analis,6955,Formicarius_analis,Antthrushes,Antthrushes,"Ovenbirds, Woodcreepers, Antthrushes",Black-faced Antthrush,bow06955,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,116125
461,JEJ,,P120778,P120778,very low,Formicarius_analis,Passeriformes,Formicariidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Formicarius analis,57.04347826,12.79475,89.42857143,56.8,16.6,32.4,0,100,0,0,0,Formicarius analis,6955,Formicarius_analis,Antthrushes,Antthrushes,"Ovenbirds, Woodcreepers, Antthrushes",Black-faced Antthrush,bow06955,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,120778
462,JEJ,,P120896,P120896,low,Formicarius_analis,Passeriformes,Formicariidae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Formicarius analis,57.04347826,12.79475,89.42857143,56.8,16.6,32.4,0,100,0,0,0,Formicarius analis,6955,Formicarius_analis,Antthrushes,Antthrushes,"Ovenbirds, Woodcreepers, Antthrushes",Black-faced Antthrush,bow06955,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,120896
463,JEJ,,P121420,P121420,very low,Formicarius_analis,Passeriformes,Formicariidae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Formicarius analis,57.04347826,12.79475,89.42857143,56.8,16.6,32.4,0,100,0,0,0,Formicarius analis,6955,Formicarius_analis,Antthrushes,Antthrushes,"Ovenbirds, Woodcreepers, Antthrushes",Black-faced Antthrush,bow06955,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,121420
464,JEJ,,P121421,P121421,low,Formicarius_analis,Passeriformes,Formicariidae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Formicarius analis,57.04347826,12.79475,89.42857143,56.8,16.6,32.4,0,100,0,0,0,Formicarius analis,6955,Formicarius_analis,Antthrushes,Antthrushes,"Ovenbirds, Woodcreepers, Antthrushes",Black-faced Antthrush,bow06955,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,121421
465,JEJ,,P120085,P120085,very low,Formicarius_rufipectus,Passeriformes,Formicariidae,1,0,0,Yes,NA,NA,NA,NA,NA,NA,NA,Formicarius rufipectus,63.83571429,12.8375,87.44444444,55.4,12.7,36.5,0,100,0,0,0,Formicarius rufipectus,6959,Formicarius_rufipectus,Antthrushes,Antthrushes,"Ovenbirds, Woodcreepers, Antthrushes",Rufous-breasted Antthrush,bow06959,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,120085
466,JEJ,,W120733,W120733,med,Chamaeza_mollissima,Passeriformes,Formicariidae,1,1,1,No,NA,NA,NA,NA,NA,NA,NA,Chamaeza mollissima,72.6175,10.75,88.75,66.2,12.9,37.1,0,100,0,0,0,Chamaeza mollissima,6965,Chamaeza_mollissima,Antthrushes,Antthrushes,"Ovenbirds, Woodcreepers, Antthrushes",Barred Antthrush,bow06965,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,120733
467,JEJ,,VC120112,VC120112,low,Formicarius_analis,Passeriformes,Formicariidae,1,0,0,No,NA,NA,NA,NA,NA,NA,NA,Formicarius analis,57.04347826,12.79475,89.42857143,56.8,16.6,32.4,0,100,0,0,0,Formicarius analis,6955,Formicarius_analis,Antthrushes,Antthrushes,"Ovenbirds, Woodcreepers, Antthrushes",Black-faced Antthrush,bow06955,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,120112
468,JUM,,1015,1015,med,Chloroceryle_aenea,Coraciiformes,Alcedinidae,0,1,0,Yes,NA,NA,NA,NA,NA,NA,NA,Chloroceryle aenea,13.55625,23.5125,55.77777778,34,24.2,7.9,0,0,0,0,0,Chloroceryle aenea,1647,Chloroceryle_aenea,Alcedinidae,"Kingfishers, Motmots, Todies","Bee-eaters, Kingfishers, Motmots, Todies, Rollers, Ground-Rollers",American Pygmy Kingfisher,bow01647,BL3,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,ground-understory,lowland_iquitos,NA
469,JUM,,1024,1024,low,Thamnomanes_ardesiacus,Passeriformes,Thamnophilidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Thamnomanes ardesiacus,18.58714286,10.9738,71.27906977,50.2,17,18.7,1,0,30,70,0,Thamnomanes ardesiacus,6460,Thamnomanes_ardesiacus,Thamnophilidae,Antbirds,Antbirds,Dusky-throated Antshrike,bow06460,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,NA
471,JEJ,,P110029,P110029,low,Isleria_hauxwelli,Passeriformes,Thamnophilidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Isleria hauxwelli,11.27941606,8.391276596,50.70714286,24.8,15.6,18.9,1,40,40,20,0,Myrmotherula hauxwelli,6475,Myrmotherula_hauxwelli,Thamnophilidae,Antbirds,Antbirds,Plain-throated Antwren,bow06475,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,110029
472,JEJ,,P110033,P110033,low,Thamnomanes_ardesiacus,Passeriformes,Thamnophilidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Thamnomanes ardesiacus,18.58714286,10.9738,71.27906977,50.2,17,18.7,1,0,30,70,0,Thamnomanes ardesiacus,6460,Thamnomanes_ardesiacus,Thamnophilidae,Antbirds,Antbirds,Dusky-throated Antshrike,bow06460,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,110033
473,JEJ,,P110039,P110039,low,Thamnomanes_ardesiacus,Passeriformes,Thamnophilidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Thamnomanes ardesiacus,18.58714286,10.9738,71.27906977,50.2,17,18.7,1,0,30,70,0,Thamnomanes ardesiacus,6460,Thamnomanes_ardesiacus,Thamnophilidae,Antbirds,Antbirds,Dusky-throated Antshrike,bow06460,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,110039
474,JEJ,,P110040,P110040,low,Myrmotherula_axillaris,Passeriformes,Thamnophilidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Myrmotherula axillaris,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,Myrmotherula axillaris,6486,Myrmotherula_axillaris,Thamnophilidae,Antbirds,Antbirds,White-flanked Antwren,bow06486,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,110040
475,JEJ,,P110073,P110073,med,Thamnomanes_ardesiacus,Passeriformes,Thamnophilidae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Thamnomanes ardesiacus,18.58714286,10.9738,71.27906977,50.2,17,18.7,1,0,30,70,0,Thamnomanes ardesiacus,6460,Thamnomanes_ardesiacus,Thamnophilidae,Antbirds,Antbirds,Dusky-throated Antshrike,bow06460,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,110073
476,JEJ,,P110076,P110076,low,Thamnomanes_ardesiacus,Passeriformes,Thamnophilidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Thamnomanes ardesiacus,18.58714286,10.9738,71.27906977,50.2,17,18.7,1,0,30,70,0,Thamnomanes ardesiacus,6460,Thamnomanes_ardesiacus,Thamnophilidae,Antbirds,Antbirds,Dusky-throated Antshrike,bow06460,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,110076
477,JEJ,,P110082,P110082,low,Myrmotherula_axillaris,Passeriformes,Thamnophilidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Myrmotherula axillaris,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,Myrmotherula axillaris,6486,Myrmotherula_axillaris,Thamnophilidae,Antbirds,Antbirds,White-flanked Antwren,bow06486,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,110082
478,JEJ,,P110085,P110085,very low,Isleria_hauxwelli,Passeriformes,Thamnophilidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Isleria hauxwelli,11.27941606,8.391276596,50.70714286,24.8,15.6,18.9,1,40,40,20,0,Myrmotherula hauxwelli,6475,Myrmotherula_hauxwelli,Thamnophilidae,Antbirds,Antbirds,Plain-throated Antwren,bow06475,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,110085
479,JEJ,,P110086,P110086,very low,Isleria_hauxwelli,Passeriformes,Thamnophilidae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Isleria hauxwelli,11.27941606,8.391276596,50.70714286,24.8,15.6,18.9,1,40,40,20,0,Myrmotherula hauxwelli,6475,Myrmotherula_hauxwelli,Thamnophilidae,Antbirds,Antbirds,Plain-throated Antwren,bow06475,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,110086
480,JEJ,,P110125,P110125,very low,Hylophilus_ochraceiceps,Passeriformes,Vireonidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Tunchiornis ochraceiceps,11.72933333,9.143,58.0625,43.9,13.2,16.8,1,0,80,20,0,Hylophilus ochraceiceps,7819,Hylophilus_ochraceiceps,CC3,"Vireos, Allies","Cuckoo-Shrikes, Helmetshrikes, Shrike-Flycatchers, Vangas, Whipbirds, Shrike-Thrushes, Whistlers, Shrikes, Monarchs, Vireos, Orioles, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies",Tawny-crowned Greenlet,bow07819,BL3,Vireonidae,Vireos and allies,141,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,110125
481,JEJ,,P110128,P110128,low,Thamnomanes_schistogynus,Passeriformes,Thamnophilidae,0,1,0,Yes,NA,NA,NA,NA,NA,NA,NA,Thamnomanes schistogynus,17.905,10.43661765,69.76623377,62,13.2,17.6,1,0,20,80,0,Thamnomanes schistogynus,6462,Thamnomanes_schistogynus,Thamnophilidae,Antbirds,Antbirds,Bluish-slate Antshrike,bow06462,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,110128
482,JEJ,,P110140,P110140,low,Corythopis_torquatus,Passeriformes,Tyrannidae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Corythopis torquatus,17.01754717,9.018085106,66.12,52.7,17.3,26,0,80,20,0,0,Corythopis torquatus,5814,Corythopis_torquatus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ringed Antpipit,bow05814,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,110140
483,JEJ,,P110149,P110149,low,Myrmotherula_axillaris,Passeriformes,Thamnophilidae,0,0,1,No,NA,NA,NA,NA,NA,NA,NA,Myrmotherula axillaris,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,Myrmotherula axillaris,6486,Myrmotherula_axillaris,Thamnophilidae,Antbirds,Antbirds,White-flanked Antwren,bow06486,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,110149
484,JEJ,,P110154,P110154,low,Corythopis_torquatus,Passeriformes,Tyrannidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Corythopis torquatus,17.01754717,9.018085106,66.12,52.7,17.3,26,0,80,20,0,0,Corythopis torquatus,5814,Corythopis_torquatus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ringed Antpipit,bow05814,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,110154
485,JEJ,,P110159,P110159,low,Willisornis_poecilinotus,Passeriformes,Thamnophilidae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Willisornis poecilinotus,18.39630137,10.27342105,64.65822785,42.8,16.3,23,0,60,40,0,0,Willisornis poecilinotus,6612,Willisornis_poecilinotus,Thamnophilidae,Antbirds,Antbirds,Scale-backed Antbird,bow06612,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,110159
486,JEJ,,P110171,P110171,low,Sclerurus_caudacutus,Passeriformes,"Furnariidae
",1,1,0,No,NA,NA,NA,NA,NA,NA,NA,Sclerurus caudacutus,37.54095238,15.42761905,88.47619048,63.4,17.4,22.6,0,100,0,0,0,Sclerurus caudacutus,6874,Sclerurus_caudacutus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Black-tailed Leaftosser,bow06874,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,110171
487,JEJ,,P110172,P110172,low,Isleria_hauxwelli,Passeriformes,Thamnophilidae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Isleria hauxwelli,11.27941606,8.391276596,50.70714286,24.8,15.6,18.9,1,40,40,20,0,Myrmotherula hauxwelli,6475,Myrmotherula_hauxwelli,Thamnophilidae,Antbirds,Antbirds,Plain-throated Antwren,bow06475,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,110172
488,JEJ,,P110233,P110233,very low,Microcerculus_marginatus,Passeriformes,Troglodytidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Microcerculus marginatus,18.81613333,12.17923077,59.61538462,24.2,11.6,23.5,0,50,50,0,0,Microcerculus marginatus,9781,Microcerculus_marginatus,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",Southern Nightingale-wren,bow09781,BL3,Troglodytidae,Wrens,162,PASSERIFORMES,PASSERIFORMES,Passeri,ground-understory,lowland_iquitos,110233
489,JEJ,,P110215,P110215,low,Isleria_hauxwelli,Passeriformes,Thamnophilidae,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,Isleria hauxwelli,11.27941606,8.391276596,50.70714286,24.8,15.6,18.9,1,40,40,20,0,Myrmotherula hauxwelli,6475,Myrmotherula_hauxwelli,Thamnophilidae,Antbirds,Antbirds,Plain-throated Antwren,bow06475,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,110215
490,JEJ,,P110216,P110216,med,Corythopis_torquatus,Passeriformes,Tyrannidae,0,1,0,No,NA,NA,NA,NA,NA,NA,NA,Corythopis torquatus,17.01754717,9.018085106,66.12,52.7,17.3,26,0,80,20,0,0,Corythopis torquatus,5814,Corythopis_torquatus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ringed Antpipit,bow05814,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,110216
