Host.Family,BLFamilyLatin,species_clean,species_jetz,foraging_cat,elevation_cat,TipLabel,Full_Label,sociality,keycol,valuecol
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,ground,lowland_manu,Turdus_albicollis,P110334,0,ectos_binomial,Myrsidea_(various?)
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,ground,lowland_iquitos,Turdus_albicollis,M500,0,ectos_binomial,Philopterus_(various…)
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,ground,lowland_iquitos,Turdus_albicollis,M581,0,ectos_binomial2,_
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,ground,lowland_manu,Turdus_albicollis,P110144,0,ectos_binomial2,_
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,ground,lowland_manu,Turdus_albicollis,P110166,0,ectos_binomial2,_
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,ground,lowland_manu,Turdus_albicollis,P110334,0,ectos_binomial2,_
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,ground,lowland_iquitos,Turdus_albicollis,M500,0,ectos_binomial2,_
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,ground,lowland_iquitos,Turdus_albicollis,M581,0,ectos_binomial3,_
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,ground,lowland_manu,Turdus_albicollis,P110144,0,ectos_binomial3,_
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,ground,lowland_manu,Turdus_albicollis,P110166,0,ectos_binomial3,_
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,ground,lowland_manu,Turdus_albicollis,P110334,0,ectos_binomial3,_
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,ground,lowland_iquitos,Turdus_albicollis,M500,0,ectos_binomial3,_
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,other,montane_manu,Trichothraupis_melanops,SP110004,1,ectos_binomial,Myrsidea_new sp?
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,other,montane_manu,Trichothraupis_melanops,SP110036,1,ectos_binomial,Myrsidea_new sp?
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,other,montane_manu,Trichothraupis_melanops,SP110038,1,ectos_binomial,Myrsidea_new sp?
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,other,montane_manu,Trichothraupis_melanops,SP120764,1,ectos_binomial,Myrsidea_new sp?
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,other,montane_manu,Trichothraupis_melanops,SP110004,1,ectos_binomial2,_
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,other,montane_manu,Trichothraupis_melanops,SP110036,1,ectos_binomial2,_
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,other,montane_manu,Trichothraupis_melanops,SP110038,1,ectos_binomial2,_
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,other,montane_manu,Trichothraupis_melanops,SP120764,1,ectos_binomial2,_
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,other,montane_manu,Trichothraupis_melanops,SP110004,1,ectos_binomial3,_
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,other,montane_manu,Trichothraupis_melanops,SP110036,1,ectos_binomial3,_
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,other,montane_manu,Trichothraupis_melanops,SP110038,1,ectos_binomial3,_
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,other,montane_manu,Trichothraupis_melanops,SP120764,1,ectos_binomial3,_
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP110027,1,ectos_binomial,Myrsidea_new sp?
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP110047,1,ectos_binomial,Myrsidea_new sp?
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP110367,1,ectos_binomial,Myrsidea_new sp?
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP121002,1,ectos_binomial,Myrsidea_new sp?
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP121046,1,ectos_binomial,Myrsidea_new sp?
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP121163,1,ectos_binomial,Myrsidea_new sp?
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP110039,1,ectos_binomial,Myrsidea_new sp?
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP121019,1,ectos_binomial,Myrsidea_new sp?
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP121090,1,ectos_binomial,Myrsidea_new sp?
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP120954,1,ectos_binomial,Myrsidea_new sp?
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP120061,1,ectos_binomial,unknown_
Furnariidae,Furnariidae,Thripadectes melanorhynchus,Thripadectes melanorhynchus,understory,montane_manu,Thripadectes_melanorhynchus,SP110027,1,ectos_binomial2,_
