"","species_taxonomy_SACC_2021","deg_weighted","species","species_jetz","TipLabel"
"52","Conirostrum_sitticolor",4.76450826823825,"Conirostrum sitticolor","Conirostrum sitticolor","Conirostrum_sitticolor"
"53","Conopias_cinchoneti",3.41734778136443,"Conopias cinchoneti","Conopias cinchoneti","Conopias_cinchoneti"
"54","Conopophaga_peruviana",0.0616666666666667,"Conopophaga peruviana","Conopophaga peruviana","Conopophaga_peruviana"
"55","Contopus_fumigatus",2.33939573275963,"Contopus fumigatus","Contopus fumigatus","Contopus_fumigatus"
"56","Cranioleuca_curtata",0.608296833885069,"Cranioleuca curtata","Cranioleuca curtata","Cranioleuca_curtata"
"57","Cranioleuca_gutturata",3.45633787945601,"Cranioleuca gutturata","Cranioleuca gutturata","Cranioleuca_gutturata"
"58","Cranioleuca_marcapatae",3.98411380663242,"Cranioleuca marcapatae","Cranioleuca marcapatae","Cranioleuca_marcapatae"
"59","Creurgops_dentatus",6.08309685445995,"Creurgops dentatus","Creurgops dentatus","Creurgops_dentatus"
"60","Cryptopipo_holochlora",0.327311955637795,"Xenopipo holochlora","Xenopipo holochlora","Xenopipo_holochlora"
"61","Cyanerpes_caeruleus",5.75746860300958,"Cyanerpes caeruleus","Cyanerpes caeruleus","Cyanerpes_caeruleus"
"62","Cyanerpes_cyaneus",4.63541308064848,"Cyanerpes cyaneus","Cyanerpes cyaneus","Cyanerpes_cyaneus"
"63","Cyanocorax_yncas",2.84147323042536,"Cyanocorax yncas","Cyanocorax yncas","Cyanocorax_yncas"
"64","Cyanoloxia_cyanoides",1.13879453875495,"Cyanocompsa cyanoides","Cyanocompsa cyanoides","Cyanocompsa_cyanoides"
"65","Cyanolyca_viridicyanus",2.97673329022325,"Cyanolyca viridicyanus","Cyanolyca viridicyanus","Cyanolyca_viridicyanus"
"66","Cymbilaimus_lineatus",5.50096809042362,"Cymbilaimus lineatus","Cymbilaimus lineatus","Cymbilaimus_lineatus"
"67","Cymbilaimus_sanctaemariae",1.98854225140695,"Cymbilaimus sanctaemariae","Cymbilaimus sanctaemariae","Cymbilaimus_sanctaemariae"
"68","Dacnis_cayana",4.64330388046959,"Dacnis cayana","Dacnis cayana","Dacnis_cayana"
"69","Dacnis_lineata",0.802483164983165,"Dacnis lineata","Dacnis lineata","Dacnis_lineata"
"70","Deconychura_longicauda",4.11350401971111,"Deconychura longicauda","Deconychura longicauda","Deconychura_longicauda"
"71","Dendrocincla_fuliginosa",6.14716666459211,"Dendrocincla fuliginosa","Dendrocincla fuliginosa","Dendrocincla_fuliginosa"
"72","Dendrocincla_merula",0.748879171233711,"Dendrocincla merula","Dendrocincla merula","Dendrocincla_merula"
"73","Dendrocincla_tyrannina",3.15524957214481,"Dendrocincla tyrannina","Dendrocincla tyrannina","Dendrocincla_tyrannina"
"74","Dendrocolaptes_picumnus",3.39168067317159,"Dendrocolaptes picumnus","Dendrocolaptes picumnus","Dendrocolaptes_picumnus"
"75","Dendroma_erythroptera",3.30101140593057,"Philydor erythropterum","Philydor erythropterum","Philydor_erythropterum"
"76","Dendroplex_picus",4.11350401971111,"Xyphorinchus picus","Dendroplex picus","Dendroplex_picus"
"77","Diglossa_brunneiventris",0.588850915166705,"Diglossa brunneiventris","Diglossa brunneiventris","Diglossa_brunneiventris"
"78","Diglossa_caerulescens",1.57743115723747,"Diglossa caerulescens","Diglossa caerulescens","Diglossa_caerulescens"
"79","Diglossa_cyanea",7.48902071988589,"Diglossa cyanea","Diglossa cyanea","Diglossa_cyanea"
"80","Diglossa_glauca",4.78087802164445,"Diglossa glauca","Diglossa glauca","Diglossa_glauca"
"81","Diglossa_mystacalis",1.58611111111111,"Diglossa mystacalis","Diglossa mystacalis","Diglossa_mystacalis"
"82","Diglossa_sittoides",5.00133830617468,"Diglossa sittoides","Diglossa sittoides","Diglossa_sittoides"
"83","Drymophila_devillei",2.63332324256852,"Drymophila devillei","Drymophila devillei","Drymophila_devillei"
"84","Drymotoxeres_pucheranii",3.63355690134275,"Drymotoxeres pucheranii","Campylorhamphus pucherani","Campylorhamphus_pucherani"
"85","Dryobates_nigriceps",3.50211213768384,"Veniliornis nigriceps","Veniliornis nigriceps","Veniliornis_nigriceps"
"86","Dubusia_castaneoventris",1.59578777754418,"Delothraupis castaneoventris","Delothraupis castaneoventris","Delothraupis_castaneoventris"
"87","Dysithamnus_mentalis",0.530558281874071,"Dysithamnus mentalis","Dysithamnus mentalis","Dysithamnus_mentalis"
"88","Elaenia_albiceps",2.75068287921229,"Elaenia albiceps","Elaenia albiceps","Elaenia_albiceps"
"89","Elaenia_gigas",1.9762988070642,"Elaenia gigas","Elaenia gigas","Elaenia_gigas"
"90","Elaenia_obscura",1.40065519714814,"Elaenia obscura","Elaenia obscura","Elaenia_obscura"
"91","Elaenia_pallatangae",7.24618581899217,"Elaenia pallatangae","Elaenia pallatangae","Elaenia_pallatangae"
"92","Elaenia_parvirostris",0.187352134299809,"Elaenia parvirostris","Elaenia parvirostris","Elaenia_parvirostris"
"93","Entomodestes_leucotis",5.08298347271218,"Entomodestes leucotis","Entomodestes leucotis","Entomodestes_leucotis"
