X.,Collection,Sample_Group,Sample.No...,Sample.Full..,species_binomial,Host.Order,Host.Family,Box.Location,Mite.Group,Mite.Genus,Mite.Species,Total,Mite.Group2,Mite.Genus2,Mite.Species2,Total2,Comment,total_mites,X,X.1,X.2,X.3,species_clean,mass_tidy,bill_tidy,wing_tidy,tail_tidy,wing_index_tidy,tarsus_tidy,sociality,ForStrat_ground,ForStrat_understory,ForStrat_midhigh,ForStrat_canopy,species_jetz,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,foraging_cat,elevation_cat,sample,total_lice
348,JEJ,SP11,23,SP110023,Tangara_arthus,Passeriformes,Thraupidae,,Feather,,NA,7,,,NA,NA,,7,NA,NA,NA,NA,Tangara arthus,21.19101695,7.5034375,76.02833333,54.4,23,19,1,0,10,60,30,Tangara arthus,13020,Tangara_arthus,P17P18,"Tanagers I, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Golden Tanager,bow13020,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,midhigh,lowland_iquitos,110023,7
349,JEJ,SP11,40,SP110040,Chlorospingus_flavigularis,Passeriformes,"Passerellidae
",,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Chlorospingus flavigularis,25.95577586,9.036065574,77.04952381,61.6,17.8,21.3,1,0,60,30,10,Chlorospingus flavigularis,12843,Chlorospingus_flavigularis,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Yellow-throated Bush-tanager,bow12843,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,110040,1
350,JEJ,SP11,66,SP110066,Chlorospingus_flavigularis,Passeriformes,"Passerellidae
",,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Chlorospingus flavigularis,25.95577586,9.036065574,77.04952381,61.6,17.8,21.3,1,0,60,30,10,Chlorospingus flavigularis,12843,Chlorospingus_flavigularis,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Yellow-throated Bush-tanager,bow12843,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,110066,1
351,JEJ,SP11,70,SP110070,Chlorospingus_flavigularis,Passeriformes,"Passerellidae
",,Feather,,NA,5,,,NA,NA,,5,NA,NA,NA,NA,Chlorospingus flavigularis,25.95577586,9.036065574,77.04952381,61.6,17.8,21.3,1,0,60,30,10,Chlorospingus flavigularis,12843,Chlorospingus_flavigularis,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Yellow-throated Bush-tanager,bow12843,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,110070,5
352,JEJ,SP11,73,SP110073,Premnoplex_brunnescens,Passeriformes,"Furnariidae
",,Mesostigmatid,,NA,22,,,NA,NA,,22,NA,NA,NA,NA,Premnoplex brunnescens,15.77809045,9.921900826,59.63826531,61.1,14,20.1,1,0,80,20,0,Premnoplex brunnescens,6811,Premnoplex_brunnescens,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Spotted Barbtail,bow06811,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,110073,22
353,JEJ,SP11,74,SP110074,Premnoplex_brunnescens,Passeriformes,"Furnariidae
",,Feather,,NA,37,Mesostigmatid,,NA,18,,55,NA,NA,NA,NA,Premnoplex brunnescens,15.77809045,9.921900826,59.63826531,61.1,14,20.1,1,0,80,20,0,Premnoplex brunnescens,6811,Premnoplex_brunnescens,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Spotted Barbtail,bow06811,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,110074,55
354,JEJ,SP11,80,SP110080,Rhynchocyclus_fulvipectus,Passeriformes,Tyrannidae,,Feather,,NA,2,,,NA,NA,,2,NA,NA,NA,NA,Rhynchocyclus fulvipectus,24.23724138,9.192307692,74.31666667,70.2,15.1,18.9,1,0,80,20,0,Rhynchocyclus fulvipectus,5966,Rhynchocyclus_fulvipectus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Fulvous-breasted Flatbill,bow05966,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,110080,2
355,JEJ,SP11,84,SP110084,Myioborus_miniatus,Passeriformes,Parulidae,,Feather,,NA,12,,,NA,NA,,12,NA,NA,NA,NA,Myioborus miniatus,9.782295082,6.985714286,62.43278689,64.9,17,17.7,1,0,0,100,0,Myioborus miniatus,12758,Myioborus_miniatus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Slate-throated Redstart,bow12758,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,midhigh,lowland_iquitos,110084,12
356,JEJ,SP11,86,SP110086,Myioborus_miniatus,Passeriformes,Parulidae,,Feather,,NA,10,,,NA,NA,,10,NA,NA,NA,NA,Myioborus miniatus,9.782295082,6.985714286,62.43278689,64.9,17,17.7,1,0,0,100,0,Myioborus miniatus,12758,Myioborus_miniatus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Slate-throated Redstart,bow12758,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,midhigh,lowland_iquitos,110086,10
357,JEJ,SP11,87,SP110087,Myioborus_miniatus,Passeriformes,Parulidae,,Feather,,NA,4,,,NA,NA,,4,NA,NA,NA,NA,Myioborus miniatus,9.782295082,6.985714286,62.43278689,64.9,17,17.7,1,0,0,100,0,Myioborus miniatus,12758,Myioborus_miniatus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Slate-throated Redstart,bow12758,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,midhigh,lowland_iquitos,110087,4
358,JEJ,SP11,95,SP110095,Rhynchocyclus_fulvipectus,Passeriformes,Tyrannidae,,Feather,,NA,8,,,NA,NA,,8,NA,NA,NA,NA,Rhynchocyclus fulvipectus,24.23724138,9.192307692,74.31666667,70.2,15.1,18.9,1,0,80,20,0,Rhynchocyclus fulvipectus,5966,Rhynchocyclus_fulvipectus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Fulvous-breasted Flatbill,bow05966,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,110095,8
359,JEJ,SP11,113,SP110113,Basileuterus_tristriatus,Passeriformes,Parulidae,,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Basileuterus tristriatus,12.9,7.4035,60.89204545,56.5,13.6,20.4,1,0,100,0,0,Basileuterus tristriatus,12792,Basileuterus_tristriatus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Three-striped Warbler,bow12792,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,110113,1
360,JEJ,SP11,108,SP110108,Chlorospingus_opthalmicus,Passeriformes,"Passerellidae
",,Feather,,NA,69,,,NA,NA,,69,NA,NA,NA,NA,Chlorospingus flavopectus,21.97914286,7.904545455,68.02941176,63.8,15.6,21.4,1,10,30,30,30,Chlorospingus ophthalmicus,12834,Chlorospingus_ophthalmicus,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Common Bush-tanager,bow12834,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,ground-understory,lowland_iquitos,110108,69
361,JEJ,SP11,186,SP110186,Basileuterus_tristriatus,Passeriformes,Parulidae,,Feather,,NA,3,,,NA,NA,,3,NA,NA,NA,NA,Basileuterus tristriatus,12.9,7.4035,60.89204545,56.5,13.6,20.4,1,0,100,0,0,Basileuterus tristriatus,12792,Basileuterus_tristriatus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Three-striped Warbler,bow12792,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,110186,3
362,JEJ,SP11,98,SP110098,Eutoxeres_condamini,Passeriformes,Parulidae,,Feather,,NA,6,,,NA,NA,,6,NA,NA,NA,NA,Eutoxeres condamini,9.882727273,23.2563253,69.25582329,56.6,59.3,7.4,0,0,100,0,0,Eutoxeres condamini,2492,Eutoxeres_condamini,Trochilidae,Hummingbirds,Hummingbirds,Buff-tailed Sicklebill,bow02492,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,understory,lowland_iquitos,110098,6
363,JEJ,SP11,188,SP110188,Anabacerthia_striaticollis,Passeriformes,Furnariidae,,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Anabacerthia striaticollis,24.58886525,10.28111111,82.62553191,76.1,18,20,1,0,0,100,0,Anabacerthia striaticollis,6836,Anabacerthia_striaticollis,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Montane Foliage-gleaner,bow06836,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,110188,1
364,JEJ,SP11,259,SP110259,Hylophylax_naevius,Passeriformes,Thamnophilidae,,Feather,,NA,3,,,NA,NA,,3,NA,NA,NA,NA,Hylophylax naevius,13.63936508,8.975555556,58.31746032,39.8,14.1,20.2,0,0,80,20,0,Hylophylax naevius,6610,Hylophylax_naevius,Thamnophilidae,Antbirds,Antbirds,Spot-backed Antbird,bow06610,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,110259,3
365,JEJ,SP11,101,SP110101,Chlorospingus_flavigularis,Passeriformes,"Passerellidae
",,Feather,,NA,11,,,NA,NA,,11,NA,NA,NA,NA,Chlorospingus flavigularis,25.95577586,9.036065574,77.04952381,61.6,17.8,21.3,1,0,60,30,10,Chlorospingus flavigularis,12843,Chlorospingus_flavigularis,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Yellow-throated Bush-tanager,bow12843,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,110101,11
366,JEJ,SP11,340,SP110340,Leptopogon_superciliaris,Passeriformes,"Tyrannidae
",,Feather,,NA,2,,,NA,NA,,2,NA,NA,NA,NA,Leptopogon superciliaris,13.20830645,8.679135802,66.40677966,60.1,18.1,15.7,1,0,0,100,0,Leptopogon superciliaris,5769,Leptopogon_superciliaris,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Slaty-capped Flycatcher,bow05769,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,110340,2
367,JEJ,SP11,120,SP110120,Chlorospingus_flavigularis,Passeriformes,"Passerellidae
",,Feather,,NA,9,,,NA,NA,,9,NA,NA,NA,NA,Chlorospingus flavigularis,25.95577586,9.036065574,77.04952381,61.6,17.8,21.3,1,0,60,30,10,Chlorospingus flavigularis,12843,Chlorospingus_flavigularis,P20b,"Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies",Yellow-throated Bush-tanager,bow12843,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,110120,9
368,JEJ,SP11,130,SP110130,Premnoplex_brunnescens,Passeriformes,"Furnariidae
",,Mesostigmatid,,NA,36,Feather,,NA,1,,37,NA,NA,NA,NA,Premnoplex brunnescens,15.77809045,9.921900826,59.63826531,61.1,14,20.1,1,0,80,20,0,Premnoplex brunnescens,6811,Premnoplex_brunnescens,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Spotted Barbtail,bow06811,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,110130,37
369,JEJ,SP11,140,SP110140,Premnoplex_brunnescens,Passeriformes,"Furnariidae
",,Mesostigmatid,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Premnoplex brunnescens,15.77809045,9.921900826,59.63826531,61.1,14,20.1,1,0,80,20,0,Premnoplex brunnescens,6811,Premnoplex_brunnescens,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Spotted Barbtail,bow06811,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,110140,1
370,JEJ,SP11,144,SP110144,Basileuterus_tristriatus,Passeriformes,Parulidae,,Feather,,NA,3,,,NA,NA,,3,NA,NA,NA,NA,Basileuterus tristriatus,12.9,7.4035,60.89204545,56.5,13.6,20.4,1,0,100,0,0,Basileuterus tristriatus,12792,Basileuterus_tristriatus,P20a,New World Warblers,"New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies",Three-striped Warbler,bow12792,BL3,Parulidae,New World warblers,171,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,110144,3
371,JEJ,P12,675,P120675,Willisornis_poecilinotus,Passeriformes,Thamnophilidae,,Feather,,NA,7,,,NA,NA,,7,NA,NA,NA,NA,Willisornis poecilinotus,18.39630137,10.27342105,64.65822785,42.8,16.3,23,0,60,40,0,0,Willisornis poecilinotus,6612,Willisornis_poecilinotus,Thamnophilidae,Antbirds,Antbirds,Scale-backed Antbird,bow06612,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,120675,7
372,JEJ,P12,781,P120781,Sclerurus_caudacutus,Passeriformes,"Furnariidae
",,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Sclerurus caudacutus,37.54095238,15.42761905,88.47619048,63.4,17.4,22.6,0,100,0,0,0,Sclerurus caudacutus,6874,Sclerurus_caudacutus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Black-tailed Leaftosser,bow06874,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,120781,1
373,JEJ,P12,770,P120770,Microcerculus_marginatus,Passeriformes,Troglodytidae,,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Microcerculus marginatus,18.81613333,12.17923077,59.61538462,24.2,11.6,23.5,0,50,50,0,0,Microcerculus marginatus,9781,Microcerculus_marginatus,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",Southern Nightingale-wren,bow09781,BL3,Troglodytidae,Wrens,162,PASSERIFORMES,PASSERIFORMES,Passeri,ground-understory,lowland_iquitos,120770,1
374,JEJ,P12,773,P120773,Hylophylax_naevius,Passeriformes,Thamnophilidae,,Feather,,NA,9,,,NA,NA,,9,NA,NA,NA,NA,Hylophylax naevius,13.63936508,8.975555556,58.31746032,39.8,14.1,20.2,0,0,80,20,0,Hylophylax naevius,6610,Hylophylax_naevius,Thamnophilidae,Antbirds,Antbirds,Spot-backed Antbird,bow06610,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,120773,9
375,JEJ,P12,684,P120684,Hylophilus_ochraceiceps,Passeriformes,Vireonidae,,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Tunchiornis ochraceiceps,11.72933333,9.143,58.0625,43.9,13.2,16.8,1,0,80,20,0,Hylophilus ochraceiceps,7819,Hylophilus_ochraceiceps,CC3,"Vireos, Allies","Cuckoo-Shrikes, Helmetshrikes, Shrike-Flycatchers, Vangas, Whipbirds, Shrike-Thrushes, Whistlers, Shrikes, Monarchs, Vireos, Orioles, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies",Tawny-crowned Greenlet,bow07819,BL3,Vireonidae,Vireos and allies,141,PASSERIFORMES,PASSERIFORMES,Passeri,understory,lowland_iquitos,120684,1
376,JEJ,P12,687,P120687,Willisornis_poecilinotus,Passeriformes,Thamnophilidae,,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Willisornis poecilinotus,18.39630137,10.27342105,64.65822785,42.8,16.3,23,0,60,40,0,0,Willisornis poecilinotus,6612,Willisornis_poecilinotus,Thamnophilidae,Antbirds,Antbirds,Scale-backed Antbird,bow06612,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,120687,1
377,JEJ,P12,714,P120714,Myrmotherula_axillaris,Passeriformes,Thamnophilidae,,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Myrmotherula axillaris,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,Myrmotherula axillaris,6486,Myrmotherula_axillaris,Thamnophilidae,Antbirds,Antbirds,White-flanked Antwren,bow06486,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,120714,1
378,JEJ,P12,807,P120807,Isleria_hauxwelli,Passeriformes,Thamnophilidae,,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Isleria hauxwelli,11.27941606,8.391276596,50.70714286,24.8,15.6,18.9,1,40,40,20,0,Myrmotherula hauxwelli,6475,Myrmotherula_hauxwelli,Thamnophilidae,Antbirds,Antbirds,Plain-throated Antwren,bow06475,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,120807,1
379,JEJ,P12,818,P120818,Leptopogon_amaurocephalus,Passeriformes,"Tyrannidae
",,Feather,,NA,11,,,NA,NA,,11,NA,NA,NA,NA,Leptopogon amaurocephalus,11.67782609,8.840697674,61.33695652,55.3,18.7,14.5,1,0,50,50,0,Leptopogon amaurocephalus,5768,Leptopogon_amaurocephalus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Sepia-capped Flycatcher,bow05768,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,120818,11
380,JEJ,P12,916,P120916,Thamnomanes_schistogynus,Passeriformes,Thamnophilidae,,Feather,,NA,52,,,NA,NA,,52,NA,NA,NA,NA,Thamnomanes schistogynus,17.905,10.43661765,69.76623377,62,13.2,17.6,1,0,20,80,0,Thamnomanes schistogynus,6462,Thamnomanes_schistogynus,Thamnophilidae,Antbirds,Antbirds,Bluish-slate Antshrike,bow06462,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,120916,52
381,JEJ,P12,921,P120921,Thamnomanes_schistogynus,Passeriformes,Thamnophilidae,,Feather,,NA,13,,,NA,NA,,13,NA,NA,NA,NA,Thamnomanes schistogynus,17.905,10.43661765,69.76623377,62,13.2,17.6,1,0,20,80,0,Thamnomanes schistogynus,6462,Thamnomanes_schistogynus,Thamnophilidae,Antbirds,Antbirds,Bluish-slate Antshrike,bow06462,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,120921,13
382,JEJ,P12,923,P120923,Thamnomanes_schistogynus,Passeriformes,Thamnophilidae,,Feather,,NA,37,,,NA,NA,,37,NA,NA,NA,NA,Thamnomanes schistogynus,17.905,10.43661765,69.76623377,62,13.2,17.6,1,0,20,80,0,Thamnomanes schistogynus,6462,Thamnomanes_schistogynus,Thamnophilidae,Antbirds,Antbirds,Bluish-slate Antshrike,bow06462,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,120923,37
383,JEJ,P12,924,P120924,Thamnomanes_schistogynus,Passeriformes,Thamnophilidae,,Feather,,NA,21,,,NA,NA,,21,NA,NA,NA,NA,Thamnomanes schistogynus,17.905,10.43661765,69.76623377,62,13.2,17.6,1,0,20,80,0,Thamnomanes schistogynus,6462,Thamnomanes_schistogynus,Thamnophilidae,Antbirds,Antbirds,Bluish-slate Antshrike,bow06462,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,120924,21
384,JEJ,P12,933,P120933,Myrmotherula_axillaris,Passeriformes,Thamnophilidae,,Feather,,NA,2,,,NA,NA,,2,NA,NA,NA,NA,Myrmotherula axillaris,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,Myrmotherula axillaris,6486,Myrmotherula_axillaris,Thamnophilidae,Antbirds,Antbirds,White-flanked Antwren,bow06486,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,120933,2
385,JEJ,P12,956,P120956,Isleria_hauxwelli,Passeriformes,Thamnophilidae,,Feather,,NA,2,,,NA,NA,,2,NA,NA,NA,NA,Isleria hauxwelli,11.27941606,8.391276596,50.70714286,24.8,15.6,18.9,1,40,40,20,0,Myrmotherula hauxwelli,6475,Myrmotherula_hauxwelli,Thamnophilidae,Antbirds,Antbirds,Plain-throated Antwren,bow06475,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,120956,2
386,JEJ,P12,975,P120975,Lanio_versicolor,Passeriformes,"Thraupidae
",,Feather,,NA,1,Mesostigmatid,,NA,1,,2,NA,NA,NA,NA,Lanio versicolor,19.76205128,10.39833333,79.825,67.6,20.3,15.3,1,0,0,20,60,Lanio versicolor,12886,Lanio_versicolor,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",White-winged Shrike-tanager,bow12886,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,canopy,lowland_iquitos,120975,2
387,JEJ,P12,1004,P121004,Hylophylax_naevius,Passeriformes,Thamnophilidae,,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Hylophylax naevius,13.63936508,8.975555556,58.31746032,39.8,14.1,20.2,0,0,80,20,0,Hylophylax naevius,6610,Hylophylax_naevius,Thamnophilidae,Antbirds,Antbirds,Spot-backed Antbird,bow06610,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,121004,1
388,JEJ,P12,1007,P121007,Isleria_hauxwelli,Passeriformes,Thamnophilidae,,Feather,,NA,3,Mesostigmatid,,NA,1,,4,NA,NA,NA,NA,Isleria hauxwelli,11.27941606,8.391276596,50.70714286,24.8,15.6,18.9,1,40,40,20,0,Myrmotherula hauxwelli,6475,Myrmotherula_hauxwelli,Thamnophilidae,Antbirds,Antbirds,Plain-throated Antwren,bow06475,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,121007,4
389,JEJ,P12,1052,P121052,Corythopis_torquatus,Passeriformes,Tyrannidae,,Feather,,NA,63,,,NA,NA,,63,NA,NA,NA,NA,Corythopis torquatus,17.01754717,9.018085106,66.12,52.7,17.3,26,0,80,20,0,0,Corythopis torquatus,5814,Corythopis_torquatus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ringed Antpipit,bow05814,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,121052,63
390,JEJ,P12,1238,P121238,Glyphorynchus_spirurus,Passeriformes,Furnariidae,,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,121238,1
391,JEJ,P12,1245,P121245,Glyphorynchus_spirurus,Passeriformes,Furnariidae,,Feather,,NA,11,Mesostigmatid,,NA,3,,14,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,121245,14
392,JEJ,P12,1262,P121262,Myrmotherula_axillaris,Passeriformes,Thamnophilidae,,Feather,,NA,3,,,NA,NA,,3,NA,NA,NA,NA,Myrmotherula axillaris,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,Myrmotherula axillaris,6486,Myrmotherula_axillaris,Thamnophilidae,Antbirds,Antbirds,White-flanked Antwren,bow06486,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,121262,3
393,JEJ,P12,1271,P121271,Glyphorynchus_spirurus,Passeriformes,Furnariidae,,Feather,,NA,19,,,NA,NA,,19,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,121271,19
394,JEJ,P12,1359,P121359,Glyphorynchus_spirurus,Passeriformes,Furnariidae,,Trombiculid,,NA,23,Feather/Mesostigmatid,,NA,1,,24,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,121359,24
