X.,Collection,Sample_Group,Sample.No...,Sample.Full..,species_binomial,Host.Order,Host.Family,Box.Location,Mite.Group,Mite.Genus,Mite.Species,Total,Mite.Group2,Mite.Genus2,Mite.Species2,Total2,Comment,total_mites,X,X.1,X.2,X.3,species_clean,mass_tidy,bill_tidy,wing_tidy,tail_tidy,wing_index_tidy,tarsus_tidy,sociality,ForStrat_ground,ForStrat_understory,ForStrat_midhigh,ForStrat_canopy,species_jetz,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,foraging_cat,elevation_cat,sample,total_lice
14,JUM,V,V173,V173,Glyphorynchus_spirurus,Passeriformes,Furnariidae,,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,173,1
15,JUM,V,V182,V182,Willisornis_poecilinotus,Passeriformes,Thamnophilidae,,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Willisornis poecilinotus,18.39630137,10.27342105,64.65822785,42.8,16.3,23,0,60,40,0,0,Willisornis poecilinotus,6612,Willisornis_poecilinotus,Thamnophilidae,Antbirds,Antbirds,Scale-backed Antbird,bow06612,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,182,1
17,JUM,V,V184,V184,Dendrocincla_fuliginosa,Passeriformes,"Furnariidae
",,unknown,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Dendrocincla fuliginosa,31.68493671,19.41738462,95.81428571,86.7,18.3,24.7,1,33,33,33,0,Dendrocincla fuliginosa,6893,Dendrocincla_fuliginosa,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Plain-brown Woodcreeper,bow06893,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,184,1
20,JUM,V,V216,V216,Onychorhynchus_coronatus,Passeriformes,Tityridae,,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Onychorhynchus coronatus,14.66117647,13.396875,73.8125,63.8,18.8,15.9,0,0,30,70,0,Onychorhynchus coronatus,5980,Onychorhynchus_coronatus,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Amazonian Royal Flycatcher,bow05980,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,216,1
21,JUM,V,V223,V223,Formicarius_colma,Passeriformes,"Formicariidae
",,Mesostigmatid,,NA,14,,,NA,NA,,14,NA,NA,NA,NA,Formicarius colma,45.426,12,85.8,53.4,19,29.9,0,80,20,0,0,Formicarius colma,6953,Formicarius_colma,Antthrushes,Antthrushes,"Ovenbirds, Woodcreepers, Antthrushes",Rufous-capped Antthrush,bow06953,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,223,14
22,JUM,V,V220,V220,Glyphorynchus_spirurus,Passeriformes,Furnariidae,,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,220,1
23,JUM,V,V235,V235,Glyphorynchus_spirurus,Passeriformes,Furnariidae,,Feather,,NA,50,Mesostigmatid,,NA,1,,51,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,235,51
24,JUM,V,V240,V240,Glyphorynchus_spirurus,Passeriformes,Furnariidae,,Feather,,NA,3,Unknown,,NA,1,,4,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,240,4
26,JUM,V,V254,V254,Formicarius_colma,Passeriformes,"Formicariidae
",,Feather,,NA,2,Mesostigmatid,,NA,1,,3,NA,NA,NA,NA,Formicarius colma,45.426,12,85.8,53.4,19,29.9,0,80,20,0,0,Formicarius colma,6953,Formicarius_colma,Antthrushes,Antthrushes,"Ovenbirds, Woodcreepers, Antthrushes",Rufous-capped Antthrush,bow06953,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,254,3
27,JUM,V,V257,V257,Glyphorynchus_spirurus,Passeriformes,Furnariidae,,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,257,1
28,JUM,V,V261,V261,Glyphorynchus_spirurus,Passeriformes,Furnariidae,,Feather,,NA,2,Mesostigmatid,,NA,1,,3,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,261,3
30,JUM,V,V269,V269,Willisornis_poecilinotus,Passeriformes,Thamnophilidae,,Mesostigmatid,,NA,2,,,NA,NA,,2,NA,NA,NA,NA,Willisornis poecilinotus,18.39630137,10.27342105,64.65822785,42.8,16.3,23,0,60,40,0,0,Willisornis poecilinotus,6612,Willisornis_poecilinotus,Thamnophilidae,Antbirds,Antbirds,Scale-backed Antbird,bow06612,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,ground,lowland_iquitos,269,2
32,JUM,V,V283,V283,Geotrygon_montana,Columbiformes,"Columbidae
",,Meso,,NA,2,,,NA,NA,,2,NA,NA,NA,NA,Geotrygon montana,114.4062791,7.908604651,132.3859155,76.3,27.1,26.9,0,100,0,0,0,Geotrygon montana,3494,Geotrygon_montana,Columbidae,"Pigeons, Doves","Pigeons, Doves",Ruddy Quail-dove,bow03494,BL3,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,ground,lowland_iquitos,283,2
33,JUM,V,V285,V285,Dendrocincla_fuliginosa,Passeriformes,"Furnariidae
",,Feather,,NA,3,,,NA,NA,,3,NA,NA,NA,NA,Dendrocincla fuliginosa,31.68493671,19.41738462,95.81428571,86.7,18.3,24.7,1,33,33,33,0,Dendrocincla fuliginosa,6893,Dendrocincla_fuliginosa,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Plain-brown Woodcreeper,bow06893,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,ground-understory,lowland_iquitos,285,3
35,JUM,V,V296,V296,Glyphorynchus_spirurus,Passeriformes,Furnariidae,,Feather,,NA,7,,,NA,NA,,7,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,296,7
36,JUM,V,V297,V297,Glyphorynchus_spirurus,Passeriformes,Furnariidae,,Feather,,NA,3,,,NA,NA,,3,NA,NA,NA,NA,Glyphorynchus spirurus,15.41370221,9.742558685,68.29475983,66,23.9,16.5,1,0,0,40,60,Glyphorynchus spirurus,6901,Glyphorynchus_spirurus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Wedge-billed Woodcreeper,bow06901,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,canopy,lowland_iquitos,297,3
37,JUM,V,V298,V298,Automolus_ochrolaemus,Passeriformes,Furnariidae,,Feather,,NA,1,,,NA,NA,,1,NA,NA,NA,NA,Automolus ochrolaemus,34.96803922,14.4712766,88.51851852,75.3,17.5,23.5,1,10,70,20,0,Automolus ochrolaemus,6861,Automolus_ochrolaemus,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Buff-throated Foliage-gleaner,bow06861,BL3,Furnariidae,Ovenbirds,110,PASSERIFORMES,PASSERIFORMES,Tyranni,understory,lowland_iquitos,298,1
38,JUM,V,V299,V299,Xiphorhynchus_elegans,Passeriformes,Furnariidae,,Feather,,NA,3,Unknown,,NA,2,,5,NA,NA,NA,NA,Xiphorhynchus elegans,38.50835294,24.42858824,100.1363636,82,20.1,21.9,1,0,30,60,10,Xiphorhynchus elegans,20106,Xiphorhynchus_elegans,Furnaridae,"Ovenbirds, Woodcreepers","Ovenbirds, Woodcreepers, Antthrushes",Elegant Woodcreeper,bow20106,BL3,Dendrocolaptidae,Woodcreepers,111,PASSERIFORMES,PASSERIFORMES,Tyranni,midhigh,lowland_iquitos,299,5
