Host.Family,BLFamilyLatin,species_clean,species_jetz,Mite.Group,Mite.Group2,sociality,foraging_cat,elevation_cat,TipLabel,Sample.Full..,keycol,valuecol
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_manu,Willisornis_poecilinotus,P116247,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_manu,Willisornis_poecilinotus,P116278,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_manu,Willisornis_poecilinotus,P120675,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_manu,Willisornis_poecilinotus,P120687,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_manu,Willisornis_poecilinotus,P121505,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_manu,Willisornis_poecilinotus,P121797,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_manu,Willisornis_poecilinotus,P130400,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,other_iquitos,Willisornis_poecilinotus,1022,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,other_iquitos,Willisornis_poecilinotus,799,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,other_iquitos,Willisornis_poecilinotus,813,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,Mesostigmatid,0,ground,lowland_iquitos,Willisornis_poecilinotus,M582,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,Mesostigmatid,0,ground,other_iquitos,Willisornis_poecilinotus,1025,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Mesostigmatid,,0,ground,lowland_iquitos,Willisornis_poecilinotus,M600,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Mesostigmatid,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V269,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Mesostigmatid,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V386,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Trombiculid,Mesostigmatid,0,ground,lowland_manu,Willisornis_poecilinotus,P121499,Mite.Genus,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_iquitos,Willisornis_poecilinotus,M487,Mite.Genus2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_iquitos,Willisornis_poecilinotus,M507,Mite.Genus2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_iquitos,Willisornis_poecilinotus,M588,Mite.Genus2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V1200,Mite.Genus2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,Feather,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V163,Mite.Genus2,
