species_taxonomy_SACC_2021,elevation_midpoint
Heliodoxa leadbeateri,1387
Heliodoxa rubinoides,1954
Heliodoxa schreibersii,1129
Heliothryx auritus,763
Hemithraupis flavicollis,435.5
Hemithraupis guira,1076
Hemitriccus flammulatus,866
Hemitriccus granadensis,2744
Hemitriccus griseipectus,426
Hemitriccus iohannis,515
Hemitriccus rufigularis,1131.5
Henicorhina leucophrys,1586
Herpetotheres cachinnans,426
Herpsilochmus axillaris,1279
Herpsilochmus rufimarginatus,893
Hydropsalis climacocerca,1305.5
Hylophilus thoracicus,419
Hylophylax naevius,850
Hypocnemis subflava,1119.5
Hypocnemoides maculicauda,397
Ibycter americanus,536
Icterus cayanensis,411.5
Iridophanes pulcherrimus,1678
Iridosornis analis,1541
Iridosornis jelskii,2859
Isleria hauxwelli,415
Ixothraupis punctata,1397
Ixothraupis xanthogastra,432
Jacamerops aureus,430
Klais guimeti,1202
Kleinothraupis atropileus,2742
Kleinothraupis parodii,2626
Knipolegus aterrimus,2929
Knipolegus signatus,2783
Lafresnaya lafresnayi,2716.5
Laniisoma elegans,410
Lanio versicolor,438
Laniocera hypopyrra,416
Lathrotriccus euleri,951
Legatus leucophaius,429
Lepidocolaptes fatimalimae,409
Lepidocolaptes lacrymiger,2542
Lepidothrix coeruleocapilla,1339
Lepidothrix coronata,417.5
Leptopogon amaurocephalus,417
Leptopogon superciliaris,1387
Leptopogon taczanowskii,2324
Leptosittaca branickii,2318
Leptotila rufaxilla,411
Leptotila verreauxi,871.5
Lesbia nuna,2685
Leucopternis kuhli,418
Leucopternis melanops,436
Liosceles thoracicus,604
Lipaugus vociferans,425
Lochmias nematura,1310
Lophostrix cristata,512
Lophotriccus eulophotes,344
Lophotriccus pileatus,1384.5
Loriotus cristatus,419
Loriotus luctuosus,430
Loriotus rufiventer,428.5
Lurocalis rufiventris,2575
Lurocalis semitorquatus,599
Machaeropterus pyrocephalus,827.5
Malacoptila fulvogularis,1395
Malacoptila semicincta,494.5
Manacus manacus,717.5
Margarornis squamiger,2755
Mecocerculus leucophrys,2781
Mecocerculus stictopterus,2739
Megaceryle torquata,406
Megascops albogularis,2673
Megascops choliba,430
Megascops ingens,1536
Megascops watsonii,422
Melanerpes cruentatus,426
Metallura aeneocauda,2880.5
Metallura tyrianthina,2911
Metopothrix aurantiaca,433
Micrastur buckleyi,489
Micrastur gilvicollis,526
Micrastur mirandollei,430
Micrastur ruficollis,1204
Micrastur semitorquatus,430
Microbates cinereiventris,1210
Microcerculus marginatus,754
Micromonacha lanceolata,1113.5
Microrhopias quixensis,811
Microspingus trifasciatus,3362.5
Mionectes macconnelli,414
Mionectes oleagineus,421
Mionectes olivaceus,1262
Mionectes striaticollis,1573
Mitrephanes olivaceus,1702
Mitu tuberosum,426
Momotus aequatorialis,1366
Momotus momota,429
Monasa morphoeus,417
Monasa nigrifrons,409
Myadestes ralloides,1567
Myiarchus cephalotes,1180.5
Myiarchus ferox,387
Myiarchus tuberculifer,2555
Myiobius barbatus,424
Myiobius villosus,1318.5
Myioborus melanocephalus,2578
Myioborus miniatus,1404
Myiodynastes chrysocephalus,1438
Myiodynastes maculatus,395
Myiopagis gaimardii,426
Myiophobus fasciatus,387
Myiophobus inornatus,1586
Myiornis ecaudatus,425
Myiotheretes fumigatus,2631.5
Myiotheretes fuscorufus,2681
Myiotheretes striaticollis,1551
Myiothlypis bivittata,1217
Myiothlypis chrysogaster,975
Myiothlypis coronata,1541
Myiothlypis fulvicauda,419
Myiothlypis luteoviridis,2726
Myiothlypis signata,2577
Myiotriccus ornatus,983
Myiozetetes cayanensis,1371
Myiozetetes granadensis,387
Myiozetetes similis,1303
Myrmelastes brunneiceps,458
Myrmelastes leucostigma,993
Myrmoborus leucophrys,889
Myrmoborus lophotes,670
Myrmoborus myotherinus,426
Myrmophylax atrothorax,435
Myrmothera berlepschi,412
Myrmothera campanisona,425.5
Myrmotherula axillaris,415
Myrmotherula brachyura,426
Myrmotherula iheringi,1122.5
Myrmotherula longicauda,1210
Myrmotherula longipennis,418.5
Myrmotherula menetriesii,423.5
Myrmotherula multostriata,444
Myrmotherula schisticolor,1487
Myrmotherula sclateri,422.5
Nannopsittaca dachilleae,1088
Neoctantes niger,414
Neomorphus geoffroyi,410
Nephelomyias ochraceiventris,2986
Nonnula ruficapilla,392
Nothocercus nigrocapillus,2334
Nyctidromus albicollis,395
Nyctiphrynus ocellatus,417
Nystalus striolatus,421
Ochthoeca cinnamomeiventris,2542
Ochthoeca frontalis,3235
Ochthoeca fumicolor,3237
Ochthoeca pulchella,2707
Ochthoeca rufipectoralis,2885
Ochthornis littoralis,407.5
Ocreatus underwoodii,1501
Odontophorus balliviani,2564.5
Odontophorus speciosus,1358
Odontophorus stellatus,429
Odontorchilus branickii,1381.5
Oneillornis salvini,415
Onychorhynchus coronatus,398
Ornithion inerme,426
Orochelidon flavipes,2760
Ortalis guttata,421
Orthopsittaca manilatus,419
Pachyramphus marginatus,426
Pachyramphus minor,419
Pachyramphus polychopterus,422.5
Pachyramphus versicolor,2338
Pachysylvia hypoxantha,426
Paraclaravis mondetoura,2324
Patagioenas cayennensis,409
Patagioenas fasciata,2707
Patagioenas plumbea,1115
Patagioenas subvinacea,426
Penelope jacquacu,428
Penelope montagnii,2616
Phaethornis guy,1337
Phaethornis hispidus,397
Phaethornis koepckeae,418
Phaethornis malaris,414
Phaethornis ruber,853
Phaethornis stuarti,437
Phaethornis superciliosus,421.5
Pharomachrus antisianus,1712.5
Pharomachrus auriceps,2578
Pharomachrus pavoninus,566
Pheucticus aureoventris,1888
Pheucticus chrysogaster,2650
Pheugopedius genibarbis,1217
Philydor erythrocercum,422
Philydor pyrrhodes,381
Phlegopsis nigromaculata,413
Phlogophilus harterti,1246
Phyllomyias burmeisteri,1431
Phyllomyias cinereiceps,1355
Phyllomyias plumbeiceps,1578
Phyllomyias uropygialis,2743
Phylloscartes ophthalmicus,1371
Phylloscartes orbitalis,956
Phylloscartes parkeri,1148.5
Phylloscartes poecilotis,2347
Phylloscartes ventralis,1710
Piaya cayana,1101
Piculus leucolaemus,846
Picumnus aurifrons,933.5
Picumnus rufiventris,386.5
Picumnus subtilis,714
Pionites leucogaster,418
Pionus menstruus,829
Pionus tumultuosus,2319
Pipile cumanensis,428
Pipra fasciicauda,413
Pipraeidea melanonota,2338
Pipreola arcuata,2750
Pipreola frontalis,1647.5
Pipreola intermedia,2648
Pipreola pulchra,1998
Piprites chloris,426
Piranga flava,1662.5
Piranga leucoptera,1202
Piranga olivacea,1428
Pitangus sulphuratus,378
Platyrinchus coronatus,413
Platyrinchus mystaceus,1491.5
Platyrinchus platyrhynchos,421.5
Poecilotriccus albifacies,505.5
Poecilotriccus latirostris,969
Poecilotriccus plumbeiceps,1948
Poecilotriccus pulchellus,990
Premnoplex brunnescens,1366
Premnornis guttuliger,2206
Primolius couloni,424
Psarocolius angustifrons,537
Psarocolius atrovirens,1825
Psarocolius bifasciatus,426
Psarocolius decumanus,960
Pseudocolaptes boissonneautii,2650
Pseudospingus xanthophthalmus,2884.5
Pseudotriccus ruficeps,2617
Pseudotriccus simplex,2054
Psittacara leucophthalmus,419
Psittacara mitratus,2719.5
Psophia leucoptera,420
Pteroglossus azara,714
Pteroglossus beauharnaisii,426
Pteroglossus castanotis,409
Pterophanes cyanopterus,2964
Pygiptila stellaris,419
Pygochelidon cyanoleuca,1224
Pyriglena leuconota,1381.5
Pyrilia barrabandi,538
Pyrocephalus rubinus,387
Pyrrhomyias cinnamomeus,2324
Pyrrhura roseifrons,403
Querula purpurata,422
Ramphastos tucanus,425
Ramphastos vitellinus,421.5
Ramphocelus carbo,1094
Ramphotrigon fuscicauda,431
Ramphotrigon megacephalum,805
Ramphotrigon ruficauda,482.5
Rauenia bonariensis,2816
Rhegmatorhina melanosticta,600
Rhynchocyclus fulvipectus,1365
Rhynchocyclus olivaceus,540
Rhytipterna simplex,526
Rupicola peruvianus,1362
Rupornis magnirostris,983
Saltator coerulescens,402.5
Saltator grossus,428
Saltator maximus,989
Sayornis nigricans,1335.5
Schiffornis turdina,876
Schistes geoffroyi,1358
Sciaphylax hemimelaena,818
Sclateria naevia,413
Sclerurus albigularis,403.5
Sclerurus caudacutus,413
Sclerurus obscurior,418
Scytalopus atratus,1578
Scytalopus parvirostris,2726
Scytalopus schulenbergi,3414
Selenidera reinwardtii,584
Serpophaga cinerea,1316
Serpophaga hypoleuca,1242
Setophaga pitiayumi,1365
Sittasomus griseicapillus,397
Sphenopsis frontalis,2685
Sphenopsis melanotis,1515
Spinus magellanicus,1449
Spinus olivaceus,2280.5
Spizaetus isidori,1230
Sporathraupis cyanocephala,2742.5
Sporophila angolensis,1302
Sporophila bouvronides,387
Sporophila caerulescens,387
Sporophila castaneiventris,387
Sporophila luctuosa,1360
Sporophila nigricollis,1337
Sporophila schistacea,827.5
Stelgidopteryx ruficollis,1382
Stilpnia cyanicollis,1293
Stilpnia nigrocincta,421
Streptoprocne rutila,2557
Streptoprocne zonaris,2315.5
Sublegatus modestus,387
Synallaxis albigularis,387
Synallaxis azarae,2578
Synallaxis cabanisi,1084
Synallaxis gujanensis,693
Syndactyla rufosuperciliata,1709
Syndactyla ucayalae,717
Syrtidicola fluviatilis,387
Tachornis squamata,419
Tachycineta albiventer,387
Talaphorus chlorocercus,387
Tangara arthus,1308.5
Tangara callophrys,409
Tangara chilensis,1055
Tangara chrysotis,1396
Tangara cyanotis,1283
Tangara gyrola,1124
Tangara mexicana,488.5
Tangara nigroviridis,1652.5
Tangara parzudakii,1935.5
Tangara schrankii,421
Tangara vassorii,2681
Tangara velia,409
Tangara xanthocephala,1610
Taphrospilus hypostictus,1376
Taraba major,381
Terenotriccus erythrurus,413
Tersina viridis,418
Thalurania furcata,420
Thamnistes anabatinus,950
Thamnomanes ardesiacus,421
Thamnomanes schistogynus,430
Thamnophilus aethiops,446
Thamnophilus caerulescens,1746.5
Thamnophilus doliatus,387
Thamnophilus palliatus,1230
Thamnophilus schistaceus,439
Thamnophilus unicolor,1509
Thlypopsis ornata,2726
Thlypopsis ruficeps,2743
Thlypopsis sordida,387
Thlypopsis superciliaris,2760
Thraupis episcopus,1283
Thraupis palmarum,1100
Threnetes leucurus,421
Thripadectes holostictus,1535
Thripadectes melanorhynchus,1337
Thripadectes scrutator,2542
Thripophaga fusciceps,409
Tinamus guttatus,584
Tinamus major,422
Tinamus osgoodi,1506
Tinamus tao,906.5
Tityra semifasciata,602
Todirostrum chrysocrotaphum,422.5
Todirostrum maculatum,387
Tolmomyias assimilis,622
Tolmomyias flaviventris,1147
Tolmomyias poliocephalus,421
Tolmomyias sulphurescens,1337
Touit huetii,710
Trichothraupis melanops,1387
Troglodytes aedon,2924
Troglodytes solstitialis,2707
Trogon collaris,515
Trogon curucui,660.5
Trogon melanurus,431
Trogon personatus,2561
Trogon violaceus,583
Trogon viridis,428.5
Tunchiornis ochraceiceps,892
Turdus albicollis,411.5
Turdus amaurochalinus,381
Turdus chiguanco,2617
Turdus fuscater,2924
Turdus hauxwelli,1337
Turdus ignobilis,387
Turdus lawrencii,413
Turdus leucops,1509
Turdus nigriceps,1397
Turdus serranus,2648
Tyranneutes stolzmanni,426
Tyrannus albogularis,387
Tyrannus melancholicus,1246
Tyrannus tyrannus,387
Uropsalis lyra,1686
Uropsalis segmentata,2867.5
Vireo flavoviridis,389
Vireo leucophrys,1420
Vireo olivaceus,712
Vireolanius leucotis,1061
Willisornis poecilinotus,419
Xenops minutus,414
Xenops rutilans,1203
Xenops tenuirostris,430
Xiphocolaptes promeropirhynchus,2470
Xiphorhynchus elegans,421
Xiphorhynchus guttatus,429
Xiphorhynchus obsoletus,853
Xiphorhynchus ocellatus,1074
Xiphorhynchus triangularis,1501
Zentrygon frenata,1692.5
Zimmerius bolivianus,2065
Zimmerius cinereicapilla,1006
Zonotrichia capensis,2932
