"","deg_binary"
"Ramphocelus_carbo",48
"Ramphotrigon_fuscicauda",55
"Rauenia_bonariensis",19
"Rhynchocyclus_fulvipectus",14
"Saltator_grossus",46
"Saltator_maximus",104
"Sclerurus_obscurior",32
"Setophaga_pitiayumi",58
"Sittasomus_griseicapillus",14
"Sphenopsis_melanotis",72
"Sporathraupis_cyanocephala",45
"Stilpnia_cyanicollis",84
"Synallaxis_azarae",54
"Syndactyla_ucayalae",25
"Tangara_arthus",102
"Tangara_callophrys",7
"Tangara_chilensis",129
"Tangara_chrysotis",31
"Tangara_cyanotis",13
"Tangara_gyrola",120
"Tangara_mexicana",25
"Tangara_nigroviridis",48
"Tangara_parzudakii",12
"Tangara_schrankii",98
"Tangara_vassorii",50
"Tangara_velia",7
"Tangara_xanthocephala",55
"Terenotriccus_erythrurus",7
"Thamnomanes_ardesiacus",67
"Thamnomanes_schistogynus",108
"Thamnophilus_aethiops",17
"Thamnophilus_doliatus",9
"Thamnophilus_palliatus",32
"Thamnophilus_schistaceus",89
"Thamnophilus_unicolor",21
"Thlypopsis_ornata",22
"Thlypopsis_ruficeps",70
"Thlypopsis_superciliaris",46
"Thraupis_episcopus",19
"Thraupis_palmarum",49
"Thripadectes_melanorhynchus",52
"Thripophaga_fusciceps",12
"Tityra_semifasciata",29
"Todirostrum_chrysocrotaphum",19
"Tolmomyias_assimilis",46
"Trichothraupis_melanops",54
"Troglodytes_solstitialis",27
"Trogon_collaris",38
"Trogon_curucui",19
"Trogon_melanurus",14
"Trogon_personatus",55
"Trogon_violaceus",34
"Trogon_viridis",21
"Tunchiornis_ochraceiceps",48
"Turdus_nigriceps",30
"Vireo_leucophrys",65
"Vireo_olivaceus",49
"Xenops_minutus",69
"Xenops_rutilans",59
"Xenops_tenuirostris",57
"Xiphocolaptes_promeropirhynchus",69
"Xiphorhynchus_elegans",83
"Xiphorhynchus_guttatus",94
"Xiphorhynchus_ocellatus",20
"Xiphorhynchus_triangularis",90
"Zimmerius_bolivianus",59
