"","species_taxonomy_SACC_2021","species_jetz","family","sample_size"
"85","Anabacerthia_striaticollis","Tangara_arthus","Thraupidae",1
"86","Anisognathus_igniventris","Anisognathus_igniventris","Thraupidae",8
"87","Anisognathus_somptuosus","Anisognathus_somptuosus","Thraupidae",2
"88","Buthraupis_montana","Buthraupis_montana","Thraupidae",4
"89","Chlorochrysa_calliparaea","Chlorochrysa_calliparaea","Thraupidae",3
"90","Chlorornis_riefferii","Chlorornis_riefferii","Thraupidae",14
"91","Chlorospingus_flavigularis","Chlorospingus_flavigularis","Thraupidae",16
"92","Chlorospingus_flavopectus","Chlorospingus_ophthalmicus","Thraupidae",5
"93","Cyanerpes_caeruleus","Cyanerpes_caeruleus","Thraupidae",2
"94","Diglossa_glauca","Diglossa_glauca","Thraupidae",1
"95","Dubusia_taeniata","Dubusia_taeniata","Thraupidae",1
"96","Euphonia_xanthogaster","Euphonia_xanthogaster","Thraupidae",1
"97","Iridosornis_analis","Iridosornis_analis","Thraupidae",2
"98","Iridosornis_jelskii","Iridosornis_jelskii","Thraupidae",14
"99","Kleinothraupis_atropileus","Hemispingus_atropileus","Thraupidae",28
"100","Lanio_versicolor","Lanio_versicolor","Thraupidae",4
"101","Sphenopsis_melanotis","Hemispingus_melanotis","Thraupidae",10
"102","Sporathraupis_cyanocephala","Thraupis_cyanocephala","Thraupidae",8
"103","Tangara_arthus","Tangara_arthus","Thraupidae",9
"104","Tangara_schrankii","Tangara_schrankii","Thraupidae",6
"105","Trichothraupis_melanops","Trichothraupis_melanops","Thraupidae",8
"106","Basileuterus_tristriatus","Eutoxeres_condamini","Trochilidae",1
"107","Campylopterus_largipennis","Campylopterus_largipennis","Trochilidae",1
"108","Phaethornis_koepckeae","Phaethornis_koepckeae","Trochilidae",1
"109","Thalurania_furcata","Thalurania_furcata","Trochilidae",1
"110","Cyphorhinus_arada","Cyphorhinus_arada","Troglodytidae",1
"111","Cyphorhinus_thoracicus","Cyphorhinus_thoracicus","Troglodytidae",13
"112","Microcerculus_marginatus","Microcerculus_marginatus","Troglodytidae",11
"113","Trogon_violaceus","Trogon_violaceus","Trogonidae",1
"114","Catharus_ustulatus","Catharus_ustulatus","Turdidae",3
"115","Turdus_albicollis","Turdus_albicollis","Turdidae",3
"116","Corythopis_torquatus","Corythopis_torquatus","Tyrannidae",11
"117","Leptopogon_amaurocephalus","Leptopogon_amaurocephalus","Tyrannidae",14
"118","Leptopogon_superciliaris","Leptopogon_superciliaris","Tyrannidae",8
"119","Lophotriccus_pileatus","Lophotriccus_pileatus","Tyrannidae",4
"120","Mecocerculus_stictopterus","Mecocerculus_stictopterus","Tyrannidae",1
"121","Mionectes_macconnelli","Mionectes_macconnelli","Tyrannidae",14
"122","Mionectes_oleagineus","Mionectes_oleagineus","Tyrannidae",15
"123","Mionectes_olivaceus","Mionectes_olivaceus","Tyrannidae",21
"124","Myiobius_barbatus","Myiobius_barbatus","Tyrannidae",4
"125","Phylloscartes_ophthalmicus","Phylloscartes_ophthalmicus","Tyrannidae",6
"126","Platyrinchus_coronatus","Platyrinchus_coronatus","Tyrannidae",2
"127","Platyrinchus_platyrhynchos","Platyrinchus_platyrhynchos","Tyrannidae",5
"128","Pyrrhomyias_cinnamomeus","Pyrrhomyias_cinnamomeus","Tyrannidae",2
"129","Ramphotrigon_fuscicauda","Ramphotrigon_fuscicauda","Tyrannidae",2
"130","Rhynchocyclus_fulvipectus","Rhynchocyclus_fulvipectus","Tyrannidae",6
"131","Rhytipterna_simplex","Rhytipterna_simplex","Tyrannidae",3
"132","Terenotriccus_erythrurus","Terenotriccus_erythrurus","Tyrannidae",6
"133","Tunchiornis_ochraceiceps","Hylophilus_ochraceiceps","Vireonidae",6
