#No,Collection,Sample_group,Sample No. #,Full_Label,comment,Host Genus,Host Species,Host Order,Host Family,New Association,Lice Genus,Lice Species,Female,Male,Nimph,Eggs,Total,BoxLocation1,Lice Genus2,Lice Species2,Female2,Male2,Nimph2,Eggs2,Total2,BoxLocation2,Lice Genus3,Lice Species3,Female3,Male3,Nimph3,Eggs3,Total,BoxLocation3,total_lice
34,JUM,,V477,V477,,Sclerurus,mexicanus,Passeriformes,Furnariidae,Yes,Myrsidea,(scansori/calvi?),0,0,1,,1,L-01,,,,,,,0,,,,,,,,,,1
35,JUM,,V486,V486,,Euphonia,xanthogaster,Passeriformes,Fringillidae,Yes,Myrsidea,(violacei/ rozsai…?),0,2,1,,3,L-01,,,,,,,0,,,,,,,,,,3
36,JUM,,M491,M491,,Pithys,albifrons,Passeriformes,Thamnophilidae,No,Myrsidea,mayermae?,1,0,0,,1,L-01,,,,,,,0,,,,,,,,,,1
37,JUM,,M492,M492,,Pithys,albifrons,Passeriformes,Thamnophilidae,No,Myrsidea,mayermae?,1,0,0,,1,L-01,,,,,,,0,,,,,,,,,,1
38,JUM,,M493,M493,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,1,1,1,,3,L-01,,,,,,,0,,,,,,,,,,3
39,JUM,,M494,M494,,Dixiphia,pipra,Passeriformes,Pipridae,Yes,Myrsidea,new sp?,1,0,3,,4,L-01,Ricinus,new sp?,4,0,0,,4,,,,,,,,,,8
40,JUM,,M496,M496,,Thamnophilus,murinus,Passeriformes,Thamnophilidae,Yes,Myrsidea,(dacostai?),0,0,1,,1,L-01,,,,,,,0,,,,,,,,,,1
41,JUM,,M499,M499,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,0,0,1,,1,L-01,,,,,,,0,,,,,,,,,,1
42,JUM,,M500,M500,,Turdus,albicollis,Passeriformes,Turdidae,Yes,Philopterus,(various…),0,0,1,,1,L-01,,,,,,,0,,,,,,,,,,1
43,JUM,,M502,M502,,Xiphorhynchus,elegans,Passeriformes,Furnariidae,Yes,Rallicola,(various…),0,0,1,,1,L-01,,,,,,,,,,,,,,,,,1
44,JUM,,M513,M513,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,1,0,0,,1,L-01,,,,,,,0,,,,,,,,,,1
45,JUM,,M515,M515,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,1,2,0,,3,L-01,,,,,,,0,,,,,,,,,,3
46,JUM,,M517,M517,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,1,1,0,,2,L-01,,,,,,,0,,,,,,,,,,2
47,JUM,,M519,M519,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,1,1,0,,2,L-02,,,,,,,0,,,,,,,,,,2
48,JUM,,M541,M541,,Malacoptila,fusca,Piciformes,Bucconidae,No,Picicola?,osheai?,1,0,0,,1,L-02,,,,,,,0,,,,,,,,,,1
49,JUM,,M549,M549,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,1,0,2,,3,L-02,,,,,,,0,,,,,,,,,,3
50,JUM,,M556,M556,,Geotrygon,montana,Passeriformes,Columbidae,Yes,Myrsidea,new sp?,0,1,0,,1,L-02,Physconelloides,cubanus?,1,0,0,,1,L-02,,,,,,,,,2
51,JUM,,M561,M561,,Xenops,minutus,Passeriformes,Furnariidae,Yes,Myrsidea,new sp?,0,3,13,,16,L-02,,,,,,,0,,,,,,,,,,16
52,JUM,,M574,M574,,Geotrygon,montana,Columbiformes,Columbidae,No,Columbicola,macrourae?,4,1,0,,5,L-02,,,,,,,,,,,,,,,,,5
53,JUM,,M580,M580,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,Yes,Ricinus,new sp?,1,0,1,,2,L-02,,,,,,,,,,,,,,,,,2
54,JUM,,M581,M581,,Turdus,albicollis,Passeriformes,Turdidae,Yes,Myrsidea,(various?),1,0,1,,2,L-02,,,,,,,,,,,,,,,,,2
55,JUM,,M583,M583,,Dendrocincla,merula,Passeriformes,Furnariidae,Yes,Rallicola,(fuliginosa/deceri…?),0,1,0,,1,L-02,,,,,,,,,,,,,,,,,1
56,JUM,,M589,M589,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,Yes,Myrsidea,(milleri?),2,0,0,,2,L-02,,,,,,,,,,,,,,,,,2
57,JUM,,M590,M590,,Pithys,albifrons,Passeriformes,Thamnophilidae,Yes,Ricinus,new sp?,0,0,1,,1,L-02,,,,,,,,,,,,,,,,,1
58,JUM,,M591,M591,,Schiffornis,turdina,Passeriformes,Tityridae,No,Myrsidea,blattae?,0,0,1,,1,L-02,,,,,,,,,,,,,,,,,1
59,JUM,,M598,M598,,Dendrocincla,fuliginosa,Passeriformes,Furnariidae,No,Rallicola,fuliginosa?,0,0,1,,1,L-02,,,,,,,,,,,,,,,,,1
60,JUM,,M599,M599,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,Yes,Myrsidea,(milleri?),1,2,3,,6,L-02,,,,,,,,,,,,,,,,,6
61,JUM,,M603,M603,,Dixiphia,pipra,Passeriformes,Pipridae,Yes,Myrsidea,new sp?,1,1,6,,8,L-02,Ricinus,new sp?,0,0,1,,1,,,,,,,,,,9
62,JUM,,M604,M604,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,Yes,Myrsidea,(milleri?),0,0,1,,1,L-02,,,,,,,,,,,,,,,,,1
63,JUM,,M606,M606,,Pithys,albifrons,Passeriformes,Thamnophilidae,No,Myrsidea,mayermae?,0,0,1,,1,L-02,,,,,,,,,,,,,,,,,1
64,JUM,,M619,M619,,Dendrocincla,merula,Passeriformes,Furnariidae,Yes,Rallicola,(fuliginosa/deceri…?),0,1,0,,1,L-02,,,,,,,,,,,,,,,,,1
65,JUM,,M625,M625,,Mionectes,oleagineus,Passeriformes,Tyrannidae,No,Myrsidea,oleaginei?,0,1,0,,1,L-02,,,,,,,,,,,,,,,,,1
66,JUM,,M628,M628,,Dixiphia,pipra,Passeriformes,Pipridae,Yes,Ricinus,new sp?,1,1,0,,2,L-02,,,,,,,,,,,,,,,,,2
