#No,Collection,Sample_group,Sample No. #,Full_Label,comment,Host Genus,Host Species,Host Order,Host Family,New Association,Lice Genus,Lice Species,Female,Male,Nimph,Eggs,Total,BoxLocation1,Lice Genus2,Lice Species2,Female2,Male2,Nimph2,Eggs2,Total2,BoxLocation2,Lice Genus3,Lice Species3,Female3,Male3,Nimph3,Eggs3,Total,BoxLocation3,total_lice
143,JEJ,SP12,1234,SP121234,,Rupicola,peruvianus,Passeriformes,Cotingidae,No,Cotingacola,rupicolae?,4,3,1,,8,L-04,,,,,,,,,,,,,,,,,8
144,JEJ,SP12,1319,SP121319,,Rupicola,peruvianus,Passeriformes,Cotingidae,No,Cotingacola,rupicolae?,0,0,1,,1,L-04,,,,,,,,,,,,,,,,,1
145,JEJ,W12,617,W120617,,Pipreola,arcuata,Passeriformes,Cotingidae,No,Pseudocophorus,antennatus? (cotingacola meridae/cotingacola tergalis),0,1,2,,3,L-04,,,,,,,,,,,,,,,,,3
146,JEJ,W12,650,W120650,,Pipreola,arcuata,Passeriformes,Cotingidae,No,Pseudocophorus,antennatus? (cotingacola meridae/cotingacola tergalis),1,0,1,,2,L-04,,,,,,,,,,,,,,,,,2
147,JEJ,W12,717,W120717,,Pipreola,arcuata,Passeriformes,Cotingidae,No,Pseudocophorus,antennatus? (cotingacola meridae/cotingacola tergalis),1,3,6,,10,L-04,,,,,,,,,,,,,,,,,10
148,JEJ,W12,722,W120722,,Pipreola,arcuata,Passeriformes,Cotingidae,No,Pseudocophorus,antennatus? (cotingacola meridae/cotingacola tergalis),1,1,5,,7,L-04,,,,,,,,,,,,,,,,,7
149,JEJ,W12,737,W120737,,Pipreola,arcuata,Passeriformes,Cotingidae,No,Pseudocophorus,antennatus? (cotingacola meridae/cotingacola tergalis),8,3,2,,13,L-04,,,,,,,,,,,,,,,,,13
150,JEJ,W12,1017,W121017,,Pipreola,intermedia,Passeriformes,Cotingidae,Yes?,Menacanthus,new sp?,0,0,1,,1,L-04,,,,,,,,,,,,,,,,,1
151,JEJ,W12,1018,W121018,,Pipreola,intermedia,Passeriformes,Cotingidae,No,Philopteridae?,cotingacola tergalis/pseudocophorus peruvianus?,0,0,2,,2,L-04,,,,,,,,,,,,,,,,,2
152,JEJ,P13,765,P130765,,Galbula,cyanescens,Piciformes,Galbulidae,No,Picicola,galbulica?,0,1,0,,1,L-04,,,,,,,,,,,,,,,,,1
153,JEJ,W13,408,W130408,,Pipreola,arcuata,Passeriformes,Cotingidae,No,Pseudocophorus?,antennatus? (cotingacola meridae/cotingacola tergalis),1,0,2,,3,L-04,,,,,,,,,,,,,,,,,3
154,JEJ,P11,6078,P116078,,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,Yes,Ricinus,new sp?,3,2,3,,8,L-04,,,,,,,,,,,,,,,,,8
155,JEJ,P11,6166,P116166,,Schiffornis,turdina,Passeriformes,Tityridae,No,Myrsidea,blattae?,1,0,0,,1,L-04,,,,,,,,,,,,,,,,,1
156,JEJ,P11,6172,P116172,,Lanio,versicolor,Passeriformes,Thraupidae,Yes,Myrsidea,new sp?,1,0,0,,5,L-04,,,,,,,,,,,,,,,,,5
157,JEJ,P11,6185,P116185,,Schiffornis,turdina,Passeriformes,Tityridae,No,Myrsidea,blattae?,3,1,1,,5,L-04,,,,,,,,,,,,,,,,,5
158,JEJ,P11,6202,P116202,,Schiffornis,turdina,Passeriformes,Tityridae,No,Myrsidea,blattae?,0,3,3,,6,L-04,,,,,,,,,,,,,,,,,6
159,JEJ,P11,6204,P116204,,Chlorothraupis,carmioli,Passeriformes,Cardinalidae,No,Myrsidea,cruickshanki?,0,1,0,,1,L-04,,,,,,,,,,,,,,,,,1
160,JEJ,P11,6210,P116210,,Chlorothraupis,carmioli,Passeriformes,Cardinalidae,No,Myrsidea,cruickshanki?,2,3,3,,8,L-04,,,,,,,,,,,,,,,,,8
161,JEJ,P11,6211,P116211,,Chlorothraupis,carmioli,Passeriformes,Cardinalidae,No,Myrsidea,cruickshanki?,1,0,0,,1,L-04,,,,,,,,,,,,,,,,,1
162,JEJ,P11,6213,P116213,,Chlorothraupis,carmioli,Passeriformes,Cardinalidae,No,Myrsidea,cruickshanki?,1,5,7,,13,L-04,,,,,,,,,,,,,,,,,13
163,JEJ,P11,6231,P116231,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Myrsidea,dalgleishi?,3,1,3,,7,L-04,,,,,,,,,,,,,,,,,7
164,JEJ,P11,6232,P116232,,Lanio,versicolor,Passeriformes,Thraupidae,Yes,Myrsidea,new sp?,1,0,0,,1,L-04,,,,,,,,,,,,,,,,,1
165,JEJ,P11,6259,P116259,,Myrmotherula,axillaris,Passeriformes,Thamnophilidae,Yes,Ricinus,new sp?,2,3,4,,9,L-04,,,,,,,,,,,,,,,,,9
166,JEJ,P11,6262,P116262,,Schiffornis,turdina,Passeriformes,Tityridae,No,Myrsidea,blattae?,2,3,4,,9,L-04,,,,,,,,,,,,,,,,,9
167,JEJ,SP11,8,SP110008,,Chlorospingus,flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),11,7,25,,43,L-04,Rallicola,new sp?,5,2,4,,11,L-04,,,,,,,,,54
168,JEJ,SP11,13,SP110013,,Chlorospingus,flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),0,7,3,,10,L-04,Rallicola,new sp?,3,0,0,,3,L-04,,,,,,,,,13
169,JEJ,SP11,22,SP110022,,Anabacerthia,striaticollis,Passeriformes,Furnariidae,Yes,Myrsidea,(ochrolaemi/ waterstoni),1,1,2,,4,L-04,,,,,,,,,,,,,,,,,4
170,JEJ,SP11,40,SP110040,,Chlorospingus,flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),0,0,1,,1,L-04,,,,,,,,,,,,,,,,,1
171,JEJ,SP11,44,SP110044,,Leptopogon,superciliaris,Passeriformes,Tyrannidae,No,Myrsidea,leptopogoni?,3,1,1,,5,L-04,,,,,,,,,,,,,,,,,5
172,JEJ,SP11,66,SP110066,,Chlorospingus,flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),0,0,2,,2,L-04,,,,,,,,,,,,,,,,,2
173,JEJ,SP11,70,SP110070,,Chlorospingus,flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),1,2,3,,6,L-04,,,,,,,,,,,,,,,,,6
174,JEJ,SP11,113,SP110113,,Basileuterus,tristriatus,Passeriformes,Parulidae,Yes,Myrsidea,(basileuteri/ paleno),1,0,0,,1,L-04,,,,,,,,,,,,,,,,,1
175,JEJ,SP11,108,SP110108,,Chlorospingus,flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),0,1,0,,1,L-04,Philopteridae,new sp?,,1,,,1,L-04,,,,,,,,,2
176,JEJ,SP11,186,SP110186,,Basileuterus,tristriatus,Passeriformes,Parulidae,Yes,Ricinus,(basileuteri/ paleno),0,0,4,,4,L-04,,,,,,,,,,,,,,,,,4
177,JEJ,SP11,340,SP110340,,Leptopogon,superciliaris,Passeriformes,Tyrannidae,No,Myrsidea,leptopogoni?,,,,,1,L-04,,,,,,,,,,,,,,,,,1
178,JEJ,SP11,120,SP110120,,Chlorospingus,flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),2,2,4,,8,L-04,,,,,,,,,,,,,,,,,8
179,JEJ,SP11,144,SP110144,,Basileuterus,tristriatus,Passeriformes,Parulidae,Yes,Myrsidea,(basileuteri/ paleno),1,0,1,,2,L-04,,,,,,,,,,,,,,,,,2
180,JEJ,P12,675,P120675,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,No,Ricinus,new sp?,2,0,1,,3,L-04,,,,,,,,,,,,,,,,,3
181,JEJ,P12,1245,P121245,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,1,0,1,,2,L-04,,,,,,,,,,,,,,,,,2
182,JEJ,P12,1359,P121359,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,4,10,3,,17,L-04,,,,,,,,,,,,,,,,,17
183,JEJ,SP12,1081,SP121081,,Tangara,arthus,Passeriformes,Thraupidae,Yes?,Myrsidea,(various species?),0,2,1,0,2,L-04,,,,,,,,,,,,,,,,,2
184,JEJ,SP12,911,SP120911,,Basileuterus,tristriatus,Passeriformes,Parulidae,No,Ricinus,new sp?,0,0,1,,1,L-05,,,,,,,,,,,,,,,,,1
185,JEJ,SP12,931,SP120931,,Basileuterus,tristriatus,Passeriformes,Parulidae,Yes?,Menoponidae,(Myrsidea basileuteri/ paleno)?,0,0,1,,1,L-05,,,,,,,,,,,,,,,,,1
186,JEJ,SP12,934,SP120934,,Chlorospingus,flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),1,2,1,,4,L-05,,,,,,,,,,,,,,,,,4
187,JEJ,SP12,36,SP120036,,Chlorospingus,flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),2,2,2,,6,L-05,,,,,,,,,,,,,,,,,6
188,JEJ,SP12,40,SP120040,,Chlorospingus,flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),0,4,0,,4,L-05,,,,,,,,,,,,,,,,,4
189,JEJ,SP12,68,SP120068,,Phylloscartes,ophthalmicus,Passeriformes,Tyrannidae,Yes,Myrsidea,new sp?,0,1,0,,1,L-05,,,,,,,,,,,,,,,,,1
190,JEJ,SP12,93,SP120093,,Leptopogon,superciliaris,Passeriformes,Tyrannidae,Yes,Philopterus s.l.?,new sp? (Tyranniphilopterus?),1,0,0,,1,L-05,,,,,,,,,,,,,,,,,1
191,JEJ,SP12,101,SP120101,,Premnoplex,brunnescens,Passeriformes,Furnariidae,No,Rallicola,mooreae?,2,0,1,,3,L-05,,,,,,,,,,,,,,,,,3
192,JEJ,SP12,662,SP120662,,Leptopogon,superciliaris,Passeriformes,Tyrannidae,No,Myrsidea,leptopogoni?,5,2,1,,8,L-05,,,,,,,,,,,,,,,,,8
193,JEJ,SP12,666,SP120666,,Tangara,arthus,Passeriformes,Thraupidae,Yes,Myrsidea,(various species?),2,1,5,,8,L-05,,,,,,,,,,,,,,,,,8
194,JEJ,SP12,767,SP120767,,Leptopogon,superciliaris,Passeriformes,Tyrannidae,No,Myrsidea,leptopogoni?,1,3,0,,4,L-05,,,,,,,,,,,,,,,,,4
195,JEJ,SP12,792,SP120792,,Chlorospingus,flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea?,(ophthalmici/violaceae?),0,0,1,,1,L-05,,,,,,,,,,,,,,,,,1
196,JEJ,SP12,861,SP120861,,Anabacerthia,striaticollis,Passeriformes,Furnariidae,Yes,Myrsidea,(ochrolaemi/ waterstoni),3,0,2,,5,L-05,,,,,,,,,,,,,,,,,5
197,JEJ,SP12,885,SP120885,,Chlorospingus,flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),12,9,4,,25,L-05,,,,,,,,,,,,,,,,,25
198,JEJ,SP12,938,SP120938,,Chlorospingus,flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),2,1,7,,10,L-05,,,,,,,,,,,,,,,,,10
199,JEJ,SP12,993,SP120993,,Chlorospingus,flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,(ophthalmici/violaceae?),5,0,2,,7,L-05,,,,,,,,,,,,,,,,,7
200,JEJ,SP12,998,SP120998,,Premnoplex,brunnescens,Passeriformes,Furnariidae,No,Rallicola?,mooreae?,1,0,0,,1,L-05,,,,,,,,,,,,,,,,,1
201,JEJ,SP12,1023,SP121023,,Premnoplex,brunnescens,Passeriformes,Furnariidae,No,Rallicola?,mooreae?,1,0,0,,1,L-05,,,,,,,,,,,,,,,,,1
202,JEJ,SP12,1038,SP121038,,Leptopogon,superciliaris,Passeriformes,Tyrannidae,Yes?,Menoponidae?,Myrsidea leptopogoni?,0,0,1,,1,L-05,,,,,,,,,,,,,,,,,1
203,JEJ,SP12,1091,SP121091,,Leptopogon,superciliaris,Passeriformes,Tyrannidae,No,Myrsidea,leptopogoni?,1,0,0,,1,L-05,,,,,,,,,,,,,,,,,1
204,JEJ,SP12,1138,SP121138,,Tangara,arthus,Passeriformes,Thraupidae,Yes,Myrsidea,(various species?),1,0,0,,1,L-05,,,,,,,,,,,,,,,,,1
205,JEJ,SP12,1212,SP121212,,Basileuterus,tristriatus,Passeriformes,Parulidae,Yes,Myrsidea,(basileuteri/ paleno),1,0,0,,1,L-05,,,,,,,,,,,,,,,,,1
206,JEJ,SP12,1308,SP121308,,Tangara,arthus,Passeriformes,Thraupidae,Yes,Myrsidea,(various species?),0,1,0,,1,L-05,,,,,,,,,,,,,,,,,1
207,JEJ,SP12,1322,SP121322,,Phylloscartes,ophthalmicus,Passeriformes,Tyrannidae,Yes?,Myrsidea,new sp?,4,3,7,,14,L-05,,,,,,,,,,,,,,,,,14
208,JEJ,SP12,1333,SP121333,,Phylloscartes,ophthalmicus,Passeriformes,Tyrannidae,Yes,Philopteridae?,new sp?,0,0,4,,4,L-05,,,,,,,,,,,,,,,,,4
209,JEJ,SP12,1362,SP121362,,Myioborus,miniatus,Passeriformes,Parulidae,No,Menoponidae,new sp - not Myrsidea!,1,0,5,,6,L-05,,,,,,,,,,,,,,,,,6
210,JEJ,SP12,1435,SP121435,,Basileuterus,tristriatus,Passeriformes,Parulidae,Yes,Myrsidea,(basileuteri/ paleno),5,0,0,,5,L-05,,,,,,,,,,,,,,,,,5
211,JEJ,TL12,16,TL120016,,Chlorospingus,flavopectus,Passeriformes,Passerellidae,No,Myrsidea,ophthalmici/violaceae?,0,3,3,,6,L-05,,,,,,,,,,,,,,,,,6
212,JEJ,TL12,33,TL120033,,Chlorospingus,flavopectus,Passeriformes,Passerellidae,No,Myrsidea,ophthalmici/violaceae?,2,1,0,,3,L-05,Menoponidae?,Menacanthus eurysternus?,2,1,5,0,8,L-05,,,,,,,,,11
213,JEJ,TL12,34,TL120034,,Chlorospingus,flavopectus,Passeriformes,Passerellidae,No,Myrsidea,ophthalmici/violaceae?,1,1,0,,2,L-05,,,,,,,,,,,,,,,,,2
214,JEJ,TL12,52,TL120052,,Chlorochrysa,calliparaea,Passeriformes,Thraupidae,Yes,Myrsidea,new sp?,2,0,0,,2,L-05,,,,,,,,,,,,,,,,,2
215,JEJ,TL12,94,TL120094,,Basileuterus,tristriatus,Passeriformes,Parulidae,Yes,Myrsidea,(basileuteri/ paleno),0,1,0,,1,L-05,,,,,,,,,,,,,,,,,1
216,JEJ,TL12,95,TL120095,,Basileuterus,tristriatus,Passeriformes,Parulidae,Yes,Myrsidea,(basileuteri/ paleno),0,1,0,,1,L-05,,,,,,,,,,,,,,,,,1
217,JEJ,TL12,104,TL120104,,Tangara,arthus,Passeriformes,Thraupidae,Yes,Myrsidea,(various species?),2,4,1,,7,L-05,,,,,,,,,,,,,,,,,7
218,JEJ,TU12,65,TU120065,,Chlorornis,riefferii,Passeriformes,Thraupidae,,Myrsidea,new sp?,1,2,1,,4,,,,,,,,,,,,,,,,,,4
219,JEJ,W12,305,W120305,,Arremon,torquatus,Passeriformes,"Passerellidae
",,Myrsidea,(various Myrsidea),1,1,2,,4,,,,,,,,,,,,,,,,,,4
220,JEJ,W12,330,W120330,,Anisognathus,igniventris,Passeriformes,"Thraupidae
",,Menoponidae,new sp - not Myrsidea!,0,0,2,,2,,,,,,,,,,,,,,,,,,2
221,JEJ,W12,412,W120412,,Iridosornis,jelskii,Passeriformes,"Thraupidae
",,Myrsidea,new sp?,0,0,1,,1,,,,,,,,,,,,,,,,,,1
222,JEJ,W12,791,W120791,,Chlorornis,riefferii,Passeriformes,Thraupidae,,Menacanthus?,(Menacanthus eurysternus?),,,1,,1,,Myrsidea,new sp?,1,3,1,0,5,,,,,,,,,,6
223,JEJ,W12,1001,W121001,,Kleinothraupis,atropileus,Passeriformes,"Thraupidae
",,Philopteridae,new sp?,1,0,1,,2,,,,,,,,,,,,,,,,,,2
224,JEJ,W12,1048,W121048,,Arremon,torquatus,Passeriformes,"Passerellidae
",,Brueelia?,(Brueelia brunneinucha?),15,10,14,,39,,,,,,,,,,,,,,,,,,39
225,JEJ,W12,1044,W121044,,Kleinothraupis,atropileus,Passeriformes,"Thraupidae
",,Philopteridae,new sp?,6,1,2,,9,,,,,,,,,,,,,,,,,,9
226,JEJ,W12,1161,W121161,,Myioborus,melanocephalus,Passeriformes,"Parulidae
",,Menoponidae,new sp?,0,1,0,,1,,,,,,,,,,,,,,,,,,1
227,JEJ,P13,133,P130133,,Chlorothraupis,carmioli,Passeriformes,"Cardinalidae
",,Myrsidea,Myrsidea cruickshanki?,1,0,0,,1,,,,,,,,,,,,,,,,,,1
228,JEJ,P13,300,P130300,,Corythopis,torquatus,Passeriformes,Tyrannidae,,Philopteridae,new sp?,0,1,1,,2,,,,,,,,,,,,,,,,,,2
229,JEJ,P13,233,P130233,,Lanio,versicolor,Passeriformes,Thraupidae,,Myrsidea,new sp?,0,1,1,,2,,,,,,,,,,,,,,,,,,2
230,JEJ,P13,187,P130187,,Hylophylax,naevius,Passeriformes,Thamnophilidae,,Myrsidea,new sp?,0,1,0,,1,,,,,,,,,,,,,,,,,,1
231,JEJ,P13,303,P130303,,Corythopis,torquatus,Passeriformes,"Tyrannidae
",,Myrsidea,new sp?,0,1,0,,1,,,,,,,,,,,,,,,,,,1
232,JEJ,P13,328,P130328,,Corythopis,torquatus,Passeriformes,"Tyrannidae
",,Myrsidea,new sp?,1,0,0,,1,,,,,,,,,,,,,,,,,,1
233,JEJ,P13,628,P130628,,Chlorothraupis,carmioli,Passeriformes,"Cardinalidae
",,Myrsidea,Myrsidea cruickshanki?,0,0,1,,1,,,,,,,,,,,,,,,,,,1
234,JEJ,SP13,13,SP13013,,Chiroxiphia,boliviana,,,,Myrsidea,(Myrsidea andyolsoni?),1,5,1,,7,,,,,,,,,,,,,,,,,,7
235,JEJ,W13,118,W130118,,Arremon,torquatus,Passeriformes,"Passerellidae
",,Myrsidea,(various Myrsidea),0,1,0,,1,,,,,,,,,,,,,,,,,,1
236,JEJ,W13,253,W130253,,Chlorornis,riefferii,Passeriformes,Thraupidae,,Philopteridae,new sp?,1,0,1,,2,,,,,,,,,,,,,,,,,,2
237,JEJ,W13,255,W130255,,Chlorornis,riefferii,Passeriformes,Thraupidae,,Myrsidea,new sp?,0,3,0,,3,,,,,,,,,,,,,,,,,,3
238,JEJ,W13,256,W130256,,Chlorornis,riefferii,Passeriformes,Thraupidae,,Myrsidea,new sp?,0,1,2,,3,,Philopteridae,new sp?,2,0,0,0,2,,,,,,,,,,5
239,JEJ,W13,270,W130270,,Anisognathus,igniventris,Passeriformes,"Thraupidae
",,Myrsidea,new sp?,1,0,0,,1,,,,,,,,,,,,,,,,,,1
240,JUM,V,1229,V1229,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Rallicola,cephalosa?,1,0,0,,1,,,,,,,,,,,,,,,,,,1
241,JEJ,W13,298,W130298,,Arremon,torquatus,Passeriformes,"Passerellidae
",,Myrsidea,(various Myrsidea),0,0,1,,1,,,,,,,,,,,,,,,,,,1
242,JEJ,W13,330,W130330,,Chlorornis,riefferii,Passeriformes,Thraupidae,,Myrsidea,new sp?,1,1,1,,3,,,,,,,,,,,,,,,,,,3
243,JEJ,W13,349,W130349,,Arremon,torquatus,Passeriformes,"Passerellidae
",,Myrsidea,(various Myrsidea),0,1,0,,1,,,,,,,,,,,,,,,,,,1
244,JEJ,W13,360,W130360,,Iridosornis,jelskii,Passeriformes,"Thraupidae
",,Myrsidea,new sp?,1,0,1,,2,,,,,,,,,,,,,,,,,,2
245,JEJ,W13,377,W130377,,Arremon,torquatus,Passeriformes,"Passerellidae
",,Myrsidea,(various Myrsidea),2,2,1,,5,,,,,,,,,,,,,,,,,,5
246,JEJ,W13,378,W130378,,Arremon,torquatus,Passeriformes,"Passerellidae
",,Myrsidea,(various Myrsidea),2,4,0,,6,,,,,,,,,,,,,,,,,,6
247,JEJ,W13,453,W130453,,Kleinothraupis,atropileus,Passeriformes,"Thraupidae
",,Myrsidea,new sp?,0,3,1,,4,,,,,,,,,,,,,,,,,,4
248,JEJ,W13,560,W130560,,Arremon,torquatus,Passeriformes,"Passerellidae
",,Myrsidea,(various Myrsidea),1,1,1,,3,,,,,,,,,,,,,,,,,,3
249,JEJ,W13,572,W130572,,Arremon,torquatus,Passeriformes,"Passerellidae
",,Brueelia?,(Brueelia brunneinucha?),0,1,0,,1,,,,,,,,,,,,,,,,,,1
250,JEJ,W13,637,W130637,,Iridosornis,jelskii,Passeriformes,"Thraupidae
",,Myrsidea,new sp?,3,2,2,,7,,,,,,,,,,,,,,,,,,7
251,JEJ,W13,676,W130676,,Iridosornis,jelskii,Passeriformes,"Thraupidae
",,Philopteridae,new sp?,3,0,0,,3,,Myrsidea,new sp?,3,1,1,0,5,,,,,,,,,,8
252,JEJ,W13,677,W130677,,Chlorornis,riefferii,Passeriformes,Thraupidae,,Myrsidea,new sp?,2,7,2,,11,,,,,,,,,,,,,,,,,,11
253,JEJ,W13,700,W130700,,Chlorornis,riefferii,Passeriformes,Thraupidae,,Myrsidea,new sp?,2,2,1,,5,,Philopteridae,new sp?,1,0,0,0,1,,,,,,,,,,6
254,JEJ,W13,753,W130753,,Pyrrhomyias,cinnamomeus,Passeriformes,"Tyrannidae
",,Brueelia?,new sp?,0,0,1,,1,,,,,,,,,,,,,,,,,,1
255,JEJ,P11,129,P110129,,Leptopogon,amaurocephalus,Passeriformes,"Tyrannidae
",,Myrsidea,(leptopogoni or contopi or new?),0,1,1,,2,,,,,,,,,,,,,,,,,,2
256,JEJ,P11,406,P110406,,Leptopogon,amaurocephalus,Passeriformes,"Tyrannidae
",,Myrsidea,(leptopogoni or contopi or new?),1,2,2,,5,,,,,,,,,,,,,,,,,,5
257,JEJ,P11,5912,P115912,,Leptopogon,amaurocephalus,Passeriformes,"Tyrannidae
",,Myrsidea,(leptopogoni or contopi or new?),0,1,0,,1,,,,,,,,,,,,,,,,,,1
258,JEJ,W13,897,W130897,,Iridosornis,jelskii,Passeriformes,"Thraupidae
",,Myrsidea,new sp?,0,1,0,,1,,,,,,,,,,,,,,,,,,1
259,JEJ,W13,898,W130898,,Iridosornis,jelskii,Passeriformes,"Thraupidae
",,Myrsidea,new sp?,10,6,3,,19,,,,,,,,,,,,,,,,,,19
260,JEJ,P13,40,P130040,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Rallicola,cephalosa?,0,1,0,,1,,,,,,,,,,,,,,,,,,1
261,JEJ,P11,6225,P116225,,Leptopogon,amaurocephalus,Passeriformes,"Tyrannidae
",,Myrsidea,(leptopogoni or contopi or new?),5,6,4,,15,,,,,,,,,,,,,,,,,,15
262,JEJ,P12,659,P120659,2 males were found on counter,Leptopogon,amaurocephalus,Passeriformes,"Tyrannidae
",,Myrsidea,(leptopogoni or contopi or new?),5,4,2,,11,,,,,,,,,,,,,,,,,,11
263,JEJ,P12,679,P120679,,Leptopogon,amaurocephalus,Passeriformes,"Tyrannidae
",,Philopteridae,new sp?,2,0,0,,2,,,,,,,,,,,,,,,,,,2
264,JEJ,P12,1030,P121030,,Leptopogon,amaurocephalus,Passeriformes,"Tyrannidae
",,Myrsidea,(leptopogoni or contopi or new?),3,1,6,,10,,,,,,,,,,,,,,,,,,10
265,JEJ,P12,1606,P121606,,Leptopogon,amaurocephalus,Passeriformes,"Tyrannidae
",,Myrsidea,(leptopogoni or contopi or new?),2,2,0,,4,,,,,,,,,,,,,,,,,,4
266,JEJ,P11,28,P110028,,Pipra,fasciicauda,Passeriformes,Pipridae,,Myrsidea,new sp?,2,0,2,,4,,,,,,,,,,,,,,,,,,4
267,JEJ,P11,34,P110034,,Ceratopipra ,chloromeros,Passeriformes,Pipridae,,Philopteridae,new sp?,1,1,2,,4,,,,,,,,,,,,,,,,,,4
268,JEJ,P11,37,P110037,,Habia,rubica,Passeriformes,"Cardinalidae
",,Myrsidea,habiae?,0,6,1,,7,,,,,,,,,,,,,,,,,,7
269,JEJ,P11,42,P110042,,Momotus,momota,Coraciiformes,Momotidae,,Brueelia,marginella/  xilitla?,1,0,0,,1,,,,,,,,,,,,,,,,,,1
270,JEJ,P11,49,P110049,,Habia,rubica,Passeriformes,Cardinalidae,,Myrsidea,habiae?,0,0,1,,1,,,,,,,,,,,,,,,,,,1
271,JEJ,P11,55,P110055,,Mionectes,macconnelli,Passeriformes,Tyrannidae,,Myrsidea,(oleaginei/olivacei?),0,0,8,,8,,,,,,,,,,,,,,,,,,8
272,JEJ,P11,57,P110057,,Geotrygon,montana,Columbiformes,"Columbidae
",,Philopteridae,new sp?,0,0,1,,1,,Columbicola,macrourae?,1,0,0,0,1,,,,,,,,,,2
273,JEJ,P11,58,P110058,,Geotrygon,montana,Columbiformes,"Columbidae
",,Columbicola,macrourae?,2,1,0,,3,,,,,,,,,,,,,,,,,,3
274,JEJ,P11,60,P110060,,Psarocolius,angustifrons,Passeriformes,Icteridae,,Myrsidea?,tropicalis?,0,0,2,,2,,,,,,,,,,,,,,,,,,2
275,JEJ,P11,63,P110063,,Lepidothrix,coronata,Passeriformes,Pipridae,,Philopteridae,new sp?,0,0,1,,1,,,,,,,,,,,,,,,,,,1
276,JEJ,P11,69,P110069,,Habia,rubica,Passeriformes,Cardinalidae,,Myrsidea,habiae?,0,0,2,,2,,,,,,,,,,,,,,,,,,2
277,JEJ,P11,90,P110090,,Pipra,fasciicauda,Passeriformes,Pipridae,,Philopteridae,new sp?,0,0,1,,1,,,,,,,,,,,,,,,,,,1
278,JEJ,P11,94,P110094,,Mionectes,olivaceus,Passeriformes,Tyrannidae,,Myrsidea,olivacei?,0,0,1,,1,,,,,,,,,,,,,,,,,,1
279,JEJ,P11,98,P110098,,Pipra,fasciicauda,Passeriformes,Pipridae,,Myrsidea,(edgarsmithi?),8,2,7,,17,,,,,,,,,,,,,,,,,,17
280,JEJ,P11,100,P110100,,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",,Ricinus,new sp?,0,0,1,,1,,,,,,,,,,,,,,,,,,1
281,JEJ,P11,103,P110103,,Pipra,fasciicauda,Passeriformes,Pipridae,,Ricinus,invadens/pessimalis?,2,0,0,,2,,,,,,,,,,,,,,,,,,2
282,JEJ,P11,107,P110107,,Geotrygon,montana,Columbiformes,"Columbidae
",,Columbicola,macrourae?,1,2,4,,7,,Hohorstiella?,corpulenta?,1,0,0,0,1,,,,,,,,,,8
283,JEJ,P11,111,P110111,,Automolus,ochrolaemus,Passeriformes,Furnariidae,,Myrsidea,ochrolaemi?,0,0,1,,1,,,,,,,,,,,,,,,,,,1
284,JEJ,P11,122,P110122,,Ceratopipra ,chloromeros,Passeriformes,Pipridae,,Philopterus-like,new sp?,0,2,0,,2,,Myrsidea,"(baileyae, edgarsmithi)?",1,3,2,0,6,,,,,,,,,,8
285,JEJ,P11,124,P110124,,Pipra,fasciicauda,Passeriformes,Pipridae,,Myrsidea,(edgarsmithi?),0,2,4,,6,,Philopterus-like,new sp?,0,1,2,0,3,,,,,,,,,,9
286,JEJ,P11,133,P110133,,Pipra,fasciicauda,Passeriformes,Pipridae,,Myrsidea,(edgarsmithi?),2,0,15,,17,,,,,,,,,,,,,,,,,,17
287,JEJ,P11,137,P110137,,Tangara,schrankii,Passeriformes,Thraupidae,,Myrsidea,saviti?,1,2,1,,4,,,,,,,,,,,,,,,,,,4
