#No,Collection,Sample_group,Sample No. #,Full_Label,comment,Host Genus,Host Species,species_binomial,Host Order,host_family,New Association,Lice Genus,lice_genus_tidy,Lice Species,Female,Male,Nimph,Eggs,Total,BoxLocation1
327,JEJ,P11,5955,P115955,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,,,,,,,,,
346,JEJ,P11,6054,P116054,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,Myrsidea,Myrsidea,(baileyae/edgarsmithi)?,1,3,5,,9,
346,JEJ,P11,6054,P116054,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,Philopterus-like,Philopteridae,new sp?,0,0,1,,1,
346,JEJ,P11,6054,P116054,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,,,,,,,,,
419,JEJ,P11,6171,P116171,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,Philopteridae,Philopteridae,new sp?,0,0,1,,1,
419,JEJ,P11,6171,P116171,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,,,,,,,,,
419,JEJ,P11,6171,P116171,,Ceratopipra ,chloromeros,Ceratopipra _chloromeros,Passeriformes,Pipridae,,,,,,,,,,
114,JUM,,1012,1012,,Ceratopipra,erythrocephala,Ceratopipra_erythrocephala,Passeriformes,Pipridae,No,Myrsidea,Myrsidea,ricinus?,0,0,1,,1,L-03
114,JUM,,1012,1012,,Ceratopipra,erythrocephala,Ceratopipra_erythrocephala,Passeriformes,Pipridae,No,,,,,,,,,
114,JUM,,1012,1012,,Ceratopipra,erythrocephala,Ceratopipra_erythrocephala,Passeriformes,Pipridae,No,,,,,,,,,
3,JUM,,V64,V64,,Ceratopipra,erythrocephala,Ceratopipra_erythrocephala,Passeriformes,Pipridae,No,Myrsidea,Myrsidea,baileyae/edgarsmithi?,1,0,0,,1,L-01
3,JUM,,V64,V64,,Ceratopipra,erythrocephala,Ceratopipra_erythrocephala,Passeriformes,Pipridae,No,,,,,,,,0,
3,JUM,,V64,V64,,Ceratopipra,erythrocephala,Ceratopipra_erythrocephala,Passeriformes,Pipridae,No,,,,,,,,,
79,JUM,,V721,V721,,Ceratopipra,erythrocephala,Ceratopipra_erythrocephala,Passeriformes,Pipridae,No,Myrsidea,Myrsidea,baileyae/edgarsmithi?,1,2,1,,4,L-02
79,JUM,,V721,V721,,Ceratopipra,erythrocephala,Ceratopipra_erythrocephala,Passeriformes,Pipridae,No,Rallicola,Rallicola,new sp?,1,0,0,,1,L-02
79,JUM,,V721,V721,,Ceratopipra,erythrocephala,Ceratopipra_erythrocephala,Passeriformes,Pipridae,No,Ricinus,Ricinus,invadens/pessimilis?,1,0,1,,1,L-02
92,JUM,,V757,V757,,Ceratopipra,erythrocephala,Ceratopipra_erythrocephala,Passeriformes,Pipridae,No,Myrsidea,Myrsidea,baileyae/edgarsmithi?,0,0,1,,1,L-03
92,JUM,,V757,V757,,Ceratopipra,erythrocephala,Ceratopipra_erythrocephala,Passeriformes,Pipridae,No,,,,,,,,,
92,JUM,,V757,V757,,Ceratopipra,erythrocephala,Ceratopipra_erythrocephala,Passeriformes,Pipridae,No,,,,,,,,,
124,JUM,,1059,1059,,Cercomacroides,serva,Cercomacroides_serva,Passeriformes,Thamnophilidae,Yes,Myrsidea,Myrsidea,new sp?,0,2,0,,2,L-03
124,JUM,,1059,1059,,Cercomacroides,serva,Cercomacroides_serva,Passeriformes,Thamnophilidae,Yes,,,,,,,,,
124,JUM,,1059,1059,,Cercomacroides,serva,Cercomacroides_serva,Passeriformes,Thamnophilidae,Yes,,,,,,,,,
116,JEJ,,W120733,W120733,,Chamaeza,mollissima,Chamaeza_mollissima,Passeriformes,Formicariidae,Yes,Formicaricola,Formicaricola,(willisi?),1,2,3,,6,L-03
116,JEJ,,W120733,W120733,,Chamaeza,mollissima,Chamaeza_mollissima,Passeriformes,Formicariidae,Yes,,,,,,,,,
116,JEJ,,W120733,W120733,,Chamaeza,mollissima,Chamaeza_mollissima,Passeriformes,Formicariidae,Yes,,,,,,,,,
234,JEJ,SP13,13,SP13013,,Chiroxiphia,boliviana,Chiroxiphia_boliviana,,,,Myrsidea,Myrsidea,(Myrsidea andyolsoni?),1,5,1,,7,
234,JEJ,SP13,13,SP13013,,Chiroxiphia,boliviana,Chiroxiphia_boliviana,,,,,,,,,,,,
234,JEJ,SP13,13,SP13013,,Chiroxiphia,boliviana,Chiroxiphia_boliviana,,,,,,,,,,,,
214,JEJ,TL12,52,TL120052,,Chlorochrysa,calliparaea,Chlorochrysa_calliparaea,Passeriformes,Thraupidae,Yes,Myrsidea,Myrsidea,new sp?,2,0,0,,2,L-05
214,JEJ,TL12,52,TL120052,,Chlorochrysa,calliparaea,Chlorochrysa_calliparaea,Passeriformes,Thraupidae,Yes,,,,,,,,,
214,JEJ,TL12,52,TL120052,,Chlorochrysa,calliparaea,Chlorochrysa_calliparaea,Passeriformes,Thraupidae,Yes,,,,,,,,,
218,JEJ,TU12,65,TU120065,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,Myrsidea,Myrsidea,new sp?,1,2,1,,4,
218,JEJ,TU12,65,TU120065,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,,,,,,,,,
218,JEJ,TU12,65,TU120065,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,,,,,,,,,
222,JEJ,W12,791,W120791,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,Menacanthus?,Menacanthus,(Menacanthus eurysternus?),,,1,,1,
222,JEJ,W12,791,W120791,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,Myrsidea,Myrsidea,new sp?,1,3,1,0,5,
222,JEJ,W12,791,W120791,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,,,,,,,,,
236,JEJ,W13,253,W130253,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,Philopteridae,Philopteridae,new sp?,1,0,1,,2,
236,JEJ,W13,253,W130253,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,,,,,,,,,
236,JEJ,W13,253,W130253,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,,,,,,,,,
237,JEJ,W13,255,W130255,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,Myrsidea,Myrsidea,new sp?,0,3,0,,3,
237,JEJ,W13,255,W130255,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,,,,,,,,,
237,JEJ,W13,255,W130255,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,,,,,,,,,
238,JEJ,W13,256,W130256,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,Myrsidea,Myrsidea,new sp?,0,1,2,,3,
238,JEJ,W13,256,W130256,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,Philopteridae,Philopteridae,new sp?,2,0,0,0,2,
238,JEJ,W13,256,W130256,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,,,,,,,,,
242,JEJ,W13,330,W130330,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,Myrsidea,Myrsidea,new sp?,1,1,1,,3,
242,JEJ,W13,330,W130330,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,,,,,,,,,
242,JEJ,W13,330,W130330,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,,,,,,,,,
252,JEJ,W13,677,W130677,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,Myrsidea,Myrsidea,new sp?,2,7,2,,11,
252,JEJ,W13,677,W130677,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,,,,,,,,,
252,JEJ,W13,677,W130677,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,,,,,,,,,
253,JEJ,W13,700,W130700,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,Myrsidea,Myrsidea,new sp?,2,2,1,,5,
253,JEJ,W13,700,W130700,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,Philopteridae,Philopteridae,new sp?,1,0,0,0,1,
253,JEJ,W13,700,W130700,,Chlorornis,riefferii,Chlorornis_riefferii,Passeriformes,Thraupidae,,,,,,,,,,
167,JEJ,SP11,8,SP110008,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,Myrsidea,(ophthalmici/violaceae?),11,7,25,,43,L-04
167,JEJ,SP11,8,SP110008,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Rallicola,Rallicola,new sp?,5,2,4,,11,L-04
167,JEJ,SP11,8,SP110008,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
168,JEJ,SP11,13,SP110013,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,Myrsidea,(ophthalmici/violaceae?),0,7,3,,10,L-04
168,JEJ,SP11,13,SP110013,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Rallicola,Rallicola,new sp?,3,0,0,,3,L-04
168,JEJ,SP11,13,SP110013,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
170,JEJ,SP11,40,SP110040,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,Myrsidea,(ophthalmici/violaceae?),0,0,1,,1,L-04
170,JEJ,SP11,40,SP110040,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
170,JEJ,SP11,40,SP110040,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
172,JEJ,SP11,66,SP110066,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,Myrsidea,(ophthalmici/violaceae?),0,0,2,,2,L-04
172,JEJ,SP11,66,SP110066,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
172,JEJ,SP11,66,SP110066,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
173,JEJ,SP11,70,SP110070,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,Myrsidea,(ophthalmici/violaceae?),1,2,3,,6,L-04
173,JEJ,SP11,70,SP110070,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
173,JEJ,SP11,70,SP110070,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
175,JEJ,SP11,108,SP110108,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,Myrsidea,(ophthalmici/violaceae?),0,1,0,,1,L-04
175,JEJ,SP11,108,SP110108,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Philopteridae,Philopteridae,new sp?,,1,,,1,L-04
175,JEJ,SP11,108,SP110108,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
178,JEJ,SP11,120,SP110120,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,Myrsidea,(ophthalmici/violaceae?),2,2,4,,8,L-04
178,JEJ,SP11,120,SP110120,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
178,JEJ,SP11,120,SP110120,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
187,JEJ,SP12,36,SP120036,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,Myrsidea,(ophthalmici/violaceae?),2,2,2,,6,L-05
187,JEJ,SP12,36,SP120036,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
187,JEJ,SP12,36,SP120036,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
188,JEJ,SP12,40,SP120040,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,Myrsidea,(ophthalmici/violaceae?),0,4,0,,4,L-05
188,JEJ,SP12,40,SP120040,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
188,JEJ,SP12,40,SP120040,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
195,JEJ,SP12,792,SP120792,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea?,Myrsidea,(ophthalmici/violaceae?),0,0,1,,1,L-05
195,JEJ,SP12,792,SP120792,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
195,JEJ,SP12,792,SP120792,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
197,JEJ,SP12,885,SP120885,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,Myrsidea,(ophthalmici/violaceae?),12,9,4,,25,L-05
197,JEJ,SP12,885,SP120885,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
197,JEJ,SP12,885,SP120885,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
186,JEJ,SP12,934,SP120934,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,Myrsidea,(ophthalmici/violaceae?),1,2,1,,4,L-05
186,JEJ,SP12,934,SP120934,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
186,JEJ,SP12,934,SP120934,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
198,JEJ,SP12,938,SP120938,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,Myrsidea,(ophthalmici/violaceae?),2,1,7,,10,L-05
198,JEJ,SP12,938,SP120938,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
198,JEJ,SP12,938,SP120938,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
199,JEJ,SP12,993,SP120993,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,Myrsidea,Myrsidea,(ophthalmici/violaceae?),5,0,2,,7,L-05
199,JEJ,SP12,993,SP120993,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
199,JEJ,SP12,993,SP120993,,Chlorospingus,flavigularis,Chlorospingus_flavigularis,Passeriformes,Passerellidae,Yes,,,,,,,,,
211,JEJ,TL12,16,TL120016,,Chlorospingus,flavopectus,Chlorospingus_flavopectus,Passeriformes,Passerellidae,No,Myrsidea,Myrsidea,ophthalmici/violaceae?,0,3,3,,6,L-05
211,JEJ,TL12,16,TL120016,,Chlorospingus,flavopectus,Chlorospingus_flavopectus,Passeriformes,Passerellidae,No,,,,,,,,,
211,JEJ,TL12,16,TL120016,,Chlorospingus,flavopectus,Chlorospingus_flavopectus,Passeriformes,Passerellidae,No,,,,,,,,,
212,JEJ,TL12,33,TL120033,,Chlorospingus,flavopectus,Chlorospingus_flavopectus,Passeriformes,Passerellidae,No,Myrsidea,Myrsidea,ophthalmici/violaceae?,2,1,0,,3,L-05
212,JEJ,TL12,33,TL120033,,Chlorospingus,flavopectus,Chlorospingus_flavopectus,Passeriformes,Passerellidae,No,Menoponidae?,Menoponidae,Menacanthus eurysternus?,2,1,5,0,8,L-05
212,JEJ,TL12,33,TL120033,,Chlorospingus,flavopectus,Chlorospingus_flavopectus,Passeriformes,Passerellidae,No,,,,,,,,,
213,JEJ,TL12,34,TL120034,,Chlorospingus,flavopectus,Chlorospingus_flavopectus,Passeriformes,Passerellidae,No,Myrsidea,Myrsidea,ophthalmici/violaceae?,1,1,0,,2,L-05
213,JEJ,TL12,34,TL120034,,Chlorospingus,flavopectus,Chlorospingus_flavopectus,Passeriformes,Passerellidae,No,,,,,,,,,
213,JEJ,TL12,34,TL120034,,Chlorospingus,flavopectus,Chlorospingus_flavopectus,Passeriformes,Passerellidae,No,,,,,,,,,
159,JEJ,P11,6204,P116204,,Chlorothraupis,carmioli,Chlorothraupis_carmioli,Passeriformes,Cardinalidae,No,Myrsidea,Myrsidea,cruickshanki?,0,1,0,,1,L-04
159,JEJ,P11,6204,P116204,,Chlorothraupis,carmioli,Chlorothraupis_carmioli,Passeriformes,Cardinalidae,No,,,,,,,,,
159,JEJ,P11,6204,P116204,,Chlorothraupis,carmioli,Chlorothraupis_carmioli,Passeriformes,Cardinalidae,No,,,,,,,,,
160,JEJ,P11,6210,P116210,,Chlorothraupis,carmioli,Chlorothraupis_carmioli,Passeriformes,Cardinalidae,No,Myrsidea,Myrsidea,cruickshanki?,2,3,3,,8,L-04
160,JEJ,P11,6210,P116210,,Chlorothraupis,carmioli,Chlorothraupis_carmioli,Passeriformes,Cardinalidae,No,,,,,,,,,
160,JEJ,P11,6210,P116210,,Chlorothraupis,carmioli,Chlorothraupis_carmioli,Passeriformes,Cardinalidae,No,,,,,,,,,
161,JEJ,P11,6211,P116211,,Chlorothraupis,carmioli,Chlorothraupis_carmioli,Passeriformes,Cardinalidae,No,Myrsidea,Myrsidea,cruickshanki?,1,0,0,,1,L-04
161,JEJ,P11,6211,P116211,,Chlorothraupis,carmioli,Chlorothraupis_carmioli,Passeriformes,Cardinalidae,No,,,,,,,,,
161,JEJ,P11,6211,P116211,,Chlorothraupis,carmioli,Chlorothraupis_carmioli,Passeriformes,Cardinalidae,No,,,,,,,,,
162,JEJ,P11,6213,P116213,,Chlorothraupis,carmioli,Chlorothraupis_carmioli,Passeriformes,Cardinalidae,No,Myrsidea,Myrsidea,cruickshanki?,1,5,7,,13,L-04
162,JEJ,P11,6213,P116213,,Chlorothraupis,carmioli,Chlorothraupis_carmioli,Passeriformes,Cardinalidae,No,,,,,,,,,
162,JEJ,P11,6213,P116213,,Chlorothraupis,carmioli,Chlorothraupis_carmioli,Passeriformes,Cardinalidae,No,,,,,,,,,
227,JEJ,P13,133,P130133,,Chlorothraupis,carmioli,Chlorothraupis_carmioli,Passeriformes,"Cardinalidae
",,Myrsidea,Myrsidea,Myrsidea cruickshanki?,1,0,0,,1,
227,JEJ,P13,133,P130133,,Chlorothraupis,carmioli,Chlorothraupis_carmioli,Passeriformes,"Cardinalidae
",,,,,,,,,,
227,JEJ,P13,133,P130133,,Chlorothraupis,carmioli,Chlorothraupis_carmioli,Passeriformes,"Cardinalidae
",,,,,,,,,,
233,JEJ,P13,628,P130628,,Chlorothraupis,carmioli,Chlorothraupis_carmioli,Passeriformes,"Cardinalidae
",,Myrsidea,Myrsidea,Myrsidea cruickshanki?,0,0,1,,1,
233,JEJ,P13,628,P130628,,Chlorothraupis,carmioli,Chlorothraupis_carmioli,Passeriformes,"Cardinalidae
",,,,,,,,,,
233,JEJ,P13,628,P130628,,Chlorothraupis,carmioli,Chlorothraupis_carmioli,Passeriformes,"Cardinalidae
",,,,,,,,,,
123,JUM,,1056,1056,,Cnipodectes,subbrunneus,Cnipodectes_subbrunneus,Passeriformes,Tyrannidae,No,Myrsidea,Myrsidea,rodriguesae?,0,0,1,,1,L-03
123,JUM,,1056,1056,,Cnipodectes,subbrunneus,Cnipodectes_subbrunneus,Passeriformes,Tyrannidae,No,,,,,,,,,
123,JUM,,1056,1056,,Cnipodectes,subbrunneus,Cnipodectes_subbrunneus,Passeriformes,Tyrannidae,No,,,,,,,,,
351,JEJ,P11,6082,P116082,,Conopophaga,peruviana,Conopophaga_peruviana,Passeriformes,Conopophagidae,,Formicaphagus,Formicaphagus,donpetersi?,5,1,3,,9,
351,JEJ,P11,6082,P116082,,Conopophaga,peruviana,Conopophaga_peruviana,Passeriformes,Conopophagidae,,,,,,,,,,
351,JEJ,P11,6082,P116082,,Conopophaga,peruviana,Conopophaga_peruviana,Passeriformes,Conopophagidae,,,,,,,,,,
228,JEJ,P13,300,P130300,,Corythopis,torquatus,Corythopis_torquatus,Passeriformes,Tyrannidae,,Philopteridae,Philopteridae,new sp?,0,1,1,,2,
228,JEJ,P13,300,P130300,,Corythopis,torquatus,Corythopis_torquatus,Passeriformes,Tyrannidae,,,,,,,,,,
228,JEJ,P13,300,P130300,,Corythopis,torquatus,Corythopis_torquatus,Passeriformes,Tyrannidae,,,,,,,,,,
231,JEJ,P13,303,P130303,,Corythopis,torquatus,Corythopis_torquatus,Passeriformes,"Tyrannidae
",,Myrsidea,Myrsidea,new sp?,0,1,0,,1,
231,JEJ,P13,303,P130303,,Corythopis,torquatus,Corythopis_torquatus,Passeriformes,"Tyrannidae
",,,,,,,,,,
231,JEJ,P13,303,P130303,,Corythopis,torquatus,Corythopis_torquatus,Passeriformes,"Tyrannidae
",,,,,,,,,,
232,JEJ,P13,328,P130328,,Corythopis,torquatus,Corythopis_torquatus,Passeriformes,"Tyrannidae
",,Myrsidea,Myrsidea,new sp?,1,0,0,,1,
232,JEJ,P13,328,P130328,,Corythopis,torquatus,Corythopis_torquatus,Passeriformes,"Tyrannidae
",,,,,,,,,,
232,JEJ,P13,328,P130328,,Corythopis,torquatus,Corythopis_torquatus,Passeriformes,"Tyrannidae
",,,,,,,,,,
428,JEJ,P11,6443,P116443,unknown louse skeleton found,Cyanoloxia,cyanoides,Cyanoloxia_cyanoides,Passeriformes,Cardinalidae,,unknown louse ,,maybe Myrsidea johnklickai?,-,-,-,,1,
428,JEJ,P11,6443,P116443,unknown louse skeleton found,Cyanoloxia,cyanoides,Cyanoloxia_cyanoides,Passeriformes,Cardinalidae,,,,,,,,,,
428,JEJ,P11,6443,P116443,unknown louse skeleton found,Cyanoloxia,cyanoides,Cyanoloxia_cyanoides,Passeriformes,Cardinalidae,,,,,,,,,,
432,JEJ,P13,185,P130185,,Cyanoloxia,cyanoides,Cyanoloxia_cyanoides,Passeriformes,Cardinalidae,,Myrsidea,Myrsidea,johnklickai/sychrai?,0,1,1,,2,
432,JEJ,P13,185,P130185,,Cyanoloxia,cyanoides,Cyanoloxia_cyanoides,Passeriformes,Cardinalidae,,,,,,,,,,
432,JEJ,P13,185,P130185,,Cyanoloxia,cyanoides,Cyanoloxia_cyanoides,Passeriformes,Cardinalidae,,,,,,,,,,
433,JEJ,P13,219,P130219,,Cyanoloxia,cyanoides,Cyanoloxia_cyanoides,Passeriformes,Cardinalidae,,Myrsidea,Myrsidea,johnklickai/sychrai?,1,0,0,,1,
433,JEJ,P13,219,P130219,,Cyanoloxia,cyanoides,Cyanoloxia_cyanoides,Passeriformes,Cardinalidae,,,,,,,,,,
433,JEJ,P13,219,P130219,,Cyanoloxia,cyanoides,Cyanoloxia_cyanoides,Passeriformes,Cardinalidae,,,,,,,,,,
393,JEJ,SP11,94,SP110094,,Cyphorhinus,thoracicus,Cyphorhinus_thoracicus,Passeriformes,Troglodytidae,,Myrsidea,Myrsidea,new sp?,0,1,2,,3,
393,JEJ,SP11,94,SP110094,,Cyphorhinus,thoracicus,Cyphorhinus_thoracicus,Passeriformes,Troglodytidae,,,,,,,,,,
393,JEJ,SP11,94,SP110094,,Cyphorhinus,thoracicus,Cyphorhinus_thoracicus,Passeriformes,Troglodytidae,,,,,,,,,,
396,JEJ,SP11,126,SP110126,,Cyphorhinus,thoracicus,Cyphorhinus_thoracicus,Passeriformes,Troglodytidae,,Myrsidea,Myrsidea,new sp?,0,1,0,,1,
396,JEJ,SP11,126,SP110126,,Cyphorhinus,thoracicus,Cyphorhinus_thoracicus,Passeriformes,Troglodytidae,,,,,,,,,,
396,JEJ,SP11,126,SP110126,,Cyphorhinus,thoracicus,Cyphorhinus_thoracicus,Passeriformes,Troglodytidae,,,,,,,,,,
406,JEJ,SP12,1001,SP121001,,Cyphorhinus,thoracicus,Cyphorhinus_thoracicus,Passeriformes,Troglodytidae,,Myrsidea,Myrsidea,new sp?,0,1,0,,1,
406,JEJ,SP12,1001,SP121001,,Cyphorhinus,thoracicus,Cyphorhinus_thoracicus,Passeriformes,Troglodytidae,,,,,,,,,,
406,JEJ,SP12,1001,SP121001,,Cyphorhinus,thoracicus,Cyphorhinus_thoracicus,Passeriformes,Troglodytidae,,,,,,,,,,
410,JEJ,SP12,1031,SP121031,,Cyphorhinus,thoracicus,Cyphorhinus_thoracicus,Passeriformes,Troglodytidae,,Myrsidea,Myrsidea,new sp?,0,0,2,,2,
410,JEJ,SP12,1031,SP121031,,Cyphorhinus,thoracicus,Cyphorhinus_thoracicus,Passeriformes,Troglodytidae,,,,,,,,,,
410,JEJ,SP12,1031,SP121031,,Cyphorhinus,thoracicus,Cyphorhinus_thoracicus,Passeriformes,Troglodytidae,,,,,,,,,,
59,JUM,,M598,M598,,Dendrocincla,fuliginosa,Dendrocincla_fuliginosa,Passeriformes,Furnariidae,No,Rallicola,Rallicola,fuliginosa?,0,0,1,,1,L-02
59,JUM,,M598,M598,,Dendrocincla,fuliginosa,Dendrocincla_fuliginosa,Passeriformes,Furnariidae,No,,,,,,,,,
59,JUM,,M598,M598,,Dendrocincla,fuliginosa,Dendrocincla_fuliginosa,Passeriformes,Furnariidae,No,,,,,,,,,
20,JUM,,V285,V285,,Dendrocincla,fuliginosa,Dendrocincla_fuliginosa,Passeriformes,Furnariidae,No,Rallicola,Rallicola,fuliginosa?,2,3,6,,11,L-01
20,JUM,,V285,V285,,Dendrocincla,fuliginosa,Dendrocincla_fuliginosa,Passeriformes,Furnariidae,No,,,,,,,,0,
20,JUM,,V285,V285,,Dendrocincla,fuliginosa,Dendrocincla_fuliginosa,Passeriformes,Furnariidae,No,,,,,,,,,
130,JUM,,1159,1159,,Dendrocincla,merula,Dendrocincla_merula,Passeriformes,Furnariidae,Yes,Rallicola?,Rallicola,(fuliginosa/ deckeri/ antioquensis),0,0,1,,1,L-03
130,JUM,,1159,1159,,Dendrocincla,merula,Dendrocincla_merula,Passeriformes,Furnariidae,Yes,,,,,,,,,
130,JUM,,1159,1159,,Dendrocincla,merula,Dendrocincla_merula,Passeriformes,Furnariidae,Yes,,,,,,,,,
55,JUM,,M583,M583,,Dendrocincla,merula,Dendrocincla_merula,Passeriformes,Furnariidae,Yes,Rallicola,Rallicola,(fuliginosa/deceri…?),0,1,0,,1,L-02
55,JUM,,M583,M583,,Dendrocincla,merula,Dendrocincla_merula,Passeriformes,Furnariidae,Yes,,,,,,,,,
55,JUM,,M583,M583,,Dendrocincla,merula,Dendrocincla_merula,Passeriformes,Furnariidae,Yes,,,,,,,,,
