#No,Collection,Sample_group,Sample No. #,Full_Label,comment,Host Genus,Host Species,species_binomial,Host Order,host_family,New Association,Lice Genus,lice_genus_tidy,Lice Species,Female,Male,Nimph,Eggs,Total,BoxLocation1
382,JEJ,P13,131,P130131,,Arremon,taciturnus,Arremon_taciturnus,Passeriformes,Passerellidae,,Myrsidea,Myrsidea,taciturni?,1,1,0,,2,
382,JEJ,P13,131,P130131,,Arremon,taciturnus,Arremon_taciturnus,Passeriformes,Passerellidae,,,,,,,,,,
382,JEJ,P13,131,P130131,,Arremon,taciturnus,Arremon_taciturnus,Passeriformes,Passerellidae,,,,,,,,,,
380,JEJ,P13,269,P130269,,Arremon,taciturnus,Arremon_taciturnus,Passeriformes,Passerellidae,,Myrsidea,Myrsidea,taciturni?,1,0,2,,3,
380,JEJ,P13,269,P130269,,Arremon,taciturnus,Arremon_taciturnus,Passeriformes,Passerellidae,,,,,,,,,,
380,JEJ,P13,269,P130269,,Arremon,taciturnus,Arremon_taciturnus,Passeriformes,Passerellidae,,,,,,,,,,
386,JEJ,P13,351,P130351,,Arremon,taciturnus,Arremon_taciturnus,Passeriformes,Passerellidae,,Myrsidea,Myrsidea,taciturni?,3,3,5,,11,
386,JEJ,P13,351,P130351,,Arremon,taciturnus,Arremon_taciturnus,Passeriformes,Passerellidae,,,,,,,,,,
386,JEJ,P13,351,P130351,,Arremon,taciturnus,Arremon_taciturnus,Passeriformes,Passerellidae,,,,,,,,,,
219,JEJ,W12,305,W120305,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,Myrsidea,Myrsidea,(various Myrsidea),1,1,2,,4,
219,JEJ,W12,305,W120305,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,,,,,,,,,
219,JEJ,W12,305,W120305,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,,,,,,,,,
224,JEJ,W12,1048,W121048,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,Brueelia?,Brueelia,(Brueelia brunneinucha?),15,10,14,,39,
224,JEJ,W12,1048,W121048,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,,,,,,,,,
224,JEJ,W12,1048,W121048,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,,,,,,,,,
235,JEJ,W13,118,W130118,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,Myrsidea,Myrsidea,(various Myrsidea),0,1,0,,1,
235,JEJ,W13,118,W130118,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,,,,,,,,,
235,JEJ,W13,118,W130118,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,,,,,,,,,
241,JEJ,W13,298,W130298,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,Myrsidea,Myrsidea,(various Myrsidea),0,0,1,,1,
241,JEJ,W13,298,W130298,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,,,,,,,,,
241,JEJ,W13,298,W130298,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,,,,,,,,,
243,JEJ,W13,349,W130349,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,Myrsidea,Myrsidea,(various Myrsidea),0,1,0,,1,
243,JEJ,W13,349,W130349,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,,,,,,,,,
243,JEJ,W13,349,W130349,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,,,,,,,,,
245,JEJ,W13,377,W130377,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,Myrsidea,Myrsidea,(various Myrsidea),2,2,1,,5,
245,JEJ,W13,377,W130377,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,,,,,,,,,
245,JEJ,W13,377,W130377,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,,,,,,,,,
246,JEJ,W13,378,W130378,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,Myrsidea,Myrsidea,(various Myrsidea),2,4,0,,6,
246,JEJ,W13,378,W130378,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,,,,,,,,,
246,JEJ,W13,378,W130378,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,,,,,,,,,
248,JEJ,W13,560,W130560,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,Myrsidea,Myrsidea,(various Myrsidea),1,1,1,,3,
248,JEJ,W13,560,W130560,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,,,,,,,,,
248,JEJ,W13,560,W130560,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,,,,,,,,,
249,JEJ,W13,572,W130572,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,Brueelia?,Brueelia,(Brueelia brunneinucha?),0,1,0,,1,
249,JEJ,W13,572,W130572,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,,,,,,,,,
249,JEJ,W13,572,W130572,,Arremon,torquatus,Arremon_torquatus,Passeriformes,"Passerellidae
",,,,,,,,,,
347,JEJ,P11,6057,P116057,,Automolus,infuscatus,Automolus_infuscatus,Passeriformes,Furnariidae,,Myrsidea,Myrsidea,(edgarsmithi?),1,2,2,,5,
347,JEJ,P11,6057,P116057,,Automolus,infuscatus,Automolus_infuscatus,Passeriformes,Furnariidae,,,,,,,,,,
347,JEJ,P11,6057,P116057,,Automolus,infuscatus,Automolus_infuscatus,Passeriformes,Furnariidae,,,,,,,,,,
321,JEJ,P11,5929,P115929,,Automolus,melanopezus,Automolus_melanopezus,Passeriformes,Furnariidae,,Myrsidea,Myrsidea,(ochrolaemi?),7,4,5,,16,
321,JEJ,P11,5929,P115929,,Automolus,melanopezus,Automolus_melanopezus,Passeriformes,Furnariidae,,Rallicola?,Rallicola,(ochrolaemi?),5,11,8,0,24,
321,JEJ,P11,5929,P115929,,Automolus,melanopezus,Automolus_melanopezus,Passeriformes,Furnariidae,,,,,,,,,,
283,JEJ,P11,111,P110111,,Automolus,ochrolaemus,Automolus_ochrolaemus,Passeriformes,Furnariidae,,Myrsidea,Myrsidea,ochrolaemi?,0,0,1,,1,
283,JEJ,P11,111,P110111,,Automolus,ochrolaemus,Automolus_ochrolaemus,Passeriformes,Furnariidae,,,,,,,,,,
283,JEJ,P11,111,P110111,,Automolus,ochrolaemus,Automolus_ochrolaemus,Passeriformes,Furnariidae,,,,,,,,,,
368,JEJ,P11,6254,P116254,,Automolus,ochrolaemus,Automolus_ochrolaemus,Passeriformes,Furnariidae,,Philopteridae,Philopteridae,new sp?,0,0,1,,1,
368,JEJ,P11,6254,P116254,,Automolus,ochrolaemus,Automolus_ochrolaemus,Passeriformes,Furnariidae,,,,,,,,,,
368,JEJ,P11,6254,P116254,,Automolus,ochrolaemus,Automolus_ochrolaemus,Passeriformes,Furnariidae,,,,,,,,,,
369,JEJ,P11,6276,P116276,,Automolus,ochrolaemus,Automolus_ochrolaemus,Passeriformes,Furnariidae,,Myrsidea,Myrsidea,ochrolaemi?,3,4,5,,12,
369,JEJ,P11,6276,P116276,,Automolus,ochrolaemus,Automolus_ochrolaemus,Passeriformes,Furnariidae,,,,,,,,,,
369,JEJ,P11,6276,P116276,,Automolus,ochrolaemus,Automolus_ochrolaemus,Passeriformes,Furnariidae,,,,,,,,,,
370,JEJ,P11,6287,P116287,,Automolus,ochrolaemus,Automolus_ochrolaemus,Passeriformes,Furnariidae,,Myrsidea,Myrsidea,ochrolaemi?,2,1,2,,5,
370,JEJ,P11,6287,P116287,,Automolus,ochrolaemus,Automolus_ochrolaemus,Passeriformes,Furnariidae,,,,,,,,,,
370,JEJ,P11,6287,P116287,,Automolus,ochrolaemus,Automolus_ochrolaemus,Passeriformes,Furnariidae,,,,,,,,,,
21,JUM,,V298,V298,,Automolus,ochrolaemus,Automolus_ochrolaemus,Passeriformes,Furnariidae,No,Myrsidea,Myrsidea,ochrolaemi?,1,0,0,,1,L-01
21,JUM,,V298,V298,,Automolus,ochrolaemus,Automolus_ochrolaemus,Passeriformes,Furnariidae,No,,,,,,,,0,
21,JUM,,V298,V298,,Automolus,ochrolaemus,Automolus_ochrolaemus,Passeriformes,Furnariidae,No,,,,,,,,,
72,JUM,,V679,V679,,Automolus,ochrolaemus,Automolus_ochrolaemus,Passeriformes,Furnariidae,No,Myrsidea,Myrsidea,ochrolaemi?,3,2,1,,6,L-02
72,JUM,,V679,V679,,Automolus,ochrolaemus,Automolus_ochrolaemus,Passeriformes,Furnariidae,No,,,,,,,,,
72,JUM,,V679,V679,,Automolus,ochrolaemus,Automolus_ochrolaemus,Passeriformes,Furnariidae,No,,,,,,,,,
119,JUM,,1036,1036,,Automolus,subulatus,Automolus_subulatus,Passeriformes,Furnariidae,Yes,Myrsidea,Myrsidea,(ochrolaemi?),2,2,3,,7,L-03
119,JUM,,1036,1036,,Automolus,subulatus,Automolus_subulatus,Passeriformes,Furnariidae,Yes,,,,,,,,,
119,JUM,,1036,1036,,Automolus,subulatus,Automolus_subulatus,Passeriformes,Furnariidae,Yes,,,,,,,,,
174,JEJ,SP11,113,SP110113,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,Myrsidea,Myrsidea,(basileuteri/ paleno),1,0,0,,1,L-04
174,JEJ,SP11,113,SP110113,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,,,,,,,,,
174,JEJ,SP11,113,SP110113,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,,,,,,,,,
179,JEJ,SP11,144,SP110144,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,Myrsidea,Myrsidea,(basileuteri/ paleno),1,0,1,,2,L-04
179,JEJ,SP11,144,SP110144,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,,,,,,,,,
179,JEJ,SP11,144,SP110144,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,,,,,,,,,
176,JEJ,SP11,186,SP110186,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,Ricinus,Ricinus,(basileuteri/ paleno),0,0,4,,4,L-04
176,JEJ,SP11,186,SP110186,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,,,,,,,,,
176,JEJ,SP11,186,SP110186,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,Yes,,,,,,,,,
184,JEJ,SP12,911,SP120911,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,No,Ricinus,Ricinus,new sp?,0,0,1,,1,L-05
184,JEJ,SP12,911,SP120911,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,No,,,,,,,,,
184,JEJ,SP12,911,SP120911,,Basileuterus,tristriatus,Basileuterus_tristriatus,Passeriformes,Parulidae,No,,,,,,,,,
