"","species_clean","detections_flocks","NO.","Collection","Sample.label","Sample.No...","Full_Label","Powder.lvl","species_binomial","Order","Family","Lice","Mites","Ticks","Other","Host.Family","Order2","Date.of.collection","Country","Province","Locality","Altitude","mass_tidy","bill_tidy","wing_tidy","tail_tidy","wing_index_tidy","tarsus_tidy","sociality","ForStrat_ground","ForStrat_understory","ForStrat_midhigh","ForStrat_canopy","species_jetz","WJSpecID","TipLabel","PatchClade","Hackett_FineClades","Hackett_CoarseClades","English","FileName","Taxo","BLFamilyLatin","BLFamilyEnglish","FamSequID","IOCOrder","PassNonPass","OscSubOsc","foraging_cat","elevation_cat","sample"
"11","Thamnomanes schistogynus",64,722,"JEJ","P12","924","P120924","low","Thamnomanes_schistogynus","Passeriformes","Thamnophilidae",0,1,0,"No",NA,NA,NA,NA,NA,NA,NA,17.905,10.43661765,69.76623377,62,13.2,17.6,1,0,20,80,0,"Thamnomanes schistogynus",6462,"Thamnomanes_schistogynus","Thamnophilidae","Antbirds","Antbirds","Bluish-slate Antshrike","bow06462","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","120924"
"12","Thamnomanes schistogynus",64,762,"JEJ","P12","1764","P121764","low","Thamnomanes_schistogynus","Passeriformes","Thamnophilidae",0,0,0,"No",NA,NA,NA,NA,NA,NA,NA,17.905,10.43661765,69.76623377,62,13.2,17.6,1,0,20,80,0,"Thamnomanes schistogynus",6462,"Thamnomanes_schistogynus","Thamnophilidae","Antbirds","Antbirds","Bluish-slate Antshrike","bow06462","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_manu","121764"
"13","Myioborus miniatus",50,685,"JEJ","SP11","84","SP110084","low","Myioborus_miniatus","Passeriformes","Parulidae",0,1,0,"No",NA,NA,NA,NA,NA,NA,NA,9.782295082,6.985714286,62.43278689,64.9,17,17.7,1,0,0,100,0,"Myioborus miniatus",12758,"Myioborus_miniatus","P20a","New World Warblers","New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies","Slate-throated Redstart","bow12758","BL3","Parulidae","New World warblers",171,"PASSERIFORMES","PASSERIFORMES","Passeri","midhigh","montane_manu","110084"
"14","Myioborus miniatus",50,686,"JEJ","SP11","86","SP110086","med","Myioborus_miniatus","Passeriformes","Parulidae",0,1,0,"No",NA,NA,NA,NA,NA,NA,NA,9.782295082,6.985714286,62.43278689,64.9,17,17.7,1,0,0,100,0,"Myioborus miniatus",12758,"Myioborus_miniatus","P20a","New World Warblers","New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies","Slate-throated Redstart","bow12758","BL3","Parulidae","New World warblers",171,"PASSERIFORMES","PASSERIFORMES","Passeri","midhigh","montane_manu","110086"
"15","Myioborus miniatus",50,687,"JEJ","SP11","87","SP110087","low","Myioborus_miniatus","Passeriformes","Parulidae",0,1,0,"No",NA,NA,NA,NA,NA,NA,NA,9.782295082,6.985714286,62.43278689,64.9,17,17.7,1,0,0,100,0,"Myioborus miniatus",12758,"Myioborus_miniatus","P20a","New World Warblers","New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies","Slate-throated Redstart","bow12758","BL3","Parulidae","New World warblers",171,"PASSERIFORMES","PASSERIFORMES","Passeri","midhigh","montane_manu","110087"
"16","Myioborus miniatus",50,823,"JEJ","SP12","1360","SP121360","low","Myioborus_miniatus","Passeriformes","Parulidae",0,1,0,"No",NA,NA,NA,NA,NA,NA,NA,9.782295082,6.985714286,62.43278689,64.9,17,17.7,1,0,0,100,0,"Myioborus miniatus",12758,"Myioborus_miniatus","P20a","New World Warblers","New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies","Slate-throated Redstart","bow12758","BL3","Parulidae","New World warblers",171,"PASSERIFORMES","PASSERIFORMES","Passeri","midhigh","montane_manu","121360"
"17","Myioborus miniatus",50,824,"JEJ","SP12","1362","SP121362","low","Myioborus_miniatus","Passeriformes","Parulidae",1,1,0,"No",NA,NA,NA,NA,NA,NA,NA,9.782295082,6.985714286,62.43278689,64.9,17,17.7,1,0,0,100,0,"Myioborus miniatus",12758,"Myioborus_miniatus","P20a","New World Warblers","New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies","Slate-throated Redstart","bow12758","BL3","Parulidae","New World warblers",171,"PASSERIFORMES","PASSERIFORMES","Passeri","midhigh","montane_manu","121362"
"18","Myrmotherula axillaris",50,27,"JUM","V","V40","V40","","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",0,1,0,"No",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_iquitos","40"
"19","Myrmotherula axillaris",50,59,"JUM","V","V127","V127","","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",0,0,0,"No",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_iquitos","127"
"20","Myrmotherula axillaris",50,76,"JUM","V","V162","V162","","Myrmotherula_axillaris","Passeriformes","Thamnophilidae",0,0,0,"Yes",NA,NA,NA,NA,NA,NA,NA,8.457105263,8.695258621,50.38983051,36.5,14.8,15.5,1,0,20,80,0,"Myrmotherula axillaris",6486,"Myrmotherula_axillaris","Thamnophilidae","Antbirds","Antbirds","White-flanked Antwren","bow06486","BL3","Thamnophilidae","Antbirds",106,"PASSERIFORMES","PASSERIFORMES","Tyranni","midhigh","lowland_iquitos","162"
