,sample,species,degree,w_degree,elevation
109,SP110087,Myioborus_miniatus,83,9.778770471,1395
110,SP110048,Thripadectes_melanorhynchus,44,5.119461852,1387
111,P120870,Ramphotrigon_fuscicauda,51,5.51649369,415
112,SP120938,Chlorospingus_flavigularis,79,9.546871095,1395
113,P120923,Thamnomanes_schistogynus,94,6.734140634,438
114,SP121029,Rhynchocyclus_fulvipectus,14,1.348078439,1337
115,P116360,Thamnomanes_schistogynus,44,3.717025842,385
116,P120679,Leptopogon_amaurocephalus,78,7.787171942,415
117,W130560,Arremon_torquatus,10,0.555642463,2650
118,P121756,Arremon_taciturnus,18,1.583508787,414
119,W130677,Chlorornis_riefferii,44,6.185077763,2617
120,SP120074,Phylloscartes_ophthalmicus,55,6.245476533,1387
121,SP120054,Myiothlypis_coronata,36,4.772666239,1387
122,P121357,Isleria_hauxwelli,18,1.42312775,415
123,P110128,Thamnomanes_schistogynus,61,4.883413016,397
124,P110404,Mionectes_oleagineus,58,4.416065857,414
125,W121041,Mecocerculus_stictopterus,56,8.356397844,2650
126,P130353,Automolus_ochrolaemus,76,6.125611001,415
127,W121223,Iridosornis_jelskii,20,1.976174103,2617
128,W120693,Pipreola_intermedia,17,2.233936974,2742
129,P130157,Thamnomanes_ardesiacus,48,4.541416425,398
130,P130392,Deconychura_longicauda,14,2.61350402,410
131,SP110340,Leptopogon_superciliaris,79,8.980708726,1262
132,P116097,Xenops_minutus,40,3.114916259,415
133,SP120062,Trichothraupis_melanops,46,4.990517008,1387
134,W120474,Iridosornis_jelskii,22,2.531729659,2816
135,P116246,Thamnomanes_ardesiacus,58,4.939317054,600
136,P121245,Glyphorynchus_spirurus,75,7.268493963,837
137,SP121433,Basileuterus_tristriatus,60,7.59063163,1573
138,P120714,Myrmotherula_axillaris,86,7.403907218,415
139,SP110367,Thripadectes_melanorhynchus,43,4.885638323,1307
140,TL120054,Pyrrhomyias_cinnamomeus,67,5.02248549,1514
141,SP120931,Basileuterus_tristriatus,60,7.400091448,1395
142,TU120059,Sphenopsis_melanotis,15,2.085641479,2728
