Full_Label,species_jetz,date,year_seasonality
P116231,Glyphorynchus_spirurus,2011-08-19,231
P116232,Lanio_versicolor,2011-08-19,231
P116246,Thamnomanes_ardesiacus,2011-08-20,232
P116247,Willisornis_poecilinotus,2011-08-20,232
P116259,Myrmotherula_axillaris,2011-08-20,232
P116260,Corythopis_torquatus,2011-08-20,232
P116262,Schiffornis_turdina,2011-08-20,232
P116271,Willisornis_poecilinotus,2011-08-24,236
P116278,Willisornis_poecilinotus,2011-08-24,236
P116291,Willisornis_poecilinotus,2011-08-25,237
P116292,Schiffornis_turdina,2011-08-25,237
P116295,Schiffornis_turdina,2011-08-25,237
P116299,Schiffornis_turdina,2011-08-25,237
P116302,Schiffornis_turdina,2011-08-26,238
P116324,Platyrinchus_platyrhynchos,2011-08-29,241
SP121079,Basileuterus_bivittatus,2012-10-01,275
P116369,Hylophilus_ochraceiceps,2011-08-30,242
SP121117,Basileuterus_bivittatus,2012-10-04,278
P116380,Hylophilus_ochraceiceps,2011-08-30,242
P116411,Corythopis_torquatus,2011-09-02,245
P116420,Glyphorynchus_spirurus,2011-09-02,245
P116425,Hylophylax_naevius,2011-09-02,245
P116453,Microcerculus_marginatus,2011-09-04,247
P116467,Thamnomanes_schistogynus,2011-09-05,248
SP121210,Basileuterus_bivittatus,2012-10-23,297
SP110013,Chlorospingus_flavigularis,2011-09-06,249
SP110022,Tangara_arthus,2011-09-12,255
SP110023,Tangara_arthus,2011-09-12,255
SP110040,Chlorospingus_flavigularis,2011-09-16,259
SP110044,Leptopogon_superciliaris,2011-09-19,262
SP110059,Premnoplex_brunnescens,2011-09-20,263
SP110066,Chlorospingus_flavigularis,2011-09-21,264
SP110070,Chlorospingus_flavigularis,2011-09-21,264
SP110073,Premnoplex_brunnescens,2011-09-22,265
SP110074,Premnoplex_brunnescens,2011-09-22,265
SP110080,Rhynchocyclus_fulvipectus,2011-09-24,267
SP110084,Myioborus_miniatus,2011-09-24,267
SP110086,Myioborus_miniatus,2011-09-24,267
SP110087,Myioborus_miniatus,2011-09-25,268
SP110095,Rhynchocyclus_fulvipectus,2011-09-25,268
SP110113,Basileuterus_tristriatus,2011-09-27,270
SP110108,Chlorospingus_ophthalmicus,2011-09-27,270
SP110154,Rhynchocyclus_fulvipectus,2011-10-04,277
SP110186,Basileuterus_tristriatus,2011-10-06,279
SP110098,Eutoxeres_condamini,2011-09-25,268
SP110188,Anabacerthia_striaticollis,2011-10-06,279
SP110259,Hylophylax_naevius,2011-10-19,292
SP121223,Basileuterus_bivittatus,2012-10-25,299
SP110340,Leptopogon_superciliaris,2011-10-29,302
SP110120,Chlorospingus_flavigularis,2011-09-29,272
SP110130,Premnoplex_brunnescens,2011-10-01,274
SP110140,Premnoplex_brunnescens,2011-10-03,276
SP110144,Basileuterus_tristriatus,2011-10-03,276
P120675,Willisornis_poecilinotus,2012-06-29,181
P120781,Sclerurus_caudacutus,2012-07-14,196
P120742,Corythopis_torquatus,2012-07-02,184
P120770,Microcerculus_marginatus,2012-07-10,192
SP121292,Basileuterus_bivittatus,2012-11-08,313
P120684,Hylophilus_ochraceiceps,2012-06-29,181
P120687,Willisornis_poecilinotus,2012-06-29,181
P120714,Myrmotherula_axillaris,2012-06-30,182
P120739,Corythopis_torquatus,2012-07-02,184
P120788,Thamnomanes_ardesiacus,2012-07-16,198
SP121402,Basileuterus_coronatus,2012-11-18,323
P120805,Corythopis_torquatus,2012-07-23,205
P120806,Mionectes_olivaceus,2012-07-23,205
SP110009,Basileuterus_coronatus,2011-09-05,248
P120818,Leptopogon_amaurocephalus,2012-07-30,212
P120883,Platyrinchus_platyrhynchos,2012-08-16,229
SP110017,Basileuterus_coronatus,2011-09-08,251
P120916,Thamnomanes_schistogynus,2012-08-22,235
P120921,Thamnomanes_schistogynus,2012-08-22,235
P120923,Thamnomanes_schistogynus,2012-08-22,235
P120924,Thamnomanes_schistogynus,2012-08-22,235
P120933,Myrmotherula_axillaris,2012-08-22,235
SP110041,Basileuterus_coronatus,2011-09-17,260
SP110143,Basileuterus_coronatus,2011-10-03,276
P121004,Hylophylax_naevius,2012-08-30,243
SP120057,Basileuterus_coronatus,2012-06-25,177
P121019,Hylophilus_ochraceiceps,2012-09-03,247
