species_taxonomy_SACC_2021,deg_numeric,deg_weighted,species.x,species_jetz,TipLabel.x
Cranioleuca_curtata,8,0.608296834,Cranioleuca curtata,Cranioleuca_curtata,Cranioleuca_curtata
Cranioleuca_gutturata,33,3.456337879,Cranioleuca gutturata,Cranioleuca_gutturata,Cranioleuca_gutturata
Cranioleuca_marcapatae,29,3.984113807,Cranioleuca marcapatae,Cranioleuca_marcapatae,Cranioleuca_marcapatae
Creurgops_dentatus,54,6.083096854,Creurgops dentatus,Creurgops_dentatus,Creurgops_dentatus
Cryptopipo_holochlora,7,0.327311956,Xenopipo holochlora,Xenopipo_holochlora,Xenopipo_holochlora
Cyanerpes_caeruleus,67,5.757468603,Cyanerpes caeruleus,Cyanerpes_caeruleus,Cyanerpes_caeruleus
Cyanerpes_cyaneus,43,4.635413081,Cyanerpes cyaneus,Cyanerpes_cyaneus,Cyanerpes_cyaneus
Cyanocorax_yncas,21,2.84147323,Cyanocorax yncas,Cyanocorax_yncas,Cyanocorax_yncas
Cyanoloxia_cyanoides,13,1.138794539,Cyanocompsa cyanoides,Cyanocompsa_cyanoides,Cyanocompsa_cyanoides
Cyanolyca_viridicyanus,24,2.97673329,Cyanolyca viridicyanus,Cyanolyca_viridicyanus,Cyanolyca_viridicyanus
Cymbilaimus_lineatus,44,5.50096809,Cymbilaimus lineatus,Cymbilaimus_lineatus,Cymbilaimus_lineatus
Cymbilaimus_sanctaemariae,17,1.988542251,Cymbilaimus sanctaemariae,Cymbilaimus_sanctaemariae,Cymbilaimus_sanctaemariae
Dacnis_cayana,44,4.64330388,Dacnis cayana,Dacnis_cayana,Dacnis_cayana
Dacnis_lineata,9,0.802483165,Dacnis lineata,Dacnis_lineata,Dacnis_lineata
Deconychura_longicauda,16,4.11350402,Deconychura longicauda,Deconychura_longicauda,Deconychura_longicauda
Dendrocincla_fuliginosa,51,6.147166665,Dendrocincla fuliginosa,Dendrocincla_fuliginosa,Dendrocincla_fuliginosa
Dendrocincla_merula,8,0.748879171,Dendrocincla merula,Dendrocincla_merula,Dendrocincla_merula
Dendrocincla_tyrannina,23,3.155249572,Dendrocincla tyrannina,Dendrocincla_tyrannina,Dendrocincla_tyrannina
Dendrocolaptes_picumnus,35,3.391680673,Dendrocolaptes picumnus,Dendrocolaptes_picumnus,Dendrocolaptes_picumnus
