species_taxonomy_SACC_2021,deg_numeric,deg_weighted,species.x,species_jetz,TipLabel.x
Thlypopsis_ornata,22,4.26628643,Thlypopsis ornata,Thlypopsis_ornata,Thlypopsis_ornata
Thlypopsis_ruficeps,70,6.835413644,Thlypopsis ruficeps,Thlypopsis_ruficeps,Thlypopsis_ruficeps
Thlypopsis_superciliaris,46,6.334775692,Hemispingus superciliaris,Hemispingus_superciliaris,Hemispingus_superciliaris
Thraupis_episcopus,19,2.721588606,Thraupis episcopus,Thraupis_episcopus,Thraupis_episcopus
Thraupis_palmarum,49,6.439842572,Thraupis palmarum,Thraupis_palmarum,Thraupis_palmarum
Thripadectes_melanorhynchus,52,5.994101102,Thripadectes melanorhynchus,Thripadectes_melanorhynchus,Thripadectes_melanorhynchus
Thripophaga_fusciceps,12,2.149547788,Thripophaga fusciceps,Thripophaga_fusciceps,Thripophaga_fusciceps
Tityra_semifasciata,29,4.527784671,Tityra semifasciata,Tityra_semifasciata,Tityra_semifasciata
Todirostrum_chrysocrotaphum,19,5.485963665,Todirostrum chrysocrotaphum,Todirostrum_chrysocrotaphum,Todirostrum_chrysocrotaphum
Tolmomyias_assimilis,46,4.922571014,Tolmomyias assimilis,Tolmomyias_assimilis,Tolmomyias_assimilis
Trichothraupis_melanops,54,5.778017008,Trichothraupis melanops,Trichothraupis_melanops,Trichothraupis_melanops
Troglodytes_solstitialis,27,2.620836364,Troglodytes solstitialis,Troglodytes_solstitialis,Troglodytes_solstitialis
Trogon_collaris,38,5.397651412,Trogon collaris,Trogon_collaris,Trogon_collaris
Trogon_curucui,19,2.038367262,Trogon curucui,Trogon_curucui,Trogon_curucui
Trogon_melanurus,14,1.602829579,Trogon melanurus,Trogon_melanurus,Trogon_melanurus
Trogon_personatus,55,5.366486231,Trogon personatus,Trogon_personatus,Trogon_personatus
Trogon_violaceus,34,3.922804418,Trogon violaceus,Trogon_violaceus,Trogon_violaceus
Trogon_viridis,21,4.04207549,Trogon viridis,Trogon_viridis,Trogon_viridis
Tunchiornis_ochraceiceps,48,4.195097283,Hylophilus ochraceiceps,Hylophilus_ochraceiceps,Hylophilus_ochraceiceps
Turdus_nigriceps,30,3.079221096,Turdus nigriceps,Turdus_nigriceps,Turdus_nigriceps
Vireo_leucophrys,65,6.489413049,Vireo leucophrys,Vireo_leucophrys,Vireo_leucophrys
Vireo_olivaceus,49,4.783544589,Vireo olivaceus,Vireo_olivaceus,Vireo_olivaceus
Xenops_minutus,69,4.871310843,Xenops minutus,Xenops_minutus,Xenops_minutus
Xenops_rutilans,59,6.322354276,Xenops rutilans,Xenops_rutilans,Xenops_rutilans
Xenops_tenuirostris,57,6.784045753,Xenops tenuirostris,Xenops_tenuirostris,Xenops_tenuirostris
Xiphocolaptes_promeropirhynchus,69,6.653290016,Xiphocolaptes promeropirhynchus,Xiphocolaptes_promeropirhynchus,Xiphocolaptes_promeropirhynchus
Xiphorhynchus_elegans,83,7.663382594,Xiphorhynchus elegans,Xiphorhynchus_elegans,Xiphorhynchus_elegans
Xiphorhynchus_guttatus,94,7.215476197,Xiphorhynchus guttatus,Xiphorhynchus_guttatus,Xiphorhynchus_guttatus
Xiphorhynchus_ocellatus,20,1.81329684,Xiphorhynchus ocellatus,Xiphorhynchus_ocellatus,Xiphorhynchus_ocellatus
Xiphorhynchus_triangularis,90,8.061920788,Xiphorhynchus triangularis,Xiphorhynchus_triangularis,Xiphorhynchus_triangularis
Zimmerius_bolivianus,59,7.084974321,Zimmerius bolivianus,Zimmerius_bolivianus,Zimmerius_bolivianus
