,species_jetz,sample,Sample_label,Sample_No,Full_Label,species_clean,species_binomial,family,sociality,elevation_cat,foraging_cat,Powder.lvl,ectoparasites_PA,general_diversity,Lice,Mites,Ticks,total_lice,Female,Male,Nimph,Eggs,total_mites,total_mesostigmatidae,total_no_feathers_mites,species_binomial.x,ectoparasite_code,species.x,species_taxonomy_SACC_2021,elevation_midpoint,elevation_all_years,elevation,Species_parameters,Station,day,month,year,full_date,date_status,date,year_seasonality,mass_ind_tidy,note_mass,mass_tidy_species,mass_ind_comp,species.y,degree,w_degree,degree_species,w_degree_species,elevation.y
11,Anabacerthia_striaticollis,120020,TL12,20,TL120020,Anabacerthia striaticollis,Anabacerthia_striaticollis,Furnariidae,1,montane_manu,midhigh,low,1,1,0,1,0,0,0,0,0,0,2,0,0,Anabacerthia_striaticollis,28_10_2012_san_pedro_Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,1397,1514,1514,Anabacerthia striaticollis,san_pedro,28,10,2012,2012-10-28,NA,2012-10-28,302,26.5,NA,24.58886525,1.91113475,Anabacerthia_striaticollis,68,8.271053919,78,8.768245732,1514
12,Anabacerthia_striaticollis,121151,SP12,1151,SP121151,Anabacerthia striaticollis,Anabacerthia_striaticollis,Furnariidae,1,montane_manu,midhigh,low,1,1,0,1,0,0,0,0,0,0,3,0,0,Anabacerthia_striaticollis,18_10_2012_san_pedro_Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,1397,1339,1339,Anabacerthia striaticollis,san_pedro,18,10,2012,2012-10-18,NA,2012-10-18,292,27.05,NA,24.58886525,2.46113475,Anabacerthia_striaticollis,67,8.122886626,78,8.768245732,1339
13,Ancistrops_strigilatus,120616,P12,616,P120616,Ancistrops strigilatus,Ancistrops_strigilatus,Furnariidae,1,lowland_manu,ground-understory,low,1,1,0,1,0,3,2,1,0,0,8,0,0,Ancistrops_strigilatus,24_6_2012_pantiacolla_Ancistrops strigilatus,Ancistrops strigilatus,Ancistrops_strigilatus,476.5,438,438,Ancistrops strigilatus,pantiacolla,24,6,2012,2012-06-24,NA,2012-06-24,176,34.2,NA,33.46333333,0.73666667,Ancistrops_strigilatus,10,0.844945752,11,1.844945752,438
14,Ancistrops_strigilatus,121028,P12,1028,P121028,Ancistrops strigilatus,Ancistrops_strigilatus,Furnariidae,1,lowland_manu,ground-understory,high,1,1,0,1,0,0,0,0,0,0,4,0,0,Ancistrops_strigilatus,3_9_2012_pantiacolla_Ancistrops strigilatus,Ancistrops strigilatus,Ancistrops_strigilatus,476.5,421,421,Ancistrops strigilatus,pantiacolla,3,9,2012,2012-09-03,NA,2012-09-03,247,36.15,NA,33.46333333,2.68666667,Ancistrops_strigilatus,10,0.844945752,11,1.844945752,421
15,Anisognathus_igniventris,120436,W12,436,W120436,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,high_montane_manu,midhigh,low,1,1,0,1,0,0,0,0,0,0,1,0,0,Anisognathus_igniventris,1_9_2012_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2932,2816,2816,Anisognathus igniventris,wayqecha,1,9,2012,2012-09-01,NA,2012-09-01,245,32.37,NA,34.8345,-2.4645,Anisognathus_igniventris,37,5.270679565,40,5.462899245,2816
16,Anisognathus_igniventris,120703,W12,703,W120703,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,high_montane_manu,midhigh,med,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,15_10_2012_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2932,2742,2742,Anisognathus igniventris,wayqecha,15,10,2012,2012-10-15,NA,2012-10-15,289,33.99,NA,34.8345,-0.8445,Anisognathus_igniventris,36,5.223060518,40,5.462899245,2742
17,Anisognathus_igniventris,130445,W13,445,W130445,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,high_montane_manu,midhigh,med,1,1,0,1,0,0,0,0,0,0,16,0,0,Anisognathus_igniventris,9_10_2013_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2932,3013,3013,Anisognathus igniventris,wayqecha,9,10,2013,2013-10-09,NA,2013-10-09,282,34.54,NA,34.8345,-0.2945,Anisognathus_igniventris,31,4.755477215,40,5.462899245,3013
18,Anisognathus_igniventris,120445,W12,445,W120445,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,high_montane_manu,midhigh,med,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2_9_2012_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2932,2816,2816,Anisognathus igniventris,wayqecha,2,9,2012,2012-09-02,NA,2012-09-02,246,34.69,NA,34.8345,-0.1445,Anisognathus_igniventris,37,5.270679565,40,5.462899245,2816
19,Anisognathus_igniventris,130939,W13,939,W130939,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,high_montane_manu,midhigh,med,1,1,0,1,0,0,0,0,0,0,132,0,0,Anisognathus_igniventris,2_12_2013_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2932,2973,2973,Anisognathus igniventris,wayqecha,2,12,2013,2013-12-02,NA,2013-12-02,336,34.8345,raw data have NA so I used the average for the species ,34.8345,0,Anisognathus_igniventris,35,5.199170478,40,5.462899245,2973
20,Anisognathus_igniventris,120875,W12,875,W120875,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,high_montane_manu,midhigh,med,1,1,0,1,0,0,0,0,0,0,1,0,1,Anisognathus_igniventris,25_10_2012_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2932,2973,2973,Anisognathus igniventris,wayqecha,25,10,2012,2012-10-25,NA,2012-10-25,299,35.23,NA,34.8345,0.3955,Anisognathus_igniventris,35,5.199170478,40,5.462899245,2973
21,Anisognathus_igniventris,130270,W13,270,W130270,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,high_montane_manu,midhigh,low,1,2,1,0,1,1,1,0,0,0,0,0,0,NA,15_9_2013_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2932,2743,2743,Anisognathus igniventris,wayqecha,15,9,2013,2013-09-15,NA,2013-09-15,258,39.07,NA,34.8345,4.2355,Anisognathus_igniventris,37,5.270679565,40,5.462899245,2743
22,Anisognathus_igniventris,120702,W12,702,W120702,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,high_montane_manu,midhigh,med,1,1,0,1,0,0,0,0,0,0,3,0,0,Anisognathus_igniventris,15_10_2012_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2932,2742,2742,Anisognathus igniventris,wayqecha,15,10,2012,2012-10-15,NA,2012-10-15,289,39.37,NA,34.8345,4.5355,Anisognathus_igniventris,36,5.223060518,40,5.462899245,2742
23,Arremon_taciturnus,121354,P12,1354,P121354,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,low,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,20_10_2012_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,415,415,Arremon taciturnus,pantiacolla,20,10,2012,2012-10-20,NA,2012-10-20,294,25.91,NA,27.7755,-1.8655,Arremon_taciturnus,18,1.583508787,20,2.583508787,415
24,Arremon_taciturnus,110323,P11,323,P110323,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,low,1,2,1,1,0,1,0,1,0,0,17,0,1,Arremon_taciturnus,26_10_2011_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,410,410,Arremon taciturnus,pantiacolla,26,10,2011,2011-10-26,NA,2011-10-26,299,26.09,NA,27.7755,-1.6855,Arremon_taciturnus,18,1.583508787,20,2.583508787,410
25,Arremon_taciturnus,121756,P12,1756,P121756,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,low,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3_12_2012_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,414,414,Arremon taciturnus,pantiacolla,3,12,2012,2012-12-03,NA,2012-12-03,338,26.62,NA,27.7755,-1.1555,Arremon_taciturnus,18,1.583508787,20,2.583508787,414
26,Arremon_taciturnus,130351,P13,351,P130351,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,med,1,2,1,1,0,11,3,3,5,0,6,0,0,Arremon_taciturnus,17_9_2013_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,415,415,Arremon taciturnus,pantiacolla,17,9,2013,2013-09-17,NA,2013-09-17,260,27,NA,27.7755,-0.7755,Arremon_taciturnus,18,1.583508787,20,2.583508787,415
27,Arremon_taciturnus,120920,P12,920,P120920,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,low,1,1,0,1,0,0,0,0,0,0,6,0,0,Arremon_taciturnus,22_8_2012_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,438,438,Arremon taciturnus,pantiacolla,22,8,2012,2012-08-22,NA,2012-08-22,235,27.4,NA,27.7755,-0.3755,Arremon_taciturnus,19,2.083508787,20,2.583508787,438
28,Arremon_taciturnus,116041,P11,6041,P116041,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,low,1,2,1,1,0,2,1,1,0,0,7,0,0,Arremon_taciturnus,14_8_2011_pantiacolla_Arremon taciturnus,NA,Arremon_taciturnus,429,415,415,Arremon taciturnus,pantiacolla,14,8,2011,2011-08-14,NA,2011-08-14,226,28.08,NA,27.7755,0.3045,Arremon_taciturnus,18,1.583508787,20,2.583508787,415
29,Arremon_taciturnus,130269,P13,269,P130269,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,med,1,2,1,1,0,3,1,0,2,0,3,0,0,Arremon_taciturnus,10_9_2013_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,410,410,Arremon taciturnus,pantiacolla,10,9,2013,2013-09-10,NA,2013-09-10,253,28.17,NA,27.7755,0.3945,Arremon_taciturnus,18,1.583508787,20,2.583508787,410
30,Arremon_taciturnus,116115,P11,6115,P116115,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,med,1,2,1,1,0,2,1,1,0,0,92,0,0,Arremon_taciturnus,16_8_2011_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,415,415,Arremon taciturnus,pantiacolla,16,8,2011,2011-08-16,NA,2011-08-16,228,28.24,NA,27.7755,0.4645,Arremon_taciturnus,18,1.583508787,20,2.583508787,415
31,Arremon_taciturnus,110346,P11,346,P110346,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,med,1,2,1,1,0,3,0,2,1,0,16,0,1,Arremon_taciturnus,29_10_2011_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,432,432,Arremon taciturnus,pantiacolla,29,10,2011,2011-10-29,NA,2011-10-29,302,28.32,NA,27.7755,0.5445,Arremon_taciturnus,19,2.083508787,20,2.583508787,432
32,Arremon_taciturnus,110359,P11,359,P110359,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,low,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1_11_2011_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,414,414,Arremon taciturnus,pantiacolla,1,11,2011,2011-11-01,NA,2011-11-01,305,29.47,NA,27.7755,1.6945,Arremon_taciturnus,18,1.583508787,20,2.583508787,414
33,Arremon_taciturnus,120615,P12,615,P120615,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,low,1,1,0,1,0,0,0,0,0,0,1,0,0,Arremon_taciturnus,24_6_2012_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,438,438,Arremon taciturnus,pantiacolla,24,6,2012,2012-06-24,NA,2012-06-24,176,29.8,NA,27.7755,2.0245,Arremon_taciturnus,19,2.083508787,20,2.583508787,438
34,Arremon_taciturnus,121042,P12,1042,P121042,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,low,1,1,0,1,0,0,0,0,0,0,6,0,0,Arremon_taciturnus,4_9_2012_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,421,421,Arremon taciturnus,pantiacolla,4,9,2012,2012-09-04,NA,2012-09-04,248,30.25,NA,27.7755,2.4745,Arremon_taciturnus,18,1.583508787,20,2.583508787,421
