,sample,Sample_label,Sample_No,Full_Label,species_jetz,species_clean,species_binomial,family,sociality,mass_tidy,elevation_cat,foraging_cat,Powder.lvl,elevation_midpoint,ectoparasites_PA,general_diversity,Lice,Mites,Ticks,total_lice,Female,Male,Nimph,Eggs,total_mites,total_mesostigmatidae,total_no_feathers_mites,species_binomial.x,x,ectoparasite_code,species,species_taxonomy_SACC_2021,elevation_all_years,net_elevation,elevation,elevation_midpoint.1,Species_parameters,Station,X,day,month,year,full_date,date_status,date,year_seasonality,mass_individual_day,mass_ind_count,
341,120523,W12,523,W120523,Anisognathus_igniventris,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,34.8345,high_montane_manu,midhigh,low,2932,1,1,0,1,0,0,0,0,0,0,23,0,0,Anisognathus_igniventris,2784,12_9_2012_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,NA,NA,NA,2932,Anisognathus igniventris,wayqecha,NA,12,9,2012,2012-09-12,NA,2012-09-12,256,34.91,2,
346,120702,W12,702,W120702,Anisognathus_igniventris,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,34.8345,high_montane_manu,midhigh,med,2932,1,1,0,1,0,0,0,0,0,0,3,0,0,Anisognathus_igniventris,2659,15_10_2012_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2742,NA,2742,2932,Anisognathus igniventris,wayqecha,NA,15,10,2012,2012-10-15,NA,2012-10-15,289,36.68,2,
347,120703,W12,703,W120703,Anisognathus_igniventris,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,34.8345,high_montane_manu,midhigh,med,2932,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2660,15_10_2012_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2742,NA,2742,2932,Anisognathus igniventris,wayqecha,NA,15,10,2012,2012-10-15,NA,2012-10-15,289,36.68,2,
360,120875,W12,875,W120875,Anisognathus_igniventris,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,34.8345,high_montane_manu,midhigh,med,2932,1,1,0,1,0,0,0,0,0,0,1,0,1,Anisognathus_igniventris,2357,25_10_2012_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2973,NA,2973,2932,Anisognathus igniventris,wayqecha,NA,25,10,2012,2012-10-25,NA,2012-10-25,299,35.23,1,
423,130270,W13,270,W130270,Anisognathus_igniventris,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,34.8345,high_montane_manu,midhigh,low,2932,1,2,1,0,1,1,1,0,0,0,0,0,0,NA,4060,15_9_2013_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2743,NA,2743,2932,Anisognathus igniventris,wayqecha,NA,15,9,2013,2013-09-15,NA,2013-09-15,258,39.07,1,
439,130445,W13,445,W130445,Anisognathus_igniventris,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,34.8345,high_montane_manu,midhigh,med,2932,1,1,0,1,0,0,0,0,0,0,16,0,0,Anisognathus_igniventris,4040,9_10_2013_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,3013,NA,3013,2932,Anisognathus igniventris,wayqecha,NA,9,10,2013,2013-10-09,NA,2013-10-09,282,34.54,1,
461,130939,W13,939,W130939,Anisognathus_igniventris,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,34.8345,high_montane_manu,midhigh,med,2932,1,1,0,1,0,0,0,0,0,0,132,0,0,Anisognathus_igniventris,3683,2_12_2013_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2973,NA,2973,2932,Anisognathus igniventris,wayqecha,NA,2,12,2013,2013-12-02,NA,2013-12-02,336,NA,NA,
857,120053,TL12,53,TL120053,Anisognathus_somptuosus,Anisognathus somptuosus,Anisognathus_somptuosus,Thraupidae,1,38.233,montane_manu,midhigh,low,1950,1,1,1,0,0,6,2,2,2,0,0,0,0,NA,1765,29_10_2012_san_pedro_Anisognathus somptuosus,Anisognathus somptuosus,Anisognathus_somptuosus,1514,NA,1514,1950,Anisognathus somptuosus,san_pedro,NA,29,10,2012,2012-10-29,NA,2012-10-29,303,34.235,2,
858,120055,TL12,55,TL120055,Anisognathus_somptuosus,Anisognathus somptuosus,Anisognathus_somptuosus,Thraupidae,1,38.233,montane_manu,midhigh,low,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1766,29_10_2012_san_pedro_Anisognathus somptuosus,Anisognathus somptuosus,Anisognathus_somptuosus,1514,NA,1514,1950,Anisognathus somptuosus,san_pedro,NA,29,10,2012,2012-10-29,NA,2012-10-29,303,NA,NA,
559,110323,P11,323,P110323,Arremon_taciturnus,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,27.7755,lowland_manu,ground-understory,low,429,1,2,1,1,0,1,0,1,0,0,17,0,1,Arremon_taciturnus,616,26_10_2011_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,410,NA,410,429,Arremon taciturnus,pantiacolla,NA,26,10,2011,2011-10-26,NA,2011-10-26,299,26.09,1,
569,110346,P11,346,P110346,Arremon_taciturnus,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,27.7755,lowland_manu,ground-understory,med,429,1,2,1,1,0,3,0,2,1,0,16,0,1,Arremon_taciturnus,632,29_10_2011_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,432,NA,432,429,Arremon taciturnus,pantiacolla,NA,29,10,2011,2011-10-29,NA,2011-10-29,302,28.32,1,
573,110359,P11,359,P110359,Arremon_taciturnus,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,27.7755,lowland_manu,ground-understory,low,429,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,643,1_11_2011_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,414,NA,414,429,Arremon taciturnus,pantiacolla,NA,1,11,2011,2011-11-01,NA,2011-11-01,305,28.57333333,3,
27,116041,P11,6041,P116041,Arremon_taciturnus,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,27.7755,lowland_manu,ground-understory,low,429,1,2,1,1,0,2,1,1,0,0,7,0,0,Arremon_taciturnus,4200,14_8_2011_pantiacolla_Arremon taciturnus,NA,Arremon_taciturnus,NA,NA,NA,429,Arremon taciturnus,pantiacolla,NA,14,8,2011,2011-08-14,check date,2011-08-14,226,26.735,2,
658,116115,P11,6115,P116115,Arremon_taciturnus,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,27.7755,lowland_manu,ground-understory,med,429,1,2,1,1,0,2,1,1,0,0,92,0,0,Arremon_taciturnus,142,16_8_2011_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,415,NA,415,429,Arremon taciturnus,pantiacolla,NA,16,8,2011,2011-08-16,NA,2011-08-16,228,28.24,1,
677,120615,P12,615,P120615,Arremon_taciturnus,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,27.7755,lowland_manu,ground-understory,low,429,1,1,0,1,0,0,0,0,0,0,1,0,0,Arremon_taciturnus,1054,24_6_2012_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,438,NA,438,429,Arremon taciturnus,pantiacolla,NA,24,6,2012,2012-06-24,NA,2012-06-24,176,29.8,1,
28,120779,P12,779,P120779,Arremon_taciturnus,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,27.7755,lowland_manu,ground-understory,low,429,1,1,0,1,0,0,0,0,0,0,3,0,0,Arremon_taciturnus,4404,13_7_2012_pantiacolla_Arremon taciturnus,NA,Arremon_taciturnus,NA,NA,NA,429,Arremon taciturnus,pantiacolla,NA,13,7,2012,2012-07-13,NA,2012-07-13,195,NA,NA,
696,120790,P12,790,P120790,Arremon_taciturnus,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,27.7755,lowland_manu,ground-understory,none,429,1,1,0,1,0,0,0,0,0,0,1,0,1,Arremon_taciturnus,1137,17_7_2012_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,NA,NA,NA,429,Arremon taciturnus,pantiacolla,NA,17,7,2012,2012-07-17,NA,2012-07-17,199,NA,NA,
703,120920,P12,920,P120920,Arremon_taciturnus,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,27.7755,lowland_manu,ground-understory,low,429,1,1,0,1,0,0,0,0,0,0,6,0,0,Arremon_taciturnus,1177,22_8_2012_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,438,NA,438,429,Arremon taciturnus,pantiacolla,NA,22,8,2012,2012-08-22,NA,2012-08-22,235,25.95,2,
706,121042,P12,1042,P121042,Arremon_taciturnus,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,27.7755,lowland_manu,ground-understory,low,429,1,1,0,1,0,0,0,0,0,0,6,0,0,Arremon_taciturnus,1231,4_9_2012_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,421,NA,421,429,Arremon taciturnus,pantiacolla,NA,4,9,2012,2012-09-04,NA,2012-09-04,248,30.45,3,
709,121354,P12,1354,P121354,Arremon_taciturnus,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,27.7755,lowland_manu,ground-understory,low,429,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1353,20_10_2012_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,415,NA,415,429,Arremon taciturnus,pantiacolla,NA,20,10,2012,2012-10-20,NA,2012-10-20,294,25.91,1,
711,121417,P12,1417,P121417,Arremon_taciturnus,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,27.7755,lowland_manu,ground-understory,low,429,1,2,1,1,0,3,2,0,1,0,7,0,0,Arremon_taciturnus,1384,26_10_2012_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,385,NA,385,429,Arremon taciturnus,pantiacolla,NA,26,10,2012,2012-10-26,NA,2012-10-26,300,27.78,4,
713,121430,P12,1430,P121430,Arremon_taciturnus,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,27.7755,lowland_manu,ground-understory,low,429,1,1,0,1,0,0,0,0,0,0,1,0,0,Arremon_taciturnus,1385,26_10_2012_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,385,NA,385,429,Arremon taciturnus,pantiacolla,NA,26,10,2012,2012-10-26,NA,2012-10-26,300,27.78,4,
720,121756,P12,1756,P121756,Arremon_taciturnus,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,27.7755,lowland_manu,ground-understory,low,429,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1575,3_12_2012_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,414,NA,414,429,Arremon taciturnus,pantiacolla,NA,3,12,2012,2012-12-03,NA,2012-12-03,338,26.62,1,
729,130131,P13,131,P130131,Arremon_taciturnus,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,27.7755,lowland_manu,ground-understory,low,429,1,2,1,1,0,2,1,1,0,0,1,0,0,Arremon_taciturnus,2942,3_9_2013_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,385,NA,385,429,Arremon taciturnus,pantiacolla,NA,3,9,2013,2013-09-03,NA,2013-09-03,246,30.11,1,
726,130269,P13,269,P130269,Arremon_taciturnus,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,27.7755,lowland_manu,ground-understory,med,429,1,2,1,1,0,3,1,0,2,0,3,0,0,Arremon_taciturnus,3018,10_9_2013_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,410,NA,410,429,Arremon taciturnus,pantiacolla,NA,10,9,2013,2013-09-10,NA,2013-09-10,253,28.17,1,
738,130351,P13,351,P130351,Arremon_taciturnus,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,27.7755,lowland_manu,ground-understory,med,429,1,2,1,1,0,11,3,3,5,0,6,0,0,Arremon_taciturnus,3041,17_9_2013_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,415,NA,415,429,Arremon taciturnus,pantiacolla,NA,17,9,2013,2013-09-17,NA,2013-09-17,260,11.645,2,
35,120305,W12,305,W120305,Arremon_torquatus,Arremon torquatus,Arremon_torquatus,Emberizidae,1,42.28636364,high_montane_manu,undersory-midhigh,high,2742,1,2,1,1,0,4,1,1,2,0,5,0,0,Arremon_torquatus,4854,NA_8_2012_wayqecha_Arremon torquatus,NA,Arremon_torquatus,NA,NA,NA,2742,Arremon torquatus,wayqecha,NA,16,8,2012,2012-08-16,check date,2012-08-16,229,NA,NA,
343,120645,W12,645,W120645,Arremon_torquatus,Arremon torquatus,Arremon_torquatus,Emberizidae,1,42.28636364,high_montane_manu,undersory-midhigh,low,2742,1,1,0,1,0,0,0,0,0,0,2,0,0,Arremon_torquatus,2723,9_10_2012_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,3013,NA,3013,2742,Arremon torquatus,wayqecha,NA,9,10,2012,2012-10-09,NA,2012-10-09,283,39.06,1,
370,121047,W12,1047,W121047,Arremon_torquatus,Arremon torquatus,Arremon_torquatus,Emberizidae,1,42.28636364,high_montane_manu,undersory-midhigh,low,2742,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2481,21_11_2012_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,2650,NA,2650,2742,Arremon torquatus,wayqecha,NA,21,11,2012,2012-11-21,NA,2012-11-21,326,44.075,2,
369,121048,W12,1048,W121048,Arremon_torquatus,Arremon torquatus,Arremon_torquatus,Emberizidae,1,42.28636364,high_montane_manu,undersory-midhigh,high,2742,1,2,1,1,0,39,15,10,14,0,81,0,0,Arremon_torquatus,2482,21_11_2012_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,2650,NA,2650,2742,Arremon torquatus,wayqecha,NA,21,11,2012,2012-11-21,NA,2012-11-21,326,44.075,2,
412,130118,W13,118,W130118,Arremon_torquatus,Arremon torquatus,Arremon_torquatus,Emberizidae,1,42.28636364,high_montane_manu,undersory-midhigh,low,2742,1,1,1,0,0,1,0,1,0,0,0,0,0,NA,3748,29_8_2013_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,2650,NA,2650,2742,Arremon torquatus,wayqecha,NA,29,8,2013,2013-08-29,NA,2013-08-29,241,NA,NA,
417,130297,W13,297,W130297,Arremon_torquatus,Arremon torquatus,Arremon_torquatus,Emberizidae,1,42.28636364,high_montane_manu,undersory-midhigh,low,2742,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4085,18_9_2013_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,2788,NA,2788,2742,Arremon torquatus,wayqecha,NA,18,9,2013,2013-09-18,NA,2013-09-18,261,44.595,2,
426,130298,W13,298,W130298,Arremon_torquatus,Arremon torquatus,Arremon_torquatus,Emberizidae,1,42.28636364,high_montane_manu,undersory-midhigh,med,2742,1,2,1,1,0,1,0,0,1,0,6,0,0,Arremon_torquatus,4086,18_9_2013_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,2788,NA,2788,2742,Arremon torquatus,wayqecha,NA,18,9,2013,2013-09-18,NA,2013-09-18,261,44.595,2,
428,130349,W13,349,W130349,Arremon_torquatus,Arremon torquatus,Arremon_torquatus,Emberizidae,1,42.28636364,high_montane_manu,undersory-midhigh,low,2742,1,2,1,1,0,1,0,1,0,0,14,0,0,Arremon_torquatus,3919,25_9_2013_wayqecha_Atlapetes melanolaemus,Atlapetes melanolaemus,Atlapetes_melanolaemus,2681,NA,2681,2742,Atlapetes melanolaemus,wayqecha,NA,25,9,2013,2013-09-25,NA,2013-09-25,268,28.145,2,
49,130377,W13,377,W130377,Arremon_torquatus,Arremon torquatus,Arremon_torquatus,Emberizidae,1,42.28636364,high_montane_manu,undersory-midhigh,med,2742,1,2,1,1,0,5,2,2,1,0,85,0,0,Arremon_torquatus,5259,NA_9_2013_wayqecha_Arremon torquatus,NA,Arremon_torquatus,NA,NA,NA,2742,Arremon torquatus,wayqecha,NA,26,9,2013,2013-09-26,check date,2013-09-26,269,NA,NA,
56,130378,W13,378,W130378,Arremon_torquatus,Arremon torquatus,Arremon_torquatus,Emberizidae,1,42.28636364,high_montane_manu,undersory-midhigh,med,2742,1,2,1,1,0,6,2,4,0,0,32,0,0,Arremon_torquatus,5260,NA_9_2013_wayqecha_Arremon torquatus,NA,Arremon_torquatus,NA,NA,NA,2742,Arremon torquatus,wayqecha,NA,30,9,2013,2013-09-30,check date,2013-09-30,273,NA,NA,
443,130560,W13,560,W130560,Arremon_torquatus,Arremon torquatus,Arremon_torquatus,Emberizidae,1,42.28636364,high_montane_manu,undersory-midhigh,low,2742,1,2,1,1,0,3,1,1,1,0,2,0,0,Arremon_torquatus,3771,31_10_2013_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,2650,NA,2650,2742,Arremon torquatus,wayqecha,NA,31,10,2013,2013-10-31,NA,2013-10-31,304,42.19,2,
