,species_jetz,sample,Sample_label,Sample_No,Full_Label,species_clean,species_binomial,family,sociality,elevation_cat,foraging_cat,Powder.lvl,ectoparasites_PA,general_diversity,Lice,Mites,Ticks,total_lice,Female,Male,Nimph,Eggs,total_mites,total_mesostigmatidae,total_no_feathers_mites,species_binomial.x,ectoparasite_code,species,species_taxonomy_SACC_2021,elevation_midpoint,elevation_all_years,elevation,Species_parameters,Station,day,month,year,full_date,date_status,date,year_seasonality,mass_ind_tidy,note_mass,mass_tidy_species,mass_ind_comp,degree_species,w_degree_species
11,Anabacerthia_striaticollis,120020,TL12,20,TL120020,Anabacerthia striaticollis,Anabacerthia_striaticollis,Furnariidae,1,montane_manu,midhigh,low,1,1,0,1,0,0,0,0,0,0,2,0,0,Anabacerthia_striaticollis,28_10_2012_san_pedro_Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,1397,1514,1514,Anabacerthia striaticollis,san_pedro,28,10,2012,2012-10-28,NA,2012-10-28,302,26.5,NA,24.58886525,1.91113475,78,8.768245732
12,Anabacerthia_striaticollis,121151,SP12,1151,SP121151,Anabacerthia striaticollis,Anabacerthia_striaticollis,Furnariidae,1,montane_manu,midhigh,low,1,1,0,1,0,0,0,0,0,0,3,0,0,Anabacerthia_striaticollis,18_10_2012_san_pedro_Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,1397,1339,1339,Anabacerthia striaticollis,san_pedro,18,10,2012,2012-10-18,NA,2012-10-18,292,27.05,NA,24.58886525,2.46113475,78,8.768245732
13,Anabazenops_dorsalis,115999,P11,5999,P115999,Anabazenops dorsalis,Anabazenops_dorsalis,Furnariidae,1,lowland_manu,midhigh,low,1,2,1,1,0,1,1,0,0,0,2,0,0,Anabazenops_dorsalis,11_8_2011_pantiacolla_Anabazenops dorsalis,Anabazenops dorsalis,Anabazenops_dorsalis,827.5,397,397,Anabazenops dorsalis,pantiacolla,11,8,2011,2011-08-11,NA,2011-08-11,223,39.88,NA,34.91,4.97,51,4.477773579
14,Ancistrops_strigilatus,120616,P12,616,P120616,Ancistrops strigilatus,Ancistrops_strigilatus,Furnariidae,1,lowland_manu,ground-understory,low,1,1,0,1,0,3,2,1,0,0,8,0,0,Ancistrops_strigilatus,24_6_2012_pantiacolla_Ancistrops strigilatus,Ancistrops strigilatus,Ancistrops_strigilatus,476.5,438,438,Ancistrops strigilatus,pantiacolla,24,6,2012,2012-06-24,NA,2012-06-24,176,34.2,NA,33.46333333,0.73666667,11,1.844945752
15,Ancistrops_strigilatus,121028,P12,1028,P121028,Ancistrops strigilatus,Ancistrops_strigilatus,Furnariidae,1,lowland_manu,ground-understory,high,1,1,0,1,0,0,0,0,0,0,4,0,0,Ancistrops_strigilatus,3_9_2012_pantiacolla_Ancistrops strigilatus,Ancistrops strigilatus,Ancistrops_strigilatus,476.5,421,421,Ancistrops strigilatus,pantiacolla,3,9,2012,2012-09-03,NA,2012-09-03,247,36.15,NA,33.46333333,2.68666667,11,1.844945752
16,Anisognathus_igniventris,120249,W12,249,W120249,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,high_montane_manu,midhigh,low,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,24_7_2012_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2932,NA,NA,Anisognathus igniventris,wayqecha,24,7,2012,2012-07-24,NA,2012-07-24,206,30.05,NA,34.8345,-4.7845,40,5.462899245
17,Anisognathus_igniventris,120436,W12,436,W120436,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,high_montane_manu,midhigh,low,1,1,0,1,0,0,0,0,0,0,1,0,0,Anisognathus_igniventris,1_9_2012_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2932,2816,2816,Anisognathus igniventris,wayqecha,1,9,2012,2012-09-01,NA,2012-09-01,245,32.37,NA,34.8345,-2.4645,40,5.462899245
18,Anisognathus_igniventris,120330,W12,330,W120330,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,high_montane_manu,midhigh,med,1,1,1,0,0,2,0,0,2,0,0,0,0,NA,22_8_2012_wayqecha_Anisognathus igniventris,NA,Anisognathus_igniventris,2932,NA,NA,Anisognathus igniventris,wayqecha,22,8,2012,2012-08-22,NA,2012-08-22,235,33.67,NA,34.8345,-1.1645,40,5.462899245
19,Anisognathus_igniventris,120318,W12,318,W120318,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,high_montane_manu,midhigh,low,1,1,0,1,0,0,0,0,0,0,9,0,0,Anisognathus_igniventris,21_8_2012_wayqecha_Anisognathus igniventris,NA,Anisognathus_igniventris,2932,NA,NA,Anisognathus igniventris,wayqecha,21,8,2012,2012-08-21,NA,2012-08-21,234,33.89,NA,34.8345,-0.9445,40,5.462899245
20,Anisognathus_igniventris,120703,W12,703,W120703,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,high_montane_manu,midhigh,med,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,15_10_2012_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2932,2742,2742,Anisognathus igniventris,wayqecha,15,10,2012,2012-10-15,NA,2012-10-15,289,33.99,NA,34.8345,-0.8445,40,5.462899245
21,Anisognathus_igniventris,130445,W13,445,W130445,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,high_montane_manu,midhigh,med,1,1,0,1,0,0,0,0,0,0,16,0,0,Anisognathus_igniventris,9_10_2013_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2932,3013,3013,Anisognathus igniventris,wayqecha,9,10,2013,2013-10-09,NA,2013-10-09,282,34.54,NA,34.8345,-0.2945,40,5.462899245
22,Anisognathus_igniventris,120445,W12,445,W120445,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,high_montane_manu,midhigh,med,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2_9_2012_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2932,2816,2816,Anisognathus igniventris,wayqecha,2,9,2012,2012-09-02,NA,2012-09-02,246,34.69,NA,34.8345,-0.1445,40,5.462899245
23,Anisognathus_igniventris,130939,W13,939,W130939,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,high_montane_manu,midhigh,med,1,1,0,1,0,0,0,0,0,0,132,0,0,Anisognathus_igniventris,2_12_2013_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2932,2973,2973,Anisognathus igniventris,wayqecha,2,12,2013,2013-12-02,NA,2013-12-02,336,34.8345,raw data have NA so I used the average for the species ,34.8345,0,40,5.462899245
24,Anisognathus_igniventris,120523,W12,523,W120523,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,high_montane_manu,midhigh,low,1,1,0,1,0,0,0,0,0,0,23,0,0,Anisognathus_igniventris,12_9_2012_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2932,NA,NA,Anisognathus igniventris,wayqecha,12,9,2012,2012-09-12,NA,2012-09-12,256,34.87,NA,34.8345,0.0355,40,5.462899245
25,Anisognathus_igniventris,120284,W12,284,W120284,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,high_montane_manu,midhigh,low,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,13_8_2012_wayqecha_Anisognathus igniventris,NA,Anisognathus_igniventris,2932,NA,NA,Anisognathus igniventris,wayqecha,13,8,2012,2012-08-13,NA,2012-08-13,226,35,NA,34.8345,0.1655,40,5.462899245
26,Anisognathus_igniventris,120875,W12,875,W120875,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,high_montane_manu,midhigh,med,1,1,0,1,0,0,0,0,0,0,1,0,1,Anisognathus_igniventris,25_10_2012_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2932,2973,2973,Anisognathus igniventris,wayqecha,25,10,2012,2012-10-25,NA,2012-10-25,299,35.23,NA,34.8345,0.3955,40,5.462899245
27,Anisognathus_igniventris,120319,W12,319,W120319,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,high_montane_manu,midhigh,low,1,1,0,1,0,0,0,0,0,0,1,0,0,Anisognathus_igniventris,21_8_2012_wayqecha_Anisognathus igniventris,NA,Anisognathus_igniventris,2932,NA,NA,Anisognathus igniventris,wayqecha,21,8,2012,2012-08-21,NA,2012-08-21,234,35.93,NA,34.8345,1.0955,40,5.462899245
28,Anisognathus_igniventris,130270,W13,270,W130270,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,high_montane_manu,midhigh,low,1,2,1,0,1,1,1,0,0,0,0,0,0,NA,15_9_2013_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2932,2743,2743,Anisognathus igniventris,wayqecha,15,9,2013,2013-09-15,NA,2013-09-15,258,39.07,NA,34.8345,4.2355,40,5.462899245
29,Anisognathus_igniventris,120702,W12,702,W120702,Anisognathus igniventris,Anisognathus_igniventris,Thraupidae,1,high_montane_manu,midhigh,med,1,1,0,1,0,0,0,0,0,0,3,0,0,Anisognathus_igniventris,15_10_2012_wayqecha_Anisognathus igniventris,Anisognathus igniventris,Anisognathus_igniventris,2932,2742,2742,Anisognathus igniventris,wayqecha,15,10,2012,2012-10-15,NA,2012-10-15,289,39.37,NA,34.8345,4.5355,40,5.462899245
30,Anisognathus_somptuosus,120053,TL12,53,TL120053,Anisognathus somptuosus,Anisognathus_somptuosus,Thraupidae,1,montane_manu,midhigh,low,1,1,1,0,0,6,2,2,2,0,0,0,0,NA,29_10_2012_san_pedro_Anisognathus somptuosus,Anisognathus somptuosus,Anisognathus_somptuosus,1950,1514,1514,Anisognathus somptuosus,san_pedro,29,10,2012,2012-10-29,NA,2012-10-29,303,33.04,NA,38.233,-5.193,17,3.156796682
31,Anisognathus_somptuosus,120055,TL12,55,TL120055,Anisognathus somptuosus,Anisognathus_somptuosus,Thraupidae,1,montane_manu,midhigh,low,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,29_10_2012_san_pedro_Anisognathus somptuosus,Anisognathus somptuosus,Anisognathus_somptuosus,1950,1514,1514,Anisognathus somptuosus,san_pedro,29,10,2012,2012-10-29,NA,2012-10-29,303,36.43,NA,38.233,-1.803,17,3.156796682
32,Arremon_taciturnus,121354,P12,1354,P121354,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,low,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,20_10_2012_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,415,415,Arremon taciturnus,pantiacolla,20,10,2012,2012-10-20,NA,2012-10-20,294,25.91,NA,27.7755,-1.8655,20,2.583508787
33,Arremon_taciturnus,110323,P11,323,P110323,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,low,1,2,1,1,0,1,0,1,0,0,17,0,1,Arremon_taciturnus,26_10_2011_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,410,410,Arremon taciturnus,pantiacolla,26,10,2011,2011-10-26,NA,2011-10-26,299,26.09,NA,27.7755,-1.6855,20,2.583508787
34,Arremon_taciturnus,120790,P12,790,P120790,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,none,1,1,0,1,0,0,0,0,0,0,1,0,1,Arremon_taciturnus,17_7_2012_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,NA,NA,Arremon taciturnus,pantiacolla,17,7,2012,2012-07-17,NA,2012-07-17,199,26.24,NA,27.7755,-1.5355,20,2.583508787
35,Arremon_taciturnus,121756,P12,1756,P121756,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,low,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3_12_2012_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,414,414,Arremon taciturnus,pantiacolla,3,12,2012,2012-12-03,NA,2012-12-03,338,26.62,NA,27.7755,-1.1555,20,2.583508787
36,Arremon_taciturnus,121430,P12,1430,P121430,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,low,1,1,0,1,0,0,0,0,0,0,1,0,0,Arremon_taciturnus,26_10_2012_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,385,385,Arremon taciturnus,pantiacolla,26,10,2012,2012-10-26,NA,2012-10-26,300,26.89,NA,27.7755,-0.8855,20,2.583508787
37,Arremon_taciturnus,130351,P13,351,P130351,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,med,1,2,1,1,0,11,3,3,5,0,6,0,0,Arremon_taciturnus,17_9_2013_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,415,415,Arremon taciturnus,pantiacolla,17,9,2013,2013-09-17,NA,2013-09-17,260,27,NA,27.7755,-0.7755,20,2.583508787
38,Arremon_taciturnus,120920,P12,920,P120920,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,low,1,1,0,1,0,0,0,0,0,0,6,0,0,Arremon_taciturnus,22_8_2012_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,438,438,Arremon taciturnus,pantiacolla,22,8,2012,2012-08-22,NA,2012-08-22,235,27.4,NA,27.7755,-0.3755,20,2.583508787
39,Arremon_taciturnus,116041,P11,6041,P116041,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,low,1,2,1,1,0,2,1,1,0,0,7,0,0,Arremon_taciturnus,14_8_2011_pantiacolla_Arremon taciturnus,NA,Arremon_taciturnus,429,415,415,Arremon taciturnus,pantiacolla,14,8,2011,2011-08-14,NA,2011-08-14,226,28.08,NA,27.7755,0.3045,20,2.583508787
40,Arremon_taciturnus,130269,P13,269,P130269,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,med,1,2,1,1,0,3,1,0,2,0,3,0,0,Arremon_taciturnus,10_9_2013_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,410,410,Arremon taciturnus,pantiacolla,10,9,2013,2013-09-10,NA,2013-09-10,253,28.17,NA,27.7755,0.3945,20,2.583508787
41,Arremon_taciturnus,116115,P11,6115,P116115,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,med,1,2,1,1,0,2,1,1,0,0,92,0,0,Arremon_taciturnus,16_8_2011_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,415,415,Arremon taciturnus,pantiacolla,16,8,2011,2011-08-16,NA,2011-08-16,228,28.24,NA,27.7755,0.4645,20,2.583508787
42,Arremon_taciturnus,121417,P12,1417,P121417,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,low,1,2,1,1,0,3,2,0,1,0,7,0,0,Arremon_taciturnus,26_10_2012_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,385,385,Arremon taciturnus,pantiacolla,26,10,2012,2012-10-26,NA,2012-10-26,300,28.3,NA,27.7755,0.5245,20,2.583508787
43,Arremon_taciturnus,110346,P11,346,P110346,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,med,1,2,1,1,0,3,0,2,1,0,16,0,1,Arremon_taciturnus,29_10_2011_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,432,432,Arremon taciturnus,pantiacolla,29,10,2011,2011-10-29,NA,2011-10-29,302,28.32,NA,27.7755,0.5445,20,2.583508787
44,Arremon_taciturnus,120779,P12,779,P120779,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,low,1,1,0,1,0,0,0,0,0,0,3,0,0,Arremon_taciturnus,13_7_2012_pantiacolla_Arremon taciturnus,NA,Arremon_taciturnus,429,NA,NA,Arremon taciturnus,pantiacolla,13,7,2012,2012-07-13,NA,2012-07-13,195,28.9,NA,27.7755,1.1245,20,2.583508787
45,Arremon_taciturnus,110359,P11,359,P110359,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,low,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1_11_2011_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,414,414,Arremon taciturnus,pantiacolla,1,11,2011,2011-11-01,NA,2011-11-01,305,29.47,NA,27.7755,1.6945,20,2.583508787
46,Arremon_taciturnus,120615,P12,615,P120615,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,low,1,1,0,1,0,0,0,0,0,0,1,0,0,Arremon_taciturnus,24_6_2012_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,438,438,Arremon taciturnus,pantiacolla,24,6,2012,2012-06-24,NA,2012-06-24,176,29.8,NA,27.7755,2.0245,20,2.583508787
47,Arremon_taciturnus,130131,P13,131,P130131,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,low,1,2,1,1,0,2,1,1,0,0,1,0,0,Arremon_taciturnus,3_9_2013_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,385,385,Arremon taciturnus,pantiacolla,3,9,2013,2013-09-03,NA,2013-09-03,246,30.11,NA,27.7755,2.3345,20,2.583508787
48,Arremon_taciturnus,121042,P12,1042,P121042,Arremon taciturnus,Arremon_taciturnus,Emberizidae,1,lowland_manu,ground-understory,low,1,1,0,1,0,0,0,0,0,0,6,0,0,Arremon_taciturnus,4_9_2012_pantiacolla_Arremon taciturnus,Arremon taciturnus,Arremon_taciturnus,429,421,421,Arremon taciturnus,pantiacolla,4,9,2012,2012-09-04,NA,2012-09-04,248,30.25,NA,27.7755,2.4745,20,2.583508787
49,Arremon_torquatus,120305,W12,305,W120305,Arremon torquatus,Arremon_torquatus,Emberizidae,1,high_montane_manu,undersory-midhigh,high,1,2,1,1,0,4,1,1,2,0,5,0,0,Arremon_torquatus,16_8_2012_wayqecha_Arremon torquatus,NA,Arremon_torquatus,2742,NA,NA,Arremon torquatus,wayqecha,16,8,2012,2012-08-16,NA,2012-08-16,229,37.45,NA,42.28636364,-4.83636364,10,0.555642463
50,Arremon_torquatus,120645,W12,645,W120645,Arremon torquatus,Arremon_torquatus,Emberizidae,1,high_montane_manu,undersory-midhigh,low,1,1,0,1,0,0,0,0,0,0,2,0,0,Arremon_torquatus,9_10_2012_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,2742,3013,3013,Arremon torquatus,wayqecha,9,10,2012,2012-10-09,NA,2012-10-09,283,39.06,NA,42.28636364,-3.22636364,10,0.555642463
51,Arremon_torquatus,130560,W13,560,W130560,Arremon torquatus,Arremon_torquatus,Emberizidae,1,high_montane_manu,undersory-midhigh,low,1,2,1,1,0,3,1,1,1,0,2,0,0,Arremon_torquatus,31_10_2013_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,2742,2650,2650,Arremon torquatus,wayqecha,31,10,2013,2013-10-31,NA,2013-10-31,304,41.13,NA,42.28636364,-1.15636364,10,0.555642463
52,Arremon_torquatus,130561,W13,561,W130561,Arremon torquatus,Arremon_torquatus,Emberizidae,1,high_montane_manu,undersory-midhigh,low,1,1,0,1,0,0,0,0,0,0,38,0,1,Arremon_torquatus,31_10_2013_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,2742,2650,2650,Arremon torquatus,wayqecha,31,10,2013,2013-10-31,NA,2013-10-31,304,41.43,NA,42.28636364,-0.85636364,10,0.555642463
53,Arremon_torquatus,130377,W13,377,W130377,Arremon torquatus,Arremon_torquatus,Emberizidae,1,high_montane_manu,undersory-midhigh,med,1,2,1,1,0,5,2,2,1,0,85,0,0,Arremon_torquatus,28_9_2013_wayqecha_Arremon torquatus,NA,Arremon_torquatus,2742,NA,2742,Arremon torquatus,wayqecha,28,9,2013,2013-09-28,NA,2013-09-28,271,41.91,NA,42.28636364,-0.37636364,10,0.555642463
54,Arremon_torquatus,130298,W13,298,W130298,Arremon torquatus,Arremon_torquatus,Emberizidae,1,high_montane_manu,undersory-midhigh,med,1,2,1,1,0,1,0,0,1,0,6,0,0,Arremon_torquatus,18_9_2013_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,2742,2788,2788,Arremon torquatus,wayqecha,18,9,2013,2013-09-18,NA,2013-09-18,261,41.95,NA,42.28636364,-0.33636364,10,0.555642463
55,Arremon_torquatus,130118,W13,118,W130118,Arremon torquatus,Arremon_torquatus,Emberizidae,1,high_montane_manu,undersory-midhigh,low,1,1,1,0,0,1,0,1,0,0,0,0,0,NA,29_8_2013_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,2742,2650,2650,Arremon torquatus,wayqecha,29,8,2013,2013-08-29,NA,2013-08-29,241,42.28636364,raw data have NA so I used the average for the species ,42.28636364,0,10,0.555642463
56,Arremon_torquatus,130572,W13,572,W130572,Arremon torquatus,Arremon_torquatus,Emberizidae,1,high_montane_manu,undersory-midhigh,low,1,2,1,1,0,1,0,1,0,0,22,0,1,Arremon_torquatus,2_11_2013_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,2742,2650,2650,Arremon torquatus,wayqecha,2,11,2013,2013-11-02,NA,2013-11-02,306,42.62,NA,42.28636364,0.33363636,10,0.555642463
57,Arremon_torquatus,121048,W12,1048,W121048,Arremon torquatus,Arremon_torquatus,Emberizidae,1,high_montane_manu,undersory-midhigh,high,1,2,1,1,0,39,15,10,14,0,81,0,0,Arremon_torquatus,21_11_2012_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,2742,2650,2650,Arremon torquatus,wayqecha,21,11,2012,2012-11-21,NA,2012-11-21,326,43.6,NA,42.28636364,1.31363636,10,0.555642463
58,Arremon_torquatus,121047,W12,1047,W121047,Arremon torquatus,Arremon_torquatus,Emberizidae,1,high_montane_manu,undersory-midhigh,low,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,21_11_2012_wayqecha_Arremon torquatus,Arremon torquatus,Arremon_torquatus,2742,2650,2650,Arremon torquatus,wayqecha,21,11,2012,2012-11-21,NA,2012-11-21,326,44.53,NA,42.28636364,2.24363636,10,0.555642463
