...1.x,species_taxonomy_SACC_2021.x,n.x,species,species_jetz,notes_taxonomy.x.x,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,2010 IUCN Red List category,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,...1.y,species_taxonomy_SACC_2021.y,n.y,notes_taxonomy.x.y,missmatches,status,
1,Aburria aburri,47,Aburria aburri,Aburria aburri,NA,169,Aburria_aburri,Cracidae,"Curassows, Chacalacas, Guans","Curassows, Chacalacas, Guans",Wattled Guan,bow00169,NT,BL3,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
2,Accipiter bicolor,1,Accipiter bicolor,Accipiter bicolor,NA,4761,Accipiter_bicolor,Accipitridae,"Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird",Bicoloured Hawk,bow04761,LC,BL3,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
3,Accipiter collaris,1,Accipiter collaris,Accipiter collaris,NA,4741,Accipiter_collaris,Accipitridae,"Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird",Semicollared Hawk,bow04741,NT,BL3,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
4,Accipiter striatus,12,Accipiter striatus,Accipiter striatus,NA,4755,Accipiter_striatus,Accipitridae,"Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird",Sharp-shinned Hawk,bow04755,LC,BL3,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
5,Accipiter superciliosus,1,Accipiter superciliosus,Accipiter superciliosus,NA,4740,Accipiter_superciliosus,Accipitridae,"Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird",Tiny Hawk,bow04740,LC,BL3,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
6,Adelomyia melanogenys,208,Adelomyia melanogenys,Adelomyia melanogenys,NA,2665,Adelomyia_melanogenys,Trochilidae,Hummingbirds,Hummingbirds,Speckled Hummingbird,bow02665,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
7,Aglaeactis castelnaudii,9,Aglaeactis castelnaudii,Aglaeactis castelnaudii,NA,2692,Aglaeactis_castelnaudii,Trochilidae,Hummingbirds,Hummingbirds,White-tufted Sunbeam,bow02692,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
8,Aglaeactis cupripennis,38,Aglaeactis cupripennis,Aglaeactis cupripennis,NA,2691,Aglaeactis_cupripennis,Trochilidae,Hummingbirds,Hummingbirds,Shining Sunbeam,bow02691,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
9,Aglaiocercus kingii,32,Aglaiocercus kingii,Aglaiocercus kingi,NA,2765,Aglaiocercus_kingi,Trochilidae,Hummingbirds,Hummingbirds,Long-tailed Sylph,bow02765,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,assigned
10,Akletos goeldii,68,Myrmeciza goeldi,Myrmeciza goeldii,REV_TAX,6591,Myrmeciza_goeldii,Thamnophilidae,Antbirds,Antbirds,Goeldi's Antbird,bow06591,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
10,Akletos goeldii,68,Myrmeciza goeldi,Myrmeciza goeldii,REV_TAX,6591,Myrmeciza_goeldii,Thamnophilidae,Antbirds,Antbirds,Goeldi's Antbird,bow06591,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,10,Akletos goeldii,68,REV_TAX,TRUE,include,
10,Akletos goeldii,68,Myrmeciza goeldii,Myrmeciza goeldii,REV_TAX,6591,Myrmeciza_goeldii,Thamnophilidae,Antbirds,Antbirds,Goeldi's Antbird,bow06591,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
10,Akletos goeldii,68,Myrmeciza goeldi,Myrmeciza goeldii,REV_TAX,6591,Myrmeciza_goeldii,Thamnophilidae,Antbirds,Antbirds,Goeldi's Antbird,bow06591,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,10,Akletos goeldii,68,REV_TAX,TRUE,include,
10,Akletos goeldii,68,Myrmeciza goeldi,Myrmeciza goeldii,REV_TAX,6591,Myrmeciza_goeldii,Thamnophilidae,Antbirds,Antbirds,Goeldi's Antbird,bow06591,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,10,Akletos goeldii,68,REV_TAX,TRUE,include,
10,Akletos goeldii,68,Myrmeciza goeldii,Myrmeciza goeldii,REV_TAX,6591,Myrmeciza_goeldii,Thamnophilidae,Antbirds,Antbirds,Goeldi's Antbird,bow06591,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
