...1.x,species_taxonomy_SACC_2021.x,n.x,species,species_jetz,notes_taxonomy.x.x,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,2010 IUCN Red List category,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,...1.y,species_taxonomy_SACC_2021.y,n.y,notes_taxonomy.x.y,missmatches,status,
406,Myrmotherula longicauda,103,Myrmotherula longicauda,Myrmotherula longicauda,NA,6474,Myrmotherula_longicauda,Thamnophilidae,Antbirds,Antbirds,Stripe-chested Antwren,bow06474,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
407,Myrmotherula longipennis,40,Myrmotherula longipennis,Myrmotherula longipennis,NA,6491,Myrmotherula_longipennis,Thamnophilidae,Antbirds,Antbirds,Long-winged Antwren,bow06491,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
408,Myrmotherula menetriesii,75,Myrmotherula menetriesii,Myrmotherula menetriesii,NA,6499,Myrmotherula_menetriesii,Thamnophilidae,Antbirds,Antbirds,Grey Antwren,bow06499,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
409,Myrmotherula multostriata,3,Myrmotherula multostriata,Myrmotherula multostriata,NA,19534,Myrmotherula_multostriata,Thamnophilidae,Antbirds,Antbirds,Amazonian Streaked Antwren,bow19534,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
410,Myrmotherula schisticolor,118,Myrmotherula schisticolor,Myrmotherula schisticolor,NA,6489,Myrmotherula_schisticolor,Thamnophilidae,Antbirds,Antbirds,Slaty Antwren,bow06489,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
411,Myrmotherula sclateri,6,Myrmotherula sclateri,Myrmotherula sclateri,NA,6469,Myrmotherula_sclateri,Thamnophilidae,Antbirds,Antbirds,Sclater's Antwren,bow06469,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
412,Nannopsittaca dachilleae,1,Nannopsittaca dachilleae,Nannopsittaca dachilleae,NA,2248,Nannopsittaca_dachilleae,Psittacidae2,Parrots,Parrots,Amazonian Parrotlet,bow02248,NT,BL3,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
413,Neoctantes niger,5,Neoctantes niger,Neoctantes niger,NA,6445,Neoctantes_niger,Thamnophilidae,Antbirds,Antbirds,Black Bushbird,bow06445,LC,BL3,Thamnophilidae,Antbirds,106,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
414,Neomorphus geoffroyi,1,Neomorphus geoffroyi,Neomorphus geoffroyi,NA,1891,Neomorphus_geoffroyi,Cuculidae,Cuckoos,Cuckoos,Rufous-vented Ground-cuckoo,bow01891,LC,BL3,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
415,Nephelomyias ochraceiventris,18,Myiophobus ochraceiventris,Myiophobus ochraceiventris,REV_TAX,5991,Myiophobus_ochraceiventris,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Ochraceous-breasted Flycatcher,bow05991,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,NA,NA,include,
